Time	Bacillaceae	Enterobacteriaceae	Enterococcaceae	Lachnospiraceae	Lactobacillaceae	Paenibacillaceae	Xanthomonadaceae
1	0	0.0032366656400114554	2.917862179643048e-4	0	0.9906952617160272	0.0016210345442461379	8.267276175655304e-4
2	0	0.006522733290008906	0	9.547420190787943e-4	0.9904525798092121	0	2.7278343402251267e-4
3	0	8.161703755658994e-4	0.0011094816042848945	0	0.9966077918765542	0	0
4	2.0494676777373878e-4	0.0023892478453622704	7.388870311842687e-4	0	0.9930048432157227	8.629337590473212e-4	0.0010948472067912887
5	0.012359258750019097	0.0029943321569885573	0.029546114242938112	0	0.9516552851490291	0.0018714575981178484	0
6	0.666541791896195	2.2988310018646073e-4	0.01851836084835378	0	0.31390963039906006	6.641067338719977e-4	1.3622702233271748e-4
7	0.233101073858513	0.0031641937863759323	0.054381506680875484	0	0.7075006148044922	0	0
8	0.23104539202200824	0.10998624484181568	0.06627235213204952	0.0013342503438789545	0.5439614855570839	0.03911966987620358	0.003576341127922971
9	0.17056818659971668	0.0019215394757142656	0.03942662384111534	0	0.7862743172924527	0	9.397309844734e-4
10	0.12085082563671984	0.0015113350125944584	0.07641757626644277	0	0.7946487545479989	0.0010187517492303386	0.0017240414217744192
NA	8.671688407128422e-4	0	3.380488701083961e-4	0	0.998464082307551	0	0
