Time	Bacillaceae	Enterobacteriaceae	Enterococcaceae	Lachnospiraceae	Lactobacillaceae	Paenibacillaceae	Xanthomonadaceae
1	0	0.17201731037354917	0	0	0.8274032628967715	0	3.440346207470983e-4
2	0	0.0012083439328415162	0	0	0.9980761892648181	0	4.610786059526838e-4
3	0	2.2428363806003624e-4	0	3.58853820896058e-5	0.999174636211939	0	1.973696014928319e-4
4	0.0013236562658020762	0.004848448793836818	0	0.0021267735506707514	0.9841607424373122	0.004298164728278652	0
5	0.004407333803448939	1.9232002051413553e-4	0.033127123533559844	0	0.9597249823706648	0	5.128533880376947e-4
6	0.5007795889440113	0	0.020918969997637607	0	0.47830144105835104	0	0
7	0.2285874496610083	0	0.0376306264974257	0	0.7330682571239231	0	2.2429525411632768e-4
8	0.29360237322288146	0.0012453822903839696	0.044357998432777344	0.010256912571364603	0.6485643121011978	0	9.375349826486063e-4
9	0.1439872086173525	4.067435271676625e-4	0.04785547981710567	0.11599203343712307	0.6900894835759769	0	8.836152486745772e-4
10	0.2369268007234812	0	0.022741781040536226	0.15177146504947334	0.5880412809873391	0	0
