Time	Reads	ID
2	27	1
3	4	1
8	1	2
8	1	3
2	28	4
3	3	4
3	31	5
2	30	6
3	1	6
4	31	7
8	1	8
2	31	9
8	1	10
8	1	11
8	1	12
8	1	13
2	27	14
3	4	14
8	1	15
1	31	16
8	31	17
8	1	18
3	19	19
3	13	20
8	1	21
3	21	22
3	11	23
3	1	24
8	1	25
3	18	26
3	1	27
3	11	28
3	3	29
2	31	30
3	2	30
4	15	31
8	1	32
8	1	33
8	1	34
8	1	35
4	8	36
8	1	37
8	1	38
8	1	39
4	6	40
8	1	41
8	1	42
4	4	43
8	1	44
8	1	45
8	1	46
3	23	47
4	6	47
8	1	48
3	2	49
4	2	49
2	31	50
3	2	50
8	2	51
3	19	52
8	1	53
8	1	54
8	1	55
8	1	56
8	1	57
3	11	58
3	2	59
3	1	60
8	1	61
2	34	62
3	12	63
4	6	63
8	1	64
8	1	65
3	14	66
4	3	66
6	35	67
6	19	68
8	1	69
8	1	70
8	1	71
6	10	72
6	6	73
8	1	74
3	25	75
4	10	75
8	1	76
8	1	77
3	35	78
2	33	79
3	2	79
8	1	80
8	1	81
8	1	82
2	32	83
3	3	83
8	1	84
8	1	85
2	34	86
3	1	86
8	1	87
1	35	88
8	1	89
8	1	90
8	1	91
8	1	92
2	1	93
6	18	93
6	16	94
8	1	95
2	36	96
8	1	97
2	33	98
3	3	98
2	32	99
3	2	99
4	1	99
8	1	99
8	1	100
8	1	101
2	32	102
3	4	102
2	33	103
3	3	103
2	29	104
3	6	104
4	1	104
8	1	105
8	1	106
8	1	107
2	35	108
3	1	108
2	32	109
3	4	109
8	1	110
2	34	111
3	2	111
8	1	112
4	36	113
1	36	114
2	32	115
3	4	115
1	36	116
2	34	117
3	3	117
2	34	118
3	3	118
8	1	119
3	37	120
8	1	121
2	36	122
3	1	122
1	12	123
2	4	123
8	1	124
8	1	125
1	10	126
2	2	126
8	1	127
1	9	128
2	34	129
3	3	129
2	36	130
3	1	130
6	31	131
8	1	132
8	2	133
1	1	134
2	1	134
6	4	134
2	36	135
3	1	135
8	1	136
8	1	137
8	1	138
8	1	139
8	1	140
2	37	141
3	1	141
8	1	142
8	1	143
8	1	144
8	1	145
8	1	146
8	1	147
8	1	148
2	37	149
3	1	149
8	1	150
2	36	151
3	2	151
1	38	152
1	38	153
8	1	154
2	37	155
3	2	155
8	1	156
8	1	157
2	38	158
3	1	158
8	39	159
3	25	160
3	6	161
8	1	162
8	1	163
3	8	164
8	1	165
2	33	166
3	6	166
8	1	167
3	40	168
8	1	169
4	21	170
4	13	171
8	1	172
4	1	173
8	1	174
4	5	175
8	1	176
8	2	177
2	36	178
3	4	178
8	1	179
2	41	180
2	36	181
3	5	181
2	40	182
3	1	182
2	39	183
3	2	183
2	41	184
8	1	185
8	1	186
8	1	187
2	36	188
3	5	188
8	1	189
8	1	190
8	1	191
8	1	192
2	40	193
3	1	193
8	1	194
2	40	195
3	1	195
1	38	196
2	3	196
2	41	197
3	1	197
8	1	198
8	1	199
8	1	200
2	39	201
3	3	201
2	40	202
3	2	202
8	1	203
2	40	204
3	2	204
8	1	205
8	1	206
8	1	207
2	41	208
3	1	208
2	39	209
3	4	209
3	43	210
8	1	211
2	38	212
3	5	212
2	40	213
3	3	213
3	34	214
4	9	214
2	42	215
3	1	215
8	1	216
2	41	217
3	2	217
8	1	218
8	1	219
8	1	220
8	1	221
2	41	222
3	2	222
2	40	223
3	4	223
8	1	224
3	44	225
2	42	226
3	1	226
4	1	226
8	1	227
8	1	228
8	2	229
2	41	230
3	3	230
8	2	231
2	41	232
3	3	232
8	2	233
2	41	234
3	3	234
2	41	235
3	3	235
3	44	236
3	1	237
8	1	237
8	1	238
8	1	239
3	44	240
2	44	241
3	1	241
2	43	242
3	2	242
2	42	243
3	3	243
8	1	244
8	1	245
8	1	246
2	45	247
8	1	248
8	1	249
2	42	250
3	3	250
2	45	251
2	1	252
3	44	252
8	1	253
2	43	254
3	2	254
8	1	255
8	2	256
8	1	257
2	42	258
3	4	258
6	30	259
8	1	260
8	1	261
8	1	262
8	1	263
6	4	264
8	1	265
8	1	266
2	1	267
6	6	267
8	1	268
8	1	269
2	1	270
6	4	270
2	45	271
3	1	271
8	1	272
8	1	273
2	41	274
3	5	274
8	1	275
2	42	276
3	4	276
8	1	277
8	1	278
3	46	279
8	1	280
1	37	281
2	9	281
8	1	282
8	1	283
8	1	284
8	1	285
2	39	286
3	7	286
8	2	287
4	24	288
8	1	289
4	2	290
8	1	291
1	2	292
4	14	292
8	1	293
4	4	294
8	1	295
8	46	296
2	44	297
3	3	297
8	1	298
2	43	299
3	4	299
8	1	300
8	1	301
2	43	302
3	4	302
1	1	303
2	42	303
3	4	303
2	44	304
3	3	304
2	47	305
3	1	305
8	1	306
8	1	307
8	1	308
2	46	309
3	2	309
8	1	310
2	47	311
3	1	311
1	23	312
2	6	312
3	1	312
8	1	313
8	1	314
1	7	315
2	2	315
3	1	315
1	7	316
2	1	316
2	46	317
3	2	317
2	46	318
3	2	318
2	45	319
3	3	319
8	1	320
8	1	321
2	46	322
3	2	322
8	1	323
2	1	324
6	33	324
6	15	325
8	1	326
2	48	327
3	1	327
2	47	328
3	2	328
2	45	329
3	4	329
8	1	330
8	1	331
8	1	332
8	2	333
8	1	334
8	2	335
4	41	336
4	8	337
2	46	338
3	3	338
8	1	339
8	1	340
8	1	341
2	47	342
3	2	342
6	49	343
3	25	344
8	1	345
3	25	346
1	50	347
2	41	348
3	9	348
8	1	349
2	44	350
3	6	350
8	50	351
8	3	352
8	1	353
2	47	354
3	2	354
4	1	354
8	2	355
8	3	356
2	46	357
3	3	357
4	1	357
8	1	358
8	1	359
2	45	360
3	5	360
2	49	361
3	2	361
8	1	362
8	1	363
1	45	364
2	6	364
8	1	365
2	1	366
8	50	366
2	49	367
3	2	367
2	51	368
2	46	369
3	5	369
8	1	370
2	50	371
3	2	371
8	1	372
8	1	373
2	51	374
3	1	374
8	3	375
8	1	376
8	1	377
8	2	378
2	47	379
3	5	379
2	52	380
2	44	381
3	6	381
4	1	381
6	1	381
8	1	382
8	1	383
8	1	384
8	4	385
2	49	386
3	2	386
4	1	386
8	1	387
8	1	388
8	1	389
8	1	390
3	25	391
8	1	392
3	3	393
3	25	394
8	1	395
8	1	396
6	52	397
8	1	397
2	51	398
3	2	398
8	1	399
2	47	400
3	6	400
8	1	401
2	51	402
3	2	402
4	43	403
8	1	404
8	2	405
4	10	406
8	1	407
2	52	408
3	1	408
8	1	409
2	51	410
3	3	410
8	1	411
8	1	412
2	53	413
3	1	413
3	27	414
3	27	415
8	1	416
8	1	417
8	1	418
8	1	419
8	1	420
8	1	421
8	1	422
8	2	423
2	47	424
3	6	424
4	1	424
2	52	425
3	2	425
8	1	426
8	2	427
2	51	428
3	3	428
2	52	429
3	2	429
8	1	430
2	51	431
3	3	431
8	1	432
6	26	433
8	1	434
6	8	435
6	20	436
8	1	437
8	1	438
2	53	439
3	2	439
8	1	440
8	1	441
8	1	442
1	46	443
2	9	443
