Time	Reads	ID
2	29	1
3	2	1
3	30	2
5	1	2
2	20	3
4	8	3
5	3	3
3	30	4
4	1	4
4	28	5
5	3	5
3	19	6
2	11	7
3	1	7
2	30	8
5	1	8
2	11	9
3	19	9
5	1	9
3	30	10
4	1	10
3	31	11
3	31	12
2	31	13
4	27	14
5	4	14
3	31	15
2	18	16
5	1	16
2	11	17
3	1	17
4	31	18
2	29	19
3	2	19
2	30	20
3	1	20
2	14	21
3	1	21
4	14	21
5	2	21
3	31	22
7	17	23
8	14	23
2	31	24
2	31	25
9	1	26
2	16	27
3	1	27
4	14	27
2	11	28
3	19	28
4	1	28
2	29	29
3	2	29
2	30	30
3	1	30
3	31	31
4	24	32
5	7	32
3	31	33
9	1	34
3	31	35
2	18	36
3	13	36
3	31	37
9	1	38
3	31	39
4	27	40
5	4	40
3	31	41
2	30	42
5	1	42
3	30	43
4	1	43
2	31	44
3	11	45
4	16	45
5	4	45
3	31	46
3	30	47
4	1	47
2	2	48
3	29	48
2	19	49
6	12	50
2	30	51
3	1	51
2	31	52
3	31	53
2	31	54
2	13	55
3	14	55
1	1	56
3	2	56
5	1	56
1	1	57
9	1	57
2	30	58
4	1	58
2	31	59
1	1	60
2	1	60
3	27	60
4	1	60
5	1	60
3	30	61
5	1	61
2	17	62
3	13	62
4	1	62
2	14	63
3	17	63
3	31	64
3	28	65
4	3	65
3	30	66
4	1	66
3	1	67
4	25	67
5	5	67
9	1	68
4	26	69
5	5	69
2	28	70
3	1	70
4	1	70
5	1	70
2	10	71
3	21	71
2	31	72
2	31	73
3	1	74
5	2	74
6	1	74
7	2	74
8	5	74
9	1	74
10	5	74
11	5	74
14	2	74
15	1	74
16	2	74
17	1	74
18	3	74
2	14	75
3	17	75
2	30	76
3	1	76
3	31	77
2	31	78
2	29	79
3	1	79
4	1	79
2	22	80
3	9	80
4	27	81
5	4	81
4	27	82
5	4	82
3	30	83
5	1	83
1	16	84
2	11	84
3	4	84
2	19	85
3	12	85
2	1	86
5	3	86
8	2	86
9	5	86
10	2	86
11	1	86
13	1	86
14	1	86
15	1	86
16	1	86
18	2	86
3	11	87
2	31	88
3	1	89
4	27	89
5	3	89
2	30	90
3	1	90
3	31	91
3	29	92
4	2	92
2	30	93
4	1	93
2	20	94
3	11	94
3	31	95
4	29	96
5	2	96
3	1	97
4	25	97
5	5	97
2	11	98
3	19	98
5	1	98
3	17	99
4	12	99
5	2	99
6	1	100
7	2	100
8	2	100
9	2	100
11	2	100
12	1	100
13	4	100
14	4	100
15	1	100
16	3	100
17	2	100
18	2	100
5	1	101
10	1	101
11	1	101
13	1	101
17	1	101
4	29	102
5	2	102
3	31	103
4	26	104
5	5	104
2	28	105
3	3	105
2	30	106
3	1	106
3	31	107
3	30	108
5	1	108
2	30	109
4	1	109
2	30	110
3	1	110
3	13	111
4	16	111
5	2	111
1	1	112
2	17	112
4	10	112
5	2	112
9	1	112
2	31	113
3	31	114
