Family,3h,6h,12h,1d,2d,3d,4d,5d,6d
Acetobacteraceae,0,0,0,0,0,0,0,3.787089810834864e-5,0
Anaeroplasmataceae,1.4528020920350125e-4,2.9295444558371175e-4,5.438723712835388e-5,2.4311380157051516e-4,2.8287927582905387e-4,1.7085904129093498e-4,0.004831790471889817,5.6806347162522956e-5,0
Atopobiaceae,1.0896015690262594e-4,0,0,0,0,0,0,0,0
Bacteroidaceae,0.020557149602295426,0.022777208144133587,0.0413886874546773,0.05333916806457102,0.06467055444338063,0.023065970574276222,0.038022126890946036,0.05510215674764727,0.028615155359552145
Barnesiellaceae,0,0,0,0,0,0,0.001264393768344999,0,0
Burkholderiaceae,0.003432244942432717,0.00212391973048191,9.427121102248006e-4,6.07784503926288e-4,0,0,1.5804922104312486e-4,0,0
Christensenellaceae,4.540006537609414e-4,1.7089009325716519e-4,9.064539521392314e-5,2.1880242141346365e-4,0,1.7085904129093496e-4,9.031384059607134e-4,2.650962867584405e-4,8.054934654342616e-5
Clostridiaceae_1,0,0,0,0,0,0,0,1.3254814337922025e-4,0
Clostridiales_vadinBB60_group,0.0038136054915919077,0.008129485864948001,0.004822335025380711,0.005397126394865437,0.005788145182348333,0.006530612244897959,0.01388575299164597,0.007877146806536518,0.009927706961477274
Deferribacteraceae,3.087204445574402e-4,0.0015868365802451053,7.79550398839739e-4,0.0010697007269102666,4.787187744799373e-4,5.12577123872805e-4,7.902461052156243e-4,7.006116150044498e-4,0.004953784812420709
Desulfovibrionaceae,0.009188973232121454,0.0060299790049313995,0.007904278462654098,0.0031361680402596454,0.004286709026024894,0.008960607498813479,0.005915556559042673,0.004411959629622617,0.01705632413057049
Eggerthellaceae,3.6320052300875316e-4,3.1736731604902103e-4,5.438723712835388e-5,9.724552062820607e-5,2.3935938723996866e-4,6.64451827242525e-4,4.967261232783924e-4,0.0010982560451421105,2.4164803963027848e-4
Enterobacteriaceae,0.04294846184578506,0.020262682486206728,2.90065264684554e-4,0,1.5231961006179824e-4,0,9.031384059607135e-5,0.0010414496979795876,0
Erysipelotrichaceae,0.0014164820397341371,0.001171817782334847,1.9941986947063088e-4,2.1880242141346362e-4,2.611193315345113e-4,0,0,9.46772452708716e-5,0
Family_XIII,7.808811244688192e-4,5.614960207021142e-4,5.257432922407541e-4,3.1604794204166973e-4,1.3055966576725562e-4,3.2273374466065493e-4,3.612553623842854e-4,4.544507773001837e-4,1.2082401981513924e-4
Lachnospiraceae,0.16071623143137326,0.15821981348566966,0.20255620014503262,0.2221330804949797,0.30829489076507965,0.27301376364499286,0.17967938586588394,0.2845619283861317,0.3612839565839022
Lactobacillaceae,0.001743362510442015,9.521019481470632e-4,0.0014503263234227702,0.001896287652250018,0.0013926364348507267,0.001006169909824395,0.004109279747121246,0.013387362481301244,7.45081455526692e-4
Marinifilaceae,0.004739766825264229,0.008788633367511352,0.0060732414793328495,0.005226946733766076,0.0051571067978065975,0.0044613194114855245,0.006525174983066155,0.00823692033856583,0.002557441752753781
Muribaculaceae,0.5937420549885591,0.5972120501928617,0.5657904278462654,0.5529866530522938,0.46131081904430327,0.5059515899383009,0.5963422894558591,0.49376076953664955,0.42173624116474356
Paenibacillaceae,0,0,0,0,0,0,0,0.0012308041885213308,0
Peptococcaceae,0.008190171793847383,0.010180166984033982,0.005873821609862219,0.006880120584445579,0.007942379667508052,0.011466540104413859,0.004335064348611425,0.007006116150044498,0.012545560724138627
Prevotellaceae,0.05734936258308212,0.055124261510668425,0.045032632342277015,0.03250431526997788,0.020040908695273738,0.026426198386331277,0.03727703770602845,0.018916513605120144,0.013552427555931452
Rhizobiaceae,0,0,0,0,0,0,0,1.7041904148756888e-4,0
Rikenellaceae,0.004612646642211165,0.007250622528196865,0.009535895576504715,0.017795930274961708,0.012990686743841936,0.006321784527764595,0.016956423571912394,0.005093635795572891,0.006665458426468516
Ruminococcaceae,0.07234954418334362,0.08466383477369269,0.0820884699057288,0.07529234434638854,0.09147880581425712,0.12301850972947319,0.07841499209753895,0.08032417488780746,0.11558831228981654
Saccharimonadaceae,0.010787055533359968,0.009667496704262486,0.017965917331399565,0.016337247465538617,0.010901732091565846,0.006720455624110109,0.0069767441860465115,0.009997917100604041,0.00267826577256892
Sphingomonadaceae,0,0,0,0,0,0,0,0.0016663195167673402,0
Tannerellaceae,0.002179203138052519,0.004516381036082223,0.006218274111675127,0.004303114287798118,0.004047349638784925,0.0012149976269577598,0.0026642582975841046,0.004071121546647479,0.0016512616041402365
Xanthobacteraceae,0,0,0,0,0,0,0,3.029671848667891e-4,0
