Family,3h,6h,12h,1d,2d,3d,4d,5d,6d
Akkermansiaceae,0,5,0,0,0,0,0,0,0
Anaeroplasmataceae,19,53,122,44,111,191,0,58,56
Bacteroidaceae,1105,2686,2483,2509,2250,925,1679,2684,3733
Barnesiellaceae,0,0,0,69,0,0,0,0,0
Burkholderiaceae,4,11,0,10,0,12,3,8,3
Christensenellaceae,0,32,11,10,24,15,14,35,25
Clostridiaceae_1,0,0,0,0,0,0,0,6,0
Clostridiales_vadinBB60_group,162,649,572,217,830,618,114,232,489
Deferribacteraceae,25,55,133,17,60,50,10,5,19
Desulfovibrionaceae,654,421,351,595,183,315,500,284,312
Eggerthellaceae,6,0,0,2,19,0,28,10,0
Enterobacteriaceae,5642,3489,143,11,3,28,16,299,20
Erysipelotrichaceae,0,0,0,0,0,0,0,8,0
Family_XIII,3,10,10,2,38,27,28,21,25
Lachnospiraceae,7387,6034,9006,6004,8034,9631,12617,4350,5440
Lactobacillaceae,31,45,21,72,82,64,115,38,77
Marinifilaceae,264,380,520,163,296,272,186,164,347
Muribaculaceae,21352,36488,27063,32887,30011,25395,24494,28527,32736
Paenibacillaceae,0,0,0,0,0,26,33,130,34
Peptococcaceae,314,240,252,146,222,299,394,125,226
Prevotellaceae,1039,2115,1600,3175,3596,2658,1405,1252,3916
Propionibacteriaceae,0,0,0,0,0,0,0,2,0
Rhizobiaceae,0,0,0,0,0,0,0,16,0
Rikenellaceae,348,562,990,438,574,821,140,325,727
Ruminococcaceae,2881,3350,4976,2635,3359,3827,4979,2426,3808
Saccharimonadaceae,177,313,271,184,258,230,373,280,348
Sphingomonadaceae,0,0,0,0,0,0,0,113,0
Streptococcaceae,0,0,0,0,0,0,0,5,2
Tannerellaceae,92,181,164,121,99,97,143,165,279
Xanthobacteraceae,0,0,0,0,0,0,0,18,0
