Family,1d,2d,3d,4d,5d,6d,7d,8d,9d,10d
Bacillaceae,0,0,0,38,1618,78286,14218,16797,12161,10795
Beijerinckiaceae,13,0,43,0,0,0,0,0,0,0
Comamonadaceae,231,0,72,0,0,0,37,77,0,194
Corynebacteriaceae,149,0,0,0,88,0,0,0,0,20
Enterobacteriaceae,599,813,64,443,392,27,193,7996,137,135
Enterococcaceae,54,0,87,137,3868,2175,3317,4818,2811,6826
Glycomycetaceae,0,0,0,0,0,0,0,0,0,19
Hyphomonadaceae,0,0,0,0,0,0,0,0,0,91
Lachnospiraceae,0,119,0,0,0,0,0,97,0,0
Lactobacillaceae,183345,123451,78149,184117,124585,36869,43154,39546,56059,70982
Leptotrichiaceae,96,0,0,0,0,0,0,0,0,0
Micrococcaceae,0,132,0,0,0,0,0,0,0,0
Oscillospiraceae,0,0,0,0,0,0,0,119,0,0
Oxalobacteraceae,112,0,0,0,0,0,0,0,0,0
Paenibacillaceae,300,0,0,160,245,78,0,2844,0,91
Peptococcaceae,0,0,0,0,0,0,0,90,0,0
Propionibacteriaceae,0,43,0,18,0,0,0,0,0,0
Rhizobiaceae,0,22,0,72,0,0,0,0,0,0
Roseiflexaceae,0,0,0,147,0,0,0,0,0,0
Ruminococcaceae,0,0,0,0,0,0,25,0,0,0
Saccharimonadaceae,0,0,0,0,58,0,0,0,0,0
Sphingobacteriaceae,0,0,0,58,0,0,0,0,0,0
Sphingomonadaceae,15,0,0,21,58,0,51,0,62,18
Verrucomicrobiaceae,0,27,0,0,0,0,0,56,0,0
Xanthobacteraceae,0,0,0,0,2,0,0,0,0,0
Xanthomonadaceae,153,34,0,203,0,16,0,260,67,154
