Family,1d,2d,3d,4d,5d,6d,7d,8d,9d,10d
Bacillaceae,0,0,0,2.0494676777373878e-4,0.012359258750019097,0.666541791896195,0.233101073858513,0.23104539202200824,0.17056818659971668,0.12085082563671984
Beijerinckiaceae,7.024483025066597e-5,0,5.483644710833386e-4,0,0,0,0,0,0,0
Comamonadaceae,0.0012481965990695262,0,9.181916725116368e-4,0,0,0,6.066070989425362e-4,0.0010591471801925723,0,0.0021718443884690738
Corynebacteriaceae,8.051138236422485e-4,0,0,0,6.721970148341659e-4,0,0,0,0,2.2390148334732718e-4
Enterobacteriaceae,0.0032366656400114554,0.006522733290008906,8.161703755658994e-4,0.0023892478453622704,0.0029943321569885573,2.2988310018646073e-4,0.0031641937863759323,0.10998624484181568,0.0019215394757142656,0.0015113350125944584
Enterococcaceae,2.917862179643048e-4,0,0.0011094816042848945,7.388870311842687e-4,0.029546114242938112,0.01851836084835378,0.054381506680875484,0.06627235213204952,0.03942662384111534,0.07641757626644277
Glycomycetaceae,0,0,0,0,0,0,0,0,0,2.127064091799608e-4
Hyphomonadaceae,0,0,0,0,0,0,0,0,0,0.0010187517492303386
Lachnospiraceae,0,9.547420190787943e-4,0,0,0,0,0,0.0013342503438789545,0,0
Lactobacillaceae,0.9906952617160272,0.9904525798092121,0.9966077918765542,0.9930048432157227,0.9516552851490291,0.31390963039906006,0.7075006148044922,0.5439614855570839,0.7862743172924527,0.7946487545479989
Leptotrichiaceae,5.187310541587641e-4,0,0,0,0,0,0,0,0,0
Micrococcaceae,0,0.0010590415673815197,0,0,0,0,0,0,0,0
Oscillospiraceae,0,0,0,0,0,0,0,0.0016368638239339752,0,0
Oxalobacteraceae,6.051862298518915e-4,0,0,0,0,0,0,0,0,0
Paenibacillaceae,0.0016210345442461379,0,0,8.629337590473212e-4,0.0018714575981178484,6.641067338719977e-4,0,0.03911966987620358,0,0.0010187517492303386
Peptococcaceae,0,0,0,0,0,0,0,0.0012379642365887209,0,0
Propionibacteriaceae,0,3.449908136167072e-4,0,9.708004789282363e-5,0,0,0,0,0,0
Rhizobiaceae,0,1.7650692789691997e-4,0,3.883201915712945e-4,0,0,0,0,0,0
Roseiflexaceae,0,0,0,7.928203911247263e-4,0,0,0,0,0,0
Ruminococcaceae,0,0,0,0,0,0,4.0986966144765965e-4,0,0,0
Saccharimonadaceae,0,0,0,0,4.430389415952457e-4,0,0,0,0,0
Sphingobacteriaceae,0,0,0,3.128134876546539e-4,0,0,0,0,0,0
Sphingomonadaceae,8.10517272123069e-5,0,0,1.132600558749609e-4,4.4303894159524577e-4,0,8.361341093532257e-4,0,8.696018065276239e-4,2.0151133501259446e-4
Verrucomicrobiaceae,0,2.1662213878258357e-4,0,0,0,0,0,7.702888583218707e-4,0,0
Xanthobacteraceae,0,0,0,0,1.527720488259468e-5,0,0,0,0,0
Xanthomonadaceae,8.267276175655304e-4,2.7278343402251267e-4,0,0.0010948472067912887,0,1.3622702233271748e-4,0,0.003576341127922971,9.397309844734e-4,0.0017240414217744192
