Family,1d,2d,3d,4d,5d,6d,9d,10d
Acetobacteraceae,0,0,0,0,137,0,0,0
Bacillaceae,626,0,0,0,2178,26622,10094,14494
Beijerinckiaceae,0,0,0,0,176,0,0,0
Chthoniobacteraceae,0,0,0,0,0,0,0,29
Comamonadaceae,55,99,74,69,1124,0,74,0
Corynebacteriaceae,0,25,0,0,318,0,0,23
Devosiaceae,0,0,19,0,0,0,0,0
Enterobacteriaceae,189,88,377,195,1628,406,120,107
Enterococcaceae,118,0,117,1724,15142,1984,3866,6722
Flavobacteriaceae,0,0,23,0,0,0,0,0
Gemmataceae,52,0,0,0,0,0,0,0
Gemmatimonadaceae,0,0,0,16,0,0,0,0
Lachnospiraceae,0,0,29,0,0,45,0,0
Lactobacillaceae,55706,61930,52762,43103,91316,39215,49973,79288
Muribaculaceae,0,0,211,0,0,0,0,0
NS11-12 marine group,0,0,48,0,0,0,0,0
Oxalobacteraceae,0,33,0,0,0,0,0,0
Paenibacillaceae,0,144,78,0,75,83,0,67
Pirellulaceae,22,0,0,0,0,0,0,0
Propionibacteriaceae,0,0,73,22,114,0,0,0
Pseudomonadaceae,0,0,16,0,0,0,0,0
Sphingobacteriaceae,0,0,43,0,0,0,0,0
Sphingomonadaceae,39,9,64,76,296,0,60,78
Xanthobacteraceae,0,0,0,0,0,0,0,23
Xanthomonadaceae,93,61,302,213,266,107,396,34
