Family,1d,2d,3d,4d,5d,6d,9d,10d
Acetobacteraceae,0,0,0,0,0.0012148621087168573,0,0,0
Bacillaceae,0.011001757469244288,0,0,0,0.01931364724660814,0.38885805264234174,0.15629500023225926,0.14369702077033658
Beijerinckiaceae,0,0,0,0,0.001560698767402678,0,0,0
Chthoniobacteraceae,0,0,0,0,0,0,0,2.8751301244237345e-4
Comamonadaceae,9.666080843585237e-4,0.0015862588325775905,0.0013644074046758612,0.0015192214540490554,0.009967189855458011,0,0.0011458123654831767,0
Corynebacteriaceae,0,4.005704122670683e-4,0,0,0.002819898909284384,0,0,2.2802756159222723e-4
Devosiaceae,0,0,3.5032082011947786e-4,0,0,0,0,0
Enterobacteriaceae,0.003321616871704745,0.0014100078511800804,0.006951102588686481,0.004293451935356026,0.014436463598474772,0.00593029709912068,0.0018580741061889352,0.0010608238734942745
Enterococcaceae,0.0020738137082601054,0,0.0021572387344199425,0.03795851864899379,0.13427329963642812,0.028979579912944406,0.05986095412105353,0.0666435334357805
Flavobacteriaceae,0,0,4.240725717235784e-4,0,0,0,0,0
Gemmataceae,9.13884007029877e-4,0,0,0,0,0,0,0
Gemmatimonadaceae,0,0,0,3.522832357215201e-4,0,0,0,0
Lachnospiraceae,0,0,5.347001991297293e-4,0,0,6.572989395577109e-4,0,0
Lactobacillaceae,0.9790158172231986,0.9922930252679816,0.9728224795338889,0.9490290193315426,0.8097543672962667,0.5727995092167918,0.7737794775714971,0.7860804045010658
Muribaculaceae,0,0,0.0038904048971163067,0,0,0,0,0
NS11-12 marine group,0,0,8.850210192492072e-4,0,0,0,0,0
Oxalobacteraceae,0,5.287529441925302e-4,0,0,0,0,0,0
Paenibacillaceae,0,0.0023072855746583136,0.0014381591562799617,0,6.650704974727321e-4,0.0012123513774064444,0,6.642542011599663e-4
Pirellulaceae,3.866432337434095e-4,0,0,0,0,0,0,0
Propionibacteriaceae,0,0,0.0013459694667748358,4.8438944911709014e-4,0.0010109071561585528,0,0,0
Pseudomonadaceae,0,0,2.9500700641640237e-4,0,0,0,0,0
Sphingobacteriaceae,0,0,7.928313297440815e-4,0,0,0,0,0
Sphingomonadaceae,6.854130052724078e-4,1.442053484161446e-4,0.0011800280256656095,0.0016733453696772204,0.0026248115633590494,0,9.290370530944676e-4,7.73310861051901e-4
Xanthobacteraceae,0,0,0,0,0,0,0,2.2802756159222723e-4
Xanthomonadaceae,0.0016344463971880493,9.773918059316467e-4,0.0055682572461095954,0.004689770575542736,0.0023587833643699567,0.0015629108118372236,0.006131644550423486,3.37084221484162e-4
