Family,3h,6h,12h,1d,2d,3d,4d,5d,6d,7d,8d,9d,11d,12d,13d,14d,15d
Acholeplasmataceae,41714,54055,33606,42746,49609,32455,22432,28049,20295,14944,25112,21520,35184,17742,33581,25887,36869
Akkermansiaceae,5,8,7,15,15,0,6,0,3,0,0,0,0,0,0,0,0
Bacillaceae,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
Bacteroidaceae,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
Beijerinckiaceae,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Burkholderiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Chitinophagaceae,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0
Clostridiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,92,210
Comamonadaceae,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
Enterobacteriaceae,24072,29072,22627,27825,28735,31855,22066,23380,23014,19784,4704,6158,3562,2881,3868,2210,2573
Enterococcaceae,0,0,0,0,16,543,286,567,311,202,87,70,54,23,80,48,77
Erysipelotrichaceae,0,0,0,0,0,0,0,0,0,0,60,441,65,29,246,196,413
Lachnospiraceae,0,0,0,6,14,338,13402,12868,15090,21901,21473,22669,42328,37037,34777,24105,39442
Lactobacillaceae,1072,2090,4431,3329,1130,4929,3696,4232,2335,1482,828,823,577,167,393,611,532
Marinifilaceae,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Muribaculaceae,0,13,9,13,12,11,6,2,2,5,0,0,0,3,0,0,36
Oscillospiraceae,0,0,0,0,0,5,4,61,802,6085,6372,6837,6967,7717,7652,4890,6659
Paenibacillaceae,0,0,0,0,0,273,468,111,13,15,184,75,0,0,0,0,0
Prevotellaceae,9,7,0,13,8,8,0,6,3,0,0,0,0,0,0,0,0
Rhizobiaceae,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Rikenellaceae,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcaceae,0,0,0,0,0,0,0,0,0,0,0,190,1528,1451,936,655,1336
Streptococcaceae,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Sutterellaceae,16653,17375,14924,18618,17271,26514,18215,20932,19347,39771,30893,39449,26277,19710,32902,18986,28917
[Eubacterium] coprostanoligenes group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475
