Family,3h,6h,12h,1d,2d,3d,4d,5d,6d,7d,8d,9d,11d,12d,13d,14d,15d
Acholeplasmataceae,0.49941933552828494,0.5267491717014228,0.4444767749444503,0.4617594953117573,0.5124208525714522,0.3347878112685936,0.27837827775778407,0.31093694572543457,0.24989226128178293,0.1434316482546142,0.2799148395438788,0.21898181596165783,0.3018919730576172,0.20448808824037898,0.29334533002550756,0.3332518022657055,0.31367461012940384
Akkermansiaceae,5.986231667165519e-5,7.795751315533035e-5,9.258279547137868e-5,1.6203603681458757e-4,1.5493786991416442e-4,0,7.445923977116194e-5,0,3.6938989102998213e-5,0,0,0,0,0,0,0,0
Bacillaceae,0,0,0,0,3.098757398283288e-5,3.094633904809061e-5,0,0,0,0,0,0,0,0,0,0,0
Bacteroidaceae,0,0,0,4.320960981722335e-5,0,3.094633904809061e-5,0,0,0,0,0,0,0,0,0,0,0
Beijerinckiaceae,0,0,0,0,0,0,0,0,0,0,0,5.087867471228109e-5,0,0,0,0,0
Burkholderiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7470910933296063e-5,0,0
Chitinophagaceae,0,0,0,0,0,0,0,0,0,0,0,3.0527204827368656e-5,0,3.4576951004460425e-5,4.3677277333240156e-5,0,0
Clostridiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9700548586603304e-4,0.001184346035015448,0.0017866410297858583
Comamonadaceae,0,0,0,0,0,0,0,0,0,0,0,2.9509631333123033e-4,0,0,0,0,0
Enterobacteriaceae,0.2882011373840168,0.2832976028064705,0.2992672733044123,0.3005768482910599,0.296809312798901,0.3285985434589755,0.2738362641317432,0.25917878680383116,0.283371298405467,0.1898856885083838,0.052433872459955636,0.0626621757756454,0.0305633017289459,0.03320539861461683,0.033788741744994584,0.02845005149330587,0.02189060652209054
Enterococcaceae,0,0,0,0,1.6526706124177538e-4,0.0056012873677044,0.0035492237624253856,0.006285473572188719,0.0038293418703441483,0.001938784324640797,9.697591207517306e-4,7.123014459719353e-4,4.6334034064095416e-4,2.6508995770086326e-4,6.988364373318425e-4,6.179196704428424e-4,6.551017109214814e-4
Erysipelotrichaceae,0,0,0,0,0,0,0,0,0,0,6.687993936218831e-4,0.004487499109623192,5.577244841048522e-4,3.342438597097841e-4,0.002148922044795416,0.002523171987641607,0.0035137273585788545
Lachnospiraceae,0,0,0,6.481441472583502e-5,1.4460867858655347e-4,0.003486620866084876,0.16631712190218537,0.1426481021638879,0.18580311518808101,0.2102045321483074,0.2393521563207116,0.23067373541054,0.36319018404907977,0.4268755114507336,0.30379293476361857,0.3103115345005149,0.3355652166514944
Lactobacillaceae,0.012834480694402873,0.02036640031183005,0.05860490953338271,0.03596119777038413,0.011671986200200386,0.05084483505601287,0.04586689169903575,0.046913799219581415,0.028750846518500277,0.014224150342166638,0.009229431631981987,0.008374629857641468,0.0049508773435153804,0.0019247836059149638,0.003433033998392676,0.007865602471678682,0.004526157275457508
Marinifilaceae,0,0,0,0,0,2.0630892698727074e-5,0,0,0,0,0,0,0,0,0,0,0
Muribaculaceae,0,1.2668095887741183e-4,1.1903502274891546e-4,1.4043123190597587e-4,1.2395029593133153e-4,1.1346990984299891e-4,7.445923977116194e-5,2.2170982617949626e-5,2.4625992735332143e-5,4.798971100596032e-5,0,0,0,3.4576951004460425e-5,0,0,3.062813193918614e-4
Oscillospiraceae,0,0,0,0,0,5.1577231746817684e-5,4.9639493180774624e-5,6.762149698474637e-4,0.00987502308686819,0.05840347829425371,0.07102649560264399,0.06957149980157316,0.05977948431936162,0.08894344363380705,0.06684370523079074,0.06295056642636458,0.05665353627306681
Paenibacillaceae,0,0,0,0,0,0.0028161168533762456,0.005807820702150631,0.0012304895352962043,1.6006895277965893e-4,1.4396913301788097e-4,0.002050984807107108,7.631801206842163e-4,0,0,0,0,0
Prevotellaceae,0.00010775217000897936,6.821282401091406e-5,0,1.404312319059759e-4,8.263353062088769e-5,8.25235707949083e-5,0,6.651294785384888e-5,3.6938989102998213e-5,0,0,0,0,0,0,0,0
Rhizobiaceae,0,0,0,0,0,0,0,0,0,0,0,4.070293976982488e-5,0,0,0,0,0
Rikenellaceae,0,0,5.290445455507354e-5,3.240720736291751e-5,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcaceae,0,0,0,0,0,0,0,0,0,0,0,0.0019333896390666815,0.013110815564803294,0.016723718635824027,0.008176386316782558,0.008432028836251286,0.01136644007520908
Streptococcaceae,0,0,0,0,0,3.094633904809061e-5,0,0,0,0,0,0,0,0,0,0,0
Sutterellaceae,0.19937743190661478,0.16931397388423308,0.19738651994497936,0.20111912889426609,0.17839546341916893,0.27350374450702486,0.22604584207195244,0.2320415040794608,0.2382195407252355,0.3817197592836096,0.34435366111934723,0.4014225677449554,0.2254665579818954,0.227170568099305,0.28741395576365353,0.2444129763130793,0.2460204698015127
[Eubacterium] coprostanoligenes group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040412118530870605
