Family,3h,6h,12h,1d,2d,3d,4d,5d,6d,7d,8d,9d,10d,11d,12d,13d,14d,15d
Acholeplasmataceae,50,44,27,293,17560,20081,23215,13791,33515,18104,24205,9863,9079,21556,15135,18237,19635,22250
Akkermansiaceae,15,11,9,5,18,5,0,2,0,0,0,0,0,0,0,0,22,34
Bacillaceae,0,0,9,91,0,0,0,0,0,0,0,0,3,0,8,10,10,9
Bacteroidaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
Beijerinckiaceae,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Candidatus Jidaibacter,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,31,302,71
Comamonadaceae,0,0,0,3,0,0,0,6,0,0,0,11,38,0,4,0,0,0
Corynebacteriaceae,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacteriaceae,63264,54414,74094,48868,41010,35858,25763,28426,28022,21297,26695,22102,33329,21214,15456,8527,6605,4660
Enterococcaceae,3,0,6,32,0,369,435,245,838,280,357,113,183,254,55,80,148,88
Erysipelotrichaceae,0,0,0,0,0,0,0,0,37,33,165,65,170,203,85,230,464,168
Lachnospiraceae,16,0,0,7,16,5332,22256,12672,13738,7256,14907,17880,31916,15198,52325,21029,27217,39666
Lactobacillaceae,11337,4309,6457,10176,9419,5517,2974,3473,4771,1971,1394,771,1410,2057,711,796,813,568
Marinifilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Micrococcaceae,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muribaculaceae,25,6,22,8,7,4,0,0,0,0,0,0,0,0,0,0,65,94
Oscillospiraceae,0,0,0,0,0,0,0,0,0,0,3,7,1770,2830,2492,2856,2948,5818
Paenibacillaceae,0,0,3,0,0,0,0,0,0,0,87,204,244,236,60,0,0,0
Prevotellaceae,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,8,11
Reyranellaceae,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0
Ruminococcaceae,0,0,0,0,0,0,0,0,0,0,0,3,20,300,3697,4564,3614,4728
Sphingomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Sutterellaceae,53204,44129,30516,36414,35054,33896,19522,21463,28690,21820,31001,25195,36449,31360,40008,30152,27274,28636
Xanthobacteraceae,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Eubacterium] coprostanoligenes group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4916,4666
