Family,3h,6h,12h,1d,2d,3d,4d,5d,6d,7d,8d,9d,10d,11d,12d,13d,14d,15d
Acholeplasmataceae,3.9087234890829354e-4,4.2753728805324784e-4,2.4291716524665088e-4,0.003055297761186248,0.17033825141382689,0.19869980803862974,0.24653533690861784,0.17221958590374384,0.30576310771729115,0.255847147439974,0.24494277416286342,0.12941191906998714,0.07920265201081741,0.22640241148606777,0.11638458048491652,0.21077388932550506,0.20877636951343995,0.1995855796054933
Akkermansiaceae,1.1726170467248806e-4,1.0688432201331196e-4,8.09723884155503e-5,5.2138187050959866e-5,1.7460640805517562e-4,4.9474579960816135e-5,0,2.4975648742476084e-5,0,0,0,0,0,0,0,0,2.3392310309629125e-4,3.0498470591401225e-4
Bacillaceae,0,0,8.09723884155503e-5,9.489150043274695e-4,0,0,0,0,0,0,0,0,2.617115938236064e-5,0,6.151811323946695e-5,1.1557486940039758e-4,1.0632868322558693e-4,8.073124568312088e-5
Bacteroidaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.443007825791086e-5,0
Beijerinckiaceae,0,0,0,0,0,0,0,0,0,0,0,0,6.97897583529617e-5,0,0,0,0,0
Candidatus Jidaibacter,2.3452340934497612e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,3.150896430034345e-5,3.844882077466684e-5,3.582820951412325e-4,0.0032111262334127253,6.368798270557314e-4
Comamonadaceae,0,0,0,3.128291223057592e-5,0,0,0,7.492694622742826e-5,0,0,0,1.443304379772745e-4,3.3150135217656807e-4,0,3.075905661973347e-5,0,0,0
Corynebacteriaceae,0,1.9433513093329446e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacteriaceae,0.4945629656266856,0.5287275907302142,0.6666186830290871,0.5095777849612614,0.39781159968570845,0.354811897646989,0.2735942229066001,0.3549788955768126,0.2556495242265831,0.3009708737864078,0.27014035762353394,0.2899992127430656,0.29075285701823256,0.22281038955582863,0.11885299477865015,0.09855069113771901,0.07023009527050017,0.04180084498703815
Enterococcaceae,2.3452340934497612e-5,0,5.398159227703353e-5,3.336843971261431e-4,0,0.0036512240011082305,0.004619550788509531,0.0030595169709533208,0.007645218089425331,0.003956981953335877,0.0036126655805057734,0.00148266722649382,0.001596440722323999,0.0026677589774290788,4.2293702852133527e-4,9.245989552031807e-4,0.0015736645117386866,7.893721800127376e-4
Erysipelotrichaceae,0,0,0,0,0,0,0,0,0.00033755736194360057,4.663585873574427e-4,0.0016697193859480464,8.528616789566222e-4,0.0014830323650004361,0.00213210658432324,6.536299531693363e-4,0.0026582219962091444,0.004933650901667234,0.00150698325275159
Lachnospiraceae,1.2507915165065392e-4,0,0,7.299346187134381e-5,1.55205696049045e-4,0.052759692070214324,0.23635108585992673,0.1582457104323285,0.12533413617246444,0.1025423609050183,0.15085155688683352,0.23460256645760622,0.2784262409491407,0.1596244131455399,0.40236690940688846,0.24304239286209606,0.28939477713507994,0.35580951014074147
Lactobacillaceae,0.08862639639146648,0.041869503959578294,0.05809319022213425,0.10611163828611352,0.09136765319287218,0.05459025152876452,0.03158285987362608,0.043370214041309724,0.04352665334683563,0.02785432653580362,0.014106598933403495,0.01011625160731624,0.0123004449097095,0.02160464652193549,0.005467422314157625,0.009199759604271647,0.008644521946240219,0.0050950386164458515
Marinifilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6910415227706963e-5
Micrococcaceae,0,0,0,2.0855274820383945e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muribaculaceae,1.9543617445414677e-4,5.8300539279988335e-5,1.979325050157896e-4,8.342109928153579e-5,6.790249202145719e-5,3.957966396865291e-5,0,0,0,0,0,0,0,0,0,0,6.911364409663151e-4,8.431930104681515e-4
Oscillospiraceae,0,0,0,0,0,0,0,0,0,0,3.035853428996448e-5,9.184664234917469e-5,0.015440984035592777,0.029723456323323984,0.019162892274093953,0.03300818270075355,0.03134569581490303,0.05218826526493304
Paenibacillaceae,0,0,2.6990796138516767e-05,0,0,0,0,0,0,0,8.803974944089699e-4,0.002676673577033091,0.002128587629765332,0.002478705191627018,4.613858492960021e-4,0,0,0
Prevotellaceae,0,0,1.799386409234451e-5,0,4.850178001532656e-5,0,0,0,0,0,0,0,0,0,0,0,8.506294658046955e-5,9.86715225015922e-5
Reyranellaceae,1.563489395633174e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,4.3618598970601065e-5,0,0,3.4672460820119276e-5,0,0
Ruminococcaceae,0,0,0,0,0,0,0,0,0,0,0,3.9362846721074867e-5,1.7447439588240426e-4,0.0031508964300343448,0.02842905808078866,0.05274837039434145,0.038427186117727115,0.042410814398866174
Sphingomonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5379528309866737e-5,0,0,0
Sutterellaceae,0.415919449026337,0.4287907496477676,0.27455037832099255,0.3797119886547305,0.3400362793314515,0.33539807247036474,0.2073169436627197,0.26802617447988214,0.26174380308545675,0.308361950792103,0.31371497384106295,0.33058230771249375,0.3179708627758876,0.3293737068195902,0.30765208431057417,0.3484813462160788,0.2900008506294658,0.2568688834868722
Xanthobacteraceae,0,0,3.598772818468902e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Eubacterium] coprostanoligenes group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0401738246035782e-4,0.052271180673698535,0.04185466581749356
