n_neighbour,cluster_type,cluster_size,sample_name
2,ward.D,3,clone_rm
3,ward.D,2,clone_rm
4,ward.D,7,clone_rm
5,ward.D,3,clone_rm
6,ward.D,3,clone_rm
7,ward.D,3,clone_rm
8,ward.D,2,clone_rm
9,ward.D,3,clone_rm
10,ward.D,2,clone_rm
11,ward.D,3,clone_rm
12,ward.D,3,clone_rm
13,ward.D,3,clone_rm
14,ward.D,3,clone_rm
15,ward.D,3,clone_rm
16,ward.D,2,clone_rm
17,ward.D,2,clone_rm
18,ward.D,2,clone_rm
19,ward.D,3,clone_rm
20,ward.D,2,clone_rm
21,ward.D,2,clone_rm
22,ward.D,3,clone_rm
23,ward.D,3,clone_rm
24,ward.D,3,clone_rm
25,ward.D,3,clone_rm
26,ward.D,3,clone_rm
27,ward.D,3,clone_rm
28,ward.D,3,clone_rm
29,ward.D,2,clone_rm
30,ward.D,3,clone_rm
31,ward.D,2,clone_rm
32,ward.D,3,clone_rm
33,ward.D,2,clone_rm
34,ward.D,2,clone_rm
35,ward.D,2,clone_rm
36,ward.D,2,clone_rm
37,ward.D,2,clone_rm
38,ward.D,2,clone_rm
39,ward.D,3,clone_rm
40,ward.D,2,clone_rm
41,ward.D,2,clone_rm
42,ward.D,3,clone_rm
43,ward.D,3,clone_rm
44,ward.D,2,clone_rm
45,ward.D,3,clone_rm
46,ward.D,2,clone_rm
47,ward.D,2,clone_rm
48,ward.D,2,clone_rm
49,ward.D,2,clone_rm
50,ward.D,2,clone_rm
51,ward.D,2,clone_rm
52,ward.D,3,clone_rm
53,ward.D,2,clone_rm
54,ward.D,2,clone_rm
55,ward.D,2,clone_rm
56,ward.D,2,clone_rm
57,ward.D,2,clone_rm
58,ward.D,2,clone_rm
59,ward.D,2,clone_rm
60,ward.D,2,clone_rm
61,ward.D,3,clone_rm
62,ward.D,2,clone_rm
63,ward.D,2,clone_rm
64,ward.D,2,clone_rm
65,ward.D,2,clone_rm
66,ward.D,2,clone_rm
2,ward.D2,3,clone_rm
3,ward.D2,2,clone_rm
4,ward.D2,7,clone_rm
5,ward.D2,3,clone_rm
6,ward.D2,3,clone_rm
7,ward.D2,3,clone_rm
8,ward.D2,2,clone_rm
9,ward.D2,3,clone_rm
10,ward.D2,2,clone_rm
11,ward.D2,3,clone_rm
12,ward.D2,3,clone_rm
13,ward.D2,3,clone_rm
14,ward.D2,3,clone_rm
15,ward.D2,3,clone_rm
16,ward.D2,2,clone_rm
17,ward.D2,2,clone_rm
18,ward.D2,2,clone_rm
19,ward.D2,3,clone_rm
20,ward.D2,2,clone_rm
21,ward.D2,2,clone_rm
22,ward.D2,3,clone_rm
23,ward.D2,3,clone_rm
24,ward.D2,3,clone_rm
25,ward.D2,3,clone_rm
26,ward.D2,2,clone_rm
27,ward.D2,3,clone_rm
28,ward.D2,3,clone_rm
29,ward.D2,2,clone_rm
30,ward.D2,3,clone_rm
31,ward.D2,2,clone_rm
32,ward.D2,3,clone_rm
33,ward.D2,2,clone_rm
34,ward.D2,2,clone_rm
35,ward.D2,2,clone_rm
36,ward.D2,2,clone_rm
37,ward.D2,2,clone_rm
38,ward.D2,2,clone_rm
39,ward.D2,3,clone_rm
40,ward.D2,2,clone_rm
41,ward.D2,2,clone_rm
42,ward.D2,2,clone_rm
43,ward.D2,3,clone_rm
44,ward.D2,2,clone_rm
45,ward.D2,3,clone_rm
46,ward.D2,2,clone_rm
47,ward.D2,2,clone_rm
48,ward.D2,2,clone_rm
49,ward.D2,2,clone_rm
50,ward.D2,2,clone_rm
51,ward.D2,2,clone_rm
52,ward.D2,2,clone_rm
53,ward.D2,2,clone_rm
54,ward.D2,2,clone_rm
55,ward.D2,2,clone_rm
56,ward.D2,2,clone_rm
57,ward.D2,2,clone_rm
58,ward.D2,2,clone_rm
59,ward.D2,2,clone_rm
60,ward.D2,2,clone_rm
61,ward.D2,3,clone_rm
62,ward.D2,2,clone_rm
63,ward.D2,2,clone_rm
64,ward.D2,2,clone_rm
65,ward.D2,2,clone_rm
66,ward.D2,2,clone_rm
2,single,7,clone_rm
3,single,3,clone_rm
4,single,7,clone_rm
5,single,3,clone_rm
6,single,3,clone_rm
7,single,5,clone_rm
8,single,3,clone_rm
9,single,2,clone_rm
10,single,2,clone_rm
11,single,3,clone_rm
12,single,2,clone_rm
13,single,2,clone_rm
14,single,3,clone_rm
15,single,2,clone_rm
16,single,2,clone_rm
17,single,2,clone_rm
18,single,2,clone_rm
19,single,3,clone_rm
20,single,2,clone_rm
21,single,7,clone_rm
22,single,2,clone_rm
23,single,2,clone_rm
24,single,3,clone_rm
25,single,2,clone_rm
26,single,3,clone_rm
27,single,2,clone_rm
28,single,2,clone_rm
29,single,2,clone_rm
30,single,2,clone_rm
31,single,3,clone_rm
32,single,2,clone_rm
33,single,3,clone_rm
34,single,2,clone_rm
35,single,2,clone_rm
36,single,2,clone_rm
37,single,2,clone_rm
38,single,2,clone_rm
39,single,2,clone_rm
40,single,2,clone_rm
41,single,3,clone_rm
42,single,7,clone_rm
43,single,2,clone_rm
44,single,2,clone_rm
45,single,2,clone_rm
46,single,2,clone_rm
47,single,2,clone_rm
48,single,4,clone_rm
49,single,7,clone_rm
50,single,3,clone_rm
51,single,4,clone_rm
52,single,3,clone_rm
53,single,7,clone_rm
54,single,6,clone_rm
55,single,2,clone_rm
56,single,3,clone_rm
57,single,3,clone_rm
58,single,2,clone_rm
59,single,2,clone_rm
60,single,2,clone_rm
61,single,3,clone_rm
62,single,3,clone_rm
63,single,2,clone_rm
64,single,2,clone_rm
65,single,2,clone_rm
66,single,3,clone_rm
2,complete,3,clone_rm
3,complete,3,clone_rm
4,complete,2,clone_rm
5,complete,3,clone_rm
6,complete,3,clone_rm
7,complete,3,clone_rm
8,complete,3,clone_rm
9,complete,3,clone_rm
10,complete,2,clone_rm
11,complete,3,clone_rm
12,complete,3,clone_rm
