n_neighbour,cluster_type,cluster_size,sample_name
2,ward.D,3,gf
3,ward.D,3,gf
4,ward.D,3,gf
5,ward.D,4,gf
6,ward.D,2,gf
7,ward.D,3,gf
8,ward.D,2,gf
9,ward.D,2,gf
10,ward.D,2,gf
11,ward.D,3,gf
12,ward.D,3,gf
13,ward.D,3,gf
14,ward.D,2,gf
15,ward.D,4,gf
16,ward.D,3,gf
17,ward.D,3,gf
18,ward.D,3,gf
19,ward.D,3,gf
20,ward.D,2,gf
21,ward.D,3,gf
22,ward.D,2,gf
23,ward.D,3,gf
24,ward.D,3,gf
25,ward.D,3,gf
26,ward.D,2,gf
27,ward.D,3,gf
28,ward.D,2,gf
29,ward.D,3,gf
30,ward.D,3,gf
31,ward.D,3,gf
32,ward.D,3,gf
33,ward.D,3,gf
34,ward.D,2,gf
35,ward.D,3,gf
36,ward.D,3,gf
37,ward.D,3,gf
38,ward.D,3,gf
39,ward.D,3,gf
40,ward.D,2,gf
41,ward.D,2,gf
42,ward.D,3,gf
43,ward.D,2,gf
44,ward.D,2,gf
45,ward.D,2,gf
46,ward.D,2,gf
47,ward.D,3,gf
48,ward.D,3,gf
49,ward.D,3,gf
50,ward.D,3,gf
51,ward.D,3,gf
52,ward.D,3,gf
53,ward.D,3,gf
54,ward.D,3,gf
55,ward.D,3,gf
56,ward.D,2,gf
57,ward.D,3,gf
58,ward.D,3,gf
59,ward.D,2,gf
60,ward.D,3,gf
61,ward.D,2,gf
62,ward.D,3,gf
63,ward.D,2,gf
64,ward.D,2,gf
2,ward.D2,3,gf
3,ward.D2,5,gf
4,ward.D2,3,gf
5,ward.D2,4,gf
6,ward.D2,2,gf
7,ward.D2,5,gf
8,ward.D2,2,gf
9,ward.D2,2,gf
10,ward.D2,2,gf
11,ward.D2,3,gf
12,ward.D2,3,gf
13,ward.D2,3,gf
14,ward.D2,2,gf
15,ward.D2,3,gf
16,ward.D2,3,gf
17,ward.D2,3,gf
18,ward.D2,3,gf
19,ward.D2,3,gf
20,ward.D2,2,gf
21,ward.D2,3,gf
22,ward.D2,2,gf
23,ward.D2,3,gf
24,ward.D2,2,gf
25,ward.D2,3,gf
26,ward.D2,3,gf
27,ward.D2,3,gf
28,ward.D2,2,gf
29,ward.D2,3,gf
30,ward.D2,3,gf
31,ward.D2,3,gf
32,ward.D2,3,gf
33,ward.D2,2,gf
34,ward.D2,2,gf
35,ward.D2,3,gf
36,ward.D2,3,gf
37,ward.D2,3,gf
38,ward.D2,3,gf
39,ward.D2,3,gf
40,ward.D2,3,gf
41,ward.D2,3,gf
42,ward.D2,2,gf
43,ward.D2,2,gf
44,ward.D2,2,gf
45,ward.D2,2,gf
46,ward.D2,2,gf
47,ward.D2,3,gf
48,ward.D2,3,gf
49,ward.D2,3,gf
