n_neighbour,cluster_type,cluster_size,sample_name
2,ward.D,3,gf_without_gf3
3,ward.D,7,gf_without_gf3
4,ward.D,7,gf_without_gf3
5,ward.D,3,gf_without_gf3
6,ward.D,4,gf_without_gf3
7,ward.D,4,gf_without_gf3
8,ward.D,4,gf_without_gf3
9,ward.D,3,gf_without_gf3
10,ward.D,2,gf_without_gf3
11,ward.D,3,gf_without_gf3
12,ward.D,3,gf_without_gf3
13,ward.D,2,gf_without_gf3
14,ward.D,2,gf_without_gf3
15,ward.D,2,gf_without_gf3
16,ward.D,3,gf_without_gf3
17,ward.D,3,gf_without_gf3
18,ward.D,3,gf_without_gf3
19,ward.D,3,gf_without_gf3
20,ward.D,3,gf_without_gf3
21,ward.D,2,gf_without_gf3
22,ward.D,2,gf_without_gf3
23,ward.D,2,gf_without_gf3
24,ward.D,2,gf_without_gf3
25,ward.D,2,gf_without_gf3
26,ward.D,3,gf_without_gf3
27,ward.D,3,gf_without_gf3
28,ward.D,2,gf_without_gf3
29,ward.D,2,gf_without_gf3
30,ward.D,3,gf_without_gf3
31,ward.D,2,gf_without_gf3
32,ward.D,2,gf_without_gf3
33,ward.D,3,gf_without_gf3
34,ward.D,2,gf_without_gf3
35,ward.D,3,gf_without_gf3
36,ward.D,4,gf_without_gf3
37,ward.D,3,gf_without_gf3
38,ward.D,3,gf_without_gf3
39,ward.D,2,gf_without_gf3
40,ward.D,2,gf_without_gf3
41,ward.D,3,gf_without_gf3
42,ward.D,2,gf_without_gf3
43,ward.D,2,gf_without_gf3
44,ward.D,3,gf_without_gf3
45,ward.D,2,gf_without_gf3
46,ward.D,2,gf_without_gf3
47,ward.D,3,gf_without_gf3
48,ward.D,2,gf_without_gf3
2,ward.D2,3,gf_without_gf3
3,ward.D2,3,gf_without_gf3
4,ward.D2,7,gf_without_gf3
5,ward.D2,3,gf_without_gf3
6,ward.D2,4,gf_without_gf3
7,ward.D2,4,gf_without_gf3
8,ward.D2,4,gf_without_gf3
9,ward.D2,2,gf_without_gf3
10,ward.D2,2,gf_without_gf3
11,ward.D2,3,gf_without_gf3
12,ward.D2,2,gf_without_gf3
13,ward.D2,2,gf_without_gf3
14,ward.D2,2,gf_without_gf3
15,ward.D2,2,gf_without_gf3
16,ward.D2,3,gf_without_gf3
17,ward.D2,3,gf_without_gf3
18,ward.D2,3,gf_without_gf3
19,ward.D2,2,gf_without_gf3
20,ward.D2,3,gf_without_gf3
21,ward.D2,2,gf_without_gf3
22,ward.D2,2,gf_without_gf3
23,ward.D2,2,gf_without_gf3
24,ward.D2,2,gf_without_gf3
25,ward.D2,2,gf_without_gf3
26,ward.D2,2,gf_without_gf3
27,ward.D2,3,gf_without_gf3
28,ward.D2,2,gf_without_gf3
29,ward.D2,2,gf_without_gf3
30,ward.D2,3,gf_without_gf3
31,ward.D2,3,gf_without_gf3
32,ward.D2,2,gf_without_gf3
33,ward.D2,3,gf_without_gf3
34,ward.D2,2,gf_without_gf3
35,ward.D2,3,gf_without_gf3
36,ward.D2,4,gf_without_gf3
37,ward.D2,2,gf_without_gf3
38,ward.D2,3,gf_without_gf3
39,ward.D2,2,gf_without_gf3
40,ward.D2,2,gf_without_gf3
41,ward.D2,3,gf_without_gf3
42,ward.D2,2,gf_without_gf3
43,ward.D2,2,gf_without_gf3
44,ward.D2,3,gf_without_gf3
45,ward.D2,2,gf_without_gf3
46,ward.D2,2,gf_without_gf3
47,ward.D2,3,gf_without_gf3
48,ward.D2,2,gf_without_gf3
2,single,2,gf_without_gf3
3,single,7,gf_without_gf3
4,single,7,gf_without_gf3
5,single,2,gf_without_gf3
6,single,5,gf_without_gf3
7,single,4,gf_without_gf3
8,single,2,gf_without_gf3
9,single,4,gf_without_gf3
