C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,time
-5.833697483382529,-4.270285125168279,-4.999266444352673,-5.222617575681127,-4.152922503027965,-3.719652585665297,-3.3214032281625356,-5.2972851567086385,-3.7465944643993154,-3.7154530569796007,10
-5.827171971858387,-4.2297943877495126,-4.978512698414886,-5.218130467646842,-4.135110133389856,-3.722526613143227,-3.3210980330484507,-5.32391787882143,-3.74083070669533,-3.7321986388663624,11
-5.821187319783966,-4.188558012569145,-4.959696407504515,-5.2150207369531065,-4.119214845763061,-3.725200801696273,-3.321004748423255,-5.346525391876796,-3.7356429244076725,-3.747623362460923,12
-5.815743527159267,-4.146575999627176,-4.942817571621557,-5.213288383599922,-4.105236640147581,-3.727675151324433,-3.321123374286948,-5.365107695874735,-3.7310311175363418,-3.761727227763283,13
-5.81084059398429,-4.103848348923604,-4.927876190766016,-5.212933407587287,-4.093175516543416,-3.7299496620277104,-3.321453910639531,-5.37966479081525,-3.7269952860813396,-3.774510234773443,14
-5.806478520259036,-4.060375060458431,-4.914872264937892,-5.213955808915202,-4.083031474950566,-3.732024333806103,-3.321996357481003,-5.39019667669834,-3.723535430042665,-3.7859723834914023,15
-5.8026573059835025,-4.016156134231656,-4.903805794137185,-5.216355587583666,-4.074804515369032,-3.7338991666596115,-3.3227507148113635,-5.396703353524003,-3.7206515494203183,-3.796113673917161,16
-5.799376951157694,-3.9711915702432785,-4.894676778363896,-5.220132743592683,-4.068494637798813,-3.7355741605882358,-3.3237169826306125,-5.399184821292243,-3.718343644214299,-3.804934106050719,17
-5.796637455781607,-3.9254813684933,-4.887485217618025,-5.225287276942248,-4.064101842239909,-3.7370493155919764,-3.324895160938751,-5.397641080003058,-3.7166117144246087,-3.8124336798920764,18
-5.794438819855245,-3.8790255289817193,-4.882231111899573,-5.231819187632363,-4.06162612869232,-3.7383246316708325,-3.3262852497357773,-5.392072129656445,-3.715455760051245,-3.8186123954412334,19
-5.7927810433786036,-3.831824051708537,-4.8789144612085416,-5.2397284756630285,-4.061067497156047,-3.739400108824805,-3.3278872490216926,-5.38247797025241,-3.71487578109421,-3.82347025269819,20
-5.793440165786619,-3.784293715491941,-4.8805243791316695,-5.248051444336221,-4.062393659004992,-3.7389519331371224,-3.3290057758211375,-5.359635898046567,-3.714037177343994,-3.8247511904789326,21
-5.7974028756542495,-3.7366660641198126,-4.888721484328253,-5.256252706597483,-4.065586676113546,-3.7362446524318007,-3.3292545062589127,-5.318422188736482,-3.7124762820175348,-3.8212018414590116,22
-5.803485146691545,-3.6886632450466945,-4.901513034407136,-5.264974726912164,-4.07066807423244,-3.7321608093200207,-3.3290970289852577,-5.264985311485077,-3.7107494952545075,-3.8143262464277674,23
-5.810502952608546,-3.6400074057271268,-4.916906286977155,-5.274859969745611,-4.077659379112406,-3.727582946412963,-3.328996932650412,-5.205473735455272,-3.7094132171945833,-3.805628446174541,24
-5.8172722671153,-3.5904206936156515,-4.9329084996471515,-5.286550899563174,-4.086582116504174,-3.723393606321808,-3.3294178059046144,-5.14603592980999,-3.7090238479774356,-3.796612481488676,25
-5.822609063921853,-3.53962525616681,-4.9475269300259646,-5.300689980830201,-4.097457812158476,-3.720475331657736,-3.330823237398105,-5.0928203637121525,-3.710137787742737,-3.7887823931595133,26
-5.825329316738249,-3.4873432408351444,-4.958768835722434,-5.317919678012045,-4.110307991826044,-3.7197106650319296,-3.3336768157811227,-5.05197550632468,-3.71331143663016,-3.783642221976395,27
-5.824248999274534,-3.4332967950751954,-4.9646414743454015,-5.338882455574048,-4.125154181257607,-3.721982149055567,-3.338442129703908,-5.029649826810492,-3.719101194779378,-3.782696008728662,28
-5.818184085240752,-3.3772080663415043,-4.963152103503703,-5.364220777981565,-4.1420179062039,-3.728172326339831,-3.345582767816699,-5.031991794332512,-3.7280634623300632,-3.7874477942056575,29
-5.80595054834695,-3.318799202088613,-4.952307980806184,-5.3945771096999415,-4.160920692415651,-3.7391637394959,-3.355562318769736,-5.065149878053662,-3.7407546394218896,-3.799401619196722,30
-5.792164188214391,-3.2496880113388813,-4.9356995549565355,-5.433371851846631,-4.177970454321591,-3.7578572276039237,-3.3672164840648016,-5.14848990863346,-3.760593455634398,-3.818628868257847,31
-5.780617217081506,-3.165505864707429,-4.917388067343941,-5.481838967819114,-4.190982599159144,-3.7849491385560925,-3.379417672602637,-5.286394490639718,-3.7889021976261903,-3.843609453471931,32
-5.768890227584095,-3.071995252037937,-4.896086964605469,-5.5373412655027865,-4.202539891892083,-3.8180152781816514,-3.3926845341319214,-5.462537254097803,-3.8230926011555337,-3.87346020691868,33
-5.754563812357961,-2.974898663174089,-4.8705096933781915,-5.59724155278304,-4.215225097484185,-3.8546314523098473,-3.4075357184013337,-5.6605918290330814,-3.8605764019806923,-3.9072979606777998,34
-5.735218564038897,-2.8799585879595644,-4.839369700299177,-5.6589026375452685,-4.231620980899222,-3.892373466769924,-3.424489875159552,-5.864231845470912,-3.8987653358599315,-3.9442395468289946,35
-5.708435075262709,-2.792917516238044,-4.801380432005497,-5.719687327674866,-4.254310307100969,-3.9288171273911283,-3.4440656541552546,-6.057130933436665,-3.9350711385515167,-3.98340179745197,36
-5.67179393866519,-2.7195179378532117,-4.75525533513422,-5.776958431057226,-4.2858758410532,-3.961538240002706,-3.4667817051371213,-6.222962722955701,-3.9669055458137135,-4.023901544626433,37
-5.622875746882144,-2.6655023426487476,-4.6997078563224175,-5.828078755577743,-4.32890034771969,-3.9881126104339026,-3.4931566778538294,-6.345400844053385,-3.991680293404786,-4.0648556204320885,38
-5.559261092549368,-2.6366132204683326,-4.633451442207158,-5.870411109121808,-4.385966592064213,-4.006116044513962,-3.523709222054057,-6.408118926755082,-4.0068071170829995,-4.105380856948639,39
-5.478530568302663,-2.638593061155649,-4.555199539425512,-5.901318299574818,-4.459657339050542,-4.013124348072132,-3.558957987486484,-6.394790601086157,-4.00969775260662,-4.144594086255793,40
-5.372018529686898,-2.6778825107898903,-4.456078299153938,-5.9202839943793455,-4.557819053419196,-4.007965539669134,-3.6017541752028572,-6.290699039406428,-3.9972789114061342,-4.185603778559782,41
-5.237419744826908,-2.7521045314290125,-4.3324920088668355,-5.92975620801123,-4.682132459322842,-3.9925024976454107,-3.6531439267888515,-6.104599276704299,-3.9705273368232423,-4.231052739596227,42
-5.081855425228451,-2.853775086884842,-4.191071319648197,-5.931544268905755,-4.825931710843484,-3.9688633174997876,-3.7109383027940352,-5.855372736948027,-3.9329298124830268,-4.279359304738913,43
-4.912446782397283,-2.9754101409692035,-4.038446882582014,-5.927457505498212,-4.982550962063128,-3.939176094731094,-3.772948363767979,-5.561900844105869,-3.8879731220105724,-4.328941809361628,44
-4.736315027839155,-3.1095256574939225,-3.881249348752274,-5.9193052462238835,-5.145324367063771,-3.9055689248381538,-3.8369851702602498,-5.243065022146071,-3.8391440490309607,-4.3782185888381555,45
-4.560581373059825,-3.248637600270826,-3.726109369242967,-5.908896819518057,-5.307586079927421,-3.870169903319795,-3.900859782820419,-4.917746695036889,-3.789929377169276,-4.425607978542285,46
-4.392367029565041,-3.385261933111741,-3.579657595138081,-5.898041553816022,-5.46267025473608,-3.8351071256748437,-3.962383261998055,-4.6048272867465725,-3.743815890050601,-4.469528313847801,47
-4.238793208860563,-3.5119146198284916,-3.448524677521609,-5.888548777553061,-5.603911045571754,-3.8025086874021268,-4.019366668342727,-4.3231882212433765,-3.704290371300019,-4.50839793012849,48
-4.106981122452145,-3.6211116242329022,-3.3393412674775393,-5.882227819164465,-5.724642606516441,-3.774502684000471,-4.069621062404003,-4.091710922495557,-3.674839604542614,-4.54063516275814,49
-4.0040519818455405,-3.705368910136801,-3.2587380160898625,-5.880888007085517,-5.818199091652147,-3.753217210968703,-4.110957504731454,-3.9292768144713643,-3.658950373403469,-4.564658347110536,50
