C1,C2,C3,C4,C5,C6,C7,C8,time
-6.503108853173789,-6.935609993189365,-7.0000000000000036,-6.79210049126231,-6.829074333256782,-7.000000000000004,-7,-6.877434945074539,10
-6.384538273057263,-6.782228311571889,-6.815868694579661,-6.614564375425641,-6.670253167820811,-6.808298961769897,-6.895879258522304,-6.681931245039311,11
-6.221503725397042,-6.571328499347863,-6.562688149626692,-6.3704522161502215,-6.451874065346353,-6.5447100342035,-6.752713238990471,-6.413113657490855,12
-6.0251212020790454,-6.31729008916892,-6.25772067502425,-6.076408024295739,-6.188826510093028,-6.2272051896348835,-6.580263260918035,-6.089310654307475,13
-5.806506694989203,-6.0344926136867025,-5.918228580655494,-5.74907581072188,-5.895999986320458,-5.873756400398124,-6.388290643818534,-5.7288507073674815,14
-5.5767761960134346,-5.737315605552846,-5.561474176403581,-5.405099586288333,-5.588283978288265,-5.50233563882729,-6.1865567072054954,-5.350062288549177,15
-5.347045697037666,-5.44013859741899,-5.204719772151668,-5.061123361854786,-5.280567970256074,-5.130914877256457,-5.984822770592458,-4.97127386973087,16
-5.128431189947824,-5.157341121936772,-4.8652276777829115,-4.733791148280929,-4.987741446483504,-4.777466088019696,-5.792850153492956,-4.610813922790868,17
-4.932048666629829,-4.9033027117578305,-4.560260203180471,-4.439746956426446,-4.724693891230179,-4.4599612434510805,-5.620400175420521,-4.287010919607478,18
-4.769014118969606,-4.692402899533803,-4.307079658227501,-4.195634797151026,-4.50631478875572,-4.196372315884683,-5.477234155888689,-4.0181933320590035,19
-4.6504435388530805,-4.5390212179163285,-4.122948352807159,-4.018098681314357,-4.34749362331975,-4.004671277654576,-5.373113414410991,-3.822689632023753,20
-4.563487868890741,-4.427124531313433,-3.987873737003347,-3.8871127634363,-4.231118644613648,-3.8643052787525747,-5.299796734554691,-3.679760440030672,21
-4.4875011140571965,-4.33055155090078,-3.869774328128352,-3.7710956446817407,-4.129629086271225,-3.742124419219028,-5.241799076186113,-3.5557870946657824,22
-4.42190385978455,-4.248489579481455,-3.767779036907905,-3.669358005877902,-4.042240908465744,-3.637205096460801,-5.198016023267386,-3.4497791448930064,23
-4.366116691504904,-4.180125919858545,-3.6810167740677375,-3.5812105278520083,-3.9681700713704684,-3.548623707884762,-5.167343159760641,-3.3607461396762637,24
-4.319560194650364,-4.124647874835141,-3.6086164503335847,-3.505963891431284,-3.9066325351586646,-3.47545665089778,-5.148676069628009,-3.287697627979479,25
-4.281654954653032,-4.0812427472143264,-3.549706976431175,-3.4429287774429507,-3.856844260003593,-3.4167803229067197,-5.140910336831619,-3.2296431587665713,26
-4.251821556945012,-4.0490978397991935,-3.503417263086244,-3.3914158667142345,-3.81802120607852,-3.3716711213184523,-5.142941545333602,-3.1855922810014636,27
-4.229480586958409,-4.027400455392828,-3.468876221024523,-3.3507358400723577,-3.789379333556709,-3.339205443539843,-5.153665279096089,-3.154554543648077,28
-4.214052630125323,-4.015337896798316,-3.445212760971743,-3.3201993783445447,-3.7701346026114244,-3.318459686977759,-5.1719771220812065,-3.1355394956703324,29
-4.20495827187786,-4.012097466818748,-3.4315557936536365,-3.2991171623580193,-3.75950297341593,-3.3085102490390694,-5.1967726582510885,-3.127556686032153,30
-4.201618097648123,-4.016866468257212,-3.4270342297959373,-3.286799872940005,-3.75670040614349,-3.3084335271306418,-5.226947471567865,-3.1296156636974595,31
-4.2034526928682165,-4.028832203916791,-3.430776980124377,-3.282558190917725,-3.760942860967368,-3.3173059186593417,-5.261397145993663,-3.1407259776301735,32
-4.209882642970244,-4.04718197660058,-3.441912955364688,-3.285702797118405,-3.77144629806083,-3.33420382103204,-5.299017265490619,-3.1598971767942174,33
-4.220328533386306,-4.071103089111662,-3.459571066242601,-3.2955443723692674,-3.787426677597137,-3.358203631655602,-5.3387034140208565,-3.186138810153512,34
-4.234210949548508,-4.099782844253124,-3.48288022348385,-3.3113935974975357,-3.808099959749554,-3.388381747936896,-5.379351175546509,-3.2184604266719785,35
-4.250950476888956,-4.132408544828057,-3.510969337814166,-3.332561153330434,-3.832682104691346,-3.423814567282789,-5.419856134029707,-3.25587157531354,36
-4.269967700839748,-4.168167493639547,-3.542967319959283,-3.358357720695187,-3.860389072595777,-3.4635784871001496,-5.45911387343258,-3.297381805042117,37
-4.290683206832994,-4.206246993490683,-3.578003080644932,-3.3880939804190167,-3.8904368236361098,-3.5067499047958446,-5.496019977717257,-3.342000664821631,38
-4.312517580300792,-4.245834347184552,-3.615205530596845,-3.4210806133291474,-3.9220413179856104,-3.5524052177767422,-5.529470030845871,-3.388737703616005,39
-4.334891406675248,-4.28611685752424,-3.653703580540755,-3.456628300252804,-3.9544185158175407,-3.599620823449709,-5.55835961678055,-3.4366024703891593,40
-4.357225271388466,-4.326281827312837,-3.6926261412023935,-3.4940477220172097,-3.9867843773051654,-3.6474731192216137,-5.581584319483426,-3.484604514105015,41
-4.378939759872548,-4.3655165593534315,-3.7311021233074952,-3.5326495594495886,-4.0183548626217505,-3.695038502499324,-5.598039722916628,-3.5317533837274966,42
-4.399455457559598,-4.403008356449108,-3.768260437581789,-3.571744493377163,-4.048345931940557,-3.7413933706897065,-5.606621411042284,-3.5770586282205223,43
-4.41819294988172,-4.437944521402958,-3.8032299947510086,-3.6106432046271584,-4.0759735454348505,-3.785614121199629,-5.606224967822531,-3.6195297965480155,44
-4.434572822271019,-4.469512357018067,-3.8351397055408865,-3.648656374026798,-4.1004536632778965,-3.82677715143596,-5.595745977219492,-3.658176437673898,45
-4.448015660159593,-4.4968991660975215,-3.863118480677155,-3.685094682403304,-4.121002245642955,-3.8639588588055664,-5.5740800231953,-3.6920081005620897,46
-4.457942048979551,-4.519292251444413,-3.8862952308855454,-3.7192688105839022,-4.136835252703293,-3.896235640715316,-5.540122689712087,-3.7200343341765145,47
-4.463772574162995,-4.535878915861828,-3.903798866891791,-3.750489439395816,-4.147168644632175,-3.9226838945720757,-5.49276956073198,-3.7412646874810926,48
-4.4649278211420285,-4.545846462152852,-3.914758299421624,-3.778067249666269,-4.151218381602862,-3.9423800177827144,-5.430916220217113,-3.754708709439746,49
-4.460828375348754,-4.548382193120575,-3.918302439200776,-3.8013129222224853,-4.148200423788623,-3.954400407754099,-5.353458252129613,-3.759375949016397,50
-4.451348070743599,-4.5463942193299705,-3.9176806377287496,-3.8298771902013478,-4.138866405801228,-3.965188686228476,-5.236147315971857,-3.759305665331592,51
-4.437577409309832,-4.543506578568435,-3.9167774370504036,-3.8713683531779424,-4.12530823368815,-3.980859251311696,-5.065746759071177,-3.7592035744317625,52
-4.420761978513827,-4.539980464472692,-3.91567453370951,-3.9220334416368,-4.108752274776202,-3.99999466495603,-4.857669697127132,-3.759078910669659,53
-4.402147365821952,-4.536077070679462,-3.9144536242498376,-3.978119486062449,-4.090424896392193,-4.021177489113749,-4.627329245839276,-3.7589409083980287,54
-4.3829791587005795,-4.532057590825466,-3.9131964052151558,-4.035873516939418,-4.0715524658629345,-4.042990285737125,-4.390138520907174,-3.7587988019696206,55
-4.3645029446160795,-4.528183218547427,-3.9119845731492355,-4.091542564752237,-4.053361350515238,-4.06401561677843,-4.16151063803038,-3.758661825737184,56
-4.347964311034823,-4.524715147482067,-3.910899824595846,-4.141373659985434,-4.037077917675913,-4.082836044189935,-3.9568587129084585,-3.7585392140534664,57
-4.334608845423181,-4.521914571266105,-3.910023856098757,-4.1816138331235395,-4.023928534671773,-4.098034129923911,-3.7915958612409635,-3.758440201271217,58
-4.325682135247523,-4.520042683536267,-3.9094383642017396,-4.20851011465108,-4.0151395688296265,-4.108192435932631,-3.681135198727458,-3.7583740217431854,59
-4.322429767974222,-4.519360677929271,-3.9092250454485624,-4.218309535052588,-4.011937387476287,-4.111893524168367,-3.6408898410674984,-3.75834990982212,60
-4.300635712563707,-4.516428606064502,-3.9132800915672523,-4.2133073275858965,-4.007812871016694,-4.10859617703746,-3.631056106655803,-3.7589773458253952,61
-4.241480419306596,-4.508470125288699,-3.9242866453179817,-4.199729907319163,-3.996617754912083,-4.099646234824998,-3.6043645418240593,-3.7606803864057143,62
-4.154304197664537,-4.4967418378296244,-3.940506829792741,-4.179721077452399,-3.9801196890737094,-4.086456846301369,-3.565029604177278,-3.763190130418816,63
-4.048447357099182,-4.482500345915033,-3.960202768083521,-4.155424641185615,-3.9600863234128276,-4.070441160236963,-3.5172657513204735,-3.7662376767204395,64
-3.9332502070721764,-4.467002251772683,-3.98163658328231,-4.128984401718819,-3.938285307840691,-4.053012325402168,-3.4652874408586563,-3.7695541241663237,65
-3.8180530570451703,-4.451504157630333,-4.0030703984811,-4.102544162252023,-3.9164842922685548,-4.035583490567372,-3.413309130396839,-3.772870571612209,66
-3.7121962164798146,-4.437262665715741,-4.022766336771879,-4.078247725985238,-3.8964509266076726,-4.019567804502967,-3.365545277540034,-3.7759181179138324,67
-3.6250199948377557,-4.425534378256665,-4.038986521246638,-4.058238896118474,-3.879952860769299,-4.006378415979338,-3.326210339893253,-3.778427861926934,68
-3.565864701580645,-4.417575897480863,-4.049993074997368,-4.044661475851741,-3.868757744664688,-3.997428473766876,-3.299518775061509,-3.7801309025072527,69
-3.544070646170131,-4.4146438256160945,-4.0540481211160575,-4.03965926838505,-3.864633228205095,-3.9941311266359687,-3.289685040649814,-3.780758338510528,70
-3.5363885472372165,-4.4116185171306075,-4.0548838808908885,-4.040592819318492,-3.8606046204925835,-3.9929024155278667,-3.29085967498663,-3.781356221967959,71
-3.515537135847877,-4.403406965527142,-4.057152371708287,-4.043126743280693,-3.8496698281300534,-3.9895673425201603,-3.294047968186557,-3.78297904849527,72
-3.484808740116219,-4.391305731585193,-4.06049541080761,-4.046860947014462,-3.8335553972800094,-3.984652498087752,-3.298746505533819,-3.7853705823249926,73
-3.4474956881563497,-4.3766113760842575,-4.064554815428218,-4.051395337262612,-3.8139878741049555,-3.978684472705542,-3.3044518723126375,-3.7882745876896564,74
-3.4068903080823736,-4.360620459803826,-4.068972402809466,-4.05632982076795,-3.792693804767397,-3.9721898568484306,-3.310660653807233,-3.7914348288217896,75
-3.3662849280083975,-4.344629543523395,-4.073389990190716,-4.061264304273289,-3.7713997354298385,-3.9656952409913195,-3.3168694353018293,-3.794595069953923,76
-3.328971876048528,-4.329935188022457,-4.077449394811324,-4.065798694521438,-3.7518322122547847,-3.9597272156091097,-3.3225748020806476,-3.797499075318586,77
-3.29824348031687,-4.317833954080508,-4.080792433910647,-4.069532898255208,-3.73571778140474,-3.9548123711767005,-3.327273339427909,-3.7998906091483082,78
-3.2773920689275315,-4.309622402477044,-4.083060924728045,-4.072066822217408,-3.7247829890422106,-3.951477298168995,-3.330461632627837,-3.80151343567562,79
-3.269709969994617,-4.306597093991557,-4.083896684502876,-4.073000373150851,-3.7207543813296993,-3.950248587060893,-3.331636266964652,-3.8021113191330507,80
-3.265546337272286,-4.304610397361814,-4.087402350506761,-4.07486008507121,-3.7177899139285673,-3.9467797477335913,-3.336015138544082,-3.8054303594111336,81
-3.254245048454533,-4.299217935081086,-4.096917729660166,-4.079907874569327,-3.709743502411211,-3.9373643267023453,-3.3479006471168202,-3.8144391830230724,82
-3.2375905175652107,-4.291271148562117,-4.110940393675709,-4.087346722250762,-3.6978856328066847,-3.92348896939314,-3.3654161334345405,-3.8277153441354033,83
-3.2173671586281776,-4.281621479217656,-4.127967914266012,-4.096379608721076,-3.6834867911440465,-3.9066403212319623,-3.386684938248915,-3.8438363969146634,84
-3.195359385667288,-4.271120368460448,-4.1464978631436935,-4.10620951458583,-3.6678174634523515,-3.8883050276447984,-3.4098304023116155,-3.861379895527387,85
-3.1733516127063988,-4.260619257703239,-4.165027812021377,-4.116039420450583,-3.652148135760656,-3.869969734057634,-3.432975866374317,-3.8789233941401102,86
-3.1531282537693652,-4.250969588358778,-4.182055332611678,-4.125072306920897,-3.6377492940980174,-3.853121085896456,-3.4542446711886905,-3.895044446919369,87
-3.1364737228800434,-4.2430228018398095,-4.196077996627222,-4.132511154602332,-3.6258914244934917,-3.839245728587251,-3.4717601575064108,-3.908320608031701,88
-3.12517243406229,-4.237630339559081,-4.205593375780626,-4.137558944100449,-3.6178450129761344,-3.8298303075560045,-3.483645666079149,-3.91732943164364,89
-3.1210088013399595,-4.235643642929339,-4.209099041784512,-4.1394186560208075,-3.6148805455750033,-3.8263614682287033,-3.488024537658579,-3.9206484719217225,90
-3.11853678733198,-4.225151566074555,-4.206443172985927,-4.138698717936299,-3.6148451381458035,-3.824870348475269,-3.493307836755336,-3.9269537216473465,91
-3.111827035024606,-4.196673071754427,-4.199234386246911,-4.136744600278348,-3.614749032266548,-3.820823023430233,-3.507648220017962,-3.9440679709026116,92
-3.101938978992686,-4.154704764335291,-4.188610911052571,-4.1338648479403135,-3.6146074025497494,-3.8148585444164955,-3.5287814164049895,-3.969288969805106,93
-3.0899320538110695,-4.103743248183484,-4.175710976888015,-4.1303680058155585,-3.6144354236079232,-3.807615962756958,-3.554443154874952,-3.9999144684724226,94
-3.0768656940546046,-4.0482851276653395,-4.1616728132383525,-4.126562618797442,-3.614248270053583,-3.7997343297745187,-3.582369164386381,-4.033242217022148,95
-3.0637993342981398,-3.9928270071471967,-4.147634649588689,-4.122757231779326,-3.6140611164992427,-3.7918526967920805,-3.6102951738978106,-4.066569965571874,96
-3.051792409116523,-3.9418654909953883,-4.134734715424133,-4.1192603896545705,-3.613889137557416,-3.7846101151325415,-3.635956912367773,-4.09719546423919,97
-3.041904353084604,-3.8998971835762526,-4.1241112402297935,-4.116380637316537,-3.6137475078406176,-3.7786456361188048,-3.6570901087548005,-4.122416463141686,98
-3.03519460077723,-3.8714186892561253,-4.116902453490777,-4.114426519658585,-3.613651401961362,-3.7745983110737686,-3.6714304920174263,-4.139530712396951,99
-3.03272258676925,-3.8609266124013413,-4.114246584692192,-4.1137065815740765,-3.613615994532162,-3.7731071913203342,-3.6767137911141834,-4.145835962122574,100
-3.0337237367659546,-3.850038541160566,-4.105850890822142,-4.105355709528872,-3.615866199921985,-3.7736451597383764,-3.6824561539620886,-4.14964623423152,101
-3.036441143899868,-3.8204852049356046,-4.0830625788891455,-4.082689056834746,-3.62197390026579,-3.775105359730205,-3.698042567406403,-4.159988401384372,102
-3.0404457438866865,-3.776932919972503,-4.049479803408942,-4.049285568653929,-3.6309747218250807,-3.777257233402374,-3.7210120187980236,-4.175229489820154,103
-3.0453084724421093,-3.7240480025173097,-4.008700718897267,-4.0087241901486514,-3.6419042908613637,-3.7798702228614363,-3.7489034954878493,-4.193736525777889,104
-3.050600265281834,-3.666496768816069,-3.9643234798698552,-3.9645838664811435,-3.6537982336361416,-3.782713770213945,-3.7792559848267766,-4.213876535496601,105
-3.055892058121559,-3.6089455351148283,-3.9199462408424433,-3.9204435428136346,-3.6656921764109196,-3.785557317566454,-3.8096084741657044,-4.2340165452153125,106
-3.060754786676982,-3.5560606176596345,-3.8791671563307677,-3.8798821643083574,-3.676621745447202,-3.7881703070255157,-3.8374999508555296,-4.2525235811730475,107
-3.0647593866638005,-3.512508332696534,-3.845584380850564,-3.84647867612754,-3.6856225670064933,-3.790322180697684,-3.8604694022471504,-4.267764669608829,108
