C1,C2,time
-6.882678615892843,-6.878982864425349,10
-6.7312923903714195,-6.683628835483245,11
-6.523136330279463,-6.415017045687864,12
-6.272402894259607,-6.091461935252524,13
-5.993284540954487,-5.731277944390548,14
-5.699973729006731,-5.352779513315252,15
-5.406662917058976,-4.9742810822399575,16
-5.127544563753856,-4.614097091377984,17
-4.876811127734001,-4.290541980942651,18
-4.668655067642045,-4.021930191147278,19
-4.517268842120622,-3.826576162205183,20
-4.406805073237152,-3.683747495223885,21
-4.311414211453568,-3.5598434738169784,22
-4.2302854580042615,-3.453876061956899,23
-4.162608014123629,-3.3648572236160814,24
-4.107571081046067,-3.2917989227669624,25
-4.064363860005966,-3.2337131233819756,26
-4.032175552237725,-3.1896117894335596,27
-4.010195358975739,-3.1585068848941478,28
-3.9976124814543996,-3.139410373736176,29
-3.9936161209081034,-3.1313342199320813,30
-3.9973954785712458,-3.1332903874542968,31
-4.008139755678221,-3.14429084027526,32
-4.025038153463425,-3.163347542367406,33
-4.047279873161252,-3.18947245770317,34
-4.074054116006097,-3.2216775502549884,35
-4.104550083232354,-3.258974783995296,36
-4.1379569760744195,-3.3003761228965294,37
-4.173463995766687,-3.3448935309311234,38
-4.210260343543552,-3.391538972071513,39
-4.24753522063941,-3.4393244102901344,40
-4.284477828288655,-3.4872618095594237,41
-4.320277367725684,-3.534363133851817,42
-4.354123040184888,-3.5796403471397484,43
-4.385204046900665,-3.622105413395653,44
-4.412709589107409,-3.660770296591969,45
-4.435828868039515,-3.6946469607011294,46
-4.453751084931377,-3.7227473696955715,47
-4.465665441017391,-3.74408348754773,48
-4.4707611375319525,-3.7576672782300404,49
-4.468227375709455,-3.7625107057149396,50
-4.4591596782821235,-3.762707849459772,51
-4.445988351362131,-3.7629942115416846,52
-4.4299047712538,-3.7633438898628166,53
-4.41210031426145,-3.763730982325306,54
-4.393766356689403,-3.7641295868312894,55
-4.376094274841979,-3.764513801282906,56
-4.360275445023496,-3.7648577235822933,57
-4.34750124353828,-3.7651354516315894,58
-4.338963046690646,-3.765321083332933,59
-4.33585223078492,-3.7653887165884607,60
-4.33066941249514,-3.765943772247389,61
-4.316601762851449,-3.7674503518930513,62
-4.2958704896923265,-3.769670574528765,63
-4.27069680085625,-3.772366559157846,64
-4.2433019041816955,-3.77530042478361,65
-4.215907007507141,-3.778234290409375,66
-4.190733318671064,-3.7809302750384557,67
-4.170002045511941,-3.7831504976741686,68
-4.155934395868251,-3.784657077319831,69
-4.15075157757847,-3.7852121329787596,70
-4.147856667401852,-3.785813566487523,71
-4.139999054065317,-3.787446028868452,72
-4.128419413358843,-3.7898517629035062,73
-4.114358421072413,-3.792773011374644,74
-4.0990567529960025,-3.795952017063822,75
-4.083755084919591,-3.7991310227530004,76
-4.06969409263316,-3.8020522712241376,77
-4.058114451926688,-3.804458005259191,78
-4.050256838590152,-3.8060904676401206,79
-4.047361928413534,-3.8066919011488842,80
-4.045529463421061,-3.809921304499938,81
-4.040555629870063,-3.818686827881369,82
-4.033225769900169,-3.8316044412855828,83
-4.024325225651015,-3.8472901147049865,84
-4.014639339262228,-3.864359818131984,85
-4.004953452873442,-3.881429521558981,86
-3.996052908624286,-3.8971151949783835,87
-3.988723048654394,-3.9100328083825984,88
-3.9837492151033955,-3.9187983317640294,89
-3.9819167501109227,-3.922027735115083,90
-3.975847982167633,-3.928202246429915,91
-3.959375612035847,-3.944961634284459,92
-3.9351005402626873,-3.969659679543786,93
-3.9056236673952816,-3.9996501630729706,94
-3.8735458939807503,-4.032286865737082,95
-3.84146812056622,-4.064923568401193,96
-3.8119912476988125,-4.0949140519303775,97
-3.7877161759256537,-4.119612097189705,98
-3.7712438057938678,-4.136371485044249,99
-3.765175037850578,-4.142545996359081,100
-3.7589797905233007,-4.146188165041498,101
-3.742164119206405,-4.156074051465201,102
-3.717383129897295,-4.1706427261948695,103
-3.687291928593377,-4.188333259795181,104
-3.654545621292053,-4.2075847228308145,105
-3.6217993139907296,-4.226836185866448,106
-3.591708112686811,-4.2445267194667595,107
-3.5669271233777016,-4.259095394196428,108
-3.550111452060806,-4.268981280620131,109
-3.5439162047335286,-4.272623449302548,110
-3.5440107780788637,-4.277048368371654,111
-3.54426747715906,-4.289058862987799,112
-3.5446457705404004,-4.306758539264222,113
-3.5451051267891716,-4.328251003314166,114
-3.5456050144716578,-4.351639861250868,115
-3.5461049021541435,-4.37502871918757,116
-3.5465642584029147,-4.396521183237514,117
-3.5469425517842557,-4.414220859513938,118
-3.5471992508644514,-4.426231354130082,119
-3.5472938242097865,-4.430656273199188,120
-3.5457456071345477,-4.4329049075702915,121
-3.5415433036446147,-4.439008343720428,122
-3.53535043534366,-4.448002881204841,123
-3.5278305238353584,-4.4589248195787725,124
-3.5196470907233826,-4.470810458397462,125
-3.511463657611407,-4.482696097216151,126
-3.5039437461031055,-4.493618035590082,127
-3.497750877802151,-4.5026125730744955,128
-3.4935485743122174,-4.508716009224632,129
-3.492000357236979,-4.510964643595736,130
-3.4933672766169117,-4.516494688828384,131
-3.4970774863624436,-4.531504811602717,132
-3.5025451638821745,-4.55362499253331,133
-3.5091844865847053,-4.580485212234746,134
-3.516409631878635,-4.609715451321602,135
-3.523634777172566,-4.638945690408458,136
-3.530274099875096,-4.665805910109893,137
-3.535741777394827,-4.687926091040487,138
-3.539451987140359,-4.7029362138148185,139
-3.5408189065202915,-4.708466259047467,140
-3.5440353416177897,-4.715032294278952,141
-3.5527656654538564,-4.732854389907269,142
-3.565631405843849,-4.7591185308332085,143
-3.5812540906031263,-4.791010701957565,144
-3.598255247547045,-4.8257168881811285,145
-3.6152564044909647,-4.860423074404693,146
-3.6308790892502416,-4.8923152455290495,147
-3.6437448296402346,-4.918579386454989,148
-3.652475153476301,-4.936401482083307,149
-3.655691588573799,-4.942967517314791,150
-3.6572146789146105,-4.9469438741839795,151
-3.6613487812682415,-4.957736842828918,152
-3.6674411426314864,-4.973642270305671,153
-3.6748390100011425,-4.992956003670299,154
-3.682889630374002,-5.013973889978865,155
-3.6909402507468623,-5.0349917762874306,156
-3.6983381181165176,-5.054305509652059,157
-3.704430479479763,-5.070210937128811,158
-3.708564581833394,-5.08100390577375,159
-3.7100876721742053,-5.084980262642938,160
-3.710759749028753,-2020987701.3617945,161
-3.7126043855018738,-7185734036.291987,162
-3.715364190457782,-14146913879.024916,163
-3.7187817727606953,-21557202098.710487,164
-3.7225997412748293,-28069273564.49866,165
-3.7265607048643985,-32335803145.538807,166
-3.7304072723936192,-33009465710.980537,167
-3.733882052726708,-28742936129.973747,168
-3.7367276547278787,-18188889271.668274,169
-3.7386866872613496,-5.213115327367394,170
