C1,C2,C3,C4,C5,C6,time
-5.8958177103664005,-6.9625526897252605,-6.768938264412908,-7,-7,-6.722696998215616,10
-5.820506042200584,-6.806897517485759,-6.619028976482907,-6.816283590831216,-6.80312546576231,-6.530865069077767,11
-5.716952498472587,-6.592871655656446,-6.412903705579158,-6.563673528224138,-6.532422981185487,-6.2670961665132285,12
-5.592217548072954,-6.33506777663477,-6.164616447445092,-6.2593932255383375,-6.206349533854311,-5.949374533878672,13
-5.45336165989223,-6.04807855281819,-5.888221197824153,-5.920666096133393,-5.843362111353572,-5.595684414530772,14
-5.307445302820961,-5.746496656604154,-5.597771952459777,-5.564715553368872,-5.461917701268046,-5.224010051826199,15
-5.161528945749692,-5.444914760390119,-5.307322707095399,-5.208765010604353,-5.080473291182522,-4.852335689121626,16
-5.0226730575689675,-5.157925536573536,-5.030927457474459,-4.870037881199406,-4.717485868681781,-4.498645569773726,17
-4.8979381071693355,-4.900121657551861,-4.7826401993403955,-4.565757578513607,-4.391412421350607,-4.1809239371391715,18
-4.794384563441338,-4.6860957957225455,-4.5765149284366435,-4.313147515906529,-4.120709936773784,-3.9171550345746344,19
-4.719072895275521,-4.530440623483043,-4.426605640506642,-4.129431106737744,-3.923835402536093,-3.7253231054367877,20
-4.664579517074641,-4.416686643307763,-4.317074915408899,-3.9951973384641413,-3.779877906535439,-3.585136873115325,21
-4.618445764728416,-4.318105863071322,-4.2221763393469045,-3.87892150434522,-3.6549618797093126,-3.4636618804947794,22
-4.5801794893578425,-4.233903213271483,-4.141100417581566,-3.7796564764444693,-3.5480973242018736,-3.3599176001740805,23
-4.549288542083911,-4.16328362440601,-4.0730376553737955,-3.6964551268253807,-3.458294242157285,-3.2729235047521574,24
-4.5252807740276175,-4.105452026972668,-4.0171785579845,-3.628370327551444,-3.38456263571971,-3.201699066827943,25
-4.507664036309953,-4.05961335146922,-3.972713630674587,-3.5744549506861487,-3.3259125070333093,-3.145263759000364,26
-4.495946180051915,-4.024972528393429,-3.938833378704968,-3.533761868292987,-3.2813538582422472,-3.102637053868353,27
-4.4896350563744925,-4.0007344882430615,-3.914728307336552,-3.505343952435449,-3.2498966914906857,-3.072838424030839,28
-4.488238516398682,-3.9861041615158768,-3.8995889218302464,-3.4882540751770224,-3.2305510089227853,-3.0548873420867517,29
-4.491264411245477,-3.980286478709642,-3.892605727446961,-3.4815451085812006,-3.2223268126827103,-3.047803280635022,30
-4.49822059203587,-3.982486370322122,-3.892969229447605,-3.484269924711473,-3.2242341049146215,-3.0506057122745798,31
-4.508614909890855,-3.9919087668510764,-3.899869933093087,-3.4954813956313306,-3.2352828877626822,-3.0623141096043542,32
