C1,C2,C3,time
-6.91360109618086,-6.2704330494029374,-6.711563087199237,10
-6.758307295699396,-6.11045132207507,-6.523836047624061,11
-6.544778320037384,-5.890476446999252,-6.265711368208197,12
-6.287572962989959,-5.625506711112472,-5.954788458911813,13
-6.001250018352261,-5.330540401351716,-5.608666729695088,14
-5.700368279919425,-5.020575804653974,-5.244945590518187,15
-5.3994865414865885,-4.71061120795623,-4.881224451341286,16
-5.11316359684889,-4.415644898195475,-4.535102722124558,17
-4.855958239801468,-4.150675162308695,-4.224179812828173,18
-4.642429264139455,-3.930700287232878,-3.9660551334123055,19
-4.487135463657993,-3.77071855990501,-3.7783280938371253,20
-4.373667357096552,-3.653417244932363,-3.6411364035395146,21
-4.2753781624412674,-3.5509860712176993,-3.5222442421304576,22
-4.191470722357279,-3.4626770221412393,-3.420690724831281,23
-4.1211478795097225,-3.387742081083209,-3.335514966863311,24
-4.063612476563738,-3.3254332314238306,-3.2657560834478767,25
-4.018067356184458,-3.2750024565433273,-3.2104531898063033,26
-3.983715361037024,-3.2357017398219234,-3.1686454011599205,27
-3.9597593337865713,-3.2067830646398425,-3.1393718327300535,28
-3.9454021170982374,-3.1874984143773073,-3.1216715997380295,29
-3.93984655363716,-3.1770997724145413,-3.114583817405177,30
-3.9422954860684754,-3.174839122131768,-3.1171476009528223,31
-3.9519517570573215,-3.179968446909211,-3.128402065602293,32
-3.9680182092688367,-3.1917397301270944,-3.147386326574917,33
-3.9896976853681565,-3.2094049551656405,-3.1731394990920196,34
-4.016193028020419,-3.2322161054050733,-3.2047006983749298,35
-4.04670707989076,-3.259425164225616,-3.2411090396449733,36
-4.0804426836443195,-3.290284115007493,-3.2814036381234795,37
-4.116602681946232,-3.3240449411309263,-3.3246236090317733,38
-4.154389917461637,-3.3599596259761406,-3.3698080675911832,39
-4.1930072328556705,-3.397280152923358,-3.415996129023036,40
-4.23165747079347,-3.4352585053528033,-3.4622269085486588,41
-4.269543473940175,-3.4731466666447,-3.5075395213893805,42
-4.305868084960918,-3.5101966201792703,-3.5509730827665256,43
-4.339834146520839,-3.545660349336738,-3.5915667079014226,44
-4.370644501285076,-3.5787898374973275,-3.6283595120153995,45
-4.397501991918764,-3.608837068041261,-3.6603906103297823,46
-4.419609461087042,-3.6350540243487632,-3.6866991180658983,47
-4.436169751455048,-3.6566926898000562,-3.7063241504450755,48
-4.446385705687918,-3.6730050477753644,-3.7183048226886406,49
-4.449460166450789,-3.6832430816549113,-3.721680250017921,50
-4.448416219486053,-3.6927666818079294,-3.719971188643822,51
-4.44689982936939,-3.7066002323951586,-3.717488683436186,52
-4.445048157015878,-3.723492457484088,-3.714457282604753,53
-4.442998363340592,-3.7421920811422034,-3.711101534359255,54
-4.4408876092586045,-3.7614478274369905,-3.7076459869094287,55
-4.4388530556849926,-3.7800084204359377,-3.7043151884650123,56
-4.43703186353483,-3.7966225842065304,-3.7013336872357403,57
-4.435561193723192,-3.810039042816256,-3.698926031431349,58
-4.4345782071651545,-3.819006520332601,-3.697316769261574,59
-4.434220064775792,-3.8222737408230523,-3.6967304489361523,60
-4.4343391955860705,-3.8211715915859545,-3.6975919313589922,61
-4.434662550642539,-3.818180043656689,-3.6999302407924137,62
-4.435139073883652,-3.8137714467082975,-3.703376170483773,63
-4.43571770924786,-3.8084181504138224,-3.7075605136804235,64
-4.436347400673616,-3.8025925044463054,-3.712114063629719,65
-4.436977092099372,-3.7967668584787884,-3.7166676135790144,66
-4.43755572746358,-3.7914135621843132,-3.7208519567756646,67
-4.438032250704692,-3.787004965235922,-3.7242978864670233,68
-4.438355605761162,-3.7840134173066566,-3.7266361959004457,69
-4.43847473657144,-3.7829112680695585,-3.727497678323285,70
-4.43724112380855,-3.783218913072951,-3.728231565830061,71
-4.433892746309279,-3.7840539495107315,-3.7302235462055946,72
-4.428958295257724,-3.7852845295243025,-3.7331590962326975,73
-4.4229664618379765,-3.786778805255068,-3.73672369269418,74
