C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,time
-4.10505711106895,-4.129094209882078,-4.326951459068394,-3.8600211259266017,-4.296061618639058,-3.8474739391283346,-4.317882636234218,-3.7917752161385554,-3.872002683086037,-4.122738476285114,-6.482213205475623,-3.888408878244179,-3.8605712965237693,-4.009509770922228,-3.8490079095779333,-4.35174485461272,10
-4.112667060847123,-4.1458205748911565,-4.339650028770411,-3.8607201401261224,-4.338780591265815,-3.8490167101786885,-4.3224190441085275,-3.8070059034642196,-3.8784605189990464,-4.139319889294793,-6.342954750182764,-3.886960602922717,-3.8601534021248636,-4.01785454301223,-3.8567685687523925,-4.314628081017072,11
-4.123130741792109,-4.168819326778638,-4.357110562110684,-3.861681284650463,-4.397519178627607,-3.851138020372925,-4.328656604935703,-3.827948098537008,-3.8873400433794347,-4.162119332183103,-6.151474374155084,-3.8849692243557072,-3.859578797326375,-4.02932860463598,-3.867439475117275,-4.263592517323055,12
-4.135734721112207,-4.196522368824923,-4.378142568179649,-3.862839026918418,-4.4682724770406725,-3.853693234925073,-4.336170030477527,-3.853173924420138,-3.8980358341103565,-4.189582297480384,-5.920827557576285,-3.8825705183545356,-3.8588866597281974,-4.043149633410045,-3.8802930668749727,-4.202117861055262,13
-4.149765566015711,-4.227361604310411,-4.401555556067742,-3.8641278343487833,-4.547035582821256,-3.8565377190491623,-4.344534032495785,-3.8812555041768313,-3.909942469074968,-4.220154277716981,-5.664069780630076,-3.87990026073059,-3.858116166930228,-4.058535306950985,-3.8946017822278827,-4.133683809738285,14
-4.16450984371092,-4.259768936515499,-4.4261590348654,-3.865482174360354,-4.629803592285598,-3.8595268379592227,-4.35332332275226,-3.910764960870305,-3.922454526156424,-4.252280765423235,-5.394256523500161,-3.8770942272952578,-3.857306496532365,-4.074703302875362,-3.909638059378398,-4.061770060896716,15
-4.179254121406128,-4.292176268720588,-4.450762513663057,-3.8668365143719243,-4.71257160174994,-3.862515956869283,-4.362112613008733,-3.9402744175637787,-3.93496658323788,-4.28440725312949,-5.124443266370246,-3.874288193859925,-3.8564968261345025,-4.090871298799739,-3.924674336528913,-3.9898563120551467,16
-4.193284966309633,-4.323015504206077,-4.474175501551151,-3.86812532180229,-4.791334707530525,-3.8653604409933733,-4.370476615026991,-3.9683559973204723,-3.9468732182024917,-4.314979233366087,-4.867685489424037,-3.87161793623598,-3.855726333336537,-4.106256972340678,-3.9389830518818227,-3.92142226073817,17
-4.205888945629731,-4.350718546252361,-4.495207507620116,-3.869283064070246,-4.8620880059435905,-3.867915655545522,-4.377990040568816,-3.9935818232036033,-3.957569008933414,-4.342442198663369,-4.6370386728452395,-3.869219230234809,-3.855034195738365,-4.120078001114742,-3.951836643639522,-3.859947604470377,18
-4.216352626574716,-4.373717298139843,-4.5126680409603885,-3.8702442085945856,-4.920826593305382,-3.8700369657397573,-4.384227601395992,-4.014524018276391,-3.9664485333138013,-4.365241641551678,-4.445558296817558,-3.8672278516677987,-3.854459590939883,-4.1315520627384945,-3.962507550004403,-3.8089120407763604,19
-4.223962576352889,-4.390443663148921,-4.525366610662405,-3.8709432227941063,-4.963545565932138,-3.8715797367901112,-4.388764009270301,-4.029754705602055,-3.972906369226811,-4.381823054561357,-4.306299841524699,-3.8657795763463367,-3.854041696540987,-4.1398968348284955,-3.9702682091788626,-3.7717952671807113,20
-4.230965993924192,-4.403341807023156,-4.535310533743601,-3.871133576629996,-4.989161028275075,-3.873222348681321,-4.390313987648058,-4.039257010968101,-3.977041370824808,-4.392692763343182,-4.201687865869667,-3.86460124791408,-3.85294832582128,-4.145860252949001,-3.975595991769493,-3.745040758302287,21
-4.239961405249789,-4.415886921574069,-4.545270840106363,-3.870645308717485,-4.999926066379552,-3.875696672142758,-4.388061568222738,-4.044173142910173,-3.9794341941536033,-4.39956441414778,-4.105239643712947,-3.863339142071834,-3.8503960134517827,-4.150758462598297,-3.979508637437043,-3.7226013869061845,22
-4.250762368039803,-4.428057449184,-4.555202608168552,-3.869527739456429,-4.99684124895303,-3.8789383085053983,-4.382285425111863,-4.0448138486136855,-3.9802021199365174,-4.40269448040526,-4.01664972767446,-3.8620081827167114,-3.8464970191195147,-4.154661456293983,-3.982089137965139,-3.7042209477363532,23
-4.263182440004356,-4.439831832235294,-4.565060916348034,-3.8678301892466864,-4.98090714470297,-3.882882859100224,-4.37326423243296,-4.041489875264058,-3.979462428896876,-4.402339435545743,-3.935612670374127,-3.860623293745823,-3.8413636025115006,-4.1576392265536635,-3.98342048513741,-3.689643235536745,24
-4.2770351788535725,-4.4511885131102895,-4.574800843062668,-3.8656019784881117,-4.953124322336834,-3.887465925258209,-4.361276664303551,-4.034511970046711,-3.977332401757998,-4.39875575299934,-3.861823024431871,-3.8591993990562807,-3.8351080233147608,-4.159761765894941,-3.983585670737482,-3.6786120450513127,25
-4.292134142297574,-4.462105934191326,-4.584377466730317,-3.8628924275805607,-4.914493350562082,-3.8926231083103326,-4.34660139484116,-4.024190880147058,-3.9739293192432066,-4.392199906196165,-3.794975342467612,-3.8577514225451943,-3.827842541216317,-4.161099066835418,-3.982667686548982,-3.6708711710240043,26
-4.308292888046483,-4.47256253786075,-4.593745865768847,-3.859750856923891,-4.866014798086177,-3.8982900095875745,-4.329517098163315,-4.010837352750522,-3.9693704620758252,-4.382928368566336,-3.7347641771012734,-3.856294288109677,-3.819679415903193,-4.1617211218927,-3.980749524355539,-3.6661644081987745,27
-4.3253249738104245,-4.482536766500895,-4.602861118596118,-3.856226586917958,-4.80868923361658,-3.9044022304209105,-4.310302448387535,-3.9947621350425195,-3.9637731109791736,-4.371197613539967,-3.680884080952777,-3.8548429196468397,-3.810730907062409,-4.16169792358439,-3.97791417594078,-3.6642355513195723,28
-4.343043957299519,-4.492007062494109,-4.611678303629992,-3.852368937962618,-4.743517225860751,-3.91089537214132,-4.289236119631347,-3.9762759742084683,-3.9572545466765763,-4.357264114547171,-3.6330296066420424,-3.8534122410537934,-3.801109274380987,-4.161099464428088,-3.9742446330883308,-3.6648283951303497,29
-4.36126339622389,-4.500951868222728,-4.6201524992883325,-3.848227230457728,-4.671499343526152,-3.9177050360797803,-4.2665967860122755,-3.9556896174337877,-3.9499320498913533,-4.3413843450180645,-3.590895306788994,-3.85201717622765,-3.7909267775459505,-4.159995736941401,-3.9698238875818204,-3.6676867343750583,30
-4.379796848293663,-4.509349626069096,-4.628238783989002,-3.8438507848031436,-4.593636155320245,-3.9247668235672695,-4.242663121647844,-3.9333138119038957,-3.941922901346828,-4.323814778382761,-3.5541757340135525,-3.8506726490655208,-3.78029567624432,-4.158456733641929,-3.964734931204875,-3.672554363797649,31
-4.398457871218955,-4.517178778415553,-4.6358922361498625,-3.8392889213987202,-4.510928229950489,-3.932016335934765,-4.217713800655575,-3.9094593048042094,-3.9333443817663225,-4.3048118880713755,-3.522565440935637,-3.8493935834645163,-3.7693282301631172,-4.156552447047275,-3.9590607557411226,-3.679175078142073,32
-4.4170600227098955,-4.524417767644442,-4.64306793418878,-3.834590960644317,-4.424376136124349,-3.9393891745132468,-4.192027497152999,-3.8844368433201497,-3.9243137718731598,-4.284632147514025,-3.4957589801751747,-3.84819490332175,-3.7581366989893668,-4.154352869675047,-3.9528843529741917,-3.6872926721522834,33
-4.435416860476604,-4.531045036138102,-4.649720956523613,-3.829806222939787,-4.334980442549283,-3.946820940633691,-4.165882885257632,-3.858557174637133,-3.91494835239066,-4.263532030140821,-3.4734509043520836,-3.8470915325343316,-3.746833342410088,-4.151927994042842,-3.9462887146877077,-3.696650940572229,34
-4.453341942229202,-4.5370390262788725,-4.655806381572224,-3.8249840286849883,-4.243741717932754,-3.9542472356270757,-4.139558639087003,-3.832131045940578,-3.905365404042147,-4.2417680093818815,-3.455335766086286,-3.8460983949993732,-3.7355304201123025,-4.1493478126682675,-3.9393568326652986,-3.7069936781458614,35
-4.470648825677816,-4.542378180449098,-4.661279287752478,-3.8201736982797763,-4.151660530982221,-3.9616036608243803,-4.113333432758636,-3.8054692044159033,-3.895682207550942,-4.219596558667319,-3.441108117997704,-3.845230414613986,-3.7243401917830345,-4.146682318068923,-3.9321716986905924,-3.7180646796171324,36
-4.487151068532565,-4.547040941031119,-4.666094753482238,-3.815424552124008,-4.059737450405149,-3.968825817556582,-4.087485940390055,-3.7788823972485273,-3.8860160436403683,-4.197274151427249,-3.4304625127062596,-3.8445025152752823,-3.7133749171093045,-4.144001502762416,-3.924816304547216,-3.7296077397299943,37
-4.502662228503576,-4.551005750407274,-4.670207857179364,-3.8107859106175392,-3.9689730449089966,-3.975849307154658,-4.062294836098783,-3.752681371623867,-3.8764841930337464,-4.175057261091786,-3.423093502831874,-3.8439296208803713,-3.7027468557781344,-4.141375359266346,-3.917373642018797,-3.741366653228396,38
-4.516995863300969,-4.554251050959907,-4.67357367726172,-3.806307094160226,-3.880367883201225,-3.9826097309495867,-4.038038794002344,-3.7271768747273435,-3.8672039364543997,-4.153202361091045,-3.4186956409944687,-3.8435266553263663,-3.6925682674765468,-4.138873880098318,-3.9099267028889617,-3.7530852148562914,39
-4.529965530634867,-4.556755285071358,-4.676147292147169,-3.802037423151925,-3.7949225339892982,-3.9890426902723473,-4.014996488218264,-3.7026796537443727,-3.85829255462565,-4.131965924855142,-3.416963479813966,-3.8433085425103783,-3.682951411891564,-4.136567057775934,-3.902558478941339,-3.76450721935763,40
-4.541384788215394,-4.558496895123968,-4.6778837802535715,-3.798026217992492,-3.713637565980674,-3.995083786453917,-3.993446592864066,-3.679500455860374,-3.8498673282708196,-4.111604425814189,-3.4175915719102883,-3.8432902063295193,-3.6740085487102063,-4.1345248848167975,-3.895351961959556,-3.775376461476364,41
-4.551067193752672,-4.559454323500078,-4.678738219998794,-3.794322799081785,-3.6375135478828153,-4.000668620825274,-3.9736677820572757,-3.6579500282607658,-3.842045538113231,-4.092374337398304,-3.4202744699033567,-3.8434865706809003,-3.665851937619498,-4.1328173537385124,-3.8883901437272397,-3.7854367359564445,42
-4.558826304956824,-4.559606012582028,-4.678665689800695,-3.790976486819657,-3.5675510484031827,-4.005732794717395,-3.955938729915415,-3.6383391181309643,-3.8349444648762048,-4.074532133037599,-3.424706726413092,-3.8439125594616317,-3.658593838306459,-4.13151445705868,-3.8817560160280156,-3.7944318375418216,43
-4.564475679537973,-4.558930404752162,-4.67762126807714,-3.7880366016059677,-3.504750636249239,-4.010211909461259,-3.94053811055601,-3.6209784726563914,-3.8286813892830645,-4.058334286162191,-3.430582894059417,-3.8445830965688255,-3.6523465104581128,-4.130686187294906,-3.8755325706455146,-3.802105560976448,44
-4.567828875206243,-4.557405942392819,-4.675560033245991,-3.7855524638405713,-3.4501128801284455,-4.014041566387847,-3.9277445980965844,-3.606178839022464,-3.8233735920571332,-4.044037270202194,-3.437597525462253,-3.8455131058995944,-3.6472222137614807,-4.130402536964792,-3.869802799363362,-3.8082017010042755,45
-4.568699449671755,-4.55501106788634,-4.672437063725108,-3.7835733939233247,-3.4046383487482608,-4.01715736682813,-3.917836866654662,-3.5942509644145986,-3.8191383539217307,-4.0318975585877235,-3.4454451732415223,-3.846717511351048,-3.643333207903584,-4.130733498585941,-3.8646496939651858,-3.8124640523692537,46
-4.566900960644632,-4.551724223615066,-4.668207437932359,-3.782148712254083,-3.3693276108161476,-4.0194949121130925,-3.9110935903477677,-3.5855055960182156,-3.81609295560018,-4.022171624748892,-3.453820390017146,-3.848211236820299,-3.6407917525714453,-4.131749064675956,-3.8601562462346126,-3.8146364098153347,47
-4.562246965834999,-4.547523851961339,-4.6628262342856,-3.781327739232705,-3.345181235039568,-4.020989803573709,-3.9077934432934245,-3.5802534810187328,-3.8143546778158046,-4.015115942115816,-3.4624177284090467,-3.850009206204458,-3.6397101074520863,-4.1335192277524415,-3.8564054479552703,-3.814462568086469,48
-4.5545510229529755,-4.5423883953075,-4.656248531202698,-3.7811597952590446,-3.3331997901259833,-4.02157764254096,-3.9082150996091585,-3.5788053666015687,-3.8140408012919256,-4.0109869841186105,-3.4709317410371456,-3.8521263434006374,-3.64020053223253,-4.136113980333,-3.853480290910787,-3.8116863219266097,49
-4.543626689708688,-4.53629629603589,-4.648429407101515,-3.7816942007329595,-3.3343838447828538,-4.021194030345821,-3.912637233412493,-3.581471999952141,-3.8152686067518653,-4.010041224187391,-3.4790569805213645,-3.8545775723059474,-3.6423752865997976,-4.139603314935234,-3.8514637668847884,-3.806051466079707,50
-4.526363763786818,-4.5272849751952124,-4.636846319496196,-3.782929968586412,-3.345481293244936,-4.019973628866725,-3.9215631449824038,-3.5880857977446663,-3.8180603105878825,-4.011043146623237,-3.489782761374284,-3.8581714239733254,-3.646559731106999,-4.145028455274848,-3.8493614421680236,-3.7962565655335627,51
-4.501288418834611,-4.514195538353645,-4.620021250638833,-3.7847249890450767,-3.36160094466066,-4.018200928908037,-3.934528520182492,-3.597692701107531,-3.8221154132401987,-4.012498493811073,-3.505362545240933,-3.863391690263895,-3.652637865829133,-4.1529087686148705,-3.8463077004261526,-3.7820289362731048,52
-4.470668776506038,-4.498211954672736,-4.599476066054215,-3.7869168984493764,-3.381284740108003,-4.0160362751896415,-3.950360611507224,-3.6094237439074117,-3.827067121504083,-4.014275626306771,-3.524387105439907,-3.869766186287054,-3.660059909736059,-4.162531462793893,-3.8425787595051752,-3.7646554995379735,53
-4.436772958455066,-4.480518193314033,-4.576732631267127,-3.7893433331397324,-3.403074620664938,-4.013640012431415,-3.967886671451062,-3.6224099600109825,-3.832548642174802,-4.016242904666208,-3.5454472152898,-3.8768227271521973,-3.668276081797634,-4.173183745650507,-3.8384508372510884,-3.745423176567807,54
-4.4018690863356635,-4.462298223439087,-4.553312811802356,-3.791841929456567,-3.4255125274094382,-4.011172485353242,-3.9859339525084714,-3.6357823832849188,-3.8381931820476236,-4.018268689445255,-3.567133648109206,-3.884089127968719,-3.676736600983716,-4.184152825023303,-3.8342001515098914,-3.7256188886022454,55
-4.368225281801799,-4.444736014209445,-4.530738473184688,-3.7942503237403034,-3.4471404014194817,-4.008794038675004,-4.003329707173918,-3.6486720475958982,-3.8436339479178177,-4.020221341199788,-3.5880371772167208,-3.891093203846017,-3.684891686264163,-4.194725908750871,-3.8301029201275822,-3.7065295568809282,56
-4.338109666507441,-4.429015534786658,-4.510531480938912,-3.796406152331363,-3.4665001837730407,-4.006665017116579,-4.0189011879418635,-3.6602099868105955,-3.84850414658065,-4.02196922048568,-3.6067485759309372,-3.8973627698934856,-3.692191556608832,-4.204190204671803,-3.82643536095016,-3.6894421026434943,57
-4.313790362106557,-4.416320754332273,-4.494213700589811,-3.7981470515701687,-3.48213381554809,-4.004945765397852,-4.031475647306773,-3.6695272347956847,-3.852436984831389,-4.023380687858808,-3.6218586175704512,-3.9024256412205207,-3.6980864309875816,-4.21183292062469,-3.823473691823622,-3.6756434471295827,58
-4.297535490253117,-4.407835642007839,-4.483306997662175,-3.7993106577971423,-3.492583237822605,-4.003796628238702,-4.039880337763112,-3.6757548254178434,-3.8550656694653025,-4.024324103875042,-3.6319580754538574,-3.9058096329365193,-3.7020265283702685,-4.2169412644481215,-3.821494130593967,-3.6664205115788335,59
-4.291613172601088,-4.404744166974906,-4.4793332376807875,-3.7997346073527063,-3.4963903916745602,-4.003377950359013,-4.042942511805344,-3.6780237925437462,-3.8560234072776587,-4.0246678290902596,-3.635637722899749,-3.9070425601508747,-3.7034620677267513,-4.21880244398069,-3.8207728951071935,-3.6630602172308864,60
-4.287995602720758,-4.40670686207837,-4.483829460696077,-3.800992059598727,-3.4985254514833426,-4.003290856932077,-4.0443991687907,-3.677697465388233,-3.857369617362698,-4.026417843451882,-3.6359091406423616,-3.9056288915499042,-3.704326110852452,-4.217922814204479,-3.8232422410675238,-3.664638192300514,61
-4.278176484474148,-4.412034177359202,-4.4960334945947205,-3.804405144266497,-3.5043206138214664,-4.003054460487535,-4.048352952036665,-3.6768117202518398,-3.8610236161649465,-4.031167882433427,-3.6366458459437387,-3.9017917910615547,-3.706671370765068,-4.215535247669047,-3.8299447515312774,-3.6689212674895018,62
-4.263706204952828,-4.41988495777306,-4.514018386655879,-3.8094349532505793,-3.5128608530565963,-4.002706086779789,-4.054179579978087,-3.6755064116297866,-3.8664084565051033,-4.038167939879913,-3.6377315169141893,-3.8961371166576706,-3.710127543267871,-4.212016728564201,-3.8398221353725983,-3.67523316776801,63
-4.246135151248369,-4.429418048275602,-4.535857184158715,-3.8155425784455366,-3.523231143556397,-4.00228306156324,-4.061254771049816,-3.673921394017295,-3.872947191203865,-4.046668009636363,-3.639049831664022,-3.889270726310099,-3.7143243241641324,-4.207744241079746,-3.851816101465632,-3.6828976181061996,64
-4.227013710452339,-4.439792293822485,-4.559622934382388,-3.822189111745931,-3.534516459688533,-4.00182271059229,-4.0689542436866954,-3.672196521909582,-3.8800628730819287,-4.055918085547793,-3.640484468303546,-3.8817984779906816,-3.7188914092571217,-4.203094769405485,-3.86486835868452,-3.691238343474229,65
-4.20789226965631,-4.450166539369369,-4.583388684606063,-3.8288356450463255,-3.545801775820669,-4.00136235962134,-4.076653716323575,-3.6704716498018692,-3.887178554959993,-4.065168161459223,-3.64191910494307,-3.874326229671264,-3.723458494350111,-4.198445297731226,-3.8779206159034088,-3.699579068842258,66
