C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,time
-4.105057111068948,-4.090395776773134,-4.059583770868833,-4.326951459068392,-3.805593534731581,-4.323216370989941,-4.316742949542706,-4.116537717721006,-3.8203915628582434,-4.1227384762851145,-3.8673576025139402,-6.4822132054756185,-4.009509770922227,10
-4.112667060847121,-4.106076163728904,-4.089411580366189,-4.339650028770409,-3.8088276838348962,-4.325060667179951,-4.375041650898966,-4.151897340377712,-3.8318872361083054,-4.139319889294794,1025035967.3063118,-6.342954750182759,-4.017854543012229,11
-4.1231307417921075,-4.127636695793088,-4.1304248184250545,-4.357110562110683,-3.8132746388519547,-4.327596574441213,-4.455202365263823,-4.200516821530682,-3.8476937868271404,-4.162119332183104,3644572338.0825224,-6.151474374155079,-4.029328604635981,12
-4.135734721112205,-4.153607336688582,-4.17982712790505,-4.378142568179648,-3.8186311983043204,-4.330651190005915,-4.551759589385127,-4.259081196555849,-3.8667334956475554,-4.189582297480384,7175251794.345923,-5.92082755757628,-4.043149633410044,13
-4.149765566015709,-4.182518050138284,-4.2348221516658,-4.40155555606774,-3.8245941607135574,-4.334051611106243,-4.659247820010731,-4.324275500829149,-3.8879286432023568,-4.220154277716981,10933717021.98114,-5.664069780630072,-4.058535306950984,14
-4.164509843710919,-4.212898799865089,-4.292613532566929,-4.426159034865398,-3.8308603246012307,-4.337624934974386,-4.772201553888484,-4.392784769726516,-3.9102015101243515,-4.252280765423235,14236610706.872828,-5.394256523500157,-4.074703302875362,15
-4.179254121406128,-4.243279549591894,-4.350404913468056,-4.450762513663055,-3.837126488488904,-4.341198258842527,-4.885155287766237,-4.461294038623882,-3.932474377046346,-4.284407253129489,16400575534.905617,-5.124443266370243,-4.0908712987997395,16
-4.1932849663096325,-4.272190263041595,-4.405399937228807,-4.47417550155115,-3.8430894508981415,-4.344598679942856,-4.99264351839184,-4.526488342897182,-3.9536695246011484,-4.314979233366085,16742254191.96414,-4.8676854894240345,-4.106256972340679,17
-4.20588894562973,-4.298160903937089,-4.454802246708803,-4.495207507620115,-3.848446010350507,-4.347653295507558,-5.089200742513145,-4.585052717922352,-3.972709233421563,-4.342442198663367,14578289363.933046,-4.637038672845236,-4.120078001114743,18
-4.216352626574716,-4.319721436001275,-4.495815484767668,-4.512668040960388,-3.852892965367565,-4.350189202768822,-5.1693614568780015,-4.6336721990753205,-3.988515784140397,-4.365241641551676,9225323736.69698,-4.4455582968175555,-4.131552062738495,19
-4.223962576352889,-4.335401822957044,-4.5256432942650235,-4.525366610662404,-3.8561271144708806,-4.352033498958829,-5.2276601582342614,-4.669031821732026,-4.000011457390459,-4.381823054561355,-3.859446015902628,-4.306299841524696,-4.139896834828496,20
-4.230965993924192,-4.347638333954624,-4.547371467500304,-4.5353105337436,-3.8588722359485437,-4.351904810567333,-5.263868894168398,-4.6907401611752535,-4.007426501368797,-4.39269276334318,-10642657432.950726,-4.201687865869665,-4.145860252949002,21
-4.239961405249789,-4.359818742833908,-4.566029171926934,-4.545270840106362,-3.862030348701024,-4.348783820857069,-5.28219560372928,-4.701136886537284,-4.011840890173607,-4.399564414147778,-19842671643.3527,-4.105239643712944,-4.150758462598298,22
-4.250762368039803,-4.371900270352296,-4.581735113135514,-4.5552026081685515,-3.865565612168452,-4.3428907122197,-5.283828620858339,-4.701003673968284,-4.013451493289411,-4.402694480405258,-27675971225.522694,-4.016649727674457,-4.154661456293984,23
-4.263182440004356,-4.3838401372671925,-4.594607996716654,-4.565060916348033,-3.869442185790962,-4.334445667046893,-5.269956279497015,-4.69112219961843,-4.012455180200733,-4.402339435545741,-34218484769.918198,-3.935612670374124,-4.1576392265536635,24
-4.2770351788535725,-4.395595564335998,-4.6047665282609564,-4.574800843062667,-3.8736242290086835,-4.323668867730316,-5.241766913586743,-4.672274139637889,-4.009048820392095,-4.398755752999338,-39546140866.99643,-3.861823024431868,-4.159761765894942,25
-4.292134142297574,-4.407123772316114,-4.612329413359026,-4.5843774667303165,-3.878075901261747,-4.310780496661632,-5.200448857068958,-4.645241170176831,-4.0034292833480185,-4.392199906196164,-43734868107.21484,-3.794975342467609,-4.161099066835419,26
-4.308292888046483,-4.418381981964942,-4.617415357601472,-4.593745865768847,-3.882761361990288,-4.29600073623251,-5.1471904438851,-4.6108049673854294,-3.995793438553029,-4.3829283685663345,-46860595081.0308,-3.734764177101271,-4.161721121892701,27
-4.3253249738104245,-4.429327414039884,-4.620143066578896,-4.602861118596117,-3.887644770634434,-4.279549768834616,-5.0831800079766,-4.569747207413854,-3.9863381554916475,-4.371197613539966,-48999250378.90161,-3.680884080952774,-4.1616979235843905,28
-4.343043957299519,-4.439917289298341,-4.6206312458819045,-4.611678303629991,-3.8926902866343185,-4.261647776859613,-5.009605883284898,-4.522849566412274,-3.975260303648398,-4.35726411454717,-50226762591.284706,-3.6330296066420402,-4.161099464428089,29
-4.36126339622389,-4.450108828497717,-4.6189986011011035,-4.620152499288331,-3.8978620694300723,-4.242514942699171,-4.927656403751431,-4.4708937205308645,-3.962756752507802,-4.341384345018063,-50619060308.63741,-3.5908953067889913,-4.159995736941401,30
