C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,time
-4.105057111068947,-4.093216509467825,-4.129164901720538,-4.326951459068395,-3.805593534731581,-4.31674294954271,-4.116537717721004,-4.166363070956084,-3.8523038255886637,-4.146636624565386,-3.86751330664719,-6.4822132054756185,10
-4.11266706084712,-4.118707558156069,-4.141129200619251,-4.339650028770412,-3.8088276838348962,-4.37504165089897,-4.15189734037771,-4.171457605096089,-3.861531024411602,-4.164629354839356,-3.8667279750080636,-6.342954750182759,11
-4.123130741792107,-4.153757750102403,-4.157580111604982,-4.357110562110685,-3.8132746388519547,-4.455202365263827,-4.200516821530679,-4.178462589538596,-3.8742184227931418,-4.189369358966064,-3.865648144004274,-6.151474374155079,12
-4.135734721112204,-4.195977299492306,-4.177395981655978,-4.3781425681796495,-3.8186311983043195,-4.551759589385132,-4.259081196555847,-4.186900411707979,-3.8895009708436326,-4.219169818482326,-3.8643474384769867,-5.92082755757628,13
-4.1497655660157085,-4.242976420511255,-4.1994551577504815,-4.401555556067743,-3.824594160713557,-4.659247820010736,-4.324275500829148,-4.196293459028613,-3.9065136186734253,-4.252343914924958,-3.8628994832673675,-5.664069780630073,14
-4.164509843710917,-4.292365327344726,-4.22263598686674,-4.4261590348654,-3.83086032460123,-4.77220155388849,-4.392784769726516,-4.206164118924874,-3.9243913163928674,-4.287204829830774,-3.8613779032165843,-5.394256523500158,15
-4.179254121406126,-4.341754234178198,-4.245816815982998,-4.450762513663057,-3.837126488488903,-4.885155287766243,-4.461294038623882,-4.216034778821133,-3.9422690141123105,-4.32206574473659,-3.8598563231658023,-5.1244432663702435,16
-4.193284966309632,-4.388753355197146,-4.267875992077501,-4.4741755015511515,-3.84308945089814,-4.992643518391848,-4.526488342897183,-4.225427826141768,-3.9592816619421027,-4.3552398411792215,-3.8584083679561876,-4.867685489424036,17
-4.205888945629728,-4.4309729045870485,-4.287691862128495,-4.4952075076201155,-3.8484460103505063,-5.089200742513153,-4.585052717922353,-4.233865648311151,-3.974564209992594,-4.385040300695485,-3.857107662428907,-4.637038672845238,18
-4.216352626574714,-4.466023096533385,-4.304142773114227,-4.5126680409603885,-3.8528929653675634,-5.16936145687801,-4.633672199075322,-4.240870632753658,-3.9872516083741334,-4.409780304822192,-3.8560278314251253,-4.445558296817557,19
-4.223962576352887,-4.491514145221627,-4.316107072012941,-4.525366610662405,-3.856127114470879,-5.227660158234269,-4.669031821732028,-4.245965166893663,-3.9964788071970716,-4.427773035096162,-3.8552424997860104,-4.306299841524698,20
-4.23096599392419,-4.51012739452381,-4.325200395313421,-4.535310533743601,-3.858872235948542,-5.263868894168406,-4.690740161175255,-4.248882531758169,-4.002341635854572,-4.439362352879446,-3.8539263879296985,-4.201687865869666,21
-4.239961405249788,-4.526197828330583,-4.33378990250455,-4.545270840106363,-3.8620303487010226,-5.2821956037292885,-4.701136886537285,-4.249771141727683,-4.005625554868463,-4.446222523071965,-3.8512742111381275,-4.105239643712946,22
-4.2507623680398,-4.53981612085535,-4.341881225064722,-4.555202608168552,-3.8655656121684503,-5.283828620858348,-4.701003673968286,-4.248776084256842,-4.006499961042089,-4.448662332517327,-3.847389586548163,-4.016649727674459,23
-4.263182440004354,-4.551072946311522,-4.349479994472334,-4.565060916348034,-3.8694421857909598,-5.2699562794970225,-4.691122199618432,-4.246042446800279,-4.005134251178797,-4.446990568059151,-3.842376131296674,-3.9356126703741263,24
-4.277035178853571,-4.560058978912504,-4.356591842205779,-4.574800843062668,-3.8736242290086813,-5.241766913586751,-4.67227413963789,-4.241715316812629,-4.0016978220819315,-4.441516016541048,-3.836337462520526,-3.86182302443187,25
-4.292134142297571,-4.566864892871699,-4.363222399743449,-4.584377466730318,-3.8780759012617456,-5.200448857068966,-4.645241170176832,-4.235939781748526,-3.9963600705548368,-4.432547464806627,-3.829377197356585,-3.7949753424676107,26
-4.308292888046482,-4.5715813624025214,-4.369377298563744,-4.593745865768847,-3.8827613619902857,-5.1471904438851075,-4.61080496738543,-4.2288609290626065,-3.9892903934008603,-4.420393699699506,-3.82159895294172,-3.7347641771012725,27
-4.325324973810423,-4.574299061718372,-4.375062170145053,-4.602861118596118,-3.8876447706344326,-5.083180007976608,-4.569747207413856,-4.220623846209502,-3.9806581874233458,-4.405363508063297,-3.813106346412796,-3.680884080952776,28
-4.3430439572995185,-4.5751086650326585,-4.380282645965775,-4.611678303629992,-3.892690286634317,-5.009605883284906,-4.522849566412277,-4.211373620643851,-3.9706328494256384,-4.387765676741612,-3.80400299490668,-3.633029606642041,29
-4.361263396223889,-4.574100846558789,-4.385044357504301,-4.6201524992883325,-3.897862069430071,-4.927656403751438,-4.470893720530866,-4.201255339820285,-3.9593837762110846,-4.367908992578063,-3.7943925155602387,-3.5908953067889926,30
