C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,time
-4.137234576539718,-4.093216509467824,-4.12916490172054,-4.326951459068396,-3.805593534731581,-4.279495464552623,-4.166363070956085,-4.146636624565385,-3.8670078556150385,-6.482213205475622,10
-4.145685070210781,-4.118707558156068,-4.141129200619254,-4.3396500287704125,-3.8088276838348962,-4.333526430336872,-4.171457605096091,-4.164629354839355,-3.866555266680098,-6.342954750182763,11
-4.157304499008493,-4.153757750102402,-4.157580111604985,-4.357110562110686,-3.8132746388519547,-4.4078190082902164,-4.178462589538597,-4.189369358966063,-3.8659329568945546,-6.151474374155082,12
-4.17130062915119,-4.195977299492305,-4.177395981655979,-4.3781425681796495,-3.81863119830432,-4.49730779537038,-4.18690041170798,-4.219169818482325,-3.8651833564710594,-5.920827557576283,13
-4.186881226857213,-4.242976420511254,-4.199455157750482,-4.401555556067743,-3.824594160713557,-4.596927388535091,-4.196293459028614,-4.252343914924957,-3.864348895622263,-5.664069780630075,14
-4.203254058344897,-4.292365327344726,-4.22263598686674,-4.4261590348654,-3.8308603246012303,-4.701612384742077,-4.206164118924875,-4.287204829830774,-3.8634720045608164,-5.394256523500159,15
-4.219626889832582,-4.3417542341781985,-4.245816815982998,-4.450762513663057,-3.8371264884889036,-4.806297380949062,-4.216034778821134,-4.32206574473659,-3.8625951134993697,-5.124443266370244,16
-4.235207487538604,-4.388753355197148,-4.267875992077501,-4.474175501551151,-3.843089450898141,-4.905916974113774,-4.225427826141768,-4.3552398411792215,-3.8617606526505757,-4.867685489424036,17
-4.249203617681303,-4.430972904587049,-4.287691862128496,-4.495207507620115,-3.8484460103505067,-4.995405761193938,-4.233865648311151,-4.385040300695485,-3.8610110522270826,-4.637038672845239,18
-4.260823046479014,-4.466023096533386,-4.3041427731142266,-4.512668040960388,-3.8528929653675643,-5.069698339147282,-4.240870632753658,-4.409780304822192,-3.8603887424415424,-4.445558296817556,19
-4.269273540150077,-4.491514145221628,-4.31610707201294,-4.525366610662404,-3.8561271144708797,-5.123729304931532,-4.245965166893663,-4.427773035096162,-3.859936153506606,-4.306299841524697,20
-4.27661396925092,-4.510127394523811,-4.32520039531342,-4.5353105337436,-3.858872235948543,-5.157240292681314,-4.248882531758169,-4.439362352879446,-3.8588586167126904,-4.2016878658696655,21
-4.285338544652664,-4.526197828330583,-4.333789902504549,-4.545270840106362,-3.862030348701023,-5.174091656344734,-4.249771141727683,-4.446222523071965,-3.856403711987165,-4.105239643712945,22
-4.295308043045688,-4.539816120855351,-4.341881225064721,-4.5552026081685515,-3.865565612168451,-5.175396072599735,-4.248776084256842,-4.448662332517327,-3.8526772424981077,-4.016649727674458,23
-4.306383241120367,-4.551072946311522,-4.349479994472333,-4.565060916348033,-3.8694421857909607,-5.162266218124266,-4.246042446800279,-4.446990568059151,-3.8477850114136,-3.935612670374125,24
-4.318424915567076,-4.560058978912503,-4.356591842205777,-4.574800843062667,-3.873624229008682,-5.135814769596271,-4.241715316812629,-4.441516016541048,-3.8418328219017193,-3.8618230244318688,25
