C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,time
-4.137234576539717,-4.093216509467825,-4.1291649017205385,-4.6807040135435924,-4.121004186267095,-4.3269514590683915,-4.30769107621604,-3.9850898978020024,-4.166363070956082,-3.867803696023466,-6.48221320547562,10
-4.14568507021078,-4.118707558156069,-4.141129200619252,-4.723712029069807,-4.125411238125038,-4.339650028770408,-4.356081477471474,-3.9960917212056617,-4.171457605096087,-3.8673611381818,-6.342954750182761,11
-4.157304499008491,-4.153757750102403,-4.157580111604983,-4.7828480504183535,-4.131470934429707,-4.357110562110682,-4.422618279197694,-4.011219228385695,-4.1784625895385945,-3.86675262114952,-6.151474374155081,12
-4.1713006291511885,-4.195977299492306,-4.177395981655978,-4.854080076133648,-4.138770114069423,-4.378142568179647,-4.502764881277006,-4.029440998398005,-4.1869004117079776,-3.8660196347242777,-5.920827557576281,13
-4.186881226857211,-4.242976420511255,-4.1994551577504815,-4.933376104760107,-4.146895615932503,-4.401555556067741,-4.591984683591711,-4.049725610298504,-4.196293459028612,-3.8652036687037294,-5.664069780630073,14
-4.2032540583448945,-4.292365327344726,-4.22263598686674,-5.016704134842149,-4.155434278907265,-4.4261590348654,-4.685741086024113,-4.071041643143094,-4.206164118924873,-3.864346212885528,-5.394256523500159,15
-4.219626889832579,-4.341754234178198,-4.245816815982997,-5.100032164924191,-4.163972941882027,-4.450762513663057,-4.779497488456516,-4.092357675987684,-4.216034778821132,-3.8634887570673273,-5.1244432663702435,16
-4.235207487538601,-4.388753355197147,-4.2678759920775,-5.17932819355065,-4.172098443745107,-4.4741755015511515,-4.868717290771222,-4.112642287888182,-4.225427826141767,-3.8626727910467813,-4.8676854894240345,17
-4.2492036176812995,-4.430972904587049,-4.2876918621284945,-5.250560219265943,-4.179397623384824,-4.495207507620116,-4.948863892850533,-4.130864057900493,-4.233865648311151,-3.861939804621544,-4.637038672845238,18
-4.26082304647901,-4.466023096533385,-4.3041427731142266,-5.30969624061449,-4.185457319689492,-4.51266804096039,-5.015400694576755,-4.145991565080525,-4.240870632753658,-3.8613312875892687,-4.445558296817556,19
-4.269273540150073,-4.491514145221627,-4.31610707201294,-5.352704256140704,-4.189864371547435,-4.525366610662407,-5.063791095832187,-4.156993388484185,-4.245965166893663,-3.860888729747609,-4.306299841524697,20
-4.276613969250916,-4.51012739452381,-4.32520039531342,-5.378773493297064,-4.19422442311441,-4.535310533743603,-5.0933832738457925,-4.164393350122701,-4.248882531758169,-3.859814490976217,-4.2016878658696655,21
-4.28533854465266,-4.526197828330582,-4.333789902504549,-5.390361960830618,-4.200270653193855,-4.545270840106364,-5.107253680013742,-4.169499914159412,-4.249771141727683,-3.8573542565655266,-4.105239643712945,22
-4.295308043045685,-4.53981612085535,-4.341881225064721,-5.388340829227646,-4.2077812026455925,-4.555202608168554,-5.106458125469152,-4.172458622878386,-4.248776084256842,-3.853614504429362,-4.016649727674459,23
-4.306383241120363,-4.551072946311522,-4.3494799944723335,-5.373581268974427,-4.21653421232945,-4.565060916348036,-5.092052421345142,-4.173415018563692,-4.246042446800279,-3.8487017124815512,-3.935612670374126,24
-4.318424915567072,-4.560058978912503,-4.356591842205778,-5.346954450557242,-4.226307823105251,-4.57480084306267,-5.065092378774831,-4.1725146434994,-4.241715316812629,-3.842722358635919,-3.861823024431869,25
-4.331293843076192,-4.566864892871699,-4.363222399743448,-5.309331544462368,-4.2368801758328205,-4.58437746673032,-5.026633808891332,-4.169903039969578,-4.2359397817485265,-3.8357829208062917,-3.7949753424676103,26
-4.3448508003380955,-4.5715813624025206,-4.369377298563743,-5.261583721176087,-4.248029411371986,-4.593745865768849,-4.977732522827769,-4.1657257502582965,-4.2288609290626065,-3.827989876906496,-3.734764177101273,27
-4.3589565640431625,-4.574299061718371,-4.3750621701450525,-5.204582151184675,-4.259533670582569,-4.6028611185961195,-4.919444331717256,-4.160128316649623,-4.220623846209503,-3.819449704850358,-3.6808840809527754,28
-4.373471910881767,-4.5751086650326585,-4.380282645965774,-5.139198004974412,-4.271171094324399,-4.6116783036299935,-4.852825046692913,-4.1532562814276295,-4.211373620643851,-3.8102688825517035,-3.633029606642042,29
-4.388257617544287,-4.574100846558788,-4.3850443575043005,-5.0663024530315806,-4.282719823457298,-4.620152499288333,-4.778930478887857,-4.1452551868763825,-4.201255339820286,-3.8005538879243588,-3.590895306788993,30
-4.4031744607211,-4.571366280510168,-4.389352936239029,-4.986766665842457,-4.293957998841091,-4.628238783989003,-4.698816439435206,-4.136270575279952,-4.190414091193441,-3.7904111988821505,-3.554175734013551,31
-4.418083217102582,-4.566995641100205,-4.393214013648351,-4.901461813893322,-4.304663761335607,-4.635892236149864,-4.613538739468078,-4.126447988922407,-4.178994962217951,-3.779947293338904,-3.522565440935637,32
-4.432844663379111,-4.561079602542307,-4.3966332212106645,-4.811259067670456,-4.314615251800668,-4.643067934188781,-4.524153190119594,-4.115932970087818,-4.167143040348454,-3.769268649208447,-3.495758980175174,33
-4.447319576241061,-4.55370883904988,-4.39961619040436,-4.717029597660134,-4.323590611096098,-4.649720956523613,-4.431715602522867,-4.104871061060253,-4.155003413039578,-3.758481744404604,-3.473450904352083,34
-4.46136873237881,-4.5449740248363275,-4.402168552707835,-4.619644574348641,-4.331367980081725,-4.655806381572225,-4.337281787811018,-4.09340780412378,-4.142721167745963,-3.747693056841201,-3.4553357660862853,35
-4.474852908482736,-4.53496583411506,-4.404295939599483,-4.519975168222252,-4.337725499617375,-4.661279287752478,-4.241907557117164,-4.08168874156247,-4.1304413919222425,-3.737009064432066,-3.4411081179977034,36
-4.487632881243217,-4.523774941099483,-4.406003982557699,-4.418892549767249,-4.3424413105628705,-4.666094753482238,-4.146648721574424,-4.0698594156603924,-4.118309173023049,-3.726536245091024,-3.4304625127062587,37
-4.499569427350624,-4.511492020003004,-4.4072983130608785,-4.3172678894699095,-4.3452935537780375,-4.670207857179364,-4.052561092315915,-4.058065368701615,-4.10646959850302,-3.7163810767319014,-3.423093502831873,38
-4.51052332349534,-4.4982077450390285,-4.408184562587414,-4.215972357816514,-4.346060370122701,-4.67357367726172,-3.960700480474755,-4.0464521429702085,-4.095067755816789,-3.7066500372685245,-3.4186956409944687,39
-4.520355346367738,-4.484012790420964,-4.4086683626157015,-4.115877125293343,-4.344519900456687,-4.676147292147168,-3.872122697184063,-4.035165280750239,-4.08424873241899,-3.697449604614719,-3.4169634798139663,40
-4.528926272658196,-4.468997830362218,-4.408755344624136,-4.017853362386674,-4.34045028563982,-4.6778837802535715,-3.787883553576956,-4.02435032432578,-4.074157615764258,-3.6888862566843117,-3.417591571910288,41
-4.536096879057091,-4.453253539076195,-4.4084511400911115,-3.922772239582786,-4.333629666531927,-4.6787382199987935,-3.7090388607865523,-4.014152815980898,-4.064939493307229,-3.6810664713911283,-3.4202744699033563,42
-4.541727942254799,-4.436870590776303,-4.407761380495021,-3.831504927367959,-4.323836183992829,-4.678665689800694,-3.6366444299459695,-4.004718297999663,-4.0567394525025335,-3.674096726648995,-3.4247067264130915,43
-4.5456802389416975,-4.41993965967595,-4.406691697314261,-3.744922596228474,-4.310847978882356,-4.677621268077139,-3.571756072188327,-3.9961923126661425,-4.049702580804811,-3.668083500371738,-3.430582894059417,44
-4.547814545808163,-4.402551419988541,-4.405247722027227,-3.6638964166506094,-4.294443192060331,-4.67556003324599,-3.515429598646742,-3.9887204022644083,-4.043973965668695,-3.6631332704731845,-3.437597525462253,45
-4.547991639544572,-4.384796545927484,-4.403435086112311,-3.5892975591206433,-4.274399964386578,-4.672437063725107,-3.468720820454332,-3.9824481090785273,-4.039698694548818,-3.659352514867159,-3.4454451732415223,46
-4.5460722968413,-4.366765711706184,-4.401259421047908,-3.521997194124855,-4.250496436720926,-4.668207437932357,-3.4326855487442143,-3.9775209753925704,-4.037021854899816,-3.656847711467488,-3.453820390017146,47
-4.541917294388726,-4.348549591538049,-4.398726358312414,-3.4628664921495256,-4.222510749923194,-4.662826234285599,-3.408379594649509,-3.9740845434906054,-4.036088534176323,-3.6557253381879984,-3.4624177284090467,48
-4.535387408877226,-4.330238859636485,-4.395841529384224,-3.4127766236809345,-4.190221044853216,-4.6562485312026975,-3.396858769303333,-3.972284355656703,-4.0370438198329754,-3.6560918729425165,-3.4709317410371456,49
-4.526343416997177,-4.311924190214901,-4.392610565741731,-3.37259875920536,-4.1534054623708085,-4.648429407101514,-3.399178883838804,-3.9722659541749312,-4.040032799324406,-3.6580537936448683,-3.4790569805213645,50
-4.512167406614325,-4.286871803796903,-4.387949614980686,-3.324742642131106,-4.099766572668387,-4.636846319496195,-3.4123206383221185,-3.973527732105839,-4.045587038108772,-3.6618830892953382,-3.489782761374284,51
-4.49157597547427,-4.250481841043754,-4.381179328838727,-3.255229012220329,-4.021853148940051,-4.620021250638833,-3.431409756148246,-3.975360533625915,-4.053654874007231,-3.6674453508606213,-3.505362545240933,52
-4.4664316650871685,-4.2060458563753365,-4.372912095007092,-3.1703455344900844,-3.9267126365481655,-4.599476066054215,-3.4547195834434685,-3.977598577693145,-4.063506553018919,-3.6742374592041593,-3.524387105439907,53
-4.4385970169631745,-4.156855404211531,-4.36376030117701,-3.0763798739574257,-3.821392480855089,-4.576732631267126,-3.480523466334063,-3.9800760832655095,-4.074412321142967,-3.681756295189393,-3.5454472152898,54
-4.409934572612445,-4.106202038972223,-4.354336335039712,-2.979619695639409,-3.712940127223185,-4.553312811802355,-3.5070947509463113,-3.982627269300993,-4.085642424378511,-3.689498739679764,-3.567133648109206,55
-4.3823068735451365,-4.057377315077294,-4.345252584286434,-2.88635266455309,-3.6084030210148152,-4.530738473184688,-3.5327067834064936,-3.9850863547575788,-4.096467108724687,-3.6969616735387145,-3.5880371772167208,56
-4.357576461271402,-4.0136727869466275,-4.337121436608404,-2.8028664457155243,-3.5148286075923427,-4.510531480938911,-3.555632909840889,-3.987287558593249,-4.1061566201806246,-3.703641977629686,-3.6067485759309372,57
-4.3376058773013995,-3.978380009000105,-4.330555279696857,-2.7354487041437645,-3.439264332318128,-4.494213700589811,-3.5741464763757764,-3.9890650997659862,-4.113981204745462,-3.709036532816118,-3.6218586175704512,58
-4.324257663145284,-3.954790535657612,-4.3261665012430255,-2.6903871048548695,-3.388757640554534,-4.483306997662175,-3.586520829137437,-3.9902531972337747,-4.119211108418333,-3.7126422199614537,-3.6319580754538574,59
-4.31939436031321,-3.946195921339029,-4.324567488938142,-2.673969312865892,-3.3703559776639223,-4.4793332376807875,-3.5910293142521508,-3.990686069954597,-4.1211165771983715,-3.7139559199291345,-3.635637722899749,60
-4.316382384838997,-3.924472582289627,-4.325415098774295,-2.6768199844945917,-3.3705952031951107,-4.483829460696077,-3.5929716791031385,-3.9914678023930783,-4.121516773452188,-3.714833404090808,-3.6359091406423616,61
-4.30820702283756,-3.8655092334412493,-4.327715754043854,-2.6845575217724904,-3.371244529636907,-4.4960334945947205,-3.598243812270104,-3.9935896475832404,-4.122603020426833,-3.7172151468153496,-3.6366458459437387,62
-4.296159120940706,-3.7786158772436402,-4.331106193388466,-2.6959602082872887,-3.3722014317616598,-4.514018386655879,-3.606013271674054,-3.9967165773371645,-4.1242038054421,-3.7207250834620424,-3.6377315169141893,63
-4.281529525780241,-3.673102516146545,-4.335223155449783,-2.7098063276266875,-3.3733633843417175,-4.535857184158715,-3.6154476152359925,-4.00051356346693,-4.126147615817781,-3.72498714939017,-3.6390498316640225,64
-4.265609083987968,-3.5582791525997055,-4.33970337886945,-2.7248741633783853,-3.374627862149427,-4.5596229343823875,-3.6257144008769258,-4.004645577784615,-4.12826293887367,-3.7296252799590146,-3.6404844683035464,65
-4.249688642195697,-3.443455789052865,-4.3441836022891165,-2.7399419991300835,-3.375892339957136,-4.583388684606062,-3.63598118651786,-4.008777592102301,-4.1303782619295575,-3.734263410527859,-3.641919104943071,66
-4.235059047035231,-3.33794242795577,-4.348300564350432,-2.7537881184694815,-3.377054292537193,-4.605227482108898,-3.6454155300797986,-4.012574578232066,-4.1323220723052385,-3.7385254764559868,-3.6432374196929036,67
-4.2230111451383765,-3.251049071758161,-4.351691003695045,-2.7651908049842797,-3.378011194661946,-4.6232123741700555,-3.653184989483748,-4.01570150798599,-4.133922857320505,-3.742035413102679,-3.644323090663354,68
-4.214835783136941,-3.192085722909784,-4.353991658964604,-2.7729283422621784,-3.378660521103743,-4.635416408068698,-3.658457122650714,-4.017823353176152,-4.1350091042951505,-3.7444171558272212,-3.6450597959647313,69
