C1,C2,C3,C4,C5,time
-4.770270474058938,-3.815754766098236,-4.133744663446689,-5.895462447879843,-3.8915397092493125,10
-4.75268612012978,-3.813195850207462,-4.148393352517418,-5.819694761246204,-3.8931935631616454,11
-4.728507633477188,-3.809677340857648,-4.168535299989672,-5.715514192124951,-3.895467612291103,12
-4.699383547282018,-3.8054391364135536,-4.192797191263068,-5.590023961137986,-3.8982068078334033,13
-4.666962394725133,-3.800721135239939,-4.219805711737227,-5.450327288907214,-3.901256100984265,14
-4.632892708987389,-3.7957632357015645,-4.248187546811768,-5.3035273960545375,-3.904460442939408,15
-4.598823023249645,-3.79080533616319,-4.276569381886308,-5.1567275032018625,-3.90766478489455,16
-4.56640187069276,-3.7860873349895754,-4.303577902360467,-5.017030830971091,-3.910714078045411,17
-4.537277784497591,-3.7818491305454818,-4.327839793633864,-4.8915405999841255,-3.913453273587709,18
-4.513099297844998,-3.7783306211956664,-4.347981741106118,-4.787360030862873,-3.915727322717162,19
-4.49551494391584,-3.775771705304893,-4.362630430176848,-4.711592344229233,-3.9173811766294904,20
-4.483396374306191,-3.7732869124365425,-4.372972957520643,-4.6528855418991455,-3.9176445322224063,21
-4.47437329532626,-3.769883913269246,-4.381194013434007,-4.595178690163391,-3.91594610143291,22
-4.468231322228099,-3.7656423178406335,-4.387416673749427,-4.538511606356143,-3.9124293580156504,23
-4.464756070263764,-3.760641736188337,-4.3917640142993974,-4.482924107811571,-3.907237775725279,24
-4.463733154685311,-3.7549617783499856,-4.3943591109164055,-4.428456011863851,-3.900514828316444,25
-4.464948190744793,-3.748682054363209,-4.395325039432941,-4.3751471358471505,-3.8924039895437947,26
-4.468186793694265,-3.7418821742656405,-4.394784875681494,-4.323037297095647,-3.8830487331619827,27
-4.4732345787857835,-3.7346417480949086,-4.392861695494554,-4.272166312943509,-3.8725925329256565,28
-4.479877161271402,-3.7270403858886443,-4.389678574704613,-4.222574000724908,-3.8611788625894654,29
-4.487900156403176,-3.719157697684478,-4.3853585891441575,-4.17430017777402,-3.84895119590806,30
-4.49708917943316,-3.7110732935200406,-4.3800248146456795,-4.1273846614250145,-3.83605300663609,31
-4.5072298456134074,-3.7028667834329614,-4.373800327041668,-4.081867269012063,-3.8226277685282035,32
-4.518107770195975,-3.694617777460874,-4.366808202164615,-4.037787817869342,-3.8088189553390532,33
-4.529508568432918,-3.6864058856414053,-4.359171515847007,-3.995186125331018,-3.7947700408232863,34
-4.541217855576289,-3.6783107180121877,-4.351013343921335,-3.9541020087312666,-3.780624498735553,35
-4.553021246878145,-3.670411884610852,-4.342456762220091,-3.91457528540426,-3.7665258028305044,36
-4.56470435759054,-3.6627889954750286,-4.333624846575763,-3.8766457726841685,-3.7526174268627885,37
-4.5760528029655285,-3.655521660642347,-4.3246406728208395,-3.840353287905166,-3.7390428445870554,38
-4.5868521982551655,-3.648689490150438,-4.315627316787813,-3.8057376484014243,-3.725945529757956,39
-4.596888158711506,-3.6423720940369337,-4.306707854309173,-3.7728386715071145,-3.713468956130138,40
-4.605946299586605,-3.636649082339463,-4.298005361217407,-3.741696174556411,-3.7017565974582536,41
-4.613812236132517,-3.6316000650956575,-4.289642913345008,-3.7123499748834843,-3.690951927496951,42
-4.620271583601296,-3.627304652343146,-4.281743586524463,-3.684839889822506,-3.6811984200008787,43
-4.625109957244999,-3.623842454119561,-4.274430456588264,-3.65920573670765,-3.6726395487246895,44
-4.62811297231568,-3.6212930804625327,-4.267826599368901,-3.6354873328730886,-3.665418787423031,45
-4.629066244065392,-3.61973614140969,-4.262055090698862,-3.613724495652992,-3.6596796098505524,46
-4.627755387746191,-3.619251246998665,-4.257239006410636,-3.593957042381533,-3.655565489761905,47
-4.623966018610134,-3.6199180072670885,-4.253501422336718,-3.576224790392885,-3.653219900911737,48
-4.617483751909273,-3.6218160322525903,-4.250965414309592,-3.5605675570212205,-3.6527863170547006,49
-4.608094202895664,-3.625024931992801,-4.249754058161751,-3.54702515960071,-3.6544082119454435,50
-4.593141129994558,-3.6303554290943834,-4.249058091406689,-3.529938921010424,-3.6581037305692825,51
-4.57142097300682,-3.6380982679499656,-4.2480471615945925,-3.5051202240800077,-3.6634716736798256,52
-4.5448983692479255,-3.64755309127613,-4.246812709612987,-3.4748139760694996,-3.6700264986841593,53
-4.515537956033344,-3.658019541789455,-4.2454461763494,-3.441265084238937,-3.6772826629893687,54
-4.485304370678553,-3.668797262206522,-4.2440390026913555,-3.406718455848358,-3.68475462400254,55
-4.456162250499025,-3.6791858952439127,-4.2426826295263815,-3.3734189981577996,-3.6919568391307602,56
-4.430076232810234,-3.688485083618205,-4.241468497742004,-3.3436116184272997,-3.6984037657811153,57
-4.409010954927654,-3.6959944700459806,-4.24048804822575,-3.319541223916896,-3.70360986136069,58
-4.394931054166757,-3.701013697243821,-4.239832721865144,-3.303452721886626,-3.7070895832765722,59
-4.389801167843021,-3.7028424079283053,-4.239593959547714,-3.297591019596528,-3.708357388935847,60
-4.385132259621451,-3.7032350812413437,-4.234313599392721,-3.299282828421249,-3.7092654246341805,61
-4.372459508734333,-3.7043009088053047,-4.219981193257735,-3.303874880945491,-3.711730092958228,62
-4.3537838758480545,-3.7058716020574582,-4.198859752637757,-3.3106421162443747,-3.715362235751561,63
-4.331106321629003,-3.707778872435073,-4.173212289027786,-3.3188594733930192,-3.719772694857753,64
-4.306427806743562,-3.7098544313754185,-4.145301813922815,-3.327801891466544,-3.7245723121203724,65
-4.281749291858123,-3.711929990315764,-4.117391338817845,-3.336744309540069,-3.7293719293829923,66
-4.25907173763907,-3.713837260693379,-4.0917438752078725,-3.344961666688713,-3.7337823884891828,67
-4.240396104752791,-3.7154079539455322,-4.070622434587895,-3.351728901987596,-3.7374145312825164,68
-4.227723353865674,-3.7164737815094937,-4.056290028452911,-3.356320954511839,-3.739879199606564,69
-4.223054445644104,-3.7168664548225316,-4.051009668297916,-3.3580127633365597,-3.7407872353048974,70
-4.222844068488703,-3.7191670323479524,-4.050908612611164,-3.360332155419954,-3.742341005204323,71
-4.2222730447811845,-3.725411457059807,-4.050634318604265,-3.3666276482177375,-3.7465583806456193,72
-4.22143153615958,-3.7346137671614894,-4.050230095857257,-3.375905216551313,-3.7527734602433203,73
-4.220409704261916,-3.745788000856389,-4.049739253950176,-3.3871708352420837,-3.7603203426119576,74
-4.219297710726224,-3.757948196347897,-4.049205102463058,-3.3994304791114516,-3.768533126366062,75
-4.218185717190531,-3.770108391839405,-4.04867095097594,-3.4116901229808203,-3.7767459101201672,76
-4.217163885292868,-3.7812826255343044,-4.048180109068859,-3.422955741671591,-3.7842927924888037,77
-4.216322376671261,-3.7904849356359858,-4.04777588632185,-3.4322333100051665,-3.7905078720865046,78
-4.215751352963744,-3.7967293603478414,-4.047501592314952,-3.4385288028029497,-3.794725247527802,79
-4.215540975808342,-3.7990299378732617,-4.0474005366282,-3.440848194886344,-3.796279017427227,80
-4.205379217496061,-3.8023640909965377,-4.037225731671609,-3.437510793172817,-3.798660338215373,81
-4.177797302077013,-3.811413935188287,-4.009608403932292,-3.4284521313789575,-3.8051239232117697,82
-4.137150268827888,-3.824750547681392,-3.9689091841059274,-3.4151025245248494,-3.814649206364354,83
-4.087793157025381,-3.8409450057087335,-3.9194887028882013,-3.3988922876305754,-3.826215621621064,84
-4.034081005946181,-3.8585683865031934,-3.865707590974793,-3.3812517357162184,-3.8388026029298357,85
-3.9803688548669807,-3.8761917672976534,-3.811926479061384,-3.363611183801861,-3.851389584238608,86
-3.9310117430644733,-3.8923862253249943,-3.7625059978436575,-3.347400946907587,-3.8629559994953167,87
-3.890364709815349,-3.9057228378180997,-3.721806778017294,-3.3340513400534784,-3.8724812826479016,88
-3.862782794396301,-3.914772682009849,-3.6941894502779764,-3.3249926782596195,-3.8789448676442984,89
-3.85262103608402,-3.918106835133125,-3.6840146453213856,-3.3216552765460925,-3.8813261884324444,90
-3.8533361934666766,-3.923277273987116,-3.677154606097306,-3.3286867923122188,-3.889257931094342,91
-3.8552773349338865,-3.93731132230509,-3.658534499631947,-3.3477723351059905,-3.91078694689092,92
-3.8581379644645106,-3.9579930777210515,-3.6310943427356275,-3.375898398170495,-3.942513917538508,93
-3.861611586037413,-3.9831066378690054,-3.59777415221867,-3.4100514747488226,-3.981039524753438,94
-3.8653917036314533,-4.010436100382955,-3.5615139448913915,-3.4472180580840615,-4.022964450252037,95
-3.869171821225494,-4.0377655628969045,-3.525253737564114,-3.4843846414193003,-4.064889375750637,96
-3.8726454427983956,-4.062879123044858,-3.491933547047155,-3.5185377179976283,-4.103414982965567,97
-3.8755060723290207,-4.08356087846082,-3.4644933901508366,-3.546663781062133,-4.1351419536131555,98
-3.8774472137962306,-4.097594926778794,-3.4458732836854775,-3.565749323855904,-4.156670969409733,99
-3.878162371178887,-4.102765365632784,-3.439013244461398,-3.5727808396220304,-4.1646027120716305,100
-3.8597431830325926,-4.0998911843949895,-3.4364700984156378,-3.577150957120836,-4.170620205209645,101
-3.809748243778363,-4.0920898353209765,-3.429567273434288,-3.589012704617595,-4.186953400869971,102
-3.7360714911931843,-4.080593110369799,-3.419394689251246,-3.606493174612818,-4.211023373422029,103
-3.646606863054039,-4.066632801500513,-3.4070422656004107,-3.627719459607018,-4.240251197235244,104
-3.5492482971379102,-4.051440700672171,-3.393599922215677,-3.6508186521007056,-4.272057946679036,105
-3.45188973122178,-4.03624859984383,-3.3801575788309437,-3.6739178445943934,-4.303864696122829,106
-3.3624251030826353,-4.022288290974544,-3.367805155180107,-3.695144129588593,-4.333092519936042,107
-3.288748350497457,-4.010791566023366,-3.357632570997066,-3.7126245995838163,-4.357162492488102,108
-3.238753411243229,-4.002990216949352,-3.350729746015716,-3.724486347080575,-4.373495688148426,109
-3.220334223096934,-4.000116035711558,-3.348186599969956,-3.7288564645793807,-4.379513181286441,110
-3.2138025494801012,-3.996218367651978,-3.353737707922163,-3.734292455712628,-4.3846482838334175,111
-3.196073721091556,-3.9856389829188332,-3.368805000935295,-3.749047288788584,-4.3985864193180655,112
-3.1699470266242256,-3.9700483106805136,-3.3910094327441214,-3.7707912533215713,-4.419126829505968,113
-3.138221754771039,-3.9511167801054117,-3.4179719570834104,-3.797194638825914,-4.444068756162708,114
-3.1036971942249245,-3.9305148203619176,-3.447313527687931,-3.8259277348159335,-4.471211441053866,115
-3.069172633678809,-3.909912860618424,-3.476655098292452,-3.854660830805954,-4.498354125945024,116
-3.037447361825622,-3.8909813300433216,-3.5036176226317415,-3.8810642163102957,-4.523296052601763,117
-3.011320667358292,-3.875390657805003,-3.5258220544405674,-3.9028081808432833,-4.543836462789666,118
-2.993591838969747,-3.864811273071857,-3.5408893474537,-3.9175630139192394,-4.557774598274315,119
-2.9870601653529145,-3.860913605012277,-3.5464404554059064,-3.9229990050524863,-4.56290970082129,120
-2.9896446118725426,-3.8680519874383092,-3.5534640781704447,-3.931799700814148,-4.570367422697987,121
-2.996659538140104,-3.8874275968803964,-3.5725281971027636,-3.9556873035958002,-4.59060981064902,122
-3.0069973242186157,-3.9159811265845246,-3.6006226881609176,-3.9908900866424446,-4.620440698155805,123
-3.0195503501710945,-3.9506532697966805,-3.6347374273029613,-4.033636323199086,-4.656663918699758,124
-3.033210996060556,-3.9883847197628493,-3.67186229048695,-4.080154286510724,-4.696083305762295,125
-3.046871641950019,-4.026116169729019,-3.7089871536709396,-4.126672249822363,-4.735502692824833,126
-3.0594246679024972,-4.060788312941175,-3.7431018928129838,-4.169418486379003,-4.771725913368787,127
-3.069762453981009,-4.089341842645303,-3.7711963838711373,-4.204621269425648,-4.801556800875572,128
-3.0767773802485707,-4.10871745208739,-3.7902605028034557,-4.228508872207301,-4.8217991888266045,129
-3.0793618267681984,-4.115855834513422,-3.797284125567994,-4.237309567968961,-4.8292569107033,130
-3.0752263523882037,-4.108509280691589,-3.802107785549785,-4.238612375655253,-4.83224426732173,131
-3.0640014933567907,-4.0885686346037575,-3.815200576928933,-4.242148567946618,-4.8403528067146135,132
-3.0474595958368136,-4.059182419316427,-3.834495216856097,-4.247359798691785,-4.852302233188335,133
-3.0273730059911275,-4.023499157896097,-3.85792442248194,-4.25368772173949,-4.866812251049284,134
-3.0055140699825866,-3.9846673734092675,-3.8834209109571214,-4.260573990938461,-4.882602564603845,135
-2.983655133974045,-3.9458355889224372,-3.908917399432304,-4.267460260137434,-4.898392878158406,136
-2.963568544128359,-3.9101523275021077,-3.932346605058146,-4.273788183185138,-4.912902896019354,137
-2.9470266466083817,-3.8807661122147774,-3.95164124498531,-4.278999413930306,-4.924852322493075,138
