C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,time
-7.000000000000002,-6.999999999999999,-7.000000000000005,-6.91603738868012,-7,-7.000000000000002,-6.943185304714845,-6.900238061791011,-6.999999999999993,-6.83803158600472,-6.839204830963905,-6.943185304714847,-6.907965366597091,-1.576558244190918,-6.999999999999997,10
-6.851387471476874,-6.830715012945846,-6.81489240904565,-6.712140136294817,-6.850044275272042,-6.791220036584259,-6.90616875642534,-6.775763275466586,-6.883594303199177,-6.647949004538075,-6.685871561614407,-6.752218597065481,-6.708581881432714,-1.7426240802784525,-6.833446560133462,11
-6.6470452447575745,-6.597948155746384,-6.560369471483413,-6.431781414265027,-6.643855153771098,-6.5041475868876155,-6.855271002527274,-6.604610444270502,-6.723536470098058,-6.38658545502144,-6.475038316258848,-6.489639374047602,-6.434429589331694,-1.9709646048988116,-6.604435580316976,12
-6.400905744391141,-6.317569895937941,-6.253785023965262,-6.094076590001866,-6.395490984690415,-6.158355772480291,-6.7939623444227815,-6.398449079420673,-6.530739534771708,-6.07176117946731,-6.22108008889874,-6.173350764503337,-6.104200692028192,-2.2460111459187906,-6.328581445538027,13
-6.126901394926623,-6.005450701056846,-5.9124929031431694,-5.718141030916465,-6.119010117223242,-5.773417714932517,-6.725713083514008,-6.1689486921350145,-6.316116531295204,-5.721296419888185,-5.938371873535603,-5.821255897274818,-5.736587391256368,-2.5521950312051813,-6.021498540784102,14
-5.838964620913061,-5.677461038639423,-5.5538469456691075,-5.32309010441994,-5.82847090056282,-5.368906535814516,-6.653993521203095,-5.9277787936314414,-6.090580493743626,-5.353011418296562,-5.6412886641709505,-5.45125790120417,-5.3502818887503825,-2.8739475886247794,-5.698801251042689,15
-5.551027846899498,-5.3494713762220005,-5.195200988195044,-4.928039177923415,-5.5379316839024,-4.9643953566965155,-6.58227395889218,-5.6866088951278675,-5.865044456192047,-4.984726416704939,-5.344205454806296,-5.081259905133521,-4.963976386244398,-3.1957001460443775,-5.376103961301276,16
-5.27702349743498,-5.037352181340904,-4.853908867372952,-4.552103618838012,-5.261450816435226,-4.57945729914874,-6.514024697983408,-5.45710850784221,-5.650421452715544,-4.634261657125815,-5.06149723944316,-4.729165037905002,-4.596363085472573,-3.5018840313307686,-5.069021056547352,17
-5.030883997068548,-4.756973921532462,-4.547324419854802,-4.214398794574854,-5.013086647354544,-4.233665484741419,-6.452716039878917,-5.250947142992381,-5.457624517389195,-4.319437381571685,-4.807539012083053,-4.412876428360739,-4.2661341881690715,-3.776930572350747,-4.793166921768403,18
-4.8265417703492455,-4.524207064333001,-4.292801482292564,-3.9340400725450624,-4.806897525853601,-3.9465930350447733,-6.4018182859808475,-5.079794311796297,-5.297566684288074,-4.058073832055049,-4.596705766727493,-4.150297205342859,-3.9919818960680513,-4.005271096971106,-4.564155941951918,19
