C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,time
-7.000000000000003,-7,-7.000000000000007,-6.932829910944095,-7.0000000000000036,-6.943185304714845,-6.999999999999995,-6.913841962455872,-6.83803158600472,-6.949498048635416,-6.839204830963908,-6.9088195163270765,-1.5765582441909172,-7,10
-6.851569452919055,-6.830715012945847,-6.814892409045652,-6.7337917379976044,-6.850044275272044,-6.906168756425341,-6.883594303199179,-6.790804049338606,-6.647949004538075,-6.758384284384955,-6.68587156161441,-6.709348824868036,-1.7426240802784516,-6.833446560133464,11
-6.647477450682754,-6.597948155746385,-6.560369471483415,-6.46011425019618,-6.643855153771102,-6.855271002527274,-6.723536470098059,-6.621626918802366,-6.38658545502144,-6.495602858540572,-6.475038316258849,-6.435076624111838,-1.9709646048988112,-6.604435580316979,12
-6.401639357079933,-6.317569895937941,-6.253785023965262,-6.130457276253554,-6.395490984690419,-6.7939623444227815,-6.530739534771708,-6.417845375201893,-6.071761179467311,-6.179070686500745,-6.2210800888987405,-6.104703291382768,-2.2460111459187897,-6.328581445538028,13
-6.127970535899437,-6.005450701056845,-5.912492903143171,-5.763480644883463,-6.119010117223244,-6.725713083514009,-6.316116531295205,-6.190994222891934,-5.721296419888185,-5.82670468366396,-5.938371873535602,-5.736929204005119,-2.5521950312051804,-6.021498540784104,14
-5.840386350930101,-5.6774610386394215,-5.5538469456691075,-5.377844184799636,-5.828470900562824,-6.653993521203095,-6.090580493743626,-5.952608266227232,-5.353011418296563,-5.456421765428692,-5.641288664170948,-5.350454739303178,-2.8739475886247785,-5.69880125104269,15
-5.552802165960765,-5.349471376221999,-5.195200988195045,-4.99220772471581,-5.5379316839024035,-6.582273958892181,-5.865044456192046,-5.714222309562528,-4.984726416704941,-5.086138847193424,-5.344205454806293,-4.963980274601234,-3.195700146044377,-5.376103961301276,16
-5.279133344780267,-5.037352181340902,-4.853908867372953,-4.625231093345716,-5.261450816435228,-6.514024697983408,-5.650421452715544,-5.48737115725257,-4.6342616571258155,-4.733772844356637,-5.061497239443154,-4.596206187223577,-3.5018840313307686,-5.069021056547352,17
-5.033295251177448,-4.756973921532459,-4.547324419854802,-4.295574119403092,-5.013086647354546,-6.452716039878918,-5.457624517389194,-5.283589613652097,-4.319437381571687,-4.4172406723168125,-4.807539012083048,-4.265832854494494,-3.776930572350747,-4.793166921768401,18
-4.829203248941145,-4.524207064332997,-4.292801482292564,-4.021896631601667,-4.8068975258536035,-6.401818285980848,-5.297566684288073,-5.114412483115857,-4.058073832055051,-4.154459246472429,-4.596705766727486,-3.991560653738277,-4.005271096971106,-4.564155941951916,19
-4.680772701860197,-4.354922077278843,-4.107693891338209,-3.822858458655176,-4.656941801125644,-6.364801737691344,-5.181160987487257,-4.991374569998591,-3.8679912505884064,-3.9633454822219676,-4.443372497377988,-3.7920899622792126,-4.17133693305864,-4.3976025020853795,20
-4.572337162552378,-4.230706253019165,-3.9726253317583082,-3.677229796164769,-4.54641015163217,-6.338678035969605,-5.0914372924246525,-4.904046548517995,-3.729067758796062,-3.8235462048957407,-4.332763292984131,-3.646261551106879,-4.2924509426631445,-4.275639844827277,21
-4.4784474765123,-4.122041166333513,-3.856002388990503,-3.550677693177381,-4.448681624512421,-6.317767758457404,-5.004161165602346,-4.833536165779568,-3.608656077219125,-3.7021274656524845,-4.239792525130389,-3.5197752487404905,-4.396897944835733,-4.1694018460274584,22
-4.398344946844055,-4.028138707953775,-3.756853250693364,-3.442207258575425,-4.363097121976254,-6.30150461158074,-4.919349192691682,-4.77868383546976,-3.505788346245291,-3.5981350186333154,-4.163370611770611,-3.4116200187987853,-4.485552202945181,-4.078003840460455,23
-4.331270876651741,-3.948210768611847,-3.6742061045254633,-3.3508236012413146,-4.288997546233523,-6.289322301765615,-4.837017959364005,-4.73832997127502,-3.419496706262254,-3.5106146179793507,-4.10240797085865,-3.3207848249005045,-4.559287980360261,-4.000561162900802,24
-4.27646656903945,-3.881469239039623,-3.6070891381453762,-3.2755318300574636,-4.225723799494084,-6.2806545354380265,-4.757184051290663,-4.711314986881797,-3.3488132976577107,-3.43861201783171,-4.055815020348358,-3.2462586306643897,-4.618979540449746,-3.9361891481230376,25
-4.2331733271112775,-3.827126009968992,-3.5545305392116724,-3.215337053906283,-4.172616783967792,-6.2749350190239745,-4.679864054142998,-4.696479295976541,-3.292770260819354,-3.381172972331508,-4.022502178193585,-3.18703039970918,-4.665501146582409,-3.884003130901692,26
-4.200632453971317,-3.784392972131851,-3.5155584953829258,-3.1692443816701874,-4.129017401864504,-6.271597458949461,-4.605074553592361,-4.692663312245702,-3.2503997361348826,-3.337343235619864,-4.001379862348183,-3.142089095653618,-4.6997270621270255,-3.843118446011302,27
-4.178085252723664,-3.7524820162600907,-3.4892011943177086,-3.13625892223159,-4.094266555394073,-6.270075561640484,-4.532832135310095,-4.698707449375726,-3.220733863991989,-3.306168561837895,-3.9913584907660056,-3.110423682116444,-4.7225315504523655,-3.8126504282264033,28
-4.164773026472412,-3.730605033085605,-3.4744868236745936,-3.1153857844729025,-4.067705146766357,-6.269803033523043,-4.463153384967542,-4.713452121053067,-3.202804784778369,-3.2866947051267177,-3.991348481400901,-3.091023122716398,-4.734788874927206,-3.7917144123215287,29
-4.159937078321657,-3.717973913340288,-3.4704435711121544,-3.1056300772765386,-4.048674078191212,-6.270213581023135,-4.396054888236054,-4.73573774096417,-3.195644638881718,-3.2779674196274504,-4.000260252206722,-3.0828763810722206,-4.7373732989203186,-3.7794257330712133,30
-4.162818711375492,-3.7138005477560307,-3.476099624288961,-3.1059969095249125,-4.036514251878491,-6.270740910566768,-4.331553230786972,-4.764404722795487,-3.198285566689731,-3.2790324594812104,-4.017004221137323,-3.0849724208026537,-4.731159085800477,-3.7748997252499934,31
-4.172659228738012,-3.717296827064726,-3.4904831708635875,-3.1154913901004346,-4.03056657003805,-6.270818728579932,-4.269664998291643,-4.798293480233467,-3.209759708590102,-3.2889355788291144,-4.0404908061465505,-3.096300205526437,-4.717020498936454,-3.777251723632401,32
-4.188699933513314,-3.7276746419982705,-3.5126223984946074,-3.133118627885521,-4.030171934879747,-6.2698807414886355,-4.210406776421415,-4.836244426964561,-3.22909920497053,-3.3067225318122815,-4.0696304251882625,-3.1158486988623126,-4.695831801697024,-3.785597062992974,33
