C1,C2,C3,C4,C5,C6,C7,C8,C9,time
-6.999999999999984,-6.9494980486354185,-6.9664149554720485,-7.000000000000002,-7.000000000000002,-6.943185304714846,-6.9068036383139395,-6.90398970577057,-1.5765582441909167,10
-6.843318966073897,-6.757491265552138,-6.763710810304699,-6.848724669939985,-6.812585696374695,-6.906168756425342,-6.770783251721199,-6.705856216989387,-1.7426240802784512,11
-6.62788254442553,-6.493481938812629,-6.484992610699593,-6.640721091107463,-6.5548910288899,-6.8552710025272745,-6.583755220156183,-6.433422669915264,-1.9709646048988105,12
-6.36837958198545,-6.175470704330946,-6.149263870266169,-6.39017132569556,-6.244486088510484,-6.793962344422782,-6.3584714548619585,-6.105264079121432,-2.2460111459187893,13
-6.079498925684231,-5.821458198021148,-5.775528102613869,-6.1112574358974046,-5.898940966201326,-6.725713083514009,-6.1076838670815965,-5.739955459181131,-2.55219503120518,14
-5.775929422452442,-5.449445055797293,-5.382788821352128,-5.818161483906122,-5.535825752927295,-6.653993521203095,-5.844144368058164,-5.356071824667593,-2.873947588624778,15
-5.472359919220652,-5.077431913573437,-4.9900495400903875,-5.525065531914839,-5.172710539653263,-6.582273958892181,-5.580604869034732,-4.972188190154054,-3.1957001460443757,16
-5.183479262919433,-4.7234194072636395,-4.616313772438085,-5.246151642116684,-4.827165417344104,-6.514024697983408,-5.32981728125437,-4.606879570213752,-3.5018840313307678,17
-4.923976300479355,-4.405408172781957,-4.280585032004662,-4.995601876704781,-4.5167604769646905,-6.452716039878917,-5.104533515960147,-4.278720979419922,-3.776930572350746,18
-4.708539878830987,-4.141398846042447,-4.001866832399557,-4.787598297872258,-4.259065809479893,-6.4018182859808475,-4.91750548439513,-4.006287432345798,-4.005271096971105,19
-4.551858844904901,-3.9493920629591672,-3.799162687232206,-4.636322967812242,-4.071651505854587,-6.3648017376913435,-4.781485097802389,-3.808153943564615,-4.171336933058639,20
-4.437440236283439,-3.8089693465374306,-3.650955983518641,-4.524768078210621,-3.9342602523163617,-6.338678035969604,-4.682209099376755,-3.663303499295244,-4.292450942663144,21
-4.338459044053561,-3.6870725839826664,-3.522378306162225,-4.426034001543799,-3.8143200196097666,-6.3177677584574035,-4.596368778962177,-3.5376657938466822,-4.396897944835732,22
-4.254106045402764,-3.582742957509107,-3.4124054656033986,-4.339465071190671,-3.7109288254751025,-6.301504611580739,-4.523147867775399,-3.430235903927354,-4.48555220294518,23
-4.183572017518544,-3.495021649330984,-3.3200132722826017,-4.264405620530133,-3.623184687652672,-6.289322301765614,-4.461730097033167,-3.340008906245685,-4.55928798036026,24
-4.1260477375883955,-3.4229498416625295,-3.244177536640277,-4.20019998294108,-3.5501856238827787,-6.280654535438026,-4.411299197952227,-3.2659798775101,-4.618979540449745,25
-4.080723982799814,-3.3655687167179726,-3.183874069116863,-4.146192491802406,-3.4910296519057247,-6.274935019023974,-4.371038901749323,-3.2071438944290245,-4.665501146582408,26
-4.046791530340296,-3.3219194567115493,-3.1380786801528036,-4.101727480493009,-3.444814789461814,-6.27159745894946,-4.340132939641202,-3.1624960337108847,-4.699727062127025,27
-4.023441157397338,-3.291043243857489,-3.1057671801885363,-4.066149282391781,-3.4106390542913494,-6.270075561640482,-4.317765042844608,-3.131031372064106,-4.722531550452366,28
-4.009863641158433,-3.271981260370023,-3.0859153796645034,-4.0388022308776215,-3.387600464134633,-6.269803033523041,-4.303118942576288,-3.1117449861971123,-4.734788874927206,29
-4.00524975881108,-3.263774688463384,-3.0774990890211456,-4.019030659329422,-3.3747970367319686,-6.2702135810231345,-4.295378370052987,-3.1036319528183296,-4.7373732989203194,30
-4.008790287542772,-3.265464710351803,-3.0794941186989035,-4.006178901126081,-3.371326789823658,-6.270740910566766,-4.293727056491451,-3.1056873486361836,-4.731159085800476,31
-4.019676004541007,-3.2760925082495125,-3.090876279138218,-3.9995912896464914,-3.3762877411500045,-6.27081872857993,-4.297348733108425,-3.1169062503590994,-4.717020498936453,32
-4.03709768699328,-3.294699264370745,-3.1106213807795307,-3.9986121582695495,-3.3887779084513117,-6.269880741488635,-4.3054271311206564,-3.1362837346955033,-4.6958318016970235,33
-4.060246112087087,-3.3203261609297305,-3.1377052340632816,-4.0025858403741505,-3.407895309467882,-6.26736065571887,-4.317145981744888,-3.162814878353819,-4.66846725745096,34
-4.088312057009921,-3.3520143801407007,-3.1711036494299103,-4.010856669339191,-3.432737961940018,-6.262692177696643,-4.331689016197865,-3.195494758042472,-4.635801129567035,35
-4.120486298949282,-3.388805104217889,-3.20979243731986,-4.022768978543565,-3.462403883608023,-6.25530901384795,-4.348239965696337,-3.2333184504698895,-4.598707681414023,36
-4.155959615092663,-3.429739515375527,-3.25274740817357,-4.037667101366169,-3.4959910922121997,-6.2446448705987905,-4.365982561457045,-3.2752810323444947,-4.558061176360697,37
-4.193922782627562,-3.4738587958278444,-3.298944372431481,-4.054895371185896,-3.532597605492852,-6.230133454375166,-4.384100534696738,-3.320377580374714,-4.514735877775831,38
-4.2335665787414705,-3.520204127789075,-3.3473591405340346,-4.073798121381643,-3.571321441190281,-6.211208471603076,-4.401777616632159,-3.367603171268973,-4.469606049028198,39
-4.274081780621889,-3.5678166934734494,-3.3969675229216705,-4.0937196853323075,-3.61126061704479,-6.187303628708519,-4.4181975384800545,-3.4159528817356963,-4.423545953486572,40
-4.314659165456311,-3.6157376750952,-3.4467453300348305,-4.114004396416781,-3.651513150796683,-6.157852632117496,-4.43254403145717,-3.4644217884833095,-4.377429854519725,41
-4.3544895104322325,-3.663008254868559,-3.495668372313956,-4.133996588013961,-3.691177060186263,-6.1222891882560075,-4.444000826780253,-3.5120049682202388,-4.332132015496431,42
-4.392763592737148,-3.708669615007757,-3.5427124601994855,-4.153040593502743,-3.729350362953831,-6.08004700355005,-4.451751655666046,-3.5576974976549085,-4.288526699785464,43
-4.428672189558555,-3.7517629377270265,-3.5868534041318614,-4.1704807462620215,-3.7651310768396917,-6.030559784425626,-4.454980249331296,-3.600494453495743,-4.247488170755598,44
-4.46140607808395,-3.791329405240599,-3.6270670145515247,-4.185661379670693,-3.7976172195841476,-5.973261237308736,-4.452870338992748,-3.6393909124511703,-4.209890691775605,45
-4.490156035500826,-3.8264101997627056,-3.6623291018989153,-4.197926827107651,-3.825906808927501,-5.907585068625377,-4.444605655867148,-3.6733819512296133,-4.176608526214259,46
-4.514112838996682,-3.8560465035075793,-3.691615476614474,-4.206621421951792,-3.8490978626100545,-5.83296498480155,-4.429369931171242,-3.701462646539498,-4.148515937440333,47
-4.53246726575901,-3.8792794986894514,-3.7139019491386422,-4.2110894975820115,-3.866288398372112,-5.748834692263254,-4.406346896121774,-3.722628075089251,-4.126487188822599,48
-4.5444100929753075,-3.895150367522554,-3.728164329911861,-4.210675387377204,-3.8765764339539763,-5.654627897436492,-4.374720281935492,-3.7358733135872964,-4.111396543729835,49
-4.549132097833072,-3.902700292221118,-3.73337842937457,-4.204723424716267,-3.8790599870959506,-5.549778306747261,-4.33367381982914,-3.7401934387420606,-4.10411826553081,50
-4.550285436088235,-3.906905982203824,-3.7338559597085847,-4.192476385848028,-3.8767044791972016,-5.398585444938429,-4.2706148081738355,-3.7395393925941187,-4.099897742658765,51
-4.551960723042817,-3.913014977142208,-3.7345495986609114,-4.17468689143358,-3.8732829750231055,-5.178969536179616,-4.179018141608832,-3.738589354758786,-4.093767202136598,52
-4.554006425203436,-3.9204747046297825,-3.7353966050197838,-4.152964041470208,-3.8691049573632803,-4.910795336036945,-4.0671689457530755,-3.7374292583065953,-4.086281165217569,53
-4.556271009076716,-3.9287325922600598,-3.7363342375734323,-4.128916935955199,-3.8644799090073416,-4.613927600076537,-3.943352346225508,-3.736145036308079,-4.077994153154941,54
-4.558602941169275,-3.937236067626553,-3.737299755110089,-4.104154674885841,-3.8597173127449067,-4.308231083864521,-3.8158534686450767,-3.7348226218337697,-4.069460687201974,55
-4.560850687987734,-3.945432558322777,-3.738230416417985,-4.0802863582594195,-3.855126651365593,-4.013570542967017,-3.692957438630726,-3.733547947954202,-4.061235288611929,56
-4.5628627160387145,-3.9527694919422425,-3.7390634802853535,-4.058921086073222,-3.851017407659015,-3.749810732950151,-3.5829493818014004,-3.7324069477399062,-4.05387247863807,57
-4.564487491828837,-3.958694296078464,-3.739736205500424,-4.041667958324536,-3.847699064414791,-3.536816409380044,-3.4941144237760446,-3.7314855542614165,-4.047926778533656,58
-4.565573481864722,-3.9626543983249536,-3.7401858508514296,-4.030136075010646,-3.845481104422538,-3.3944523278228242,-3.434737690173606,-3.730869700589265,-4.043952709551949,59
-4.56596915265299,-3.9640972262752254,-3.7403496751266028,-4.025934536128842,-3.8446730104718725,-3.3425832438446124,-3.4131043066130275,-3.730645319793985,-4.042504792946211,60
-4.567618635851122,-3.9688490260267146,-3.742870616891249,-4.021307813239651,-3.8453108288246547,-3.344580982581427,-3.416677010082501,-3.733317248553001,-4.0436339040717835,61
-4.57209580453177,-3.9817467682093284,-3.749713173109573,-4.008749565397561,-3.8470420500679214,-3.350003416295637,-3.426374348071072,-3.740569626613186,-4.046698634269763,62
-4.578693737324303,-4.000753967215285,-3.759796940168157,-3.990242673840796,-3.849593323479051,-3.3579943712428943,-3.4406651619489654,-3.751257341649249,-4.051215078772051,63
-4.586705512858094,-4.023834137436805,-3.77204151445358,-3.967770019807582,-3.852691298335423,-3.36769767367885,-3.458018293086409,-3.764235281335897,-4.056699332810544,64
-4.595424209762513,-4.048950793266105,-3.7853664923524226,-3.943314484536143,-3.856062623914416,-3.378257149859154,-3.4769025828536257,-3.778358333347837,-4.0626674916171375,65
-4.604142906666931,-4.074067449095406,-3.7986914702512657,-3.9188589492647043,-3.8594339494934093,-3.3888166260394588,-3.4957868726208434,-3.7924813853597774,-4.068635650423731,66
-4.612154682200722,-4.0971476193169245,-3.810936044536689,-3.8963862952314905,-3.862531924349781,-3.398519928475414,-3.513140003758286,-3.805459325046425,-4.074119904462224,67
-4.618752614993254,-4.116154818322881,-3.8210198115952725,-3.8778794036747257,-3.86508319776091,-3.4065108834226714,-3.52743081763618,-3.8161470400824875,-4.078636348964511,68
-4.623229783673902,-4.129052560505496,-3.827862367813597,-3.865321155832635,-3.8668144190041773,-3.411933317136882,-3.537128155624751,-3.823399418142673,-4.081701079162492,69
-4.6248792668720355,-4.133804360256985,-3.830383309578243,-3.8606944329434443,-3.8674522373569595,-3.413931055873696,-3.5407008590942244,-3.826071346901689,-4.082830190288064,70
-4.624548120734794,-4.131836694088761,-3.8306960679538395,-3.856475792393372,-3.863259381662772,-3.4165787003375394,-3.542170053038617,-3.8265500542767596,-4.084372833473193,71
-4.623649295505135,-4.126495885917869,-3.831544983544745,-3.845025196614602,-3.851878773349976,-3.423765163882257,-3.546157865173396,-3.827849402866236,-4.088560007832828,72
-4.622324710956165,-4.118625221244974,-3.832796017047131,-3.828150634414311,-3.835107350573224,-3.43435574173763,-3.552034640950965,-3.8297642323665175,-4.0947305805733425,73
-4.620716286860988,-4.109067985570746,-3.834315129157172,-3.807660094599672,-3.814742051487169,-3.4472157291334407,-3.559170725823728,-3.8320893824740025,-4.1022234189011115,74
-4.618965942992707,-4.0986674643958505,-3.83596828057104,-3.7853615659778583,-3.7925798142464617,-3.4612104212994694,-3.566936465244088,-3.834619692885089,-4.1103773900225065,75
-4.6172155991244255,-4.088266943220955,-3.8376214319849082,-3.763063037356045,-3.7704175770057544,-3.475205113465498,-3.5747022046644483,-3.837150003296175,-4.118531361143901,76
-4.615607175029249,-4.078709707546727,-3.839140544094949,-3.742572497541406,-3.7500522779196994,-3.4880651008613084,-3.581838289537211,-3.8394751534036597,-4.1260241994716695,77
-4.614282590480279,-4.070839042873832,-3.8403915775973356,-3.7256979353411146,-3.7332808551429477,-3.4986556787166814,-3.58771506531478,-3.8413899829039413,-4.132194772212184,78
-4.613383765250621,-4.06549823470294,-3.8412404931882405,-3.7142473395623457,-3.7219002468301516,-3.505842142261399,-3.591702877449559,-3.842689331493418,-4.136381946571819,79
-4.613052619113378,-4.063530568534716,-3.841553251563837,-3.710028699012273,-3.717707391135964,-3.5084897867252423,-3.5931720713939517,-3.8431680388684883,-4.137924589756948,80
-4.608250556105964,-4.065213850623139,-3.8426336143704862,-3.7063008811882017,-3.7141484731743137,-3.5086510206034207,-3.5950389060520793,-3.8444852734212045,-4.138978247002103,81
-4.595216385085843,-4.069782759148858,-3.84556602770282,-3.696182518522866,-3.704488552992692,-3.509088655415619,-3.6001060286955684,-3.8480606243500057,-4.141838173810381,82
-4.576008133056188,-4.0765158875025485,-3.8498874789294164,-3.681271247226581,-3.6902528811460913,-3.509733590928332,-3.607573367328079,-3.853329562560871,-4.146052802791001,83
-4.552683827020181,-4.084691829074887,-3.8551349554188556,-3.663164703509665,-3.672966708189505,-3.510516726908056,-3.6166408499532707,-3.8597275589597784,-4.151170566553183,84
-4.527301493980996,-4.09358917725655,-3.860845444539715,-3.6434605235824318,-3.654155284677926,-3.511368963121284,-3.626508404574802,-3.8666900844527072,-4.156739897706144,85
-4.50191916094181,-4.102486525438213,-3.866555933660575,-3.6237563436551987,-3.635343861166346,-3.5122211993345127,-3.636375959196334,-3.873652609945636,-4.162309228859106,86
-4.478594854905802,-4.110662467010551,-3.8718034101500134,-3.605649799938282,-3.61805768820976,-3.5130043353142355,-3.6454434418215245,-3.8800506063445432,-4.167426992621287,87
-4.459386602876148,-4.117395595364242,-3.8761248613766104,-3.5907385286419973,-3.60382201636316,-3.5136492708269493,-3.6529107804540355,-3.8853195445554087,-4.171641621601908,88
-4.4463524318560275,-4.12196450388996,-3.879057274708944,-3.580620165976662,-3.5941620961815377,-3.5140869056391475,-3.6579779030975246,-3.88889489548421,-4.174501548410186,89
-4.441550368848613,-4.123647785978383,-3.880137637515593,-3.5768923481525907,-3.5906031782198875,-3.514248139517326,-3.6598447377556522,-3.890212130036926,-4.175555205655341,90
