C1,C2,C3,C4,C5,C6,C7,time
-7.000000000000005,-6.474305181637223,-6.96503711059375,-6.989178153279016,-1.559871172149292,-6.906803638313945,-6.9062161250612935,10
-6.843236848909425,-6.291064695661698,-6.774386115090444,-6.859679478368545,-1.7257015458161842,-6.7707832517212045,-6.708100221951711,11
-6.627687516159879,-6.0391090274453525,-6.5122409962734,-6.681618800366649,-1.9537183096081605,-6.583755220156187,-6.435690855176043,12
-6.368048547166105,-5.735616972548388,-6.196475284971049,-6.46713662004618,-2.2283748659939504,-6.35847145486196,-6.107561390650806,13
-6.079016487342849,-5.397767326531015,-5.84496251201183,-6.228373438179999,-2.534124617442282,-6.1076838670815965,-5.74228519429253,14
-5.775287882104851,-5.042738884953435,-5.475576208224175,-5.977469755540962,-2.8554209664218853,-5.844144368058163,-5.35843563201773,15
-5.471559276866852,-4.687710443375854,-5.106189904436521,-5.7265660729019245,-3.176717315401489,-5.580604869034729,-4.97458606974293,16
-5.182527217043597,-4.349860797358479,-4.7546771314773,-5.487802891035746,-3.482467066849822,-5.329817281254364,-4.609309873384653,17
-4.922888248049825,-4.046368742461517,-4.438911420174951,-5.273320710715279,-3.7571236232356107,-5.104533515960139,-4.281180408859422,18
-4.707338915300277,-3.794413074245171,-4.176766301357906,-5.095260032713381,-3.9851403870275877,-4.91750548439512,-4.0087710420837555,19
-4.550575764209697,-3.611172588269646,-3.9861153058546006,-4.96576135780291,-4.150970760694479,-4.7814850978023795,-3.8106551389741767,20
-4.43608809087822,-3.477057974455337,-3.8469252088009,-4.870723191001143,-4.271894397483859,-4.682209099376745,-3.6658130803953344,21
-4.337028674966008,-3.360425565904616,-3.726583780655833,-4.787503020369923,-4.376138015750165,-4.596368778962168,-3.540173545917349,22
-4.252589287227827,-3.2603726229506558,-3.624096045232576,-4.71542982124895,-4.464575615622431,-4.523147867775388,-3.4327323495149455,23
-4.181961698418451,-3.1759964059266275,-3.538467026344307,-4.653832568977929,-4.538081197229689,-4.461730097033156,-3.3424853051628527,24
-4.124337679292652,-3.1063941751657067,-3.4687017478042055,-4.602040238896558,-4.597528760700968,-4.411299197952217,-3.2684282268357974,25
-4.078909000605201,-3.050663191001063,-3.413805233425445,-4.5593818063445415,-4.6437923061653015,-4.371038901749312,-3.209556928508507,26
-4.044867433110868,-3.0079007137658724,-3.372782507021209,-4.525186246661582,-4.6777458337517235,-4.340132939641191,-3.1648672241557096,27
-4.021404747564426,-2.9772040037933056,-3.3446385924046704,-4.498782535187381,-4.700263343589263,-4.317765042844599,-3.1333549277521326,28
-4.007712714720646,-2.957670321416535,-3.3283785133890094,-4.479499647261639,-4.7122188358069526,-4.30311894257628,-3.1140158532725017,29
-4.002983105334301,-2.9483969269687345,-3.3230072937874024,-4.466666558224058,-4.714486310533825,-4.295378370052978,-3.1058458146915453,30
-4.0064076901601595,-2.9484810807830764,-3.3275299574130286,-4.459612243414342,-4.70793976789891,-4.293727056491443,-3.1078406259839912,31
-4.0171782399529965,-2.957020043192733,-3.340951528079065,-4.457665678172191,-4.693453208031241,-4.297348733108418,-3.118996101124566,32
-4.034486525467582,-2.973111074530878,-3.3622770295986895,-4.460155837837309,-4.6719006310598505,-4.3054271311206485,-3.138308054087999,33
-4.057524317458686,-2.995851435130684,-3.390511485785079,-4.466411697749397,-4.644156037113768,-4.31714598174488,-3.1647722988490155,34
-4.085483386681081,-3.0243383853253225,-3.4246599204514125,-4.475762233248156,-4.611093426322027,-4.331689016197859,-3.1973846493823426,35
-4.117555503889539,-3.0576691854479674,-3.463727357410867,-4.48753641967329,-4.573586798813659,-4.34823996569633,-3.23514091966271,36
-4.152932439838833,-3.0949410958317918,-3.5067188204766206,-4.5010632323644995,-4.532510154717697,-4.36598256145704,-3.277036923664843,37
-4.190805965283731,-3.135251376809967,-3.5526393334618507,-4.5156716466614855,-4.48873749416317,-4.384100534696732,-3.3220684753634693,38
-4.230367850979007,-3.1776972887156663,-3.6004939201797357,-4.530690637903953,-4.443142817279113,-4.401777616632154,-3.3692313887333167,39
-4.270809867679431,-3.2213760918820626,-3.6492876044434523,-4.545449181431602,-4.3966001241945545,-4.41819753848005,-3.4175214777491125,40
