C1,C2,C3,C4,time
-6.896345282297048,-7.000000000000011,-6.757048326633418,-6.852954955606583,10
-6.77052460104313,-6.842734351108077,-6.571793442437598,-6.663121527084402,11
-6.597521164318992,-6.62649408388167,-6.317067976668345,-6.4021005628663845,12
-6.389130660992188,-6.366022852904405,-6.010239574719016,-6.0876889468764865,13
-6.157148779930275,-6.076064312759906,-5.668675881982972,-5.7376835630386696,14
-5.913371210000808,-5.771362118031788,-5.3097445438535695,-5.369881295276893,15
-5.669593640071338,-5.466659923303668,-4.950813205724167,-5.002079027515113,16
-5.437611759009425,-5.17670138315917,-4.609249512988122,-4.652073643677292,17
-5.229221255682621,-4.9162301521819085,-4.302421111038795,-4.337662027687387,18
-5.056217818958482,-4.699989884955501,-4.047695645269542,-4.076641063469358,19
-4.930397137704563,-4.542724236063569,-3.862440761073721,-3.8868076349471625,20
-4.837820395898069,-4.427879752956644,-3.7269251387640607,-3.748029361867643,21
-4.756275212520618,-4.328532112827904,-3.6092220357902853,-3.6276619870042435,22
-4.685146928946372,-4.243868664874936,-3.508405963251244,-3.524734578820829,23
-4.623820886549501,-4.173076758295326,-3.423551432245787,-3.4382762057812637,24
-4.571682426704168,-4.115343742286658,-3.3537329538727656,-3.3673159363494127,25
-4.528116890784541,-4.06985696604652,-3.298025039231028,-3.310882838989139,26
-4.492509620164788,-4.0358037787724985,-3.255502199419427,-3.2680059821643086,27
-4.464245956219074,-4.012371529662178,-3.2252389455368116,-3.237714434338786,28
-4.442711240321564,-3.998747567913143,-3.206309788682032,-3.2190372639764337,29
-4.427290813846424,-3.9941192427229835,-3.1977892399539387,-3.2110035395411174,30
-4.417370018167824,-3.9976739032892814,-3.198751810451383,-3.212642329496702,31
-4.412334194659927,-4.008598898809626,-3.208272011273214,-3.2229827023070516,32
-4.411568684696901,-4.026081578481602,-3.2254243535182825,-3.2410537264360313,33
-4.4144588296529115,-4.049309291502794,-3.249283348285439,-3.265884470347505,34
-4.420389970902126,-4.077469387070789,-3.2789235066735327,-3.2965040025053365,35
-4.428747449818709,-4.109749214383176,-3.313419339781415,-3.3319413913733915,36
-4.438916607776829,-4.145336122637536,-3.351845358707937,-3.371225705415534,37
-4.45028278615065,-4.183417461031457,-3.3932760745519466,-3.413386013095628,38
-4.46223132631434,-4.223180578762526,-3.436785998412296,-3.4574513828775384,39
-4.4741475696420645,-4.263812825028328,-3.481449641387835,-3.50245088322513,40
-4.485416857507991,-4.304501549026449,-3.5263415145774135,-3.547413582602266,41
-4.495424531286286,-4.344434099954477,-3.570536129079884,-3.591368549472814,42
-4.503555932351113,-4.382797827009993,-3.613107995994093,-3.633344852300634,43
-4.509196402076642,-4.418780079390588,-3.653131626418893,-3.672371559549594,44
-4.511731281837037,-4.451568206293846,-3.6896815314531346,-3.707477739683558,45
-4.510545913006465,-4.480349556917353,-3.7218322221956677,-3.7376924611663878,46
-4.505025636959093,-4.5043114804586954,-3.7486582097453423,-3.7620447924619507,47
-4.494555795069085,-4.522641326115458,-3.7692340052010094,-3.77956380203411,48
-4.478521728710611,-4.534526443085228,-3.782634119661518,-3.789278558346731,49
-4.456308779257835,-4.539154180565592,-3.7879330642257205,-3.7902181298636775,50
-4.421363809482139,-4.540151765430345,-3.7892206769681813,-3.7850509491886832,51
-4.370604327837148,-4.5416008120587055,-3.791091004966355,-3.7775453363833913,52
-4.308621644220402,-4.543370250906405,-3.7933748728234216,-3.768380191098533,53
-4.240007068529436,-4.545329012429167,-3.7959031051425605,-3.7582344129848404,54
-4.169351910661787,-4.547346027082717,-3.7985065265269524,-3.7477869016930434,55
-4.101247480514992,-4.549290225322783,-3.8010159615797785,-3.737716556873874,56
-4.040285087986589,-4.551030537605088,-3.803262234904218,-3.7287022781780617,57
-3.991056042974111,-4.55243589438536,-3.8050761711034515,-3.7214229652563384,58
-3.9581516553750977,-4.553375226119323,-3.8062885947806593,-3.7165575177594348,59
-3.946163235087085,-4.553717463262705,-3.806730330539022,-3.7147848353380826,60
-3.937249012520233,-4.555291789432437,-3.810440624679326,-3.717482740858264,61
-3.9130532655530614,-4.559564960464565,-3.8205114230601502,-3.7248056272701846,62
-3.877396375285651,-4.565862265143489,-3.8353525996213658,-3.73559724935091,63
-3.8340987228180827,-4.573508992253612,-3.8533740283028424,-3.7487013618775054,64
-3.7869806892504334,-4.581830430579334,-3.872985583044448,-3.762961719627035,65
-3.739862655682784,-4.590151868905057,-3.892597137786055,-3.777222077376565,66
-3.6965650032152153,-4.5977985960151795,-3.91061856646753,-3.79032618990316,67
-3.660908112947805,-4.604095900694104,-3.9254597430287452,-3.801117811983885,68
-3.636712365980634,-4.608369071726232,-3.93553054140957,-3.808440698395806,69
-3.6277981434137816,-4.609943397895963,-3.939240835549874,-3.811138603915987,70
-3.6245306958711017,-4.60971724766102,-3.938768243248384,-3.8116520693305507,71
-3.6156619096838285,-4.609103411309034,-3.9374854927157683,-3.8130457611700788,72
-3.602592119513109,-4.608198810369265,-3.935595123509809,-3.8150996228283316,73
-3.5867216600200944,-4.607100366370974,-3.9332996751882865,-3.817593597699067,74
-3.56945086586593,-4.605905000843422,-3.930801687308983,-3.8203076291760443,75
-3.552180071711766,-4.604709635315871,-3.928303699429679,-3.823021660653021,76
-3.5363096122187505,-4.6036111913175795,-3.9260082511081564,-3.8255156355237565,77
-3.5232398220480317,-4.60270659037781,-3.924117881902197,-3.827569497182009,78
-3.514371035860758,-4.602092754025824,-3.922835131369581,-3.828963189021538,79
-3.5111035883180786,-4.6018666037908815,-3.922362539068091,-3.829476654436101,80
-3.507310595595626,-4.597185889031901,-3.9232770705312734,-3.8307807070865403,81
-3.4970153296346846,-4.584481091828956,-3.925759370217054,-3.8343202785663033,82
-3.4818433587448747,-4.565758232793035,-3.9294174960697825,-3.8395364891680597,83
-3.4634202512358216,-4.543023332535133,-3.9338595060338117,-3.8458704591844795,84
-3.443371575417145,-4.518282411666238,-3.938693458053489,-3.852763308908229,85
-3.4233228995984684,-4.493541490797344,-3.943527410073167,-3.859656158631979,86
-3.4048997920894144,-4.47080659053944,-3.947969420037195,-3.8659901286483978,87
-3.389727821199605,-4.45208373150352,-3.9516275458899246,-3.8712063392501546,88
-3.3794325552386635,-4.439378934300574,-3.954109845575705,-3.874745910729918,89
-3.375639562516211,-4.434698219541595,-3.955024377038887,-3.8760499633803573,90
-3.375607389693874,-4.4321013594393275,-3.9602294197937424,-3.8808456253299055,91
-3.3755200634618174,-4.425052739161746,-3.9743573929854925,-3.8938624220501072,92
-3.3753913721724698,-4.414665298752677,-3.9951775640049134,-3.913045069848299,93
-3.3752351041782624,-4.402051978255953,-4.020459200242783,-3.936338285031818,94
-3.375065047831625,-4.388325717715399,-4.047971569089874,-3.961686783908,95
