C1,C2,C3,C4,time
-3.8596790980905995,-4.852625734243466,-6.770730221225883,-5.6486477044820305,10
-3.8580217964950516,-4.837517860975569,-6.693974022080168,-5.608876743748089,11
-3.853523406449993,-4.7965107763912815,-6.485635767256082,-5.500926993184536,12
-3.846894200067801,-4.736079283319697,-6.178610970673217,-5.341843150248772,13
-3.838844449460853,-4.6626981845899165,-5.805795146251168,-5.148669912398203,14
-3.8300844267415277,-4.582842283031038,-5.400083807909526,-4.93845197709023,15
-3.821324404022203,-4.50298638147216,-4.994372469567885,-4.728234041782257,16
-3.8132746534152555,-4.429605282742379,-4.621556645145836,-4.535060803931688,17
-3.8066454470330635,-4.369173789670795,-4.3145318485629724,-4.375976960995925,18
-3.8021470569880047,-4.328166705086507,-4.106193593738887,-4.268027210432371,19
-3.8004897553924564,-4.31305883181861,-4.02943739459317,-4.22825624969843,20
-3.8341172859315487,-4.344432025872431,-4.062954141670517,-4.158184007166007,21
-3.9253920116805125,-4.429587838304227,-4.153928169451886,-3.9679879202922868,22
-4.05990213383688,-4.555080614519506,-4.287995157761271,-3.6876989501625967,23
-4.223235853598186,-4.707464699923775,-4.450790786422669,-3.347348057862255,24
-4.400981372161957,-4.873294439922535,-4.627950735260071,-2.976966204476592,25
-4.578726890725729,-5.0391241799212985,-4.805110684097474,-2.6065843510909277,26
-4.742060610487034,-5.191508265325566,-4.9679063127588705,-2.266233458790588,27
-4.876570732643401,-5.317001041540844,-5.101973301068256,-1.9859444886608968,28
-4.9678454583923655,-5.402156853972642,-5.192947328849625,-1.7957484017871765,29
-5.001472988931457,-5.433530048026461,-5.226464075926971,-1.7256761592547543,30
-5.041967917952986,-5.466604694096193,-5.260615024120554,-1.8105104677593569,31
-5.151882725297133,-5.556378733428324,-5.353310454931705,-2.0407750194147063,32
-5.313862441383246,-5.688677317707253,-5.489914247706033,-2.3801122534331167,33
-5.5105520966306685,-5.849325598617382,-5.655790281789147,-2.7921646090269006,34
-5.724596721458744,-6.024148727843109,-5.836302436526652,-3.240574525408369,35
-5.938641346286822,-6.198971857068836,-6.016814591264158,-3.6889844417898394,36
-6.135331001534245,-6.359620137978965,-6.182690625347272,-4.101036797383623,37
-6.297310717620357,-6.491918722257894,-6.3192944181216,-4.440374031402033,38
-6.407225524964503,-6.581692761590023,-6.411989848932751,-4.670638583057382,39
-6.447720453986031,-6.614767407659755,-6.446140797126333,-4.7554728915619835,40
-6.451363481647057,-6.583647187264209,-6.449099398850361,-4.771184130929596,41
-6.4617900780561985,-6.494578970270054,-6.457567121026028,-4.816150781533452,42
-6.478246513352554,-6.354001422966029,-6.470931839158708,-4.887122242125078,43
-6.499979057675222,-6.1683532116408655,-6.488581428753773,-4.980847911456006,44
-6.5262339811633,-5.944073002583299,-6.509903765316598,-5.094077188277762,45
-6.556257553955889,-5.687599462082065,-6.534286724352556,-5.223559471341874,46
-6.589296046192083,-5.40537125642589,-6.561118181367019,-5.366044159399873,47
-6.624595728010984,-5.103827051903515,-6.589786011865363,-5.518280651203289,48
-6.661402869551687,-4.789405514803673,-6.619678091352959,-5.677018345503644,49
-6.6989637409532925,-4.468545311415098,-6.650182295335182,-5.839006641052472,50
-6.7365246123548985,-4.14768510802652,-6.680686499317405,-6.0009949366013,51
-6.773331753895603,-3.833263570926679,-6.710578578805002,-6.159732630901656,52
-6.808631435714502,-3.531719366404306,-6.739246409303345,-6.31196912270507,53
-6.841669927950697,-3.249491160748132,-6.76607786631781,-6.45445381076307,54
-6.871693500743284,-2.9930176202468965,-6.790460825353766,-6.583936093827182,55
-6.897948424231364,-2.7687374111893286,-6.811783161916592,-6.69716537064894,56
-6.919680968554031,-2.5830891998641663,-6.829432751511656,-6.790891039979866,57
-6.936137403850387,-2.442511652560141,-6.842797469644336,-6.861862500571493,58
-6.946564000259528,-2.3534434355659886,-6.851265191820003,-6.906829151175348,59
-6.950207027920554,-2.322323215170441,-6.8542237935440316,-6.92254039054296,60
-6.9490781478003605,-2.3500412788566534,-6.853391194768887,-6.921509453741878,61
-6.945847215042566,-2.4293722887171914,-6.851008239653818,-6.918558841518092,62
-6.940747791051347,-2.554581472954909,-6.847247190014371,-6.913901851140789,63
-6.934013437230884,-2.719934059772656,-6.842280307666094,-6.907751779879162,64
-6.9258777149853525,-2.919695277373287,-6.836279854424535,-6.900321925002398,65
-6.916574185718932,-3.1481303539596563,-6.8294180921052385,-6.891825583779688,66
-6.906336410835799,-3.399504517734613,-6.821867282523755,-6.882476053480219,67
-6.895397951740134,-3.6680829969010142,-6.81379968749563,-6.872486631373183,68
-6.883992369836111,-3.948131019661707,-6.805387568836409,-6.8620706147277675,69
-6.8723532265279115,-4.233913814219548,-6.7968031883616415,-6.851441300813162,70
-6.86071408321971,-4.51969660877739,-6.7882188078868735,-6.840811986898558,71
-6.849308501315689,-4.799744631538084,-6.779806689227653,-6.830395970253143,72
-6.838370042220022,-5.068323110704485,-6.7717390941995275,-6.8204065481461065,73
-6.8281322673368905,-5.3196972744794415,-6.764188284618044,-6.811057017846638,74
-6.8188287380704695,-5.548132351065808,-6.757326522298747,-6.802560676623926,75
-6.810693015824938,-5.747893568666442,-6.751326069057188,-6.795130821747164,76
-6.803958662004474,-5.913246155484188,-6.7463591867089105,-6.7889807504855355,77
-6.798859238013256,-6.038455339721906,-6.742598137069465,-6.784323760108234,78
-6.795628305255462,-6.117786349582443,-6.740215181954395,-6.781373147884447,79
-6.794499425135268,-6.145504413268655,-6.739382583179251,-6.780342211083365,80
