C1,C2,C3,time
-4.477030886031232,-4.852625734243465,-5.698697789501215,10
-4.459447227695843,-4.837517860975568,-5.659523607494417,11
-4.411720155071216,-4.796510776391281,-5.553193684904536,12
-4.341385521729659,-4.736079283319697,-5.396496956877342,13
-4.255979181243485,-4.662698184589916,-5.206222358558607,14
-4.163036987185,-4.582842283031038,-4.999158825094101,15
-4.070094793126516,-4.502986381472159,-4.792095291629595,16
-3.984688452640341,-4.429605282742379,-4.60182069331086,17
-3.9143538192987855,-4.369173789670795,-4.445123965283667,18
-3.866626746674158,-4.328166705086507,-4.338794042693785,19
-3.849043088338769,-4.31305883181861,-4.299619860686987,20
-3.8826471248321406,-4.344432025872431,-4.229795789405746,21
-3.973858081028434,-4.429587838304227,-4.040273310213807,22
-4.108274227001919,-4.555080614519506,-3.7609770250888452,23
-4.271493832826867,-4.707464699923774,-3.421831536008532,24
-4.449115168577542,-4.873294439922534,-3.052761444950546,25
-4.626736504328219,-5.039124179921297,-2.683691353892559,26
-4.789956110153166,-5.191508265325564,-2.344545864812247,27
-4.92437225612665,-5.317001041540842,-2.0652495796872845,28
-5.015583212322944,-5.402156853972639,-1.8757271004953446,29
-5.049187248816315,-5.433530048026459,-1.8059030292141043,30
-5.088336798543172,-5.4666046940961905,-1.888119824780181,31
-5.194599862087495,-5.556378733428322,-2.1112796984595312,32
-5.351198060994921,-5.68867731770725,-2.4401468807238373,33
-5.541353016811081,-5.84932559861738,-2.8394856020447805,34
-5.748286351081607,-6.024148727843107,-3.2740600928940404,35
-5.955219685352134,-6.198971857068835,-3.7086345837433017,36
-6.145374641168293,-6.359620137978964,-4.107973305064244,37
-6.3019728400757185,-6.491918722257894,-4.436840487328551,38
-6.408235903620042,-6.581692761590023,-4.6600003610079,39
-6.447385453346898,-6.614767407659755,-4.742217156573976,40
-6.45088333358246,-6.583647187264209,-4.758045299359828,41
-6.460894508049756,-6.494578970270054,-4.803346535608989,42
-6.476695277389706,-6.354001422966029,-4.87484607715887,43
-6.497561942243228,-6.1683532116408655,-4.969269135846881,44
-6.52277080325124,-5.944073002583299,-5.083340923510431,45
-6.5515981610546605,-5.687599462082065,-5.213786651986931,46
-6.583320316294407,-5.40537125642589,-5.357331533113792,47
-6.6172135696114,-5.103827051903515,-5.510700778728424,48
-6.652554221646556,-4.789405514803673,-5.670619600668232,49
-6.688618573040792,-4.468545311415098,-5.833813210770632,50
-6.7246829244350295,-4.14768510802652,-5.9970068208730325,51
-6.760023576470186,-3.833263570926679,-6.156925642812842,52
-6.793916829787176,-3.531719366404306,-6.310294888427471,53
-6.825638985026924,-3.249491160748132,-6.453839769554334,54
-6.854466342830344,-2.9930176202468965,-6.584285498030833,55
-6.879675203838357,-2.7687374111893286,-6.698357285694385,56
-6.900541868691878,-2.5830891998641663,-6.792780344382394,57
-6.916342638031828,-2.442511652560141,-6.864279885932277,58
-6.926353812499124,-2.3534434355659886,-6.909581122181437,59
-6.929851692734686,-2.322323215170441,-6.925409264967288,60
-6.928785645526166,-2.3500412788566534,-6.924288716278559,61
-6.925734544894889,-2.4293722887171914,-6.921081628652195,62
-6.920918952332267,-2.554581472954909,-6.916019839747933,63
-6.914559429329721,-2.719934059772656,-6.909335187225512,64
-6.90687653737867,-2.9196952773732874,-6.901259508744669,65
-6.898090837970529,-3.1481303539596563,-6.892024641965138,66
-6.888422892596719,-3.3995045177346137,-6.88186242454666,67
-6.878093262748654,-3.668082996901015,-6.87100469414897,68
-6.867322509917754,-3.9481310196617083,-6.859683288431807,69
-6.856331195595436,-4.233913814219549,-6.848130045054905,70
-6.845339881273118,-4.519696608777392,-6.836576801678004,71
-6.834569128442219,-4.799744631538085,-6.8252553959608395,72
-6.824239498594153,-5.068323110704487,-6.81439766556315,73
-6.814571553220342,-5.319697274479444,-6.804235448144673,74
-6.805785853812201,-5.548132351065811,-6.795000581365143,75
-6.79810296186115,-5.747893568666444,-6.7869249028843,76
-6.791743438858605,-5.913246155484191,-6.780240250361877,77
-6.786927846295984,-6.038455339721908,-6.7751784614576165,78
-6.783876745664705,-6.117786349582445,-6.771971373831252,79
-6.782810698456186,-6.145504413268657,-6.770850825142523,80
