C1,C2,time
-5.835951691337005,-4.533770178341237,10
-5.82251141962577,-4.51537588082846,11
-5.786030682123847,-4.465448501865206,12
-5.732269595278908,-4.391871311814094,13
-5.666988275538623,-4.302527581037745,14
-5.595946839350667,-4.205300579898776,15
-5.524905403162711,-4.108073578759807,16
-5.459624083422426,-4.018729847983458,17
-5.405862996577487,-3.945152657932347,18
-5.3693822590755635,-3.8952252789690927,19
-5.355941987364329,-3.876830981456315,20
-5.364878128700057,-3.906054157188746,21
-5.389133369468462,-3.985374205605345,22
-5.424877934811376,-4.10226690853507,23
-5.468282049870629,-4.244208047806879,24
-5.51551593978805,-4.398673405249729,25
-5.562749829705472,-4.55313876269258,26
-5.606153944764724,-4.695079901964389,27
-5.641898510107637,-4.8119726048941125,28
-5.666153750876043,-4.891292653310713,29
-5.675089892211771,-4.920515829043143,30
-5.647832455931027,-4.961298696748822,31
-5.57384798602615,-5.0719950519499495,32
-5.464818240903174,-5.235126522772664,33
-5.332424978968133,-5.433214737343105,34
-5.188349958627057,-5.648781323787405,35
-5.044274938285983,-5.864347910231706,36
-4.911881676350941,-6.0624361248021454,37
-4.8028519312279645,-6.225567595624861,38
-4.728867461323088,-6.3362639508259875,39
-4.701610025042345,-6.377046818531666,40
-4.708429758734997,-6.380468876025988,41
-4.727948306889831,-6.390263040578703,42
-4.758754690122161,-6.405721300294433,43
-4.799437929047297,-6.426135643277801,44
-4.848587044280554,-6.450798057633431,45
-4.9047910564372454,-6.479000531465946,46
-4.966638986132684,-6.510035052879969,47
-5.032719853982183,-6.543193609980122,48
-5.101622680601055,-6.57776819087103,49
-5.171936486604615,-6.613050783657314,50
-5.2422502926081735,-6.648333376443597,51
-5.311153119227047,-6.682907957334505,52
-5.377233987076545,-6.716066514434658,53
-5.439081916771984,-6.747101035848681,54
-5.495285928928675,-6.775303509681196,55
-5.544435044161933,-6.799965924036827,56
-5.585118283087068,-6.8203802670201945,57
-5.615924666319398,-6.835838526735925,58
-5.635443214474232,-6.845632691288639,59
-5.642262948166884,-6.849054748782961,60
-5.6341906224792515,-6.848470655099749,61
-5.611087069649132,-6.846798938696077,62
-5.574622426025689,-6.844160446540884,63
-5.526466827958091,-6.840676025603108,64
-5.4682904117955005,-6.836466522851692,65
-5.401763313887082,-6.831652785255574,66
-5.328555670582004,-6.8263556597836965,67
-5.25033761822943,-6.820695993404999,68
-5.168779293178525,-6.81479463308842,69
-5.0855508317784555,-6.808772425802901,70
-5.002322370378384,-6.802750218517382,71
-4.92076404532748,-6.796848858200803,72
-4.842545992974905,-6.791189191822105,73
-4.769338349669827,-6.785892066350227,74
-4.70281125176141,-6.781078328754109,75
-4.644634835598819,-6.776868826002694,76
-4.59647923753122,-6.773384405064919,77
-4.560014593907778,-6.7707459129097245,78
-4.536911041077658,-6.769074196506052,79
-4.528838715390026,-6.768490102822841,80
