C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,time
-4.371711851525387,-3.8590328797748277,-3.1094011296238526,-3.7349387887875527,-4.071973752880661,-3.9374187269310386,-4.24393251508319,-3.939443235726609,-4.204952222138303,-3.886323033397352,-4.234267808285968,-4.2673180349083415,10
-4.37167626955445,-3.8604805031620666,-3.1103830278058746,-3.7371552400041894,-4.072905091679819,-3.936407632571591,-4.242773717577475,-3.9396433008057112,-4.203766235648413,-3.888550598189494,-4.232912282883772,-4.27022446550958,11
-4.371579689919048,-3.8644097666417148,-3.113048180014221,-3.7431713218779175,-4.075433011277534,-3.9336632335959494,-4.239628410061963,-3.940186334591845,-4.200547129461569,-3.8945968454824498,-4.229232999649239,-4.2781133485700815,12
-4.371437362035296,-3.8702002601906695,-3.116975772742309,-3.7520371267444634,-4.079158366474167,-3.9296188561581604,-4.234993220039103,-3.9409865949082525,-4.195803183502008,-3.9035071046510166,-4.223810898040453,-4.289739070975032,13
-4.371264535319314,-3.87723157378583,-3.12174499248356,-3.7628027469395557,-4.083682012070078,-3.9247078264122743,-4.2293647750113434,-3.941958339578176,-4.190042677693969,-3.914326705069991,-4.2172269175155,-4.303856019609615,14
-4.371076459187215,-3.884883297404092,-3.126935025731391,-3.7745182747989205,-4.088604802865628,-3.919363470512339,-4.223239702481135,-3.943015826424858,-4.183773891961693,-3.926100976114168,-4.210061997532462,-4.3192185813590145,15
-4.3708883830551155,-3.892535021022354,-3.1321250589792218,-3.7862338026582854,-4.093527593661179,-3.9140191146124037,-4.217114629950927,-3.9440733132715398,-4.177505106229417,-3.9378752471583454,-4.202897077549424,-4.334581143108414,16
-4.3707155563391336,-3.8995663346175147,-3.1368942787204728,-3.7969994228533777,-4.0980512392570905,-3.909108084866518,-4.211486184923168,-3.9450450579414635,-4.17174460042138,-3.94869484757732,-4.196313097024471,-4.348698091742997,17
-4.370573228455383,-3.90535682816647,-3.140821871448561,-3.805865227719924,-4.101776594453724,-3.9050637074287295,-4.206850994900307,-3.9458453182578714,-4.167000654461819,-3.957605106745887,-4.190890995415685,-4.360323814147948,18
-4.37047664881998,-3.9092860916461176,-3.143487023656907,-3.811881309593652,-4.104304514051439,-3.9023193084530874,-4.2037056873847956,-3.9463883520440044,-4.163781548274974,-3.9636513540388427,-4.187211712181153,-4.36821269720845,19
-4.370441066849042,-3.9107337150333565,-3.144468921838929,-3.8140977608102884,-4.105235852850597,-3.90130821409364,-4.20254688987908,-3.9465884171231065,-4.162595561785084,-3.965878918830984,-4.185856186778956,-4.3711191278096875,20
-4.421683382999503,-3.9726406906804805,-3.131366922499087,-3.8811176266652394,-4.085858007054344,-3.9567119758520373,-4.261910752766078,-3.9095812003436623,-4.223220251020464,-4.030199465920147,-4.246432536690333,-4.340847976875839,21
-4.56076966969361,-4.140673910294104,-3.095804352862374,-4.063028691128678,-4.033260997035942,-4.107093614910544,-4.423041237745074,-3.8091330405137422,-4.387772978945068,-4.204783808019303,-4.410854057878352,-4.258683424341105,22
-4.765738934295452,-4.3883018128826,-3.0433963555030084,-4.331108154548481,-3.9557496138509305,-4.328708661944133,-4.660496689293068,-3.6611041733959664,-4.630271735886589,-4.462065996375954,-4.653159457523857,-4.137598820605709,23
-5.014630184169119,-4.688992837454347,-2.979758072995206,-4.65663321727253,-3.8616286485548437,-4.597812647627778,-4.948835451887062,-3.4813548347529513,-4.924734512172723,-4.774480082237604,-4.947387442807684,-3.990567516069871,24
-5.285482426678696,-5.016215423017716,-2.9105046479131857,-5.010881079648698,-3.7592028922032203,-4.890661102636448,-5.262615870004053,-3.2857452603473183,-5.24517929813116,-5.114460116851749,-5.26757672091067,-3.8305628611338114,25
-5.556334669188274,-5.343438008581087,-2.8412512228311657,-5.365128942024867,-3.6567771358515966,-5.18350955764512,-5.576396288121046,-3.090135685941685,-5.565624084089599,-5.454440151465895,-5.587765999013657,-3.670558206197752,26
-5.8052259190619395,-5.644129033152834,-2.7776129403233636,-5.6906540047489145,-3.5626561705555106,-5.452613543328765,-5.864735050715039,-2.91038634729867,-5.860086860375732,-5.766854237327544,-5.881993984297484,-3.523526901661914,27
-6.010195183663781,-5.891756935741329,-2.7252049429639973,-5.958733468168717,-3.485144787370498,-5.674228590362352,-6.102190502263031,-2.762357480180894,-6.102585617317252,-6.024136425684194,-6.1242993839429865,-3.4024422979265174,28
-6.149281470357889,-6.059790155354952,-2.6896423733272843,-6.140644532632156,-3.432547777352097,-5.82461022942086,-6.263320987242028,-2.6619093203509734,-6.2671383452418565,-6.1987207677833505,-6.288720905131008,-3.320277745391784,29
-6.20052378650835,-6.121697131002076,-2.676540373987443,-6.207664398487107,-3.413169931555844,-5.880013991179257,-6.3226848501290265,-2.6249021035715296,-6.327763034477236,-6.263041314872513,-6.349297255042384,-3.2900065944579353,30
-6.207670362127297,-6.0755704387574845,-2.780771219624801,-6.2261869820008124,-3.490354194551709,-5.86724627725809,-6.220065987891465,-2.732101618509786,-6.332191145236879,-6.2478218307185305,-6.363834891649434,-3.3859759835265613,31
-6.227068210235867,-5.9503694169507355,-3.0636835149262005,-6.27646256582373,-3.699854336969056,-5.832591053757781,-5.941529076103794,-3.0230717304850536,-6.344210303013053,-6.206511802300577,-6.403294191011428,-3.646464325284258,32
-6.255654512711656,-5.765862647972369,-3.4806068974756315,-6.350552899878554,-4.0085913889525155,-5.781520198073115,-5.531053627153544,-3.451869790238079,-6.361922746051626,-6.145633865684646,-6.4614447374396295,-4.03034188155876,33
-6.290366451432256,-5.5418187142129245,-3.9868710048570835,-6.440519734087987,-4.383486380646716,-5.719505587598879,-5.032619153428243,-3.9725531485096095,-6.383430712598464,-6.07171065693673,-6.532056115245303,-4.496478914177799,34
-6.3281412082752615,-5.298006198062941,-4.537805474654544,-6.538424818374718,-4.791460342196285,-5.6520190997298565,-4.490205167315414,-4.53917915604039,-6.4068364408994345,-5.9912648121228225,-6.608897908739712,-5.003745684969102,35
