C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,time
-4.371711851525387,-3.1094011296238513,-3.8121904855040247,-3.7052421419894648,-3.734938788787552,-3.9944553526899687,-4.24393251508319,-3.939443235726609,-4.204952222138302,-4.1655944974526875,-4.26731803490834,10
-4.37167626955445,-3.1103830278058737,-3.814033156898497,-3.704444174976633,-3.7371552400041885,-3.995421880110449,-4.242773717577475,-3.9396433008057112,-4.203766235648412,-4.164946160904637,-4.270224465509578,11
-4.371579689919048,-3.1130481800142196,-3.8190346935406354,-3.7022782645132306,-3.7431713218779166,-3.998045311680323,-4.239628410061963,-3.940186334591845,-4.200547129461567,-4.163186390274214,-4.27811334857008,12
-4.371437362035296,-3.116975772742308,-3.826405379118523,-3.699086396461901,-3.7520371267444625,-4.001911421362243,-4.234993220039102,-3.940986594908253,-4.195803183502006,-4.160593044082011,-4.289739070975031,13
-4.371264535319313,-3.121744992483559,-3.835355497320245,-3.6952105566852875,-3.7628027469395553,-4.006605983118859,-4.229364775011343,-3.9419583395781763,-4.1900426776939685,-4.1574439808486225,-4.303856019609614,14
-4.371076459187215,-3.12693502573139,-3.8450953318338827,-3.690992731046031,-3.77451827479892,-4.011714770912824,-4.223239702481134,-3.9430158264248583,-4.183773891961692,-4.154017059094641,-4.319218581359014,15
-4.3708883830551155,-3.1321250589792218,-3.85483516634752,-3.686774905406774,-3.786233802658285,-4.01682355870679,-4.217114629950926,-3.9440733132715398,-4.177505106229415,-4.150590137340659,-4.334581143108413,16
-4.370715556339132,-3.1368942787204723,-3.863785284549242,-3.6828990656301603,-3.796999422853377,-4.021518120463406,-4.211486184923167,-3.945045057941464,-4.171744600421377,-4.14744107410727,-4.348698091742997,17
-4.370573228455382,-3.140821871448561,-3.87115597012713,-3.6797071975788316,-3.805865227719924,-4.025384230145326,-4.206850994900307,-3.945845318257872,-4.167000654461816,-4.144847727915068,-4.3603238141479475,18
-4.370476648819979,-3.143487023656907,-3.8761575067692684,-3.6775412871154294,-3.8118813095936517,-4.0280076617152,-4.203705687384795,-3.9463883520440053,-4.163781548274971,-4.143087957284645,-4.36821269720845,19
-4.370441066849041,-3.144468921838929,-3.8780001781637403,-3.676743320102597,-3.814097760810288,-4.028974189135679,-4.202546889879079,-3.9465884171231074,-4.162595561785081,-4.142439620736594,-4.3711191278096875,20
-4.421683382999502,-3.131366922499087,-3.940832757582578,-3.7354338975377517,-3.881117626665239,-4.005429782163331,-4.261910752766077,-3.909581200343663,-4.223220251020462,-4.203754956933059,-4.340847976875839,21
-4.5607696696936095,-3.095804352862374,-4.111378330290851,-3.8947368934331705,-4.063028691128677,-3.941523534666957,-4.423041237745073,-3.8091330405137427,-4.3877729789450655,-4.370182298037751,-4.258683424341105,22
-4.7657389342954515,-3.0433963555030084,-4.3627086479662,-4.129499203173788,-4.33110815454848,-3.8473459067775644,-4.660496689293067,-3.661104173395967,-4.630271735886587,-4.615443642823612,-4.137598820605709,23
-5.014630184169119,-2.979758072995206,-4.6678954622862685,-4.41456772214454,-4.656633217272528,-3.7329873586261577,-4.948835451887062,-3.4813548347529517,-4.924734512172721,-4.913260990063588,-3.99056751606987,24
-5.285482426678696,-2.9105046479131857,-5.000010524928694,-4.724789345730354,-5.010881079648696,-3.6085383503437454,-5.262615870004053,-3.2857452603473183,-5.245179298131159,-5.237356338530617,-3.830562861133811,25
-5.556334669188273,-2.8412512228311657,-5.33212558757112,-5.035010969316171,-5.365128942024866,-3.4840893420613326,-5.576396288121046,-3.090135685941685,-5.565624084089598,-5.561451686997648,-3.670558206197751,26
-5.8052259190619395,-2.7776129403233636,-5.637312401891188,-5.320079488286922,-5.690654004748912,-3.369730793909927,-5.864735050715039,-2.91038634729867,-5.860086860375732,-5.859269034237623,-3.5235269016619126,27
-6.010195183663781,-2.7252049429639973,-5.888642719566536,-5.554841798027538,-5.958733468168715,-3.2755531660205337,-6.102190502263031,-2.762357480180894,-6.102585617317252,-6.104530379023482,-3.4024422979265165,28
-6.149281470357889,-2.6896423733272843,-6.05918829227481,-5.714144793922958,-6.1406445326321535,-3.2116469185241594,-6.263320987242028,-2.6619093203509734,-6.267138345241857,-6.270957720128175,-3.320277745391783,29
-6.20052378650835,-2.676540373987443,-6.122020871693647,-5.772835371358112,-6.207664398487104,-3.1881025115518113,-6.3226848501290265,-2.6249021035715296,-6.327763034477237,-6.33227305632464,-3.290006594457934,30
-6.207670362127297,-2.780771219624801,-6.085918179004241,-5.758087468128063,-6.226186982000811,-3.2735552448705167,-6.220065987891465,-2.732101618509786,-6.33219114523688,-6.3409375769920135,-3.38597598352656,31
-6.227068210235867,-3.0636835149262005,-5.987925155990139,-5.718057445075072,-6.276462565823728,-3.505498378164146,-5.941529076103794,-3.0230717304850536,-6.344210303013054,-6.364455561660597,-3.6464643252842572,32
-6.255654512711656,-3.4806068974756315,-5.843514385232515,-5.659065832154875,-6.3505528998785525,-3.847309311438968,-5.531053627153544,-3.451869790238079,-6.3619227460516266,-6.399113644330088,-4.03034188155876,33
-6.290366451432256,-3.9868710048570843,-5.668158449312544,-5.587433159323208,-6.440519734087985,-4.262365444701252,-5.032619153428243,-3.9725531485096095,-6.383430712598464,-6.441198459000185,-4.496478914177798,34
-6.3281412082752615,-4.537805474654545,-5.477329930811399,-5.509479956535804,-6.538424818374717,-4.714044177957264,-4.490205167315414,-4.53917915604039,-6.406836440899435,-6.486996639670584,-5.003745684969102,35
-6.365915965118267,-5.088739944452008,-5.286501412310253,-5.431526753748401,-6.636329902661451,-5.165722911213279,-3.947791181202585,-5.1058051635711745,-6.430242169200406,-6.532794820340984,-5.511012455760408,36
-6.400627903838868,-5.59500405183346,-5.1111454763902815,-5.359894080916734,-6.726296736870882,-5.5807790444755625,-3.4493567074772824,-5.626488521842705,-6.451750135747244,-6.57487963501108,-5.977149488379446,37
-6.429214206314657,-6.0119274343828915,-4.966734705632658,-5.300902467996537,-6.800387070925708,-5.922589977750385,-3.038881258527033,-6.0552865815957295,-6.4694625787858175,-6.609537717680571,-6.361027044653949,38
-6.448612054423227,-6.2948397296842895,-4.8687416826185554,-5.260872444943546,-6.850662654748625,-6.154533111044013,-2.7603443467393642,-6.3462566935709965,-6.481481736561991,-6.6330557023491545,-6.621515386411645,39
-6.455758630042173,-6.399070575321646,-4.8326389899291495,-5.246124541713497,-6.869185238262331,-6.239985844362717,-2.6577254845018023,-6.453456208509252,-6.485909847321634,-6.641720223016527,-6.71748477548027,40
-6.447471645564043,-6.364384227196892,-4.867475795089263,-5.259166453104977,-6.813265190188113,-6.230017670187499,-2.7708582733307443,-6.450334460841304,-6.487252858528984,-6.64668056574185,-6.7080966912518,41
-6.424978401980546,-6.270235568001127,-4.962032837666712,-5.294565926881852,-6.66148220255809,-6.202961197426192,-3.0779329858664473,-6.441861145742585,-6.4908981746632195,-6.660144353139155,-6.682614748345952,42
-6.391830464068024,-6.131490175502103,-5.101380058307163,-5.346733572447771,-6.437802010261215,-6.163088500725318,-3.5304641411822204,-6.429374155070792,-6.496270219492619,-6.6799857240404465,-6.645062411432073,43
-6.351579396602821,-5.963013627467579,-5.270587397656283,-5.410079999206388,-6.16619034818644,-6.114671654731401,-4.079966258351369,-6.414211380683614,-6.502793416785462,-6.704078817277731,-6.599463145179506,44
-6.307776764361273,-5.779671501665301,-5.454724796359735,-5.479015816561354,-5.870612951222714,-6.061982734090961,-4.677953856447207,-6.397710714438745,-6.509892190310025,-6.730297771683009,-6.549840414257593,45
