C1,C2,C3,C4,C5,C6,time
-4.175933181106715,-4.164839660660458,-3.8046198216234384,-3.8752417167994073,-4.116274353448105,-4.076962585462984,10
-4.17643982750139,-4.163736510551408,-3.8066599756957182,-3.8768521497268433,-4.115623220421076,-4.076633360722231,11
-4.177815010572653,-4.160742245969703,-3.8121975367490495,-3.8812233248155987,-4.113855859347711,-4.075739750711617,12
-4.179841596151354,-4.156329645533504,-3.8203581530381685,-3.8876650565253423,-4.111251327239593,-4.074422851748606,13
-4.182302450068348,-4.1509714878609785,-3.830267472817813,-3.8954871593157465,-4.108088681108308,-4.072823760150664,14
-4.184980438154489,-4.1451405515702895,-3.8410511443427207,-3.9039994476464797,-4.104646977965439,-4.071083572235256,15
-4.18765842624063,-4.139309615279599,-3.851834815867628,-3.912511735977213,-4.101205274822569,-4.069343384319849,16
-4.190119280157625,-4.133951457607074,-3.8617441356472733,-3.9203338387676165,-4.098042628691284,-4.067744292721908,17
-4.192145865736326,-4.129538857170876,-3.8699047519363927,-3.926775570477361,-4.095438096583167,-4.0664273937588975,18
-4.193521048807588,-4.12654459258917,-3.875442312989723,-3.9311467455661155,-4.093670735509802,-4.065533783748283,19
-4.194027695202263,-4.1254414424801205,-3.877482467062003,-3.9327571784935516,-4.093019602482772,-4.06520455900753,20
-4.206157777191478,-4.172440434207769,-3.853804986157579,-3.906483075391589,-4.15366774304207,-4.126959387374026,21
-4.239082285447919,-4.300009126039959,-3.789537537988428,-3.835167652686263,-4.318284124560165,-4.29457963579737,22
-4.28760261340478,-4.488005092950554,-3.694827614370733,-3.730071240278414,-4.560876686797357,-4.541598949263353,23
-4.346520154495253,-4.71628590991342,-3.579822707120673,-3.602454168068883,-4.855453369513949,-4.84155097275776,24
-4.4106363021525326,-4.9647091519024205,-3.4546703080544328,-3.4635767659585106,-5.176022112470237,-5.167969351266379,25
-4.474752449809812,-5.213132393891422,-3.3295179089881923,-3.324699363848139,-5.496590855426527,-5.494387729774998,26
-4.533669990900285,-5.441413210854288,-3.2145130017381334,-3.1970822916386075,-5.791167538143118,-5.794339753269406,27
-4.582190318857146,-5.629409177764882,-3.1198030781204378,-3.0919858792307586,-6.033760100380309,-6.041359066735387,28
-4.615114827113586,-5.756977869597072,-3.0555356299512866,-3.020670456525432,-6.198376481898405,-6.208979315158733,29
-4.627244909102801,-5.8039768613247205,-3.031858149046863,-2.99439635342347,-6.259024622457702,-6.270734143525228,30
-4.672141101886238,-5.720984155802508,-3.1234594580344637,-3.07974318482841,-6.25645363288629,-6.278568551562394,31
-4.794002196584138,-5.4957182408136465,-3.3720915824293796,-3.3113988700703896,-6.249475232621026,-6.299833373377556,32
-4.9735869677178846,-5.163747418724797,-3.7384968183797813,-3.6527861956901484,-6.239191274335374,-6.331171005526217,33
-5.191654189808864,-4.760639991902623,-4.183417462033841,-4.067327948228428,-6.226703610702796,-6.369223844563878,34
-5.428962637378458,-4.32196426271379,-4.667595809539727,-4.518446914225965,-6.213114094396756,-6.410634287046037,35
-5.666271084948052,-3.8832885335249534,-5.151774157045615,-4.969565880223503,-6.199524578090716,-6.452044729528197,36
