C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,time
-3.914245726447896,-4.31377000676048,-4.108480949979888,-3.8818848461846773,-3.9133878777202313,-3.9590466133570303,-4.133014938688321,-3.8868556135531933,-3.836384087761041,-3.973621402814416,-3.895239509144671,-4.14114613471818,-4.1751468213621,-4.12789167889085,-4.0094681693773015,-4.0608250407581785,-3.6170607168175755,-4.242882091198993,10
-3.913412312968683,-4.3148905087027485,-4.108679130999028,-3.881211597486037,-3.9148167226373287,-3.9591550596092544,-4.134209368320715,-3.8859391768648637,-3.8372809816803684,-3.975873026092256,-3.895991089765378,-4.141501667188593,-4.17503859546897,-4.126776712956298,-4.008730376161243,-4.059511196144302,-3.616170535084284,-4.241367931204548,11
-3.911150190667963,-4.317931871117479,-4.109217050908123,-3.879384208161157,-3.9186950159837357,-3.9594494137224343,-4.137451391608638,-3.8834517058536826,-3.839715408032827,-3.981984574989249,-3.8980310943072967,-4.142466683894,-4.174744839473331,-4.123750376848226,-4.006727794574801,-4.055945046478067,-3.613754327522491,-4.237258068362482,12
-3.907816536751111,-4.322413878886554,-4.110009774984683,-3.876691213366596,-3.9244103956521244,-3.95988319873133,-4.14222911013821,-3.8797859591003627,-3.843302983710135,-3.990991068100606,-3.9010374167901234,-4.143888813775652,-4.17431193590081,-4.119290513110014,-4.003776621710569,-4.050689668022561,-3.610193600589322,-4.231201428384699,13
-3.9037685284235057,-4.32785631689186,-4.110972368506221,-3.873421148258915,-3.931350499535168,-3.960409937670704,-4.148030625495548,-3.875334695185618,-3.8476593256040097,-4.00192752402154,-3.904687951233556,-4.145615685774802,-4.173786267277035,-4.113874964285044,-4.000193054661145,-4.044308137040876,-3.605869860741904,-4.223846936983106,14
-3.8993633428905237,-4.333778970015281,-4.1120198967502475,-3.8698625479946744,-3.938902965525539,-3.9609831535753166,-4.1543440392667685,-3.87049067269016,-3.852400050606167,-4.013828961347263,-3.9086605916572923,-4.147494928832699,-4.173214216127632,-4.107981572916693,-3.9962932905191244,-4.037363529796101,-3.6011646144373604,-4.215843519869608,15
-3.894958157357541,-4.339701623138702,-4.1130674249942745,-3.866303947730433,-3.9464554315159104,-3.96155636947993,-4.160657453037989,-3.8656466501947016,-3.8571407756083245,-4.0257303986729855,-3.9126332320810278,-4.149374171890596,-4.17264216497823,-4.102088181548343,-3.9923935263771044,-4.030418922551327,-3.5964593681328165,-4.20784010275611,16
-3.8909101490299367,-4.345144061144008,-4.1140300185158125,-3.863033882622753,-3.9533955353989545,-3.9620831084193036,-4.166458968395327,-3.861195386279957,-3.861497117502199,-4.036666854593921,-3.916283766524461,-4.151101043889746,-4.172116496354454,-4.096672632723372,-3.98880995932768,-4.024037391569642,-3.5921356282853982,-4.200485611354518,17
-3.8875764951130853,-4.349626068913084,-4.114822742592374,-3.8603408878281926,-3.959110915067343,-3.9625168934282,-4.1712366869249,-3.8575296395266374,-3.865084693179507,-4.045673347705279,-3.9192900890072884,-4.152523173771398,-4.171683592781934,-4.092212768985162,-3.9858587864634485,-4.018782013114137,-3.58857490135223,-4.194428971376736,18
-3.8853143728123647,-4.352667431327814,-4.115360662501469,-3.858513498503312,-3.9629892084137497,-3.9628112475413793,-4.174478710212823,-3.8550421685154563,-3.8675191195319667,-4.051784896602271,-3.9213300935492064,-4.153488190476804,-4.171389836786294,-4.0891864328770895,-3.9838562048770054,-4.015215863447901,-3.5861586937904377,-4.190319108534669,19
-3.8844809593331515,-4.353787933270082,-4.115558843520608,-3.8578402498046716,-3.964418053330847,-3.9629196937936033,-4.175673139845216,-3.8541257318271263,-3.8684160134512933,-4.0540365198801105,-3.922081674169913,-4.153843722947218,-4.171281610893164,-4.088071466942536,-3.9831184116609473,-4.013902018834025,-3.5852685120571453,-4.1888049485402234,20
-3.888905309396365,-4.406529062201119,-4.156995511509099,-3.855472769438479,-3.9568487292981693,-3.95796769361674,-4.237478720581048,-3.8521545773888084,-3.867661695977782,-4.116404798041869,-3.9192018584447514,-4.147080459280714,-4.159853754704429,-4.086076011151066,-3.978201459351098,-4.007271258450479,-3.585465366094441,-4.180494996943456,21
-3.9009142595679434,-4.54968355501393,-4.269466467477859,-3.8490467513016693,-3.936303421209473,-3.944526550279538,-4.405236725435446,-3.8468043010562307,-3.8656142628353933,-4.285690124480927,-3.911385215762169,-4.128723029328773,-4.128835287906433,-4.080659774002787,-3.9648554459386487,-3.98927348026657,-3.5859996841956714,-4.157939414037943,22
-3.9186116598207965,-4.760648070738073,-4.435213139431821,-3.8395768298368975,-3.9060261250787645,-3.924718549572084,-4.6524590483787716,-3.838919683302959,-3.862596992941348,-4.535163237127959,-3.8998659528615227,-4.101669974662757,-4.083123863151494,-4.072677950836904,-3.9451876366992513,-3.9627504387323884,-3.586787100344854,-4.124699607650874,23
