C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,time
-4.14993131679672,-3.672074253629517,-4.348083811003056,-4.108480949979887,-3.8941461995739353,-3.8818848461846778,-3.9133878777202322,-4.087923436177541,-3.886855613553195,-3.8363840877610413,-3.8674485026081253,-3.941523944275449,-4.125447528877159,-4.175146821362098,-4.12789167889085,-4.0094681693773015,-4.060825040758178,-4.080805371378151,-3.6170607168175746,-4.242882091198992,10
-4.148953073618483,-3.6732548249067962,-4.3484091908816644,-4.108679130999027,-3.8942171656629156,-3.8812115974860375,-3.9148167226373296,-4.08960541062076,-3.8859391768648655,-3.837280981680369,-3.8683585562754383,-3.943293648932561,-4.1256725499580895,-4.175038595468968,-4.126776712956298,-4.008730376161243,-4.059511196144301,-4.085182449899403,-3.616170535084283,-4.241367931204547,11
-4.1462978421346985,-3.6764592326594125,-4.349292364837888,-4.109217050908122,-3.8944097879044337,-3.8793842081611576,-3.918695015983736,-4.094170769823784,-3.883451705853684,-3.8397154080328275,-3.870828701943859,-3.9480971330018644,-4.12628332146347,-4.1747448394733295,-4.123750376848226,-4.006727794574801,-4.055945046478066,-4.097063091599941,-3.61375432752249,-4.237258068362481,12
-4.142384869421752,-3.68118151776853,-4.350593884352321,-4.1100097749846825,-3.894693652260354,-3.876691213366596,-3.9244103956521244,-4.10089866759666,-3.8797859591003645,-3.8433029837101356,-3.87446891661311,-3.955175951630311,-4.127183405787188,-4.174311935900808,-4.119290513110014,-4.003776621710569,-4.050689668022561,-4.114571405684945,-3.610193600589322,-4.231201428384698,13
-4.137633402556032,-3.6869157211153163,-4.352174300905563,-4.1109723685062205,-3.895038344692544,-3.873421148258916,-3.9313504995351685,-4.109068257749438,-3.875334695185619,-3.8476593256040097,-3.8788891772829155,-3.9637716599648534,-4.128276365323133,-4.173786267277032,-4.113874964285044,-4.000193054661145,-4.044308137040876,-4.1358315013595925,-3.6058698607419037,-4.223846936983105,14
-4.132462688613924,-3.6931558835809364,-4.353894165978208,-4.1120198967502475,-3.895413451162868,-3.869862547994675,-3.938902965525539,-4.117958694092168,-3.8704906726901607,-3.8524000506061675,-3.883699460952998,-3.973125813152444,-4.129465762465189,-4.17321421612763,-4.107981572916694,-3.9962932905191244,-4.037363529796101,-4.158967487829062,-3.6011646144373604,-4.215843519869608,15
-4.127291974671817,-3.699396046046557,-4.3556140310508535,-4.113067424994274,-3.8957885576331917,-3.8663039477304335,-3.9464554315159104,-4.126849130434898,-3.8656466501947024,-3.8571407756083245,-3.88850974462308,-3.9824799663400343,-4.1306551596072465,-4.172642164978228,-4.102088181548343,-3.9923935263771044,-4.030418922551327,-4.182103474298532,-3.596459368132817,-4.20784010275611,16
-4.122540507806097,-3.705130249393343,-4.357194447604096,-4.1140300185158125,-3.896133250065382,-3.863033882622753,-3.9533955353989536,-4.135018720587677,-3.8611953862799573,-3.861497117502199,-3.892930005292886,-3.9910756746745775,-4.131748119143191,-4.172116496354453,-4.096672632723373,-3.98880995932768,-4.024037391569642,-4.20336356997318,-3.5921356282853987,-4.200485611354518,17
-4.118627535093151,-3.709852534502461,-4.35849596711853,-4.114822742592374,-3.896417114421303,-3.8603408878281926,-3.9591109150673427,-4.141746618360553,-3.8575296395266374,-3.865084693179507,-3.896570219962138,-3.998154493303024,-4.1326482034669105,-4.171683592781932,-4.092212768985162,-3.9858587864634485,-4.018782013114138,-4.220871884058184,-3.5885749013522306,-4.194428971376736,18
-4.115972303609365,-3.7130569422550765,-4.359379141074753,-4.115360662501469,-3.8966097366628203,-3.858513498503312,-3.962989208413749,-4.146311977563577,-3.8550421685154563,-3.8675191195319667,-3.899040365630558,-4.002957977372327,-4.133258974972291,-4.171389836786292,-4.08918643287709,-3.9838562048770054,-4.015215863447902,-4.2327525257587215,-3.586158693790438,-4.190319108534669,19
-4.114994060431129,-3.714237513532356,-4.359704520953361,-4.115558843520608,-3.8966807027518007,-3.8578402498046716,-3.964418053330846,-4.147993952006796,-3.8541257318271263,-3.8684160134512933,-3.8999504192978707,-4.004727682029439,-4.13348399605322,-4.171281610893162,-4.088071466942537,-3.9831184116609473,-4.013902018834026,-4.237129604279973,-3.5852685120571457,-4.1888049485402234,20
-4.119526036337898,-3.7122332576848596,-4.411715279305395,-4.156995511509099,-3.891827032641199,-3.855472769438479,-3.956848729298169,-4.2040895081761995,-3.8521545773888084,-3.867661695977782,-3.898799860847296,-4.068445712380859,-4.12663038128986,-4.159853754704427,-4.086076011151067,-3.978201459351098,-4.00727125845048,-4.285230947397098,-3.5854653660944416,-4.180494996943456,21
-4.131827113799128,-3.7067931346702263,-4.5528873376894845,-4.269466467477859,-3.878652785198136,-3.8490467513016693,-3.936303421209473,-4.356348874921725,-3.8468043010562307,-3.8656142628353933,-3.8956769164814498,-4.241394651906143,-4.10802771264645,-4.128835287906432,-4.080659774002788,-3.9648554459386487,-3.989273480266571,-4.415791735857866,-3.585999684195672,-4.157939414037943,22
-4.149955017426204,-3.698776111280241,-4.760930371097618,-4.435213139431821,-3.859238104755729,-3.839576829836898,-3.9060261250787636,-4.5807310995993396,-3.838919683302959,-3.8625969929413477,-3.8910746826791502,-4.496266773311824,-4.080613253593006,-4.083123863151493,-4.072677950836905,-3.9451876366992513,-3.9627504387323893,-4.608197108326367,-3.5867871003448544,-4.124699607650874,23
-4.17196747183051,-3.689041154306687,-5.01355405452178,-4.636476955375919,-3.8356631356470903,-3.8280776394868186,-3.869260836920045,-4.853195229565017,-3.829345504602557,-3.858933165212864,-3.885486255919215,-4.805754349304438,-4.047324267599537,-4.027617133091923,-4.0629857369926174,-3.9213052969085544,-3.9305438882980255,-4.841832203466689,-3.587743248526004,-4.084336985609431,24
-4.195922201623432,-3.678447230541349,-5.288468062953955,-4.855499343315081,-3.810008022205337,-3.815563814694084,-3.829251552747322,-5.149700312174721,-3.8189265454285906,-3.85494605856716,-3.879404732680462,-5.142549652590515,-4.011098018136057,-3.967212750380037,-4.052438327809128,-3.8953156918422067,-3.8954955834135703,-5.096082159942921,-3.5887837627231374,-4.040412955740803,25
-4.219876931416354,-3.667853306776011,-5.56338207138613,-5.074521731254246,-3.7843529087635837,-3.80304998990135,-3.7892422685745983,-5.446205394784428,-3.808507586254624,-3.8509589519214567,-3.8733232094417085,-5.479344955876593,-3.9748717686725756,-3.906808367668152,-4.041890918625639,-3.8693260867758594,-3.860447278529116,-5.350332116419154,-3.5898242769202713,-3.996488925872174,26
-4.24188938582066,-3.658118349802457,-5.816005754810292,-5.2757855471983435,-3.7607779396549454,-3.7915507995512705,-3.7524769804158797,-5.718669524750103,-3.7989334075542223,-3.8472951241929727,-3.867734782681774,-5.788832531869207,-3.9415827826791072,-3.8513016376085822,-4.032198704781353,-3.8454437469851626,-3.828240728094752,-5.583967211559476,-3.5907804251014213,-3.956126303830732,27
-4.260017289447736,-3.650101326412471,-6.0240487882184235,-5.441532219152304,-3.7413632592125374,-3.7820808780864987,-3.72219968428517,-5.943051749427719,-3.7910487898009495,-3.8442778542989267,-3.863132548879474,-6.043704653274886,-3.9141683236256624,-3.8055902128536423,-4.024216881615468,-3.8257759377457643,-3.8017176865605697,-5.776372584027976,-3.591567841250603,-3.922886497443661,28
-4.272318366908967,-3.6446612033978383,-6.165220846602515,-5.554003175121065,-3.7281890117694747,-3.775654859949689,-3.7016543761964744,-6.095311116173243,-3.7856985134683723,-3.842230421156539,-3.8600096045136283,-6.216653592800171,-3.8955656549822533,-3.774571746055647,-4.01880064446719,-3.8124299243333164,-3.783719908376661,-5.906933372488745,-3.592102159351834,-3.900330914538149,29
-4.276850342815735,-3.642656947550342,-6.217231604954548,-5.595439843109555,-3.723335341658873,-3.7732873795834965,-3.694085052163797,-6.151406672342647,-3.7837273590300544,-3.841476103683027,-3.858859046063053,-6.2803716231515905,-3.888712040218892,-3.763143889866912,-4.016805188675719,-3.8075129720234666,-3.7770891479931152,-5.955034715605869,-3.5922990133891295,-3.892020962941382,30
-4.273064496365075,-3.6365006672515228,-6.145069639970421,-5.545110531198595,-3.7783497654278095,-3.769638006962916,-3.760792783932261,-6.0785829262622215,-3.8448162726109363,-3.8350769815589407,-3.8497633988003255,-6.20903610889704,-3.8822214214360593,-3.8200354534534715,-4.077513553236337,-3.865147432065087,-3.8295922972577183,-5.887388355754399,-3.59215467693814,-3.9467020639346906,31
-4.262788627427566,-3.6197907635832984,-5.949201449299219,-5.408502398868846,-3.9276746299434935,-3.75973256699277,-3.941856627303803,-5.880918472615351,-4.0106290380447565,-3.817707935793562,-3.8250752133729216,-6.0154111416346865,-3.864604027596941,-3.974455411759847,-4.242293399900871,-4.021583823606627,-3.972100845261639,-5.703776807586122,-3.591762906571168,-4.095122195202243,32
-4.247645241624924,-3.595165642388021,-5.660553589362711,-5.207185151225005,-4.147732325019238,-3.745135076510449,-4.208687554377656,-5.589623488293647,-4.254984692368282,-3.792111447297215,-3.78869262432201,-5.730069084616483,-3.8386415524656092,-4.202021666106084,-4.485126858143342,-4.252121663773108,-4.18211344232005,-5.433191368180239,-3.5911855607672094,-4.313846599175478,33
-4.229256844578858,-3.5652637095080415,-5.3100526165826665,-4.9627284933717695,-4.414945240468358,-3.7274095523533455,-4.532696537253049,-5.235908150188722,-4.551702272618279,-3.7610299969802234,-3.7445137661887617,-5.38358230109438,-3.807115689806136,-4.47835211781223,-4.7799960574377724,-4.53206046968955,-4.43712873874812,-5.1046233346159555,-3.59048449800526,-4.5794405182858355,34
-4.20924594191108,-3.532723370785711,-4.928625087380854,-4.696702130413837,-4.705735766104163,-3.70812001135885,-4.88529454802921,-4.850982635192187,-4.874600815831507,-3.727206065752908,-3.6964367735143435,-5.006523154320327,-3.7728081333825902,-4.779064668198329,-5.10088312725818,-4.836699758480969,-4.714645384861019,-4.74706400397247,-3.5897215767643145,-4.868469194964751,35
-4.189235039243302,-3.50018303206338,-4.54719755817904,-4.430675767455904,-4.996526291739969,-3.688830470364355,-5.237892558805372,-4.46605712019565,-5.197499359044738,-3.6933821345255926,-3.6483597808399253,-4.629464007546273,-3.738500576959045,-5.079777218584428,-5.4217701970785885,-5.14133904727239,-4.992162030973918,-4.389504673328984,-3.5889586555233697,-5.157497871643669,36
-4.170846642197235,-3.4702810991834006,-4.196696585398995,-4.1862191096026695,-5.263739207189088,-3.671104946207251,-5.561901541680765,-4.112341782090725,-5.494216939294733,-3.6623006842086006,-3.604180922706676,-4.282977224024169,-3.7069747142995713,-5.356107670290573,-5.716639396373018,-5.4212778531888315,-5.247177327401988,-4.0609366397647,-3.58825759276142,-5.423091790754026,37
-4.155703256394593,-3.4456559779881233,-3.908048725462488,-3.9849018619588286,-5.483796902264833,-3.656507455724931,-5.828732468754618,-3.8210467977690223,-5.738572593618259,-3.636704195712254,-3.567798333655765,-3.9976351670059667,-3.6810122391682394,-5.583673924636811,-5.959472854615489,-5.651815693355313,-5.4571899244603985,-3.790351200358819,-3.587680246957462,-5.641816194727261,38
-4.145427387457084,-3.428946074319899,-3.7121805347912864,-3.84829372962908,-5.6331217667805165,-3.6466020157547843,-6.009796312126159,-3.6233823441221524,-5.904385359052079,-3.6193351499468753,-3.543110148228361,-3.8040101997436144,-3.663394845329121,-5.738093882943185,-6.124252701280023,-5.808252084896853,-5.599698472464319,-3.606739652190542,-3.5872884765904893,-5.790236325994813,39
-4.141641541006424,-3.42278979402108,-3.6400185698071597,-3.7979644177181195,-5.688136190549453,-3.642952643134204,-6.076504043894622,-3.550558598041727,-5.96547427263296,-3.612936027822789,-3.5340145009656334,-3.732674685489064,-3.6569042265462883,-5.794985446529744,-6.18496106584064,-5.865886544938472,-5.6522016217289215,-3.5390932923390723,-3.5871441401395,-5.844917426988121,40
-4.152113240337049,-3.4763084173678864,-3.707627932405025,-3.8469267139026626,-5.628901478523396,-3.6434156023626447,-6.086789943340232,-3.615457310933969,-5.9007462800190424,-3.6813996031505023,-3.5369016397126165,-3.7311372356743386,-3.7236548198846764,-5.798971178324206,-6.115912089829962,-5.867744373120075,-5.594412541850542,-3.5422031029831427,-3.581633445931391,-5.788717787042006,41
-4.180536424234461,-3.621573252166364,-3.891139059456376,-3.979824374974995,-5.4681215458812416,-3.6446722059826984,-6.1147088132640315,-3.7916109602129127,-5.725056014352691,-3.8672293076114412,-3.5447381591687135,-3.726964157605799,-3.9048350018031597,-5.809789593194887,-5.928493440658118,-5.872787049612999,-5.43755646789494,-3.550644017588477,-3.566675847366525,-5.636175907188264,42
-4.222423221556962,-3.835647745553594,-4.1615765098478414,-4.175673559713169,-5.231182697777013,-3.646524042896462,-6.155852411046473,-4.051205811781883,-5.466144043897015,-4.1410836089223,-3.556286714156646,-3.7208143583468978,-4.171837375156715,-5.825732520372734,-5.652297536615401,-5.880218362339414,-5.20640014838142,-3.5630832601647584,-3.5446330705340907,-5.411377347403801,43
-4.2732857611628585,-4.095595344666657,-4.489964842466048,-4.413490426895236,-4.943471239364738,-3.648772702006032,-6.2058124940680095,-4.366428131544202,-5.151750936915127,-4.473620974799768,-3.570309959499135,-3.7133467449610906,-4.496054542800316,-5.845091789088691,-5.316916795992105,-5.88924209922149,-4.925710331829294,-3.5781880547216725,-3.5178668415232783,-5.138407667665527,44
-4.328636171910449,-4.378479496642637,-4.847328616197623,-4.6722911352992496,-4.630373475798438,-3.651219772213505,-6.260180819709092,-4.709464185403196,-4.809617261670129,-4.835499872960542,-3.585570550018903,-3.7052202245118284,-4.848879107588939,-5.866159228573703,-4.951943637078518,-5.899062048181395,-4.620253766757861,-3.5946256252689017,-3.488738886423276,-4.841352427950347,45
-4.383986582658041,-4.661363648618617,-5.2046923899292,-4.931091843703263,-4.317275712232139,-3.653666842420978,-6.314549145350175,-5.05250023926219,-4.467483586425134,-5.197378771121315,-3.600831140538671,-3.697093704062567,-5.201703672377562,-5.887226668058714,-4.5869704781649325,-5.9088819971413,-4.314797201686428,-3.611063195816131,-3.4596109313232732,-4.544297188235167,46
-4.434849122263936,-4.921311247731682,-5.533080722547407,-5.168908710885331,-4.029564253819862,-3.655915501530548,-6.364509228371711,-5.367722559024511,-4.153090479443241,-5.529916136998785,-3.61485438588116,-3.6896260906767586,-5.525920840021165,-5.906585936774672,-4.251589737541633,-5.917905734023375,-4.034107385134298,-3.6261679903730446,-3.432844702312461,-4.271327508496891,47
-4.476735919586437,-5.135385741118911,-5.803518172938872,-5.364757895623505,-3.7926254057156332,-3.6577673384443115,-6.405652826154151,-5.627317410593481,-3.894178508987566,-5.803770438309643,-3.626402940869092,-3.6834762914178576,-5.792923213374719,-5.922528863952517,-3.9753938334989165,-5.92533704674979,-3.8029510656207797,-3.6386072329493264,-3.410801925480026,-4.046528948712428,48
-4.505159103483849,-5.280650575917386,-5.987029299990221,-5.497655556695836,-3.63184547307348,-3.659023942064365,-6.4335716960779505,-5.803471059872423,-3.718488243321217,-5.98960014277058,-3.634239460325189,-3.679303213349318,-5.9741033952932,-5.9333472788232,-3.787975184327075,-5.930379723242714,-3.6460949916651795,-3.647048147554661,-3.3958443269151606,-3.893987068858688,49
-4.515630802814474,-5.334169199264194,-6.054638662588086,-5.546617852880379,-3.5726107610474234,-3.659486901292806,-6.443857595523561,-5.868369772764664,-3.653760250707299,-6.0580637180982935,-3.637126599072172,-3.677765763534593,-6.040853988631588,-5.937333010617661,-3.7189262083163968,-5.9322375514243175,-3.5883059117868004,-3.650157958198731,-3.3903336327070517,-3.837787428912573,50
-4.497402201217316,-5.3430245903956965,-5.98850232519596,-5.553268094150282,-3.641555384545605,-3.734477563669262,-6.367092762478347,-5.804767210949595,-3.6543930220014116,-5.990074735415112,-3.641574934003561,-3.678039524824782,-5.976410544496348,-5.870095822272469,-3.7171418761866706,-5.861465714753583,-3.590034612145516,-3.650268691574521,-3.393486384539744,-3.8392633895160686,51
-4.447924568310743,-5.3670606520383455,-5.808989409417335,-5.571318749025732,-3.828690791183524,-3.9380236472624977,-6.158731072784198,-5.632131686022978,-3.656110544085431,-5.805533210989334,-3.6536489859601873,-3.6787825911838663,-5.801492624700696,-5.687594882478375,-3.712298688977413,-5.669370729504448,-3.5947267988334564,-3.6505692535945222,-3.402043853799907,-3.843269568296985,52
-4.37501016192211,-5.402482216564357,-5.5444440598488365,-5.597919714105343,-4.104469285176247,-4.237986296768318,-5.851671740603347,-5.377721438762702,-3.658641629261881,-5.53357728025661,-3.6714423256857427,-3.6798776363446226,-5.543718848159737,-5.418646129097607,-3.7051613604585087,-5.386283382821514,-3.601641600268317,-3.651012187097682,-3.414654861130675,-3.849173410710967,53
-4.286471239878769,-5.445494116345941,-5.223210421087083,-5.630220885987727,-4.439343170738842,-4.602226656882531,-5.478813980098025,-5.0687947099466495,-3.6617150898332844,-5.203345078652586,-3.693048523923917,-3.6812073340398266,-5.2307078337885695,-5.092065499992385,-3.696494604399838,-5.042534461849376,-3.6100381448677905,-3.651550034922947,-3.4299682271751784,-3.8563423622136597,54
-4.190120060008075,-5.492301183755311,-4.87363263772871,-5.665372161271499,-4.8037647520863676,-4.998605872300937,-5.073057005430471,-4.7326097403527125,-3.665059738102164,-4.843974741612914,-3.7165611514183996,-3.682654358002255,-4.890078200502302,-4.736668933024941,-3.687063134571284,-4.668454753732641,-3.6191755610495706,-3.652135339909265,-3.4466327725765495,-3.8641438682607068,55
-4.093768880137381,-5.5391082511646825,-4.524054854370332,-5.700523436555271,-5.168186333433898,-5.394985087719346,-4.667300030762915,-4.396424770758774,-3.6684043863710447,-4.484604404573241,-3.7400737789128833,-3.6841013819646826,-4.5494485672160305,-4.381272366057495,-3.677631664742731,-4.294375045615903,-3.6283129772313503,-3.6527206448955836,-3.463297317977921,-3.8719453743077548,56
-4.00522995809404,-5.582120150946267,-4.202821215608583,-5.732824608437655,-5.503060218996488,-5.759225447833556,-4.294442270257596,-4.087498041942724,-3.6714778469424476,-4.15437220296922,-3.761679977151057,-3.6854310796598866,-4.236437552844866,-4.054691736952276,-3.6689649086840608,-3.9506261246437684,-3.636709521830824,-3.6532584927208487,-3.478610684022425,-3.879114325810447,57
-3.932315551705406,-5.617541715472276,-3.9382758660400805,-5.759425573517265,-5.778838712989213,-6.059188097339378,-3.9873829380767423,-3.833087794682446,-3.6740089321188973,-3.882416272236493,-3.779473316876612,-3.686526124820643,-3.9786637763039043,-3.785742983571505,-3.661827580165155,-3.6675387779608313,-3.643624323265684,-3.653701426224008,-3.4912216913531924,-3.8850181682244287,58
-3.8828379187988338,-5.641577777114927,-3.7587629502614566,-5.7774762283927155,-5.965974119627131,-6.262734180932613,-3.779021248382594,-3.6604522697558304,-3.675726454202917,-3.6978747478107166,-3.791547368833238,-3.6872691911797273,-3.8037458565082543,-3.603242043777413,-3.6569843929558985,-3.4754437927116975,-3.6483165099536254,-3.6540019882440093,-3.4997791606133557,-3.889024347005345,59
