C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,time
-4.14993131679672,-3.672074253629517,-3.80868022487108,-4.3480838110030575,-3.8941461995739335,-3.9752816732433747,-3.8818848461846787,-4.032877578924017,-4.02931424170107,-3.910291627812135,-3.836384087761042,-3.9415239442754486,-3.9550550696724702,-4.088931843428419,-4.141324494407593,-4.136073597887654,-4.12544752887716,-4.306696176778836,-3.9478147309627056,-4.0094681693773015,-4.004478364877137,-3.617060716817574,-4.144851371730863,-4.456876692469678,10
-4.148953073618483,-3.6732548249067962,-3.8097706877655515,-4.348409190881665,-3.894217165662914,-3.9757246507025696,-3.881211597486039,-4.033156077208243,-4.0309926796231945,-3.909413768577335,-3.837280981680369,-3.9432936489325607,-3.956284192421864,-4.0880000098391065,-4.139899707702193,-4.135092059409736,-4.12567254995809,-4.308616964416741,-3.951666567577731,-4.008730376161243,-4.006297563457293,-3.6161705350842825,-4.143445073864416,-4.452605684417905,11
-4.1462978421346985,-3.6764592326594125,-3.812730515621975,-4.34929236483789,-3.894409787904432,-3.976927018091813,-3.8793842081611585,-4.033912001122573,-4.03554843969753,-3.907031007797163,-3.839715408032828,-3.948097133001864,-3.9596203827416465,-4.085470747239544,-4.136032429501821,-4.132427883541104,-4.126283321463471,-4.313830530862485,-3.9621215526756566,-4.006727794574801,-4.011235388174861,-3.61375432752249,-4.13962797965549,-4.441012948277376,12
-4.142384869421752,-3.68118151776853,-3.817092367199862,-4.350593884352323,-3.8946936522603526,-3.9786989279285914,-3.8766912133665974,-4.035025994259479,-4.042262191386025,-3.90351957085796,-3.8433029837101356,-3.95517595163031,-3.964536873739221,-4.081743412882291,-4.13033328268022,-4.128501729629435,-4.127183405787188,-4.321513681414107,-3.977528899135757,-4.003776621710569,-4.018512182495486,-3.6101936005893216,-4.134002788189703,-4.42392891607028,13
-4.137633402556032,-3.6869157211153163,-3.8223889012587247,-4.352174300905565,-3.8950383446925425,-3.9808505327303942,-3.8734211482589167,-4.036378700211436,-4.050414604150627,-3.899255683146073,-3.8476593256040093,-3.963771659964853,-3.9705068985219896,-4.077217364019916,-4.123412890111133,-4.1237342570224085,-4.128276365323133,-4.330843221369648,-3.996237819837307,-4.000193054661145,-4.0273482898848165,-3.6058698607419033,-4.1271721985526755,-4.403184019818808,14
-4.132462688613924,-3.6931558835809364,-3.8281527765580754,-4.35389416597821,-3.8954134511628666,-3.98319198501471,-3.869862547994676,-4.03785076257092,-4.059286347453281,-3.8946155700478426,-3.852400050606166,-3.9731258131524436,-3.977003690197356,-4.0722919579049766,-4.115881874668303,-4.118546125067704,-4.129465762465189,-4.3409959560271485,-4.0165975276595836,-3.996293290519125,-4.0369640538085,-3.60116461443736,-4.119738909830029,-4.380608691545147,15
-4.127291974671817,-3.699396046046557,-3.833916651857426,-4.355614031050855,-3.895788557633191,-3.9855334372990248,-3.8663039477304357,-4.039322824930403,-4.068158090755936,-3.889975456949612,-3.857140775608323,-3.9824799663400343,-3.983500481872722,-4.0673665517900375,-4.108350859225474,-4.113357993112999,-4.1306551596072465,-4.351148690684649,-4.036957235481859,-3.9923935263771044,-4.046579817732184,-3.5964593681328165,-4.112305621107382,-4.358033363271486,16
-4.122540507806097,-3.705130249393343,-3.8392131859162895,-4.357194447604098,-3.8961332500653816,-3.987685042100829,-3.863033882622755,-4.0406755308823605,-4.076310503520538,-3.885711569237724,-3.8614971175021973,-3.991075674674577,-3.989470506655491,-4.062840502927662,-4.101430466656387,-4.108590520505972,-4.131748119143191,-4.360478230640191,-4.055666156183411,-3.9888099593276807,-4.055415925121515,-3.5921356282853987,-4.105475031470355,-4.337288467020013,17
-4.118627535093151,-3.709852534502461,-3.843575037494176,-4.3584959671185315,-3.8964171144213022,-3.989456951937608,-3.8603408878281944,-4.041789524019268,-4.0830242552090334,-3.882200132298523,-3.8650846931795053,-3.9981544933030237,-3.9943869976530655,-4.059113168570411,-4.095731319834786,-4.104664366594304,-4.13264820346691,-4.368161381191813,-4.071073502643511,-3.9858587864634494,-4.062692719442141,-3.5885749013522306,-4.099849840004569,-4.3202044348129185,18
-4.115972303609365,-3.7130569422550765,-3.8465348653505993,-4.359379141074755,-3.89660973666282,-3.9906593193268503,-3.858513498503314,-4.042545447933596,-4.087580015283369,-3.87981737151835,-3.867519119531964,-4.0029579773723265,-3.997723187972848,-4.056583905970847,-4.091864041634413,-4.102000190725671,-4.13325897497229,-4.373374947637557,-4.081528487741436,-3.983856204877006,-4.067630544159708,-3.586158693790438,-4.096032745795642,-4.308611698672389,19
-4.114994060431129,-3.714237513532356,-3.847625328245071,-4.359704520953363,-3.8966807027518002,-3.9911022967860452,-3.8578402498046738,-4.042823946217823,-4.089258453205493,-3.8789395122835497,-3.8684160134512906,-4.004727682029438,-3.9989523107222413,-4.055652072381534,-4.090439254929013,-4.101018652247753,-4.1334839960532195,-4.375295735275462,-4.0853803243564615,-3.983118411660948,-4.069449742739864,-3.5852685120571457,-4.094626447929195,-4.304340690620616,20
-4.119526036337898,-3.7122332576848596,-3.841722171959405,-4.411715279305397,-3.8918270326411983,-3.983330161231227,-3.855472769438481,-4.073360634475791,-4.140925652771558,-3.8767027600665,-3.8676616959777794,-4.068445712380859,-3.995369391495114,-4.053658945182416,-4.122080597596353,-4.090602238070407,-4.126630381289859,-4.432253956903828,-4.127268590441765,-3.9782014593510984,-4.066428006496696,-3.5854653660944416,-4.087220676216471,-4.362503103854634,21
-4.131827113799128,-3.7067931346702263,-3.8256993191840243,-4.552887337689486,-3.8786527851981356,-3.962234364725293,-3.849046751301671,-4.156245931175992,-4.281165194450877,-3.8706315754773644,-3.865614262835391,-4.241394651906142,-3.9856443250214815,-4.048249028499097,-4.207964241979132,-4.062329113874749,-4.108027712646449,-4.586854844180821,-4.240965312673301,-3.9648554459386496,-4.058226150979524,-3.585999684195672,-4.0671192958533595,-4.520372511204109,22
-4.149955017426204,-3.6987761112802415,-3.8020866940413605,-4.7609303710976185,-3.859238104755728,-3.931145822506022,-3.8395768298368993,-4.278392684207866,-4.487833992715136,-3.8616845666091657,-3.8625969929413464,-4.496266773311823,-3.971312648112971,-4.040276519702626,-4.334529612648493,-4.0206634571653606,-4.080613253593005,-4.814687730694283,-4.408518377014513,-3.945187636699252,-4.046139206006851,-3.586787100344855,-4.037496209002461,-4.753022164140178,23
-4.17196747183051,-3.6890411543066874,-3.773414220653838,-5.013554054521781,-3.83566313564709,-3.8933954498111913,-3.8280776394868195,-4.426713741460857,-4.738788962036024,-3.8508203415549236,-3.8589331652128624,-4.805754349304436,-3.953909897581208,-4.030595616164054,-4.488216134175573,-3.970069445446817,-4.047324267599536,-5.09134195003206,-4.611975669428842,-3.921305296908555,-4.031462201397176,-3.5877432485260043,-4.001525317826367,-5.035525314133979,24
-4.195922201623432,-3.6784472305413494,-3.742211823143888,-5.288468062953955,-3.810008022205336,-3.8523141618785823,-3.8155638146940847,-4.588121950824404,-5.011887016885224,-3.83899750840766,-3.854946058567159,-5.142549652590514,-3.9349716102378185,-4.020060515254431,-4.655463231131511,-3.9150112562236963,-4.011098018136055,-5.392406835781992,-4.833385075879729,-3.8953156918422076,-4.015490166969,-3.5887837627231383,-3.9623805244876786,-5.342955212656642,25
