C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,time
-3.933333420980837,-3.888556248806217,-3.9752816732433747,-3.885635800350359,-4.1886990263520625,-3.9128508435581706,-3.8818848461846773,-3.7518759451738424,-3.900427052465007,-3.955055069672469,-3.926928379035396,-4.08893184342842,-4.141324494407593,-4.306696176778836,-3.820505112156112,-3.985638315221202,-3.9614976102516333,-4.193312086725418,-3.617060716817575,-4.144851371730862,-4.456876692469678,10
-3.933071444376747,-3.8891955762876647,-3.9757246507025696,-3.885864905519401,-4.1897009352524295,-3.9132820332887004,-3.8812115974860375,-3.753244468093366,-3.899531292560451,-3.9562841924218626,-3.9276402992182,-4.088000009839107,-4.139899707702193,-4.308616964416741,-3.8199588061002716,-3.9876151346863615,-3.962831309834199,-4.205287013217308,-3.6161705350842834,-4.143445073864415,-4.452605684417905,11
-3.932360365022787,-3.890930893737309,-3.976927018091813,-3.886486762406801,-4.192420402267709,-3.9144524054144245,-3.879384208161157,-3.756959030303502,-3.897099944248085,-3.9596203827416456,-3.929572654000094,-4.085470747239545,-4.136032429501821,-4.313830530862485,-3.818475975377276,-3.9929807875203664,-3.966451351558306,-4.237790385123869,-3.6137543275224906,-4.139627979655489,-4.441012948277376,12
-3.9313124586064245,-3.8934882036630993,-3.9786989279285914,-3.8874031830829683,-4.196428037869174,-3.9161771643365433,-3.8766912133665965,-3.762433121981597,-3.8935169046298603,-3.9645368737392195,-3.9324203347313067,-4.081743412882293,-4.130333282680219,-4.321513681414107,-3.8162907511539133,-4.000888065381004,-3.9717861498885685,-4.285690091091432,-3.6101936005893225,-4.134002788189703,-4.42392891607028,13
-3.9300400008151275,-3.8965935085729884,-3.980850532730395,-3.8885159796183144,-4.201294452528096,-3.9182715144562597,-3.873421148258916,-3.769080233304998,-3.8891660708077316,-3.970506898521989,-3.9358782327620654,-4.0772173640199165,-4.123412890111132,-4.330843221369648,-3.8136372645969736,-4.010489759926066,-3.9782641192896016,-4.343854019766329,-3.605869860741904,-4.1271721985526755,-4.403184019818808,14
-3.9286552673363637,-3.8999728109749263,-3.9831919850147104,-3.8897269640832506,-4.206590256715746,-3.920550660174775,-3.869862547994675,-3.776313854451052,-3.8844313398836494,-3.9770036901973556,-3.9396412394425964,-4.0722919579049766,-4.115881874668302,-4.3409959560271485,-3.810749646873245,-4.020938662813338,-3.9853136742260205,-4.407150059794894,-3.601164614437361,-4.119738909830028,-4.380608691545147,15
-3.9272705338575995,-3.9033521133768643,-3.9855334372990256,-3.8909379485481863,-4.211886060903396,-3.92282980589329,-3.866303947730434,-3.783547475597106,-3.8796966089595672,-3.983500481872722,-3.9434042461231282,-4.067366551790038,-4.108350859225472,-4.351148690684649,-3.807862029149516,-4.0313875657006095,-3.9923632291624385,-4.47044609982346,-3.5964593681328174,-4.112305621107382,-4.358033363271486,16
-3.9259980760663034,-3.9064574182867533,-3.9876850421008294,-3.892050745083533,-4.216752475562318,-3.924924156013006,-3.8630338826227537,-3.790194586920508,-3.875345775137438,-3.989470506655491,-3.9468621441538865,-4.062840502927662,-4.101430466656385,-4.360478230640191,-3.8052085425925766,-4.040989260245671,-3.9988411985634724,-4.528610028498358,-3.592135628285399,-4.105475031470355,-4.337288467020013,17
-3.924950169649941,-3.9090147282125445,-3.9894569519376084,-3.892967165759701,-4.220760111163783,-3.9266489149351256,-3.860340887828193,-3.7956686785986027,-3.871762735519214,-3.994386997653066,-3.9497098248850997,-4.059113168570411,-4.095731319834784,-4.368161381191813,-3.803023318369214,-4.04889653810631,-4.004175996893735,-4.576509734465921,-3.5885749013522314,-4.099849840004569,-4.3202044348129185,18
-3.924239090295981,-3.910750045662188,-3.990659319326851,-3.8935890226471,-4.223479578179063,-3.9278192870608493,-3.8585134985033127,-3.7993832408087385,-3.8693313872068473,-3.9977231879728485,-3.951642179666994,-4.056583905970847,-4.091864041634412,-4.373374947637557,-3.801540487646218,-4.054262190940314,-4.007796038617841,-4.609013106372481,-3.5861586937904386,-4.096032745795642,-4.308611698672389,19
