C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,time
-3.9333334209808375,-3.6503407902734035,-3.779496936881005,-3.661955684498835,-3.8445886582307605,-3.8885562488062178,-3.885635800350359,-4.153635348353105,-3.8818848461846773,-3.7518759451738424,-3.980264375696571,-3.955055069672471,-3.926928379035396,-3.905491981378906,-4.141324494407593,-4.054931963740121,-3.8205051121561113,-3.567409188254654,-3.9856383152212027,-3.9614976102516333,-4.193312086725418,-4.144851371730861,-4.456876692469677,10
-3.9330714443767474,-3.652021011321749,-3.7796268384725686,-3.6613934152334346,-3.845075319153644,-3.8891955762876655,-3.885864905519401,-4.154488608687856,-3.881211597486037,-3.753244468093366,-3.97935333752553,-3.956284192421865,-3.9276402992182,-3.903405390255902,-4.139899707702193,-4.055813175379515,-3.8199588061002707,-3.566414510110478,-3.9876151346863624,-3.962831309834199,-4.205287013217308,-4.143445073864415,-4.452605684417904,11
-3.932360365022787,-3.6565816113101155,-3.7799794285068113,-3.659867255798777,-3.8463962559443288,-3.89093089373731,-3.886486762406801,-4.156804601025039,-3.879384208161157,-3.756959030303502,-3.976880519632704,-3.9596203827416474,-3.929572654000094,-3.8977417857791754,-4.136032429501821,-4.058205035543584,-3.8184759753772757,-3.563714669433428,-3.9929807875203673,-3.966451351558306,-4.237790385123869,-4.139627979655488,-4.4410129482773755,12
-3.931312458606425,-3.6633024955034967,-3.7804990348730643,-3.657618178737175,-3.8483428996358624,-3.8934882036631002,-3.8874031830829683,-4.160217642364044,-3.876691213366596,-3.762433121981597,-3.973236366948538,-3.9645368737392213,-3.9324203347313067,-3.889395421287157,-4.130333282680219,-4.061729882101157,-3.816290751153913,-3.559735956856722,-4.000888065381005,-3.9717861498885685,-4.285690091091432,-4.134002788189701,-4.42392891607028,13
-3.9300400008151284,-3.6714635691668898,-3.781129985460657,-3.654887156590945,-3.850706681261298,-3.8965935085729884,-3.888515979618315,-4.164362049704265,-3.873421148258915,-3.769080233304998,-3.9688113244034815,-3.9705068985219905,-3.9358782327620654,-3.8792605501182784,-4.123412890111132,-4.06601005292107,-3.813637264596973,-3.5549046630135797,-4.010489759926066,-3.9782641192896016,-4.343854019766329,-4.127172198552675,-4.4031840198188075,14
-3.9286552673363637,-3.680344737565287,-3.7818166081589197,-3.6519151619024006,-3.853279031853683,-3.8999728109749263,-3.889726964083251,-4.168872140045094,-3.8698625479946744,-3.776313854451052,-3.9639958369279773,-3.977003690197357,-3.9396412394425973,-3.868231425610969,-4.115881874668302,-4.070667885872149,-3.8107496468732442,-3.5496470785372187,-4.020938662813338,-3.9853136742260205,-4.407150059794895,-4.119738909830028,-4.380608691545146,15
-3.9272705338575995,-3.689225905963684,-3.7825032308571824,-3.648943167213856,-3.8558513824460676,-3.9033521133768643,-3.8909379485481868,-4.173382230385922,-3.866303947730433,-3.783547475597106,-3.9591803494524735,-3.9835004818727224,-3.9434042461231282,-3.8572023011036594,-4.108350859225472,-4.07532571882323,-3.8078620291495158,-3.5443894940608582,-4.03138756570061,-3.9923632291624385,-4.4704460998234605,-4.112305621107381,-4.358033363271485,16
-3.9259980760663034,-3.697386979627076,-3.7831341814447756,-3.646212145067626,-3.8582151640715026,-3.9064574182867533,-3.8920507450835338,-4.177526637726143,-3.863033882622753,-3.790194586920508,-3.9547553069074164,-3.9894705066554916,-3.9468621441538874,-3.847067429934781,-4.101430466656385,-4.079605889643142,-3.8052085425925766,-3.539558200217716,-4.040989260245671,-3.9988411985634724,-4.528610028498359,-4.1054750314703545,-4.337288467020013,17
-3.924950169649941,-3.7041078638204583,-3.783653787811028,-3.643963068006025,-3.8601618077630375,-3.909014728212544,-3.8929671657597016,-4.1809396790651485,-3.8603408878281926,-3.7956686785986027,-3.9511111542232515,-3.9943869976530664,-3.9497098248851,-3.838721065442763,-4.095731319834784,-4.083130736200717,-3.803023318369214,-3.5355794876410105,-4.04889653810631,-4.004175996893735,-4.576509734465921,-4.099849840004568,-4.320204434812918,18
-3.924239090295981,-3.7086684638088245,-3.7840063778452713,-3.6424369085713666,-3.8614827445537214,-3.9107500456621875,-3.8935890226471006,-4.183255671402331,-3.858513498503312,-3.7993832408087385,-3.948638336330425,-3.997723187972849,-3.9516421796669947,-3.833057460966036,-4.091864041634412,-4.085522596364784,-3.801540487646218,-3.5328796469639605,-4.054262190940314,-4.007796038617841,-4.6090131063724815,-4.096032745795641,-4.308611698672388,19
-3.9239771136918904,-3.71034868485717,-3.7841362794368343,-3.6418746393059664,-3.861969405476605,-3.9113893731436353,-3.8938181278161426,-4.184108931737082,-3.8578402498046716,-3.800751763728262,-3.947727298159384,-3.998952310722242,-3.952354099849798,-3.8309708698430316,-4.090439254929011,-4.086403808004178,-3.8009941815903776,-3.5318849688197838,-4.0562390104054735,-4.009129738200407,-4.620988032864372,-4.094626447929194,-4.304340690620615,20
-3.926607539273555,-3.70709221030884,-3.7774494693992806,-3.6375578531694748,-3.855059184602174,-3.928909683759418,-3.8912075660707224,-4.232093710649718,-3.855472769438479,-3.8567698485853983,-3.945590807432615,-3.9953693914951147,-3.9495071079096657,-3.8374260922756185,-4.1220805975963515,-4.125690136733304,-3.797105864776038,-3.532206485323106,-4.102651611065581,-4.005302573283064,-4.597589493737418,-4.08722067621647,-4.362503103854633,21
-3.933747265852357,-3.698253207963372,-3.759299556440206,-3.625840862227569,-3.8363028708001465,-3.976464812573685,-3.8841217556188683,-4.3623381105554415,-3.8490467513016693,-4.008818936054767,-3.939791761174242,-3.985644325021482,-3.9417795583578776,-3.8549474103069246,-4.207964241979131,-4.232324457569503,-3.786551861994259,-3.533079172974979,-4.22862867000016,-3.9949145542217046,-4.534079173249972,-4.067119295853359,-4.520372511204108,22
-3.9442689681790144,-3.685227309770051,-3.7325523162899916,-3.608573717681603,-3.808661987302423,-4.046546055036815,-3.8736795086371885,-4.554277226205983,-3.8395768298368975,-4.2328912754833095,-3.9312457982671662,-3.971312648112972,-3.93039159059735,-3.880768300037271,-4.334529612648491,-4.389469772486008,-3.7709985947369016,-3.534365238988267,-4.41427907264059,-3.979605894552334,-4.440485016742157,-4.037496209002459,-4.753022164140178,23
-3.957045321004241,-3.6694101476781618,-3.7000735246790164,-3.587606470732929,-3.7750980573409003,-4.131644706599189,-3.860999637302291,-4.787346152353069,-3.828077639486818,-4.504979116217971,-3.9208685575942885,-3.953909897581209,-3.916563344030993,-3.912122237566977,-4.4882161341755715,-4.58028908345605,-3.7521124844958234,-3.5359268905758308,-4.639711704418257,-3.9610168078109536,-4.326834969554094,-4.001525317826367,-5.035525314133979,24
-3.9709489990787508,-3.6521973536369874,-3.664728957337661,-3.5647891725829024,-3.738572604147479,-4.224252062711182,-3.847200953790785,-5.040979983748426,-3.815563814694084,-4.801074707605688,-3.9095756780385096,-3.9349716102378203,-3.9015149580617225,-3.946242698996362,-4.655463231131511,-4.7879453924528566,-3.7315599527628853,-3.5376263349505317,-4.88503545076454,-3.9407875075335697,-4.203156977025908,-3.962380524487678,-5.342955212656642,25
-3.9848526771532615,-3.6349845595958135,-3.6293843899963054,-3.541971874432875,-3.702047150954058,-4.316859418823175,-3.833402270279279,-5.294613815143784,-3.80304998990135,-5.097170298993406,-3.8982827984827306,-3.9160333228944313,-3.886466572092452,-3.980363160425748,-4.822710328087451,-4.995601701449666,-3.7110074210299477,-3.5393257793252335,-5.130359197110823,-3.9205582072561853,-4.079478984497722,-3.9232357311489894,-5.650385111179307,26
-3.997629029978488,-3.619167397503924,-3.59690559838533,-3.5210046274842024,-3.6684832209925355,-4.4019580703855485,-3.8207223989443824,-5.52768274129087,-3.79155079955127,-5.369258139728067,-3.887905557809853,-3.898630572362668,-3.872638325526096,-4.011717097955454,-4.976396849614531,-5.186421012419707,-3.6921213107888704,-3.540887430912797,-5.35579182888849,-3.9019691205148064,-3.965828937309661,-3.887264839972897,-5.932888261173107,27
