ID,rank,mean,variable,value,average,cluster
69954,385,3.6445527915323896e-4,9,2.9410397353622916e-4,1.2325829691452208e-4,19
67896,55,8.897680091164516e-5,4,2.1044709907091817e-7,1.2325829691452208e-4,19
63651,17,4.463484351001836e-5,2,5.83063841469511e-5,1.2325829691452208e-4,19
69954,385,3.6445527915323896e-4,4,9.343851198748764e-5,1.2325829691452208e-4,19
69954,385,3.6445527915323896e-4,5,1.874431081802016e-4,1.2325829691452208e-4,19
69103,143,1.299692834337469e-4,7,7.7075933158872e-5,1.2325829691452208e-4,19
69103,143,1.299692834337469e-4,5,2.3637214146305375e-7,1.2325829691452208e-4,19
66208,30,6.224865357281953e-5,6,2.125727052185372e-4,1.2325829691452208e-4,19
67896,55,8.897680091164516e-5,1,8.062233760917173e-5,1.2325829691452208e-4,19
66208,30,6.224865357281953e-5,1,5.973572164824641e-5,1.2325829691452208e-4,19
67896,55,8.897680091164516e-5,5,2.3637214146305375e-7,1.2325829691452208e-4,19
65776,24,5.921929462426921e-5,1,4.0102302644976615e-5,1.2325829691452208e-4,19
69103,143,1.299692834337469e-4,9,1.995277975144024e-7,1.2325829691452208e-4,19
66208,30,6.224865357281953e-5,4,8.417883962836726e-7,1.2325829691452208e-4,19
63651,17,4.463484351001836e-5,9,1.995277975144024e-7,1.2325829691452208e-4,19
63651,17,4.463484351001836e-5,4,4.208941981418363e-7,1.2325829691452208e-4,19
69995,419,4.7009449673003585e-4,2,6.229095836138224e-4,1.2325829691452208e-4,19
69103,143,1.299692834337469e-4,3,1.770731941452986e-4,1.2325829691452208e-4,19
65776,24,5.921929462426921e-5,9,1.995277975144024e-7,1.2325829691452208e-4,19
65776,24,5.921929462426921e-5,4,6.313412972127544e-7,1.2325829691452208e-4,19
69995,419,4.7009449673003585e-4,4,3.846972971016384e-4,1.2325829691452208e-4,19
66208,30,6.224865357281953e-5,7,2.563095164428047e-6,1.2325829691452208e-4,19
67896,55,8.897680091164516e-5,9,1.995277975144024e-7,1.2325829691452208e-4,19
70038,450,7.611464028892983e-4,9,3.8608628819036865e-4,1.2325829691452208e-4,19
63651,17,4.463484351001836e-5,6,1.933898587874835e-4,1.2325829691452208e-4,19
69103,143,1.299692834337469e-4,2,1.383634257029529e-4,1.2325829691452208e-4,19
65776,24,5.921929462426921e-5,6,2.5807620140382747e-4,1.2325829691452208e-4,19
69103,143,1.299692834337469e-4,6,4.686413994377195e-4,1.2325829691452208e-4,19
63651,17,4.463484351001836e-5,1,2.527280531271963e-5,1.2325829691452208e-4,19
65776,24,5.921929462426921e-5,5,2.3637214146305375e-7,1.2325829691452208e-4,19
69995,419,4.7009449673003585e-4,1,5.762617343619296e-4,1.2325829691452208e-4,19
67896,55,8.897680091164516e-5,6,5.136987829153109e-4,1.2325829691452208e-4,19
65776,24,5.921929462426921e-5,2,4.240464301596443e-5,1.2325829691452208e-4,19
69954,385,3.6445527915323896e-4,3,6.058108546949044e-4,1.2325829691452208e-4,19
69954,385,3.6445527915323896e-4,7,2.4440943175081735e-4,1.2325829691452208e-4,19
70038,450,7.611464028892983e-4,2,9.489866661158938e-4,1.2325829691452208e-4,19
65776,24,5.921929462426921e-5,7,2.380016938397472e-6,1.2325829691452208e-4,19
66208,30,6.224865357281953e-5,2,6.013417048384611e-5,1.2325829691452208e-4,19
69995,419,4.7009449673003585e-4,3,5.828929565515568e-4,1.2325829691452208e-4,19
70038,450,7.611464028892983e-4,4,1.843516587861243e-4,1.2325829691452208e-4,19
69103,143,1.299692834337469e-4,4,2.1044709907091817e-7,1.2325829691452208e-4,19
67896,55,8.897680091164516e-5,7,5.126190328856094e-6,1.2325829691452208e-4,19
65776,24,5.921929462426921e-5,3,1.2972395175479752e-4,1.2325829691452208e-4,19
69995,419,4.7009449673003585e-4,9,3.046789468044925e-4,1.2325829691452208e-4,19
70038,450,7.611464028892983e-4,3,0.00104319677869483,1.2325829691452208e-4,19
70038,450,7.611464028892983e-4,6,0.00145856549782163,1.2325829691452208e-4,19
66208,30,6.224865357281953e-5,3,1.615063199347229e-4,1.2325829691452208e-4,19
63651,17,4.463484351001836e-5,3,7.718575129410452e-5,1.2325829691452208e-4,19
67896,55,8.897680091164516e-5,2,6.415530042501516e-5,1.2325829691452208e-4,19
66208,30,6.224865357281953e-5,9,3.990555950288048e-7,1.2325829691452208e-4,19
70038,450,7.611464028892983e-4,5,3.47703420092152e-4,1.2325829691452208e-4,19
69103,143,1.299692834337469e-4,1,1.7795396798708373e-4,1.2325829691452208e-4,19
69954,385,3.6445527915323896e-4,2,4.967923263680661e-4,1.2325829691452208e-4,19
69995,419,4.7009449673003585e-4,5,4.098692932969352e-4,1.2325829691452208e-4,19
70038,450,7.611464028892983e-4,1,0.0010000511722091,1.2325829691452208e-4,19
69995,419,4.7009449673003585e-4,7,4.293184400416979e-4,1.2325829691452208e-4,19
69954,385,3.6445527915323896e-4,1,5.39501290270701e-4,1.2325829691452208e-4,19
67896,55,8.897680091164516e-5,3,4.756544897675909e-5,1.2325829691452208e-4,19
69995,419,4.7009449673003585e-4,6,4.501277220682142e-4,1.2325829691452208e-4,19
63651,17,4.463484351001836e-5,5,4.727442829261075e-7,1.2325829691452208e-4,19
63651,17,4.463484351001836e-5,7,1.830782260305748e-6,1.2325829691452208e-4,19
66208,30,6.224865357281953e-5,5,2.3637214146305375e-7,1.2325829691452208e-4,19
70038,450,7.611464028892983e-4,7,7.202297412042813e-4,1.2325829691452208e-4,19
69954,385,3.6445527915323896e-4,6,4.541427364375045e-4,1.2325829691452208e-4,19
69983,410,4.444306273900828e-4,2,4.092413608307947e-4,5.855707100966158e-5,20
69248,163,1.4264042222987178e-4,7,1.2302856789254626e-4,5.855707100966158e-5,20
69758,288,2.2535890198465073e-4,2,2.107437646439957e-4,5.855707100966158e-5,20
69930,365,3.2992518378971485e-4,1,2.510571238503223e-4,5.855707100966158e-5,20
69716,268,2.008908644103648e-4,6,3.3949177055888106e-4,5.855707100966158e-5,20
69007,132,1.3112314378054923e-4,7,7.487899444650509e-5,5.855707100966158e-5,20
69760,289,2.0941391301604635e-4,3,1.4118290082647128e-4,5.855707100966158e-5,20
69869,334,2.626965173957602e-4,9,1.995277975144024e-7,5.855707100966158e-5,20
70057,464,8.869406455383955e-4,9,1.995277975144024e-7,5.855707100966158e-5,20
70062,468,0.00105726713233958,1,9.58695672606472e-4,5.855707100966158e-5,20
69986,412,4.529819890376666e-4,7,1.54151866317744e-4,5.855707100966158e-5,20
69758,288,2.2535890198465073e-4,3,2.09504182083998e-4,5.855707100966158e-5,20
69447,199,1.6038771521574728e-4,9,1.995277975144024e-7,5.855707100966158e-5,20
69869,334,2.626965173957602e-4,3,3.292826308709277e-4,5.855707100966158e-5,20
69758,288,2.2535890198465073e-4,4,1.6962036185116003e-4,5.855707100966158e-5,20
69716,268,2.008908644103648e-4,4,1.889814949656845e-4,5.855707100966158e-5,20
69983,410,4.444306273900828e-4,3,4.540338311417913e-4,5.855707100966158e-5,20
69760,289,2.0941391301604635e-4,2,3.712234050233783e-4,5.855707100966158e-5,20
69986,412,4.529819890376666e-4,1,5.292668484498476e-4,5.855707100966158e-5,20
68829,112,1.189619456889732e-4,6,2.1792605771092432e-4,5.855707100966158e-5,20
70062,468,0.00105726713233958,5,0.00110362152849099,5.855707100966158e-5,20
68829,112,1.189619456889732e-4,9,1.995277975144024e-7,5.855707100966158e-5,20
69447,199,1.6038771521574728e-4,1,1.0944586763524867e-4,5.855707100966158e-5,20
69869,334,2.626965173957602e-4,4,5.170685224172459e-4,5.855707100966158e-5,20
69930,365,3.2992518378971485e-4,6,4.7979421713019264e-4,5.855707100966158e-5,20
70066,471,0.00113485070731563,5,0.00107123854511055,5.855707100966158e-5,20
70035,447,7.14971000036206e-4,1,5.768883328407574e-4,5.855707100966158e-5,20
69007,132,1.3112314378054923e-4,5,5.28055364028462e-4,5.855707100966158e-5,20
70011,431,5.6086104994745e-4,9,1.995277975144024e-7,5.855707100966158e-5,20
69870,335,2.611000689655479e-4,3,6.014867229697444e-4,5.855707100966158e-5,20
70035,447,7.14971000036206e-4,3,5.381381931961517e-4,5.855707100966158e-5,20
69323,173,1.423770206242784e-4,1,1.106990645929042e-4,5.855707100966158e-5,20
69760,289,2.0941391301604635e-4,9,1.995277975144024e-7,5.855707100966158e-5,20
70057,464,8.869406455383955e-4,2,9.438688643725876e-4,5.855707100966158e-5,20
69323,173,1.423770206242784e-4,7,2.9384055277907253e-4,5.855707100966158e-5,20
69323,173,1.423770206242784e-4,6,1.864751118181502e-4,5.855707100966158e-5,20
70032,445,6.901183629299603e-4,5,8.098109566524221e-4,5.855707100966158e-5,20
69716,268,2.008908644103648e-4,2,1.9794926028573052e-4,5.855707100966158e-5,20
69921,358,3.1225939551299676e-4,2,4.8399782200980095e-4,5.855707100966158e-5,20
69000,131,1.248020746386743e-4,6,3.359228688972897e-4,5.855707100966158e-5,20
69716,268,2.008908644103648e-4,1,2.5586104552133515e-4,5.855707100966158e-5,20
69716,268,2.008908644103648e-4,7,3.8830891741084913e-4,5.855707100966158e-5,20
70062,468,0.00105726713233958,3,0.00151214886428842,5.855707100966158e-5,20
69007,132,1.3112314378054923e-4,9,1.995277975144024e-7,5.855707100966158e-5,20
70010,430,5.44995407960331e-4,4,7.1741416073276e-4,5.855707100966158e-5,20
69986,412,4.529819890376666e-4,3,6.667811120196593e-4,5.855707100966158e-5,20
69000,131,1.248020746386743e-4,4,9.638477137448052e-5,5.855707100966158e-5,20
69869,334,2.626965173957602e-4,5,4.755807486236641e-4,5.855707100966158e-5,20
69930,365,3.2992518378971485e-4,7,3.412578133209914e-4,5.855707100966158e-5,20
69983,410,4.444306273900828e-4,5,8.887592519010821e-4,5.855707100966158e-5,20
68829,112,1.189619456889732e-4,2,9.632433995436748e-5,5.855707100966158e-5,20
69447,199,1.6038771521574728e-4,2,1.1752666146234972e-4,5.855707100966158e-5,20
70035,447,7.14971000036206e-4,5,0.00102018216255453,5.855707100966158e-5,20
68829,112,1.189619456889732e-4,7,4.57695565076437e-5,5.855707100966158e-5,20
69758,288,2.2535890198465073e-4,6,2.1435715604933291e-4,5.855707100966158e-5,20
69869,334,2.626965173957602e-4,6,1.8781344994124697e-4,5.855707100966158e-5,20
70066,471,0.00113485070731563,4,0.00140368215080302,5.855707100966158e-5,20
69447,199,1.6038771521574728e-4,7,1.801489744140856e-4,5.855707100966158e-5,20
69930,365,3.2992518378971485e-4,4,5.284326657670755e-4,5.855707100966158e-5,20
70035,447,7.14971000036206e-4,6,8.754961888591381e-4,5.855707100966158e-5,20
68829,112,1.189619456889732e-4,3,9.642813747106617e-5,5.855707100966158e-5,20
69007,132,1.3112314378054923e-4,1,7.936914065151621e-5,5.855707100966158e-5,20
69758,288,2.2535890198465073e-4,7,6.151428394627313e-5,5.855707100966158e-5,20
69447,199,1.6038771521574728e-4,3,4.66790019731013e-4,5.855707100966158e-5,20
69760,289,2.0941391301604635e-4,7,2.0285067444187688e-4,5.855707100966158e-5,20
70057,464,8.869406455383955e-4,1,0.00101049448018956,5.855707100966158e-5,20
69716,268,2.008908644103648e-4,5,1.8271566535094056e-4,5.855707100966158e-5,20
69870,335,2.611000689655479e-4,7,3.218515213617505e-4,5.855707100966158e-5,20
69930,365,3.2992518378971485e-4,5,3.9095952197989e-4,5.855707100966158e-5,20
