C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,time
-3.74300842013331,-3.650340790273403,-3.779496936881005,-3.661955684498835,-3.660443871036285,-3.844588658230761,-3.888556248806217,-3.884048858203341,-4.153635348353106,-3.7143479879765353,-3.2975032420409645,-3.980264375696571,-3.95505506967247,-3.909162162128279,-3.8312476824095656,-3.905491981378905,-4.022569717671598,-4.05493196374012,-3.820505112156112,-3.8911789782982735,-3.567409188254654,-3.9856383152212023,-4.193312086725418,-4.144851371730861,-4.447144538029095,10
-3.7426643990289623,-3.6520210113217484,-3.7796268384725686,-3.6613934152334346,-3.6616908115098523,-3.8450753191536444,-3.8891955762876647,-3.8838961982745173,-4.154488608687857,-3.7157364394279138,-3.297943093625921,-3.97935333752553,-3.9562841924218635,-3.909795645725961,-3.836332829057205,-3.9034053902559007,-4.022042591113721,-4.055813175379514,-3.8199588061002716,-3.892551457894923,-3.566414510110478,-3.987615134686362,-4.205287013217308,-4.143445073864415,-4.444691438316478,11
-3.7417306274600186,-3.656581611310115,-3.7799794285068113,-3.659867255798777,-3.66507536422382,-3.846396255944329,-3.890930893737309,-3.8834818356105676,-4.15680460102504,-3.7195050933673697,-3.2991369764993737,-3.976880519632704,-3.959620382741646,-3.9115151012053833,-3.8501353699579406,-3.897741785779174,-4.020611819028055,-4.058205035543583,-3.818475975377276,-3.896276759657257,-3.563714669433428,-3.992980787520367,-4.237790385123869,-4.139627979655488,-4.438033024810803,12
-3.7403545430426273,-3.6633024955034963,-3.7804990348730643,-3.657618178737175,-3.670063126118087,-3.848342899635863,-3.8934882036630993,-3.882871195895273,-4.160217642364045,-3.7250588991728835,-3.3008963828391984,-3.973236366948538,-3.9645368737392204,-3.9140490355961095,-3.870475956548497,-3.8893954212871567,-4.018503312796545,-4.061729882101157,-3.8162907511539137,-3.901766678043853,-3.559735956856722,-4.000888065381004,-4.285690091091431,-4.134002788189701,-4.428220625960333,13
-3.7386835833929384,-3.671463569166889,-3.781129985460657,-3.6548871565909455,-3.676119694132555,-3.850706681261298,-3.8965935085729884,-3.8821297048124155,-4.164362049704265,-3.7318028062224355,-3.3030328048232716,-3.968811324403481,-3.9705068985219896,-3.917125955927707,-3.8951752402656026,-3.8792605501182775,-4.015942983801142,-4.066010052921069,-3.813637264596974,-3.908433007513292,-3.5549046630135797,-4.010489759926065,-4.343854019766329,-4.127172198552675,-4.416305570213336,14
-3.7368651861271003,-3.6803447375652865,-3.7818166081589197,-3.651915161902401,-3.6827106652071233,-3.8532790318536825,-3.8999728109749263,-3.8813227880457766,-4.168872140045094,-3.7391417638940077,-3.3053577346294682,-3.9639958369279773,-3.977003690197356,-3.9204743692297397,-3.9220538725459817,-3.8682314256109684,-4.0131567434237905,-4.070667885872149,-3.810749646873245,-3.915687542524152,-3.5496470785372187,-4.020938662813338,-4.407150059794894,-4.119738909830028,-4.403339186018073,15
-3.735046788861262,-3.689225905963684,-3.7825032308571824,-3.6489431672138566,-3.6893016362816913,-3.855851382446067,-3.9033521133768643,-3.8805158712791377,-4.173382230385922,-3.7464807215655798,-3.3076826644356654,-3.959180349452473,-3.9835004818727224,-3.9238227825317713,-3.948932504826361,-3.8572023011036594,-4.01037050304644,-4.07532571882323,-3.8078620291495167,-3.922942077535012,-3.5443894940608582,-4.0313875657006095,-4.470446099823459,-4.112305621107382,-4.39037280182281,16
-3.7333758292115733,-3.697386979627076,-3.783134181444775,-3.6462121450676266,-3.6953582042961592,-3.8582151640715026,-3.9064574182867533,-3.8797743801962805,-4.177526637726143,-3.7532246286151323,-3.309819086419739,-3.954755306907416,-3.9894705066554916,-3.926899702863369,-3.973631788543466,-3.847067429934781,-4.007810174051037,-4.079605889643142,-3.805208542592577,-3.9296084070044515,-3.539558200217716,-4.040989260245671,-4.528610028498357,-4.105475031470355,-4.378457746075813,17
-3.7319997447941824,-3.7041078638204583,-3.7836537878110277,-3.643963068006026,-3.7003459661904268,-3.8601618077630366,-3.9090147282125445,-3.879163740480986,-4.1809396790651485,-3.758778434420646,-3.3115784927595637,-3.951111154223251,-3.994386997653066,-3.9294336372540966,-3.9939723751340237,-3.8387210654427633,-4.005701667819528,-4.083130736200717,-3.803023318369215,-3.9350983253910483,-3.5355794876410105,-4.048896538106309,-4.57650973446592,-4.099849840004569,-4.368645347225344,18
-3.7310659732252383,-3.7086684638088245,-3.784006377845271,-3.6424369085713675,-3.703730518904394,-3.8614827445537205,-3.910750045662188,-3.8787493778170363,-4.18325567140233,-3.7625470883601015,-3.3127723756330165,-3.9486383363304243,-3.997723187972849,-3.9311530927335183,-4.007774916034759,-3.833057460966037,-4.00427089573386,-4.085522596364784,-3.801540487646219,-3.938823627153382,-3.5328796469639605,-4.054262190940313,-4.60901310637248,-4.096032745795642,-4.361986933719668,19
-3.7307219521208905,-3.71034868485717,-3.784136279436834,-3.6418746393059673,-3.704977459377961,-3.861969405476604,-3.9113893731436358,-3.8785967178882124,-4.184108931737081,-3.76393553981148,-3.3132122272179725,-3.947727298159383,-3.998952310722242,-3.9317865763312,-4.012860062682398,-3.8309708698430325,-4.003743769175983,-4.086403808004178,-3.8009941815903785,-3.940196106750031,-3.5318849688197838,-4.056239010405473,-4.62098803286437,-4.094626447929195,-4.359533834007051,20
-3.730391711572951,-3.70709221030884,-3.77744946939928,-3.6375578531694757,-3.7557870728902496,-3.855059184602173,-3.9289096837594184,-3.8760889982647733,-4.232093710649717,-3.761449153833645,-3.3127248155438473,-3.9455908074326143,-3.9953693914951147,-3.929014809703693,-4.0042419405304885,-3.8374260922756194,-4.023832640785081,-4.125690136733304,-3.797105864776039,-3.936352323814128,-3.532206485323106,-4.10265161106558,-4.597589493737416,-4.087220676216471,-4.415475998673877,21
-3.7294953443714003,-3.698253207963372,-3.7592995564402054,-3.62584086222757,-3.893698880995032,-3.8363028708001456,-3.9764648125736857,-3.869282330715438,-4.3623381105554415,-3.754700391893808,-3.311401840999792,-3.9397917611742415,-3.985644325021482,-3.9214914431433168,-3.9808498946895914,-3.854947410306925,-4.078359578009773,-4.232324457569503,-3.7865518619942597,-3.9259191987023914,-3.533079172974979,-4.228628670000159,-4.53407917324997,-4.0671192958533595,-4.5673190170552616,22
-3.7281743821796414,-3.685227309770051,-3.732552316289991,-3.6085737176816037,-4.096937335044187,-3.8086619873024223,-4.046546055036816,-3.8592514522216805,-4.554277226205982,-3.74475484798247,-3.309452194303291,-3.931245798267166,-3.971312648112972,-3.910404376633289,-3.9463774060819543,-3.8807683000372712,-4.158715064446163,-4.389469772486008,-3.770998594736902,-3.9105440669587805,-3.534365238988267,-4.414279072640589,-4.440485016742155,-4.03749620900246,-4.791087675722564,23
-3.7265703566610773,-3.6694101476781618,-3.700073524679016,-3.58760647073293,-4.343726886389589,-3.7750980573409,-4.1316447065991895,-3.8470710997649755,-4.787346152353068,-3.7326781160901303,-3.3070847661718252,-3.920868557594288,-3.953909897581209,-3.8969415101568265,-3.9045179556298226,-3.912122237566977,-4.256289583690351,-4.58028908345605,-3.752112484495824,-3.891874264127252,-3.5359268905758308,-4.639711704418256,-4.326834969554092,-4.001525317826367,-5.062806761247148,24
-3.72482479947911,-3.6521973536369874,-3.664728957337661,-3.564789172582903,-4.612291986383112,-3.7385726041474787,-4.224252062711184,-3.8338160103267955,-5.040979983748425,-3.71953579020729,-3.3045084473228767,-3.9095756780385096,-3.9349716102378203,-3.8822907436971468,-3.8589650242554443,-3.946242698996363,-4.362473619338436,-4.787945392452858,-3.731559952762886,-3.871557125751766,-3.5376263349505317,-4.885035450764539,-4.203156977025907,-3.9623805244876786,-5.3585010602003695,25
