C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,time
-3.6810674360576496,-3.810728578864943,-3.779496936881005,-3.505191066148681,-3.661955684498835,-3.8885562488062173,-3.8791499329352574,-3.88404885820334,-4.153635348353105,-3.8357719122379907,-3.297503242040964,-3.6316637225917305,-3.806124857906732,-3.8902757494592577,-3.9802643756965694,-3.978665566561838,-3.9249669879143894,-4.054378587095728,-3.820505112156112,-3.975104841750259,-3.775929976732174,-4.216391426625147,10
-3.6789923315102406,-3.81093834577875,-3.7796268384725686,-3.50450042146216,-3.6613934152334346,-3.889195576287665,-3.880489296265688,-3.8838961982745164,-4.154488608687856,-3.8368563065630363,-3.2979430936259204,-3.633254550280972,-3.812669383566687,-3.8908258165022596,-3.9793533375255286,-3.977553640792038,-3.923013929812048,-4.056461249000688,-3.8199588061002716,-3.979422445484475,-3.774786658132733,-4.216153286501419,11
-3.67335990488156,-3.811507713116225,-3.7799794285068113,-3.5026258144558873,-3.659867255798777,-3.8909308937373095,-3.8841247110197124,-3.8834818356105667,-4.156804601025039,-3.8397996625881596,-3.2991369764993728,-3.6375725111517703,-3.8304330960722797,-3.892318855618979,-3.9768805196327026,-3.974535556559724,-3.9177127721056935,-4.0621141884570084,-3.818475975377276,-3.9911416556202055,-3.7716833647913948,-4.215506906165584,12
-3.665059486691924,-3.81234678077145,-3.7804990348730643,-3.4998632357098014,-3.657618178737175,-3.8934882036630998,-3.8894821643414317,-3.882871195895272,-4.160217642364044,-3.844137239888341,-3.3008963828391975,-3.643935821908735,-3.8566111987121,-3.894519123790986,-3.9732363669485373,-3.970087853480524,-3.909900539696327,-4.070444836076847,-3.8162907511539133,-4.008412070557069,-3.7671100903936314,-4.214554345670669,13
-3.654980407461653,-3.813365648638511,-3.781129985460657,-3.49650867580384,-3.654887156590945,-3.8965935085729884,-3.8959876433749487,-3.8821297048124146,-4.164362049704264,-3.849404298038562,-3.3030328048232707,-3.651662699256479,-3.8883988947747388,-3.8971908779998525,-3.9688113244034806,-3.9646870711700672,-3.9004142574849547,-4.080560622472367,-3.8136372645969736,-4.029383288694692,-3.7615568286249195,-4.2133976650697,14
-3.644011997711063,-3.814474416611488,-3.7818166081589197,-3.492858125317941,-3.6519151619024006,-3.8999728109749263,-3.9030671352643647,-3.881322788045776,-4.168872140045093,-3.855136096613802,-3.305357734629468,-3.660071359899612,-3.9229913875487874,-3.900098375227148,-3.9639958369279773,-3.958809749243982,-3.8900909503725787,-4.091568978255727,-3.810749646873245,-4.052204908432692,-3.7555135731707328,-4.212138924415705,15
-3.6330435879604734,-3.815583184584465,-3.7825032308571824,-3.489207574832042,-3.648943167213856,-3.9033521133768643,-3.9101466271537806,-3.8805158712791377,-4.173382230385922,-3.860867895189042,-3.307682664435665,-3.668480020542745,-3.9575838803228356,-3.903005872454444,-3.959180349452474,-3.9529324273178967,-3.8797676432602026,-4.102577334039086,-3.807862029149516,-4.075026528170692,-3.7494703177165465,-4.21088018376171,16
-3.622964508730202,-3.8166020524515254,-3.783134181444775,-3.4858530149260814,-3.646212145067626,-3.9064574182867537,-3.9166521061872976,-3.87977438019628,-4.177526637726143,-3.866134953339263,-3.309819086419738,-3.6762068978904896,-3.989371576385475,-3.90567762666331,-3.954755306907417,-3.94753164500744,-3.870281361048831,-4.112693120434606,-3.8052085425925766,-4.095997746308315,-3.7439170559478345,-4.209723503160743,17
-3.614664090540567,-3.8174411201067517,-3.7836537878110277,-3.483090436179995,-3.643963068006025,-3.9090147282125445,-3.922009559509018,-3.8791637404809856,-4.1809396790651485,-3.8704725306394447,-3.311578492759563,-3.6825702086474545,-4.015549679025296,-3.907877894835318,-3.951111154223252,-3.9430839419282404,-3.8624691286394652,-4.121023768054446,-3.803023318369214,-4.11326816124518,-3.739343781550072,-4.2087709426658275,18
-3.609031663911886,-3.818010487444226,-3.784006377845271,-3.4812158291737227,-3.6424369085713666,-3.910750045662188,-3.9256449742630424,-3.878749377817036,-4.18325567140233,-3.873415886664568,-3.3127723756330156,-3.6868881695182525,-4.033313391530888,-3.9093709339520366,-3.948638336330426,-3.940065857695926,-3.85716797093311,-4.126676707510765,-3.801540487646218,-4.12498737138091,-3.736240488208733,-4.208124562329991,19
