C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,time
-3.681067436057651,-3.810728578864943,-3.505191066148681,-3.661955684498835,-3.853855558648195,-3.8791499329352574,-3.88404885820334,-3.8357719122379907,-3.297503242040964,-3.9547719777597923,-3.631663722591732,-3.806124857906732,-3.9802643756965694,-3.978665566561838,-3.9249669879143902,-4.054378587095728,-3.8205051121561113,-3.842321598404869,-4.216391426625148,10
-3.678992331510242,-3.81093834577875,-3.50450042146216,-3.6613934152334346,-3.8543327960737708,-3.880489296265688,-3.8838961982745164,-3.8368563065630363,-3.2979430936259204,-3.955396296221182,-3.633254550280973,-3.812669383566687,-3.9793533375255286,-3.977553640792038,-3.9230139298120488,-4.056461249000688,-3.8199588061002707,-3.842998587249981,-4.21615328650142,11
-3.6733599048815613,-3.811507713116225,-3.5026258144558873,-3.659867255798777,-3.8556281548003324,-3.8841247110197124,-3.8834818356105667,-3.8397996625881596,-3.2991369764993728,-3.957090874902097,-3.637572511151771,-3.8304330960722797,-3.9768805196327026,-3.974535556559724,-3.917712772105694,-4.0621141884570084,-3.8184759753772757,-3.844836128400998,-4.215506906165585,12
-3.6650594866919253,-3.81234678077145,-3.4998632357098014,-3.657618178737175,-3.857537104502634,-3.8894821643414317,-3.882871195895272,-3.844137239888341,-3.3008963828391975,-3.9595881487476543,-3.643935821908736,-3.8566111987121,-3.9732363669485373,-3.970087853480524,-3.909900539696328,-4.070444836076847,-3.816290751153913,-3.847544083781444,-4.214554345670669,13
-3.654980407461654,-3.813365648638511,-3.49650867580384,-3.654887156590945,-3.8598551148554283,-3.8959876433749487,-3.8821297048124146,-3.849404298038562,-3.3030328048232707,-3.962620552702975,-3.6516626992564793,-3.8883988947747388,-3.9688113244034806,-3.9646870711700677,-3.9004142574849556,-4.080560622472367,-3.813637264596973,-3.850832315314844,-4.213397665069701,14
-3.644011997711064,-3.814474416611488,-3.492858125317941,-3.6519151619024006,-3.8623776555334697,-3.9030671352643647,-3.8813227880457757,-3.855136096613802,-3.305357734629468,-3.965920521713177,-3.6600713598996117,-3.9229913875487874,-3.9639958369279773,-3.958809749243982,-3.8900909503725796,-4.091568978255727,-3.8107496468732442,-3.85441068492472,-4.212138924415706,15
-3.633043587960474,-3.815583184584465,-3.489207574832042,-3.648943167213856,-3.8649001962115106,-3.9101466271537806,-3.8805158712791368,-3.860867895189042,-3.307682664435665,-3.9692204907233792,-3.668480020542744,-3.9575838803228356,-3.959180349452474,-3.952932427317897,-3.879767643260203,-4.102577334039086,-3.8078620291495158,-3.8579890545345963,-4.210880183761711,16
-3.6229645087302025,-3.8166020524515254,-3.4858530149260814,-3.646212145067626,-3.867218206564306,-3.9166521061872976,-3.879774380196279,-3.866134953339263,-3.309819086419738,-3.9722528946787,-3.676206897890488,-3.989371576385475,-3.954755306907417,-3.94753164500744,-3.870281361048831,-4.112693120434606,-3.8052085425925766,-3.861277286067996,-4.209723503160743,17
-3.6146640905405674,-3.8174411201067517,-3.483090436179995,-3.643963068006025,-3.8691271562666074,-3.922009559509018,-3.879163740480985,-3.8704725306394447,-3.311578492759563,-3.9747501685242588,-3.682570208647453,-4.015549679025296,-3.951111154223252,-3.943083941928241,-3.8624691286394652,-4.121023768054446,-3.803023318369214,-3.8639852414484426,-4.2087709426658275,18
-3.609031663911886,-3.818010487444226,-3.4812158291737227,-3.6424369085713666,-3.870422514993169,-3.9256449742630424,-3.878749377817035,-3.873415886664568,-3.3127723756330156,-3.976444747205173,-3.6868881695182507,-4.033313391530888,-3.948638336330426,-3.9400658576959264,-3.85716797093311,-4.126676707510765,-3.801540487646218,-3.8658227825994596,-4.208124562329991,19
-3.606956559364477,-3.8182202543580326,-3.480525184487201,-3.6418746393059664,-3.8708997524187443,-3.926984337593472,-3.8785967178882115,-3.874500280989613,-3.3132122272179716,-3.9770690656665626,-3.688478997207492,-4.039857917190843,-3.9477272981593847,-3.9389539319261266,-3.8552149128307684,-4.128759369415725,-3.8009941815903776,-3.8664997714445715,-4.207886422206263,20
-3.6152659034973866,-3.8135033602590984,-3.4822286987615176,-3.6375578531694748,-3.8807177973721014,-3.922682903993673,-3.8760889982647724,-3.9201884345982743,-3.3127248155438465,-3.9867187732319858,-3.686441139271577,-4.033681926525819,-3.945590807432616,-3.9539301850940323,-3.852307531893476,-4.128257114856396,-3.797105864776038,-3.8617619561391914,-4.259063804869729,21
-3.6378198375724264,-3.8007003619905637,-3.486852523220377,-3.6258408622275686,-3.9073667765312146,-3.911007584222788,-3.869282330715437,-4.044199137250353,-3.3114018409997916,-4.012910836623847,-3.6809098105883784,-4.0169185232921825,-3.9397917611742423,-3.9945800151212048,-3.844416069349397,-4.126893852481074,-3.786551861994259,-3.8489021717388736,-4.397973843527711,22
-3.6710572141040654,-3.7818327855948284,-3.493666580317644,-3.608573717681603,-3.946638956344644,-3.8938018498235913,-3.85925145222168,-4.226951751684997,-3.30945219430329,-4.051509666885538,-3.672758378844718,-3.9922145606320876,-3.931245798267167,-4.054485027792828,-3.8327865456002295,-4.124884834243758,-3.770998594736901,-3.8299509105173533,-4.602683374181579,23
-3.711416885606769,-3.7589221571142923,-3.501940792507182,-3.587606470732929,-3.9943266032609515,-3.8729091723388516,-3.8470710997649746,-4.448865640641349,-3.3070847661718243,-4.098379675060449,-3.6628602117274163,-3.962216891687686,-3.920868557594289,-4.127226828894085,-3.818664981047667,-4.122445312098447,-3.7521124844958234,-3.8069386647483636,-4.851259232832705,24
-3.7553377045950054,-3.733990002591356,-3.5109450822428556,-3.564789172582902,-4.046221983728697,-3.8501730233113403,-3.833816010326796,-4.6903601668585555,-3.304508447322876,-4.149385272191969,-3.6520886769232925,-3.9295723696011313,-3.9095756780385096,-4.206387024210158,-3.8032973960934084,-4.119790537999135,-3.7315599527628853,-3.7818959267056402,-5.121768255482456,25
-3.7992585235832417,-3.7090578480684195,-3.5199493719785293,-3.5419718744328748,-4.098117364196443,-3.8274368742838294,-3.820560920888617,-4.931854693075763,-3.301932128473928,-4.200390869323489,-3.6413171421191697,-3.8969278475145765,-3.8982827984827306,-4.285547219526231,-3.7879298111391497,-4.1171357638998245,-3.7110074210299477,-3.756853188662917,-5.39227727813221,26
-3.839618195085946,-3.686147219587884,-3.5282235841680674,-3.5210046274842015,-4.145805011112751,-3.8065441967990896,-3.808380568431912,-5.153768582032115,-3.299564700342462,-4.2472608774984,-3.6314189750018673,-3.8669301785701746,-3.887905557809853,-4.358289020627488,-3.7738082465865883,-4.114696241754513,-3.69212131078887,-3.733840942893927,-5.640853136783335,27
-3.872855571617584,-3.667279643192148,-3.5350376412653333,-3.503737482938235,-4.1850771909261795,-3.789338462399892,-3.7983496899381546,-5.336521196466757,-3.29761505364596,-4.28585970776009,-3.6232675432582067,-3.8422262159100793,-3.8793595949027764,-4.418194033299111,-3.762178722837419,-4.112687223517196,-3.6765680435315113,-3.7148896816724064,-5.845562667437202,28
-3.895409505692624,-3.6544766449236135,-3.539661465724193,-3.492020491996329,-4.211726170085292,-3.777663142629008,-3.791543022388819,-5.460531899118838,-3.296292079101906,-4.312051771151952,-3.6177362145750083,-3.825462812676443,-3.873560548644403,-4.458843863326284,-3.754287260293341,-4.111323961141875,-3.6660140407497326,-3.702029897272089,-5.9844727060951834,29
-3.903718849825534,-3.6497597508246793,-3.5413649799985096,-3.4877037058598375,-4.22154421503865,-3.7733617090292086,-3.78903530276538,-5.506220052727498,-3.2958046674277806,-4.321701478717375,-3.615698356639093,-3.8192868220114193,-3.8714240579176344,-4.473820116494189,-3.7513798793560484,-4.110821706582546,-3.662125723935393,-3.697292081966709,-6.03565008875865,30
-3.8897431733970884,-3.683579215544876,-3.5625758576974405,-3.4844475311016336,-4.218557668408674,-3.7660931245597538,-3.814439948253095,-5.474388651361991,-3.301031129835306,-4.301050849737678,-3.6180849187930346,-3.8048440099868475,-3.929155784435996,-4.448183454929685,-3.743087722218981,-4.129455296046344,-3.7088230424650948,-3.7078785163393193,-5.966675829507004,31
-3.8518091945198796,-3.775374905499695,-3.6201482400231098,-3.4756093424722234,-4.21045132755588,-3.746364109571233,-3.883395414576893,-5.387989133369903,-3.3152172420843034,-4.244999142507072,-3.624562730353733,-3.7656420916344375,-4.0858561849858335,-4.378598230683172,-3.720580438561226,-4.180032181733794,-3.835572907045713,-3.736613123922117,-5.779459982966822,32
-3.7959064888060974,-3.9106527643804814,-3.704991750818833,-3.462584643439408,-4.198505141035974,-3.717289771693413,-3.985013996527753,-5.260663527907878,-3.3361230917144047,-4.162396626588284,-3.634108978969499,-3.7078708435361496,-4.316783091059279,-4.276051584425153,-3.6874118100129563,-4.254566539588985,-4.02236218116452,-3.7789588614125567,-5.503562945960237,33
-3.7280246318679344,-4.074918735878579,-3.8080160139279258,-3.4467689374709902,-4.183999057404661,-3.6819852185560604,-4.108407988896655,-5.106053864132563,-3.361508766265243,-4.062093571544042,-3.645700852288644,-3.6377200422739433,-4.597194334148464,-4.1515306568261305,-3.6471356182043433,-4.345072545556002,-4.249177728308785,-3.830378685508091,-5.168545115309385,34
-3.65415319931758,-4.253678763685331,-3.9201306531937026,-3.42955772803477,-4.168213025217643,-3.6435655577889414,-4.242689686474576,-4.937802171200602,-3.3891343532764484,-3.9529402469370725,-3.658315537959478,-3.561379464429777,-4.902347745745514,-4.016022588556607,-3.6033056447655585,-4.443564375578932,-4.496006411965778,-3.8863355529061714,-4.803966887836399,35
-3.580281766767226,-4.432438791492085,-4.03224529245948,-3.4123465185985506,-4.152426993030624,-3.6051458970218224,-4.376971384052498,-4.769550478268641,-3.416759940287654,-3.843786922330103,-3.670930223630312,-3.4850388865856106,-5.207501157342567,-3.8805145202870825,-3.5594756713267737,-4.542056205601863,-4.742835095622773,-3.942292420304252,-4.439388660363413,36
-3.512399909829063,-4.596704762990182,-4.135269555568573,-3.3965308126301323,-4.13792090939931,-3.56984134388447,-4.5003653764214,-4.614940814493325,-3.4421456148384912,-3.743483867285861,-3.682522096949456,-3.4148880853234043,-5.487912400431751,-3.75599359268806,-3.5191994795181607,-4.63256221156888,-4.969650642767038,-3.993712244399786,-4.104370829712561,37
-3.4564972041152817,-4.731982621870968,-4.220113066364296,-3.3835061135973175,-4.125974722879405,-3.54076700600665,-4.60198395837226,-4.487615209031301,-3.4630514644685935,-3.660881351367073,-3.692068345565223,-3.357116837225117,-5.718839306505197,-3.6534469464300416,-3.486030850969891,-4.7070965694240705,-5.156439916885845,-4.0360579818902265,-3.828473792705977,38
-3.4185632252380724,-4.823778311825786,-4.277685448689965,-3.374667924967907,-4.117868382026612,-3.521037991018129,-4.670939424696058,-4.401215691039212,-3.4772375767175903,-3.604829644136467,-3.698546157125921,-3.317914918872707,-5.875539707055033,-3.583861722183529,-3.463523567312136,-4.757673455111521,-5.283189781466463,-4.064792589473024,-3.641257946165795,39
-3.404587548809627,-4.857597776545983,-4.2988963263888955,-3.3714117502097034,-4.114881835396635,-3.513769406548674,-4.696344070183772,-4.3693842896737065,-3.482464039125116,-3.5841790151567703,-3.7009327192798622,-3.303472106848135,-5.9332714335733945,-3.5582250606190247,-3.4552314101750685,-4.776307044575319,-5.3298870999961645,-4.075379023845634,-3.572283686914149,40
-3.408649149714896,-4.8635095310768826,-4.287647090400466,-3.3632310955193536,-4.145210775350405,-3.5167472511075943,-4.665101773699698,-4.34642370784607,-3.470949247161191,-3.6470526578685014,-3.694979167365417,-3.3096379293679457,-5.870303540263115,-3.555524113324041,-3.4694139465520206,-4.749892809392268,-5.330126766240951,-4.068684894441838,-3.6083773282380713,41
-3.4196734950291985,-4.879555721946468,-4.257113449860444,-3.341026461359833,-4.227532183796353,-3.524829972053235,-4.580301254671497,-4.284102128599629,-3.4396948118305386,-3.8177096880860595,-3.67881952645478,-3.3263737333502887,-5.699390686992354,-3.5481929706662267,-3.507909402432319,-4.678197028181127,-5.330777288905372,-4.050515114631535,-3.706345783260146,42
-3.4359198986502753,-4.903202740070066,-4.212116505906726,-3.3083038425984332,-4.348847943611435,-3.536741350288915,-4.455332068735198,-4.192259801289082,-3.3936356439748403,-4.069204258932988,-3.6550053187969986,-3.3510370234295315,-5.447519113751231,-3.53738918148629,-3.564639547940128,-4.57254008744892,-5.331735953884517,-4.023738597016353,-3.850720348555835,43
-3.455647674475869,-4.9319169763630075,-4.157477359677214,-3.2685692341024497,-4.496159937672606,-3.5512051667179563,-4.303583771526839,-4.080736975269135,-3.3377066544357787,-4.374590523532827,-3.626088066641123,-3.380985304240041,-5.141675060529872,-3.524270294624939,-3.63352615319961,-4.444242373702671,-5.3329000470734815,-3.991224254197918,-4.026032320700599,44
