C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,time
-3.6810674360576496,-3.661955684498835,-3.853855558648194,-3.8168234551374915,-3.913766922599944,-3.884048858203341,-3.297503242040964,-3.631663722591731,-3.806124857906732,-3.9030159848609784,-3.9802643756965703,-3.9249669879143894,-4.054378587095728,-3.8205051121561113,-3.8423215984048684,-4.216391426625149,10
-3.6789923315102406,-3.6613934152334346,-3.85433279607377,-3.8178244837984296,-3.914273230036839,-3.8838961982745173,-3.2979430936259204,-3.6332545502809723,-3.812669383566687,-3.9030668167884497,-3.979353337525529,-3.923013929812048,-4.056461249000688,-3.8199588061002707,-3.8429985872499803,-4.216153286501421,11
-3.67335990488156,-3.659867255798777,-3.855628154800332,-3.820541561592405,-3.91564749307984,-3.8834818356105676,-3.2991369764993728,-3.6375725111517707,-3.8304330960722797,-3.9032047891630146,-3.976880519632703,-3.9177127721056935,-4.0621141884570084,-3.8184759753772757,-3.8448361284009978,-4.215506906165586,12
-3.6650594866919244,-3.657618178737175,-3.8575371045026325,-3.8245456762361574,-3.9176727228274197,-3.882871195895273,-3.3008963828391975,-3.643935821908735,-3.8566111987121,-3.9034081168728987,-3.9732363669485378,-3.909900539696327,-4.070444836076848,-3.816290751153913,-3.847544083781444,-4.2145543456706704,13
-3.654980407461653,-3.654887156590945,-3.8598551148554274,-3.8294078154464284,-3.9201319303780524,-3.8821297048124155,-3.3030328048232707,-3.651662699256479,-3.8883988947747388,-3.90365501480633,-3.9688113244034806,-3.9004142574849547,-4.080560622472368,-3.8136372645969736,-3.850832315314843,-4.213397665069702,14
-3.6440119977110634,-3.6519151619024006,-3.862377655533469,-3.834698966939959,-3.922808126830212,-3.8813227880457766,-3.305357734629468,-3.6600713598996117,-3.9229913875487874,-3.9039236978515346,-3.9639958369279764,-3.8900909503725787,-4.091568978255728,-3.810749646873245,-3.8544106849247193,-4.212138924415707,15
-3.633043587960474,-3.648943167213856,-3.86490019621151,-3.8399901184334895,-3.925484323282371,-3.8805158712791377,-3.307682664435665,-3.6684800205427446,-3.9575838803228356,-3.904192380896739,-3.959180349452473,-3.8797676432602026,-4.102577334039088,-3.8078620291495167,-3.857989054534595,-4.210880183761712,16
-3.6229645087302025,-3.646212145067626,-3.867218206564305,-3.844852257643761,-3.927943530833004,-3.8797743801962805,-3.309819086419738,-3.6762068978904883,-3.989371576385475,-3.9044392788301705,-3.954755306907416,-3.870281361048831,-4.112693120434607,-3.805208542592577,-3.861277286067995,-4.2097235031607445,17
-3.6146640905405674,-3.643963068006025,-3.8691271562666065,-3.8488563722875138,-3.9299687605805844,-3.879163740480986,-3.311578492759563,-3.6825702086474537,-4.015549679025296,-3.904642606540055,-3.951111154223251,-3.8624691286394652,-4.121023768054448,-3.803023318369215,-3.8639852414484417,-4.208770942665829,18
-3.6090316639118862,-3.6424369085713666,-3.8704225149931677,-3.8515734500814887,-3.931343023623585,-3.8787493778170363,-3.3127723756330156,-3.686888169518251,-4.033313391530888,-3.904780578914619,-3.9486383363304243,-3.85716797093311,-4.126676707510767,-3.801540487646219,-3.8658227825994587,-4.208124562329993,19
-3.6069565593644772,-3.6418746393059664,-3.8708997524187434,-3.8525744787424268,-3.9318493310604796,-3.8785967178882124,-3.3132122272179716,-3.6884789972074925,-4.039857917190843,-3.9048314108420903,-3.947727298159383,-3.8552149128307684,-4.128759369415727,-3.8009941815903785,-3.86649977144457,-4.207886422206265,20
-3.615265903497387,-3.6375578531694748,-3.8807177973721005,-3.8492738697883135,-3.937409276108312,-3.8760889982647733,-3.3127248155438465,-3.6864411392715772,-4.033681926525819,-3.936066905419808,-3.9455908074326143,-3.8523075318934765,-4.128257114856398,-3.797105864776039,-3.8617619561391905,-4.259063804869731,21
-3.637819837572427,-3.6258408622275686,-3.9073667765312137,-3.8403150740557193,-3.952500555523857,-3.869282330715438,-3.3114018409997916,-3.680909810588379,-4.0169185232921825,-4.020848962130755,-3.939791761174241,-3.844416069349397,-4.126893852481076,-3.7865518619942597,-3.8489021717388723,-4.397973843527713,22
-3.671057214104066,-3.608573717681603,-3.9466389563446436,-3.8271126382392664,-3.974740335715186,-3.8592514522216805,-3.30945219430329,-3.6727583788447182,-3.9922145606320876,-4.145790940441623,-3.9312457982671654,-3.8327865456002295,-4.12488483424376,-3.770998594736902,-3.8299509105173524,-4.602683374181581,23
