C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,time
-3.6810674360576496,-3.661955684498835,-3.8538555586481933,-3.8168234551374924,-3.913766922599944,-3.868961745742867,-3.297503242040964,-3.960633980658139,-3.6316637225917305,-3.8061248579067324,-3.9030159848609784,-4.054378587095729,-3.820505112156112,-4.153038287774984,-3.8423215984048675,10
-3.6789923315102406,-3.6613934152334346,-3.854332796073769,-3.8178244837984305,-3.914273230036839,-3.86877552657781,-3.2979430936259204,-3.9597595698267187,-3.633254550280972,-3.8126693835666874,-3.9030668167884497,-4.056461249000689,-3.8199588061002716,-4.152427339395035,-3.8429985872499794,11
-3.6733599048815595,-3.659867255798777,-3.855628154800331,-3.8205415615924063,-3.9156474930798404,-3.8682700745583705,-3.299136976499373,-3.9573861689985774,-3.6375725111517703,-3.83043309607228,-3.9032047891630146,-4.062114188457009,-3.818475975377276,-4.150769050935174,-3.8448361284009973,12
-3.665059486691924,-3.657618178737175,-3.857537104502632,-3.8245456762361587,-3.9176727228274206,-3.867525197898142,-3.300896382839198,-3.9538885256728946,-3.643935821908735,-3.8566111987121,-3.9034081168728987,-4.070444836076848,-3.8162907511539137,-4.148325257415378,-3.8475440837814436,13
-3.6549804074616525,-3.654887156590945,-3.859855114855427,-3.8294078154464297,-3.9201319303780537,-3.8666207048107224,-3.303032804823271,-3.9496413873488523,-3.651662699256479,-3.8883988947747397,-3.903655014806331,-4.080560622472367,-3.813637264596974,-4.145357793855625,-3.8508323153148436,14
-3.644011997711063,-3.6519151619024006,-3.8623776555334683,-3.8346989669399605,-3.9228081268302137,-3.865636403509707,-3.3053577346294682,-3.9450195015256293,-3.6600713598996117,-3.9229913875487883,-3.9039236978515355,-4.091568978255728,-3.8107496468732456,-4.142128495275895,-3.8544106849247197,15
-3.633043587960473,-3.648943167213856,-3.8649001962115097,-3.839990118433491,-3.9254843232823737,-3.8646521022086913,-3.307682664435666,-3.9403976157024063,-3.668480020542745,-3.9575838803228365,-3.90419238089674,-4.102577334039086,-3.807862029149517,-4.1388991966961655,-3.8579890545345963,16
-3.6229645087302016,-3.646212145067626,-3.867218206564305,-3.8448522576437627,-3.9279435308330073,-3.8637476091212717,-3.3098190864197394,-3.936150477378363,-3.6762068978904887,-3.989371576385476,-3.9044392788301714,-4.112693120434606,-3.8052085425925775,-4.135931733136413,-3.8612772860679963,17
-3.614664090540566,-3.643963068006025,-3.8691271562666065,-3.8488563722875155,-3.929968760580588,-3.863002732461044,-3.311578492759564,-3.932652834052681,-3.6825702086474545,-4.0155496790252965,-3.9046426065400563,-4.121023768054446,-3.8030233183692155,-4.133487939616618,-3.863985241448443,18
-3.609031663911885,-3.6424369085713666,-3.8704225149931677,-3.8515734500814904,-3.931343023623589,-3.8624972804416036,-3.312772375633017,-3.9302794332245394,-3.686888169518252,-4.033313391530889,-3.904780578914621,-4.126676707510765,-3.8015404876462195,-4.131829651156756,-3.86582278259946,19
-3.606956559364476,-3.6418746393059664,-3.8708997524187434,-3.8525744787424285,-3.9318493310604836,-3.8623110612765466,-3.313212227217973,-3.929405022393119,-3.6884789972074934,-4.039857917190844,-3.904831410842092,-4.128759369415725,-3.800994181590379,-4.131218702776807,-3.866499771444572,20
-3.6152659034973857,-3.6375578531694748,-3.8807177973721005,-3.8492738697883153,-3.937409276108316,-3.8595956657130497,-3.312724815543848,-3.9274193643742112,-3.686441139271578,-4.03368192652582,-3.936066905419809,-4.128257114856396,-3.7971058647760394,-4.170638528135761,-3.861761956139192,21
-3.637819837572426,-3.625840862227569,-3.9073667765312137,-3.840315074055721,-3.95250055552386,-3.852225306326414,-3.3114018409997925,-3.9220297211800332,-3.6809098105883797,-4.016918523292183,-4.0208489621307555,-4.126893852481074,-3.78655186199426,-4.277635196967208,-3.848902171738874,22
-3.671057214104065,-3.608573717681603,-3.946638956344644,-3.827112638239268,-3.9747403357151887,-3.841363724072425,-3.309452194303292,-3.9140870891044033,-3.672758378844719,-3.9922145606320885,-4.145790940441625,-4.124884834243758,-3.770998594736902,-4.435314498403024,-3.829950910517354,23
-3.711416885606769,-3.587606470732929,-3.9943266032609515,-3.811081109033574,-4.001745783090373,-3.8281746599068667,-3.3070847661718252,-3.904442464441138,-3.662860211727417,-3.962216891687686,-4.297506199819109,-4.122445312098447,-3.752112484495824,-4.626782221575087,-3.8069386647483645,24
-3.7553377045950054,-3.5647891725829024,-4.046221983728698,-3.79363503313326,-4.031134064057485,-3.813821854785524,-3.3045084473228767,-3.8939468434840547,-3.6520886769232934,-3.9295723696011313,-4.4626080997298985,-4.119790537999135,-3.7315599527628853,-4.8351441556152714,-3.7818959267056407,25
-3.7992585235832426,-3.541971874432875,-4.098117364196444,-3.7761889572329457,-4.060522345024598,-3.799469049664182,-3.3019321284739283,-3.883451222526972,-3.64131714211917,-3.896927847514576,-4.62770999964069,-4.1171357638998245,-3.7110074210299473,-5.043506089655457,-3.7568531886629173,26
-3.8396181950859467,-3.5210046274842024,-4.145805011112752,-3.7601574280272523,-4.087527792399783,-3.7862799854986235,-3.2995647003424624,-3.873806597863706,-3.6314189750018677,-3.8669301785701746,-4.779425259018174,-4.114696241754513,-3.6921213107888695,-5.234973812827519,-3.733840942893928,27
-3.8728555716175848,-3.5037374829382357,-4.185077190926181,-3.746954992210798,-4.10976757259111,-3.7754184032446343,-3.29761505364596,-3.8658639657880753,-3.6232675432582067,-3.8422262159100784,-4.9043672373290415,-4.112687223517196,-3.676568043531511,-5.392653114263335,-3.7148896816724073,28
-3.8954095056926255,-3.49202049199633,-4.211726170085294,-3.7379961964782042,-4.124858852006655,-3.7680480438579993,-3.296292079101906,-3.8604743225938978,-3.6177362145750083,-3.825462812676442,-4.989149294039989,-4.111323961141875,-3.6660140407497317,-5.499649783094783,-3.70202989727209,29
-3.9037188498255353,-3.4877037058598384,-4.2215442150386515,-3.734695587524091,-4.130418797054487,-3.765332648294502,-3.2958046674277806,-3.85848866457499,-3.615698356639093,-3.8192868220114184,-5.020384788617705,-4.110821706582546,-3.662125723935392,-5.539069608453736,-3.69729208196671,30
-3.8897431733970897,-3.4844475311016345,-4.218557668408676,-3.7321735800827005,-4.125274253142643,-3.790024732123635,-3.301031129835306,-3.91366382356179,-3.6180849187930346,-3.8048440099868466,-4.991468558923258,-4.129455296046344,-3.708823042465094,-5.483287110531346,-3.70787851633932,31
-3.8518091945198805,-3.4756093424722243,-4.210451327555882,-3.725328131313211,-4.1113104910962095,-3.8570461025169944,-3.3152172420843034,-4.063424969383104,-3.624562730353733,-3.7656420916344366,-4.912981649752618,-4.180032181733794,-3.8355729070457127,-5.33187747331343,-3.736613123922118,32
-3.7959064888060983,-3.462584643439409,-4.198505141035976,-3.715240101547648,-4.090732315448833,-3.955814437833525,-3.3361230917144047,-4.284125605330304,-3.6341089789694987,-3.7078708435361487,-4.79731673097483,-4.254566539588985,-4.022362181164519,-5.10874748162387,-3.7789588614125575,33
-3.7280246318679353,-3.4467689374709907,-4.1839990574046615,-3.702990351118037,-4.065744530734162,-4.075747416432169,-3.361508766265243,-4.552119234694762,-3.645700852288644,-3.6377200422739424,-4.6568664724589475,-4.345072545556002,-4.249177728308785,-4.837803920286549,-3.8303786855080917,34
-3.654153199317581,-3.42955772803477,-4.168213025217643,-3.6896597403564004,-4.038551941485844,-4.206262716671869,-3.3891343532764484,-4.843759360767845,-3.6583155379594774,-3.561379464429777,-4.504023544074016,-4.443564375578932,-4.496006411965778,-4.542953574125346,-3.8863355529061723,35
-3.5802817667672264,-3.41234651859855,-4.152426993030624,-3.676329129594764,-4.011359352237526,-4.336778016911571,-3.4167599402876543,-5.135399486840931,-3.670930223630311,-3.4850388865856106,-4.351180615689083,-4.542056205601863,-4.742835095622772,-4.248103227964142,-3.9422924203042533,36
-3.512399909829063,-3.3965308126301323,-4.13792090939931,-3.6640793791651527,-3.9863715675228546,-4.456710995510215,-3.442145614838492,-5.403393116205388,-3.6825220969494556,-3.4148880853234043,-4.2107303571732,-4.63256221156888,-4.9696506427670375,-3.9771596666268207,-3.9937122443997874,37
-3.4564972041152817,-3.383506113597317,-4.125974722879405,-3.6539913493995897,-3.965793391875479,-4.555479330826745,-3.463051464468594,-5.6240937521525876,-3.6920683455652226,-3.357116837225117,-4.095065438395414,-4.7070965694240705,-5.156439916885844,-3.7540296749372613,-4.036057981890227,38
-3.4185632252380724,-3.3746679249679064,-4.117868382026611,-3.647145900630101,-3.951829629829045,-4.622500701220105,-3.477237576717591,-5.7738548979739015,-3.6985461571259206,-3.317914918872707,-4.016578529224772,-4.757673455111521,-5.283189781466462,-3.602620037719346,-4.064792589473025,39
-3.404587548809627,-3.3714117502097025,-4.114881835396634,-3.64462389318871,-3.946685085917201,-4.647192785049237,-3.4824640391251167,-5.8290300569607005,-3.700932719279862,-3.303472106848135,-3.987662299530326,-4.776307044575319,-5.329887099996164,-3.5468375397969565,-4.075379023845635,40
-3.408649149714896,-3.363231095519353,-4.145210775350404,-3.6452305576564052,-3.9933433006066514,-4.61712007684596,-3.470949247161192,-5.768487387569377,-3.6949791673654167,-3.3096379293679457,-3.9742356633651146,-4.749892809392268,-5.33012676624095,-3.5781678974367543,-4.068684894441839,41
-3.4196734950291985,-3.341026461359832,-4.227532183796352,-3.646877218354435,-4.119987026192305,-4.5354941545799194,-3.4396948118305395,-5.604157284935781,-3.6788195264547796,-3.326373733350289,-3.9377919366309677,-4.678197028181127,-5.330777288905371,-3.6632074396019214,-4.050515114631536,42
-3.4359198986502753,-3.3083038425984324,-4.3488479436114345,-3.6493038762252157,-4.30661988495011,-4.415203321766808,-3.3936356439748407,-5.361986607370483,-3.6550053187969986,-3.351037023429532,-3.88408539197012,-4.57254008744892,-5.331735953884516,-3.7885288701611146,-4.0237385970163535,43
-3.455647674475869,-3.268569234102449,-4.496159937672605,-3.6522505322111645,-4.533245499156015,-4.269135881922318,-3.337706654435779,-5.067922213184051,-3.626088066641123,-3.380985304240041,-3.8188703020248065,-4.444242373702671,-5.332900047073481,-3.9407048929829918,-3.9912242541979186,44
-3.477116136403721,-3.2253286307391718,-4.65647004885682,-3.655457187254696,-4.7798674910859695,-4.110180138562136,-3.276842754055035,-4.747910960687053,-3.5946192922361977,-3.4135760804161834,-3.7479009394372587,-4.304624273449399,-5.334166854367352,-4.10630821193621,-3.9558409987778558,45
-3.498584598331573,-3.1820880273758947,-4.816780160041034,-3.658663842298228,-5.026489483015925,-3.9512243952019546,-3.215978853674291,-4.427899708190054,-3.5631505178312737,-3.446166856592326,-3.6769315768497113,-4.165006173196127,-5.335433661661224,-4.271911530889429,-3.9204577433577934,46
-3.518312374157166,-3.1423534188799107,-4.964092154102206,-3.6616104982841766,-5.253115097221832,-3.8051569553574627,-3.160049864135229,-4.13383531400362,-3.5342332656753968,-3.4761151374028354,-3.6117164869043967,-4.036708459449876,-5.336597754850188,-4.424087553711307,-3.8879434005393576,47
-3.5345587777782432,-3.109630800118511,-5.085407913917287,-3.664037156154957,-5.439747955979636,-3.6848661225443515,-3.1139906962795303,-3.891664636438322,-3.5104190580176162,-3.5007784274820777,-3.558009942243549,-3.93105151871767,-5.337556419829333,-4.5494089842705,-3.8611668829241745,48
-3.545583123092545,-3.0874261659589908,-5.167729322363234,-3.6656838168529866,-5.566391681565288,-3.6032402002783126,-3.082736260948878,-3.7273345338047283,-3.494259417106979,-3.517514231464421,-3.5215662155094027,-3.8593557375065304,-5.338206942493755,-4.634448526435666,-3.8429971031138725,49
-3.5496447239978144,-3.079245511268641,-5.198058262317005,-3.666290481320682,-5.613049896254739,-3.573167492075035,-3.0712214689849535,-3.6667918644134048,-3.488305865192534,-3.523680053984232,-3.508139579344191,-3.8329415023234787,-5.338446608738541,-4.665778884075464,-3.836302973710077,50
-3.5653187909609003,-3.096018832841741,-5.202322823722419,-3.6697622515312616,-5.556741815567904,-3.6388524901110553,-3.0807768352864335,-3.6667323431723333,-3.4809280385711094,-3.522908115040207,-3.510312258497965,-3.858415731828073,-5.283880693986906,-4.644243920236945,-3.8305188226609714,51
-3.607862687003561,-3.1415464199687255,-5.2138980618228254,-3.679185627817121,-5.403905596560779,-3.8171403419231074,-3.106712829533306,-3.6665707855179956,-3.460902509170099,-3.5208128521921385,-3.51620953048678,-3.9275600690548287,-5.1357732110896155,-4.585791875532394,-3.814818984099115,52
-3.6705589548559034,-3.208639706261125,-5.23095630744448,-3.69307270865944,-5.1786732738134384,-4.079880334067185,-3.1449342947392243,-3.666332700553709,-3.4313912026844005,-3.5177250964160387,-3.5249002471018764,-4.029456987073205,-4.917509552083082,-4.499652020178319,-3.7916823799026944,53
-3.7466901372480343,-3.2901101253304668,-5.25166989141363,-3.709935592539398,-4.905176881905952,-4.398921753099281,-3.191346073917839,-3.6660435973827896,-3.3955560448089086,-3.5139756786879164,-3.535453260134493,-4.153188958952663,-4.652475109003717,-4.3950536243912275,-3.763587931949898,54
-3.8295387769100575,-3.378769110788279,-5.274211144556528,-3.7282863779381765,-4.607548455418394,-4.746113885575383,-3.241853010082802,-3.665728985108554,-3.3565589612385205,-3.509895429983784,-3.54693742137587,-4.2878384577626605,-4.36405527388794,-4.281225958387628,-3.733014562118913,55
-3.912387416572082,-3.467428096246093,-5.296752397699428,-3.746637163336955,-4.309920028930835,-5.0933060180514875,-3.2923599462477653,-3.6654143728343183,-3.3175618776681324,-3.505815181279651,-3.558421582617247,-4.42248795657266,-4.075635438772161,-4.167398292384028,-3.702441192287929,56
-3.9885185989642116,-3.548898515315434,-5.317465981668578,-3.763500047216913,-4.03642363702335,-5.412347437083581,-3.33877172542638,-3.665125269663399,-3.281726719792641,-3.502065763551529,-3.5689745956498635,-4.546219928452116,-3.8106009956927984,-4.062799896596937,-3.6743467443351325,57
-4.051214866816554,-3.615991801607833,-5.334524227290231,-3.7773871280592317,-3.8111913142760074,-5.675087429227659,-3.3769931906322976,-3.6648871846991122,-3.2522154133069416,-3.498978007775429,-3.577665312264959,-4.648116846470493,-3.5923373366862625,-3.976660041242861,-3.651210140138711,58
-4.093758762859215,-3.6615193887348183,-5.346099465390639,-3.786810504345091,-3.6583550952688837,-5.853375281039712,-3.4029291848791705,-3.664725627044775,-3.2321898839059315,-3.4968827449273605,-3.5835625842537744,-4.717261183697248,-3.4442298537889724,-3.9182079965383103,-3.635510301576855,59
-4.109432829822301,-3.6782927103079177,-5.3503640267960515,-3.7902822745556706,-3.602047014582049,-5.9190602790757305,-3.41248455118065,-3.664666105803703,-3.224812057284507,-3.4961108059833355,-3.5857352634075483,-4.742735413201842,-3.389663939037339,-3.8966730326997916,-3.6297261505277496,60
-4.10740035613398,-3.671687190421174,-5.304243330154489,-3.825025696319759,-3.6200727306067653,-5.856121797100889,-3.422348250558515,-3.6870518133881673,-3.235528474530313,-3.499557263086011,-3.6026482780687044,-4.715324842942641,-3.4221885258546973,-3.909335962717791,-3.6450071745508867,61
