C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,time
-3.681067436057651,-3.661955684498835,-3.853855558648194,-3.8168234551374924,-3.913766922599944,-3.868961745742867,-3.297503242040964,-3.960633980658141,-3.631663722591731,-3.8061248579067324,-3.9030159848609784,-4.054378587095729,-3.83950656792116,-4.153038287774983,10
-3.678992331510242,-3.6613934152334346,-3.85433279607377,-3.8178244837984305,-3.914273230036839,-3.86877552657781,-3.2979430936259204,-3.9597595698267205,-3.6332545502809723,-3.8126693835666874,-3.9030668167884497,-4.056461249000689,-3.8400257122629227,-4.152427339395034,11
-3.6733599048815613,-3.659867255798777,-3.855628154800332,-3.8205415615924063,-3.9156474930798404,-3.8682700745583705,-3.299136976499373,-3.957386168998579,-3.6375725111517707,-3.83043309607228,-3.9032047891630146,-4.062114188457009,-3.8414348183334224,-4.150769050935173,12
-3.6650594866919253,-3.657618178737175,-3.857537104502633,-3.8245456762361587,-3.9176727228274206,-3.867525197898142,-3.300896382839198,-3.953888525672896,-3.643935821908735,-3.8566111987121,-3.9034081168728982,-4.070444836076848,-3.8435113957004736,-4.148325257415377,13
-3.6549804074616534,-3.654887156590945,-3.859855114855428,-3.8294078154464297,-3.9201319303780537,-3.8666207048107224,-3.303032804823271,-3.949641387348853,-3.651662699256479,-3.8883988947747397,-3.9036550148063296,-4.080560622472367,-3.846032953931893,-4.145357793855625,14
-3.6440119977110634,-3.6519151619024006,-3.8623776555334692,-3.8346989669399605,-3.9228081268302137,-3.865636403509707,-3.3053577346294682,-3.94501950152563,-3.6600713598996117,-3.9229913875487883,-3.9039236978515337,-4.091568978255728,-3.848777002595497,-4.142128495275895,15
-3.6330435879604734,-3.648943167213856,-3.8649001962115106,-3.839990118433491,-3.9254843232823737,-3.8646521022086913,-3.307682664435666,-3.9403976157024068,-3.6684800205427446,-3.9575838803228365,-3.9041923808967383,-4.102577334039086,-3.8515210512591005,-4.1388991966961655,16
-3.622964508730202,-3.646212145067626,-3.8672182065643055,-3.8448522576437627,-3.9279435308330073,-3.8637476091212717,-3.3098190864197394,-3.936150477378364,-3.6762068978904883,-3.989371576385476,-3.9044392788301696,-4.112693120434606,-3.85404260949052,-4.135931733136414,17
-3.6146640905405665,-3.643963068006025,-3.8691271562666074,-3.8488563722875155,-3.929968760580588,-3.863002732461044,-3.311578492759564,-3.9326528340526816,-3.6825702086474537,-4.0155496790252965,-3.9046426065400537,-4.121023768054446,-3.856119186857572,-4.133487939616618,18
-3.609031663911885,-3.6424369085713666,-3.8704225149931686,-3.8515734500814904,-3.931343023623589,-3.8624972804416036,-3.312772375633017,-3.9302794332245394,-3.686888169518251,-4.033313391530889,-3.9047805789146177,-4.126676707510765,-3.857528292928071,-4.131829651156757,19
-3.606956559364476,-3.6418746393059664,-3.8708997524187443,-3.8525744787424285,-3.9318493310604836,-3.8623110612765466,-3.313212227217973,-3.929405022393119,-3.6884789972074925,-4.039857917190844,-3.904831410842089,-4.128759369415725,-3.8580474372698337,-4.131218702776808,20
-3.6152659034973857,-3.6375578531694748,-3.8807177973721014,-3.8492738697883153,-3.937409276108316,-3.8595956657130497,-3.312724815543848,-3.9274193643742112,-3.6864411392715772,-4.03368192652582,-3.936066905419806,-4.128257114856396,-3.853419234672975,-4.170638528135762,21
-3.637819837572426,-3.625840862227569,-3.9073667765312146,-3.840315074055721,-3.95250055552386,-3.852225306326414,-3.3114018409997925,-3.9220297211800332,-3.680909810588379,-4.016918523292183,-4.020848962130753,-4.126893852481074,-3.8408569704815014,-4.277635196967209,22
-3.671057214104065,-3.608573717681603,-3.946638956344644,-3.827112638239268,-3.9747403357151887,-3.841363724072425,-3.309452194303292,-3.9140870891044024,-3.6727583788447182,-3.9922145606320885,-4.145790940441621,-4.124884834243758,-3.822344160094067,-4.435314498403024,23
-3.711416885606769,-3.587606470732929,-3.9943266032609515,-3.811081109033574,-4.001745783090373,-3.8281746599068667,-3.3070847661718252,-3.9044424644411366,-3.6628602117274154,-3.962216891687686,-4.2975061998191055,-4.122445312098447,-3.7998643189093246,-4.626782221575088,24
-3.7553377045950054,-3.5647891725829024,-4.046221983728698,-3.79363503313326,-4.031134064057485,-3.813821854785524,-3.3045084473228767,-3.893946843484053,-3.652088676923292,-3.9295723696011313,-4.462608099729897,-4.119790537999135,-3.7754009623259286,-4.8351441556152714,25
-3.7992585235832426,-3.541971874432875,-4.098117364196444,-3.7761889572329457,-4.060522345024598,-3.799469049664182,-3.3019321284739283,-3.8834512225269693,-3.641317142119169,-3.896927847514576,-4.627709999640688,-4.1171357638998245,-3.750937605742533,-5.043506089655457,26
-3.8396181950859467,-3.5210046274842024,-4.145805011112751,-3.7601574280272523,-4.087527792399783,-3.7862799854986235,-3.2995647003424624,-3.8738065978637035,-3.6314189750018664,-3.8669301785701746,-4.779425259018171,-4.114696241754513,-3.728457764557791,-5.234973812827519,27
-3.8728555716175848,-3.5037374829382357,-4.18507719092618,-3.746954992210798,-4.10976757259111,-3.7754184032446343,-3.29761505364596,-3.8658639657880727,-3.6232675432582053,-3.8422262159100784,-4.90436723732904,-4.112687223517196,-3.709944954170356,-5.392653114263335,28
-3.8954095056926255,-3.49202049199633,-4.211726170085293,-3.7379961964782042,-4.124858852006655,-3.7680480438579993,-3.296292079101906,-3.8604743225938947,-3.617736214575007,-3.825462812676442,-4.989149294039986,-4.111323961141875,-3.6973826899788826,-5.499649783094783,29
-3.9037188498255353,-3.4877037058598384,-4.221544215038651,-3.734695587524091,-4.130418797054487,-3.765332648294502,-3.2958046674277806,-3.858488664574987,-3.6156983566390917,-3.8192868220114184,-5.0203847886177035,-4.110821706582546,-3.692754487382024,-5.539069608453736,30
-3.8897431733970897,-3.4844475311016345,-4.218557668408675,-3.7321735800827005,-4.125274253142643,-3.790024732123635,-3.301031129835306,-3.913663823561787,-3.6180849187930333,-3.8048440099868466,-4.991468558923256,-4.129455296046344,-3.7080003906781296,-5.483287110531346,31
-3.8518091945198805,-3.4756093424722243,-4.210451327555881,-3.725328131313211,-4.1113104910962095,-3.8570461025169944,-3.3152172420843034,-4.063424969383101,-3.6245627303537313,-3.7656420916344366,-4.912981649752616,-4.180032181733794,-3.7493821281961304,-5.33187747331343,32
-3.7959064888060983,-3.462584643439409,-4.198505141035975,-3.715240101547648,-4.090732315448833,-3.955814437833525,-3.3361230917144047,-4.284125605330301,-3.6341089789694974,-3.7078708435361487,-4.7973167309748295,-4.254566539588985,-3.810365741380553,-5.10874748162387,33
-3.7280246318679353,-3.4467689374709907,-4.183999057404661,-3.702990351118037,-4.065744530734162,-4.075747416432169,-3.361508766265243,-4.552119234694759,-3.6457008522886425,-3.6377200422739424,-4.656866472458947,-4.345072545556002,-3.8844172716759235,-4.837803920286549,34
-3.654153199317581,-3.42955772803477,-4.168213025217643,-3.6896597403564004,-4.038551941485844,-4.206262716671869,-3.3891343532764484,-4.8437593607678435,-3.658315537959476,-3.561379464429777,-4.504023544074014,-4.443564375578932,-3.965002760526767,-4.542953574125346,35
-3.5802817667672264,-3.41234651859855,-4.152426993030624,-3.676329129594764,-4.011359352237526,-4.336778016911571,-3.4167599402876543,-5.13539948684093,-3.67093022363031,-3.4850388865856106,-4.351180615689083,-4.542056205601863,-4.045588249377611,-4.248103227964142,36
-3.512399909829063,-3.3965308126301323,-4.137920909399311,-3.6640793791651527,-3.9863715675228546,-4.456710995510215,-3.442145614838492,-5.403393116205388,-3.682522096949455,-3.4148880853234043,-4.210730357173199,-4.63256221156888,-4.119639779672982,-3.9771596666268207,37
-3.4564972041152817,-3.383506113597317,-4.1259747228794055,-3.6539913493995897,-3.965793391875479,-4.555479330826745,-3.463051464468594,-5.6240937521525876,-3.6920683455652212,-3.357116837225117,-4.095065438395413,-4.7070965694240705,-4.180623392857405,-3.7540296749372613,38
-3.4185632252380724,-3.3746679249679064,-4.117868382026612,-3.647145900630101,-3.951829629829045,-4.622500701220105,-3.477237576717591,-5.7738548979739015,-3.6985461571259193,-3.317914918872707,-4.016578529224772,-4.757673455111521,-4.222005130375405,-3.602620037719346,39
-3.404587548809627,-3.3714117502097025,-4.114881835396635,-3.64462389318871,-3.946685085917201,-4.647192785049237,-3.4824640391251167,-5.8290300569607005,-3.700932719279861,-3.303472106848135,-3.987662299530326,-4.776307044575319,-4.237251033671511,-3.5468375397969565,40
-3.408649149714896,-3.363231095519353,-4.145210775350405,-3.6452305576564052,-3.9933433006066514,-4.61712007684596,-3.470949247161192,-5.768487387569377,-3.6949791673654158,-3.3096379293679457,-3.9742356633651146,-4.749892809392268,-4.231451587577209,-3.578167897436755,41
-3.4196734950291985,-3.341026461359832,-4.227532183796353,-3.646877218354435,-4.119987026192305,-4.5354941545799194,-3.4396948118305395,-5.6041572849357815,-3.6788195264547787,-3.326373733350289,-3.9377919366309677,-4.678197028181127,-4.215710233892677,-3.6632074396019214,42
-3.4359198986502753,-3.3083038425984324,-4.348847943611435,-3.6493038762252157,-4.30661988495011,-4.415203321766808,-3.3936356439748407,-5.361986607370483,-3.655005318796998,-3.351037023429532,-3.88408539197012,-4.57254008744892,-4.192512449515473,-3.788528870161115,43
-3.455647674475869,-3.268569234102449,-4.496159937672606,-3.6522505322111645,-4.533245499156015,-4.269135881922318,-3.337706654435779,-5.067922213184053,-3.626088066641122,-3.380985304240041,-3.8188703020248065,-4.444242373702671,-4.164343711343153,-3.940704892982992,44
-3.477116136403721,-3.2253286307391718,-4.65647004885682,-3.655457187254696,-4.7798674910859695,-4.110180138562136,-3.276842754055035,-4.7479109606870535,-3.5946192922361977,-3.4135760804161834,-3.7479009394372587,-4.304624273449399,-4.133689496273275,-4.106308211936211,45
-3.498584598331573,-3.1820880273758947,-4.816780160041034,-3.658663842298228,-5.026489483015925,-3.9512243952019546,-3.215978853674291,-4.427899708190056,-3.5631505178312737,-3.446166856592326,-3.6769315768497113,-4.165006173196127,-4.1030352812033986,-4.2719115308894295,46
-3.518312374157166,-3.1423534188799107,-4.964092154102206,-3.6616104982841766,-5.253115097221832,-3.8051569553574627,-3.160049864135229,-4.133835314003622,-3.5342332656753968,-3.4761151374028354,-3.6117164869043967,-4.036708459449876,-4.074866543031078,-4.424087553711307,47
-3.5345587777782432,-3.109630800118511,-5.085407913917287,-3.664037156154957,-5.439747955979636,-3.6848661225443515,-3.1139906962795303,-3.8916646364383243,-3.5104190580176162,-3.5007784274820777,-3.558009942243549,-3.93105151871767,-4.051668758653873,-4.5494089842705,48
-3.545583123092545,-3.0874261659589908,-5.167729322363234,-3.6656838168529866,-5.566391681565288,-3.6032402002783126,-3.082736260948878,-3.7273345338047306,-3.4942594171069796,-3.517514231464421,-3.5215662155094027,-3.8593557375065304,-4.035927404969341,-4.6344485264356665,49
-3.5496447239978144,-3.079245511268641,-5.198058262317005,-3.666290481320682,-5.613049896254739,-3.573167492075035,-3.0712214689849535,-3.666791864413407,-3.4883058651925345,-3.523680053984232,-3.508139579344191,-3.8329415023234787,-4.03012795887504,-4.665778884075465,50
-3.5653187909609003,-3.096018832841741,-5.202322823722419,-3.6697622515312616,-5.556741815567904,-3.6388524901110553,-3.0807768352864335,-3.6667323431723355,-3.4809280385711094,-3.522908115040207,-3.510312258497965,-3.858415731828073,-4.018049386703028,-4.644243920236946,51
-3.607862687003561,-3.1415464199687255,-5.2138980618228254,-3.679185627817121,-5.403905596560779,-3.8171403419231074,-3.106712829533306,-3.6665707855179974,-3.4609025091700993,-3.5208128521921385,-3.5162095304867806,-3.9275600690548287,-3.9852646908075666,-4.5857918755323945,52
-3.670558954855904,-3.208639706261125,-5.23095630744448,-3.69307270865944,-5.1786732738134384,-4.079880334067185,-3.1449342947392243,-3.6663327005537103,-3.4313912026844005,-3.5177250964160387,-3.524900247101877,-4.029456987073205,-3.936950402119519,-4.49965202017832,53
-3.746690137248035,-3.2901101253304668,-5.25166989141363,-3.709935592539398,-4.905176881905952,-4.398921753099281,-3.191346073917839,-3.6660435973827905,-3.3955560448089086,-3.5139756786879164,-3.535453260134494,-4.153188958952663,-3.8782830515697464,-4.3950536243912275,54
-3.8295387769100584,-3.378769110788279,-5.274211144556529,-3.7282863779381765,-4.607548455418394,-4.746113885575383,-3.241853010082802,-3.6657289851085535,-3.35655896123852,-3.509895429983784,-3.5469374213758704,-4.2878384577626605,-3.814439170089111,-4.281225958387628,55
-3.9123874165720833,-3.467428096246093,-5.296752397699429,-3.746637163336955,-4.309920028930835,-5.0933060180514875,-3.2923599462477653,-3.6654143728343174,-3.317561877668132,-3.505815181279651,-3.558421582617248,-4.42248795657266,-3.7505952886084755,-4.1673982923840285,56
-3.9885185989642133,-3.548898515315434,-5.317465981668578,-3.763500047216913,-4.03642363702335,-5.412347437083581,-3.33877172542638,-3.6651252696633967,-3.28172671979264,-3.502065763551529,-3.5689745956498644,-4.546219928452116,-3.6919279380587033,-4.062799896596937,57
-4.051214866816556,-3.615991801607833,-5.334524227290232,-3.7773871280592317,-3.8111913142760074,-5.675087429227659,-3.3769931906322976,-3.664887184699109,-3.2522154133069403,-3.498978007775429,-3.57766531226496,-4.648116846470493,-3.643613649370655,-3.976660041242861,58
-4.093758762859217,-3.6615193887348183,-5.3460994653906395,-3.786810504345091,-3.6583550952688837,-5.853375281039712,-3.4029291848791705,-3.664725627044772,-3.23218988390593,-3.4968827449273605,-3.5835625842537757,-4.717261183697248,-3.6108289534751936,-3.9182079965383103,59
-4.109432829822302,-3.6782927103079177,-5.350364026796052,-3.7902822745556706,-3.602047014582049,-5.9190602790757305,-3.41248455118065,-3.6646661058037,-3.2248120572845056,-3.4961108059833355,-3.5857352634075497,-4.742735413201842,-3.598750381303182,-3.8966730326997916,60
-4.107400356133982,-3.671687190421174,-5.30424333015449,-3.825025696319759,-3.6200727306067653,-5.856121797100889,-3.422348250558515,-3.6870518133881642,-3.2355284745303114,-3.499557263086011,-3.6026482780687057,-4.715324842942641,-3.6162563811707344,-3.909335962717791,61
-4.1018836418371105,-3.6537579221571543,-5.179058582127391,-3.9193292696794253,-3.668999674102422,-5.68528877459775,-3.4491211488698608,-3.7478130196888513,-3.2646158927689264,-3.508911932364702,-3.648555032148985,-4.640924723667666,-3.6637726665255186,-3.943706772766644,62
-4.093753747083828,-3.627335842610178,-4.99457579556114,-4.058302956735776,-3.741102538201285,-5.433534846698384,-3.4885759463813195,-3.8373558500267064,-3.307481561752149,-3.5226977607754035,-3.716207090793608,-4.531282442630862,-3.7337966659957282,-3.99435849283864,63
-4.0838817320262715,-3.5952518888745653,-4.770560983302124,-4.227056719589918,-3.8286560160356187,-5.127833648534874,-3.536485343359519,-3.9460864297226736,-3.3595327312317766,-3.5394376952741133,-3.798356019147793,-4.398145387086172,-3.818825808209554,-4.0558641529260635,64
-4.073138656816576,-3.560336998044633,-4.526780158196722,-4.410700520342951,-3.9239348007376873,-4.7951588152392874,-3.588622040071088,-4.064410884097696,-3.416176650959606,-3.557654682816827,-3.8877533823567583,-4.25326094428754,-3.911357521795187,-4.1227967830212,65
-4.062395581606881,-3.525422107214701,-4.282999333091319,-4.594344321095988,-4.019213585439757,-4.4624839819436986,-3.640758736782659,-4.18273533847272,-3.472820570687436,-3.5758716703595406,-3.9771507455657247,-4.108376501488905,-4.003889235380821,-4.189729413116338,66
-4.052523566549324,-3.4933381534790877,-4.058984520832302,-4.763098083950128,-4.1067670632740905,-4.156782783780187,-3.6886681337608573,-4.2914659181686865,-3.5248717401670633,-3.5926116048582504,-4.059299673919909,-3.975239445944215,-4.088918377594646,-4.251235073203761,67
-4.0443936717960405,-3.4669160739321114,-3.874501734266052,-4.9020717710064785,-4.178869927372953,-3.9050288558808224,-3.7281229312723156,-4.381008748506542,-3.567737409150286,-3.606397433268952,-4.126951732564532,-3.865597164907411,-4.1589423770648555,-4.301886793275756,68
-4.03887695749917,-3.4489868056680923,-3.7493169862389544,-4.996375344366145,-4.22779687086861,-3.7341958333776843,-3.754895829583662,-4.441769954807229,-3.5968248273889007,-3.615752102547643,-4.172858486644811,-3.791197045632437,-4.20645866241964,-4.33625760332461,69
-4.0368444838108495,-3.4423812857813485,-3.703196289597392,-5.031118766130232,-4.2458225868933255,-3.671257351402844,-3.7647595289615263,-4.4641556623916925,-3.607541244634706,-3.6191985596503184,-4.189771501305967,-3.7637864753732364,-4.223964662287192,-4.348920533342609,70
-4.032507824250377,-3.4417115590765586,-3.7013160475008133,-5.0193014244400285,-4.240170458002071,-3.6694568861680525,-3.7627000503045744,-4.457458066019785,-3.607609161482939,-3.6184363288412746,-4.185211729376412,-3.771667040892045,-4.23507023249274,-4.358841329123039,71
-4.020096005508335,-3.4397947550594012,-3.6959346649485374,-4.985479377533584,-4.223993675313307,-3.6643038304960633,-3.756805680355368,-4.438289083300188,-3.607803544186503,-3.616254771698149,-4.172161347646996,-3.7942217628941526,-4.266855140322412,-4.387235330839442,72
-4.000506267493786,-3.4367694378756943,-3.6874411575467514,-4.932097592657146,-4.198461644804533,-3.656170694435454,-3.7475025181463786,-4.40803442382709,-3.608110340983693,-3.6128115911469503,-4.151563757206591,-3.8298201795480806,-4.317021681595748,-4.432049960054487,73
-3.9746358501157943,-3.432774171671258,-3.6762245409016456,-4.861601037056966,-4.164743772453253,-3.645429988034802,-3.73521666271008,-4.368079797194678,-3.6085155001128078,-3.608264490113689,-4.124362359144073,-3.8768318290223522,-4.383272152132292,-4.491232638330844,74
-3.943381993283423,-3.4279475205919097,-3.6626738306194078,-4.776434677979292,-4.124009464236968,-3.632454221342685,-3.7203742130789452,-4.31981091299714,-3.609004969812143,-3.6027711715243727,-4.091500554548315,-3.9336262494854903,-4.463308847751585,-4.5627307872311835,75
-3.9076419369057347,-3.422428048783468,-3.6471780423062263,-4.679043482670372,-4.077428126133175,-3.6176159044076797,-3.703401268285446,-4.264613480828662,-3.609564698319994,-3.5964893383050107,-4.053921744508187,-3.998572979106016,-4.5548340642731695,-4.644491828318174,76
-3.8683129208917943,-3.4163543203917524,-3.6301261915682907,-4.571872418376457,-4.026169164119381,-3.6012875472783654,-3.6847239273620556,-4.203873210283435,-3.61018063387466,-3.5895766933816127,-4.0125693301125676,-4.070041556052453,-4.655550097516587,-4.734463183154486,77
-3.8262921851506633,-3.409864899562581,-3.6119072940117896,-4.457366452343795,-3.971401984173082,-3.583841660003318,-3.664768289341247,-4.138975810955644,-3.6108387247144353,-3.5821909396801876,-3.9683867124503274,-4.146401518493323,-4.763159243301379,-4.83059227330279,78
-3.7824769695914062,-3.403098350441772,-3.5929103652429104,-4.337970551818634,-3.9142959922717817,-3.5656507526311154,-3.643960453255493,-4.071306992439478,-3.6115249190776177,-3.574489780126744,-3.9223172926103396,-4.226022404597147,-4.875363797447086,-4.930826520325754,79
-3.7377645141230853,-3.3961932371751447,-3.573524420867843,-4.216129684047225,-3.85602059439298,-3.5470873352103354,-3.622726518137266,-4.002252464329124,-3.6122251652025037,-3.5666309176472915,-3.8753044716814786,-4.307273752532449,-4.989866055773251,-5.033113345786047,80
-3.6930520586547635,-3.3892881239085164,-3.554138476492775,-4.094288816275814,-3.7977451965141773,-3.528523917789555,-3.6014925830190383,-3.933197936218769,-3.6129254113273888,-3.5587720551678386,-3.8282916507526172,-4.388525100467752,-5.104368314099418,-5.135400171246342,81
-3.6492368430955073,-3.3825215747877087,-3.535141547723897,-3.9748929157506563,-3.7406392046128785,-3.5103330104173533,-3.580684746933285,-3.8655291177026045,-3.6136116056905716,-3.5510708956143953,-3.7822222309126308,-4.468145986571575,-5.216572868245125,-5.235634418269305,82
-3.607216107354376,-3.376032153958536,-3.5169226501673947,-3.8603869497179915,-3.685872024666579,-3.4928871231423053,-3.5607291089124766,-3.800631718374813,-3.614269696530347,-3.5436851419129693,-3.7380396132503897,-4.5445059490124455,-5.324182014029917,-5.331763508417608,83
-3.5678870913404355,-3.369958425566821,-3.4998707994294596,-3.753215885424077,-3.634613062652784,-3.4765587660129906,-3.5420517679890864,-3.739891447829585,-3.614885632085013,-3.536772496989572,-3.6966871988547694,-4.615974525958881,-5.4248980472733335,-5.421734863253921,84
-3.5321470349627475,-3.364438953758379,-3.484375011116278,-3.655824690115158,-3.5880317245489928,-3.4617204490779856,-3.525078823195587,-3.6846940156611083,-3.6154453605928643,-3.53049066377021,-3.6591083888146434,-4.680921255579407,-5.516423263794917,-5.503495904340911,85
-3.5008931781303754,-3.3596123026790305,-3.4708243008340403,-3.570658331037482,-3.547297416332706,-3.4487446823858683,-3.5102363735644517,-3.6364251314635694,-3.6159348302921988,-3.5249973451808936,-3.626246584218884,-4.737715676042546,-5.596459959414211,-5.574994053241251,86
-3.4750227607523843,-3.355617036474594,-3.4596076841889345,-3.5001617754373036,-3.5135795439814266,-3.4380039759852163,-3.4979505181281536,-3.5964705048311583,-3.6163399894213133,-3.5204502441476317,-3.599045186156366,-4.784727325516816,-5.662710429950753,-5.6341767315176075,87
