C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,time
-3.6731042062414785,-3.7364402239836556,-3.862179376026891,-3.913766922599945,-3.742634853266561,-3.9335024129825626,-3.90301598486098,-3.458979405914176,-4.054378587095729,-3.924344562705135,10
-3.67165944972824,-3.740402192514804,-3.862291035331098,-3.9142732300368404,-3.743555713773788,-3.9328313207920216,-3.903066816788451,-3.459420111293367,-4.056461249000689,-3.924557917251611,11
-3.6677379677637356,-3.751156107099349,-3.862594110585373,-3.9156474930798413,-3.7460551922934027,-3.9310097848462666,-3.9032047891630155,-3.4606163116083133,-4.062114188457009,-3.92513702244919,12
-3.6619589417107807,-3.7670039812239415,-3.863040747802198,-3.9176727228274206,-3.749738634322308,-3.9283254160841006,-3.9034081168728996,-3.4623791331250766,-4.070444836076848,-3.9259904406350943,13
-3.654941552932193,-3.7862478283752323,-3.863583092994059,-3.9201319303780533,-3.754211385357408,-3.925065825444328,-3.9036550148063305,-3.4645197021097176,-4.080560622472367,-3.9270267341465503,14
-3.647304982790789,-3.807189662039873,-3.8641732921734357,-3.922808126830213,-3.7590787908956043,-3.9215186238657527,-3.9039236978515346,-3.4668491448282976,-4.091568978255728,-3.928154465320782,15
-3.6396684126493843,-3.828131495704513,-3.864763491352813,-3.925484323282372,-3.7639461964338015,-3.917971422287177,-3.9041923808967383,-3.4691785875468772,-4.102577334039086,-3.9292821964950138,16
-3.6326510238707974,-3.8473753428558046,-3.8653058365446733,-3.927943530833005,-3.768418947468901,-3.9147118316474048,-3.9044392788301696,-3.4713191565315187,-4.112693120434606,-3.93031849000647,17
-3.626871997817843,-3.8632232169803973,-3.8657524737615,-3.9299687605805853,-3.7721023894978067,-3.912027462885239,-3.9046426065400537,-3.473081978048282,-4.121023768054446,-3.931171908192375,18
-3.6229505158533377,-3.873977131564942,-3.8660555490157744,-3.931343023623586,-3.774601868017421,-3.9102059269394833,-3.9047805789146177,-3.4742781783632286,-4.126676707510765,-3.9317510133899534,19
-3.621505759340099,-3.87793910009609,-3.8661672083199807,-3.9318493310604805,-3.7755227285246473,-3.9095348347489423,-3.904831410842089,-3.474718883742419,-4.128759369415725,-3.9319643679364296,20
-3.6245542158607584,-3.8741109827800146,-3.869079071764051,-3.937409276108313,-3.772624004896247,-3.9075448715822403,-3.936066905419806,-3.482145882350021,-4.128257114856396,-3.93925504349232,21
-3.6328285978454042,-3.8637203786363803,-3.8769827011122415,-3.9525005555238577,-3.7647560407620153,-3.902143542986906,-4.020848962130753,-3.502304878570654,-4.126893852481074,-3.9590440200011656,22
-3.645022423928041,-3.8484079093720784,-3.888630154888522,-3.974740335715187,-3.7531611462484133,-3.8941836903200984,-4.145790940441622,-3.5320128730010616,-4.124884834243758,-3.988206722224728,23
-3.6598292127426713,-3.829814196693997,-3.9027734916168635,-4.001745783090373,-3.739081631481895,-3.8845181549389745,-4.297506199819106,-3.5680868662379845,-4.122445312098447,-4.023618574924768,24
-3.6759424829232974,-3.8095798623090253,-3.918164769821234,-4.031134064057485,-3.7237598065889195,-3.873999778200692,-4.462608099729897,-3.6073438588781652,-4.119790537999135,-4.062155002863046,25
-3.692055753103924,-3.789345527924054,-3.933556048025605,-4.060522345024599,-3.708437981695944,-3.86348140146241,-4.627709999640688,-3.646600851518346,-4.1171357638998245,-4.100691430801325,26
-3.7068625419185546,-3.7707518152459727,-3.9476993847539457,-4.087527792399785,-3.694358466929426,-3.853815866081286,-4.779425259018172,-3.682674844755269,-4.114696241754513,-4.136103283501365,27
-3.7190563680011905,-3.75543934598167,-3.959346838530226,-4.109767572591114,-3.6827635724158223,-3.845856013414477,-4.904367237329041,-3.712382839185676,-4.112687223517196,-4.165265985724927,28
-3.7273307499858364,-3.7450487418380365,-3.967250467878417,-4.124858852006659,-3.674895608281592,-3.8404546848191434,-4.989149294039987,-3.7325418354063093,-4.111323961141875,-4.185054962233773,29
-3.7303792065064956,-3.7412206245219606,-3.970162331322487,-4.1304187970544906,-3.671996884653191,-3.8384647216524415,-5.020384788617704,-3.739968834013911,-4.110821706582546,-4.192345637789663,30
-3.720869989107318,-3.729245699457012,-3.982427274945489,-4.1252742531426465,-3.6705818014759317,-3.8892861819313773,-4.991468558923257,-3.733203133290308,-4.129455296046344,-4.188372091344294,31
-3.695059256166691,-3.696742331423579,-4.015717836207923,-4.111310491096212,-3.666740861423369,-4.02723014554563,-4.912981649752617,-3.7148390884691014,-4.180032181733794,-4.177586750992576,32
-3.6570223865699787,-3.648842631163784,-4.064777610699931,-4.090732315448835,-3.6610805287143293,-4.230515986661372,-4.79731673097483,-3.6877762855746905,-4.254566539588985,-4.161692565211097,33
-3.610834759202543,-3.5906787094197474,-4.124350194011656,-4.065744530734165,-3.6542072675676396,-4.477363079444772,-4.6568664724589475,-3.6549143106314785,-4.345072545556002,-4.1423924824764455,34
-3.5605717529497443,-3.5273826769335894,-4.1891791817332376,-4.038551941485846,-3.6467275422021235,-4.745990798062,-4.504023544074015,-3.619152749663865,-4.443564375578932,-4.121389451265205,35
-3.5103087466969454,-3.464086644447432,-4.25400816945482,-4.011359352237526,-3.639247816836607,-5.0146185166792305,-4.351180615689083,-3.583391188696251,-4.542056205601862,-4.100386420053966,36
-3.46412111932951,-3.405922722703395,-4.313580752766544,-3.9863715675228546,-3.632374555689917,-5.261465609462631,-4.2107303571732,-3.550529213753039,-4.632562211568879,-4.081086337319315,37
-3.426084249732798,-3.3580230224436005,-4.362640527258553,-3.965793391875479,-3.626714222980878,-5.4647514505783725,-4.095065438395413,-3.523466410858628,-4.7070965694240705,-4.065192151537836,38
