C1,C2,C3,C4,C5,C6,C7,C8,C9,time
-3.6731042062414794,-3.862179376026892,-3.913766922599945,-3.7426348532665616,-3.865157857388859,-3.9335024129825626,-3.458979405914176,-4.054378587095729,-3.924344562705135,10
-3.671659449728241,-3.862291035331099,-3.9142732300368404,-3.7435557137737883,-3.8660975839989837,-3.9328313207920216,-3.459420111293367,-4.056461249000689,-3.924557917251611,11
-3.667737967763736,-3.8625941105853734,-3.9156474930798413,-3.7460551922934027,-3.8686482705121805,-3.9310097848462666,-3.4606163116083133,-4.062114188457009,-3.92513702244919,12
-3.6619589417107816,-3.8630407478021995,-3.9176727228274206,-3.7497386343223083,-3.87240717695268,-3.9283254160841015,-3.4623791331250766,-4.070444836076848,-3.9259904406350943,13
-3.654941552932194,-3.8635830929940598,-3.9201319303780533,-3.7542113853574075,-3.876971563344716,-3.9250658254443294,-3.4645197021097176,-4.080560622472367,-3.9270267341465503,14
-3.6473049827907893,-3.8641732921734366,-3.922808126830213,-3.7590787908956043,-3.8819386897125194,-3.9215186238657544,-3.4668491448282976,-4.091568978255728,-3.928154465320782,15
-3.6396684126493852,-3.8647634913528144,-3.925484323282372,-3.7639461964338006,-3.886905816080323,-3.917971422287179,-3.4691785875468772,-4.102577334039086,-3.9292821964950138,16
-3.6326510238707974,-3.8653058365446746,-3.927943530833005,-3.7684189474689007,-3.891470202472359,-3.9147118316474074,-3.4713191565315187,-4.112693120434606,-3.93031849000647,17
-3.626871997817843,-3.8657524737615003,-3.9299687605805853,-3.7721023894978063,-3.895229108912859,-3.9120274628852423,-3.473081978048282,-4.121023768054446,-3.931171908192375,18
-3.6229505158533377,-3.8660555490157753,-3.931343023623586,-3.7746018680174207,-3.897779795426055,-3.910205926939487,-3.4742781783632286,-4.126676707510765,-3.9317510133899534,19
-3.621505759340099,-3.8661672083199816,-3.9318493310604805,-3.775522728524647,-3.89871952203618,-3.909534834748946,-3.474718883742419,-4.128759369415725,-3.9319643679364296,20
-3.6245542158607584,-3.8690790717640517,-3.937409276108313,-3.7726240048962465,-3.9219860139107627,-3.907544871582244,-3.482145882350021,-4.128257114856396,-3.93925504349232,21
