C1,C2,C3,C4,C5,C6,C7,time
-3.7271835983720982,-3.862179376026892,-3.913766922599945,-3.865157857388859,-3.9335024129825626,-4.054378587095729,-3.8984909428834142,10
-3.7275787662081106,-3.862291035331099,-3.9142732300368404,-3.8660975839989837,-3.9328313207920216,-4.056461249000689,-3.898716928031708,11
-3.728651364620143,-3.8625941105853734,-3.9156474930798413,-3.8686482705121805,-3.9310097848462666,-4.062114188457009,-3.899330316291363,12
-3.7302320359641907,-3.8630407478021995,-3.9176727228274206,-3.87240717695268,-3.9283254160841015,-4.070444836076848,-3.9002342568845374,13
-3.7321514225962487,-3.8635830929940598,-3.9201319303780533,-3.876971563344716,-3.9250658254443294,-4.080560622472367,-3.901331899033393,14
-3.734240166872312,-3.8641732921734366,-3.922808126830213,-3.8819386897125194,-3.9215186238657544,-4.091568978255728,-3.9025263919600883,15
-3.7363289111483757,-3.8647634913528144,-3.925484323282372,-3.886905816080323,-3.917971422287179,-4.102577334039086,-3.9037208848867833,16
-3.738248297780434,-3.8653058365446746,-3.927943530833005,-3.891470202472359,-3.9147118316474074,-4.112693120434606,-3.9048185270356393,17
-3.739828969124482,-3.8657524737615003,-3.9299687605805853,-3.895229108912859,-3.9120274628852423,-4.121023768054446,-3.905722467628814,18
-3.7409015675365143,-3.8660555490157753,-3.931343023623586,-3.897779795426055,-3.910205926939487,-4.126676707510765,-3.906335855888468,19
-3.741296735372526,-3.8661672083199816,-3.9318493310604805,-3.89871952203618,-3.909534834748946,-4.128759369415725,-3.906561841036762,20
-3.7397196073328054,-3.8690790717640517,-3.937409276108313,-3.9219860139107627,-3.907544871582244,-4.128257114856396,-3.9138600900955254,21
-3.7354388312249913,-3.876982701112242,-3.9525005555238577,-3.985137920427486,-3.9021435429869094,-4.126893852481074,-3.933669623255026,22
-3.7291303190661087,-3.8886301548885234,-3.974740335715187,-4.078203887925817,-3.8941836903201015,-4.124884834243758,-3.96286261949008,23
-3.7214699828731783,-3.9027734916168644,-4.001745783090373,-4.191212562745218,-3.884518154938977,-4.122445312098447,-3.998311257775502,24
-3.7131337346632254,-3.918164769821235,-4.031134064057485,-4.3141925912251535,-3.873999778200694,-4.119790537999135,-4.036887717086108,25
-3.7047974864532724,-3.933556048025606,-4.060522345024599,-4.437172619705089,-3.8634814014624115,-4.1171357638998245,-4.075464176396715,26
-3.697137150260343,-3.947699384753948,-4.087527792399785,-4.55018129452449,-3.8538158660812876,-4.114696241754513,-4.110912814682138,27
-3.690828638101459,-3.959346838530228,-4.109767572591114,-4.64324726202282,-3.8458560134144784,-4.112687223517196,-4.14010581091719,28
-3.686547861993646,-3.9672504678784186,-4.124858852006659,-4.706399168539544,-3.8404546848191443,-4.111323961141875,-4.159915344076691,29
-3.6849707339539246,-3.9701623313224887,-4.1304187970544906,-4.729665660414127,-3.8384647216524423,-4.110821706582546,-4.167213593135455,30
-3.6817569542829056,-3.9824272749454908,-4.1252742531426465,-4.704599727226384,-3.889286181931378,-4.129455296046344,-4.1630849270079615,31
-3.673033838032995,-4.015717836207925,-4.111310491096212,-4.636563622859654,-4.027230145545631,-4.180032181733794,-4.15187854751905,32
-3.6601787193489175,-4.064777610699933,-4.090732315448835,-4.536299890108683,-4.230515986661373,-4.254566539588985,-4.135363883009075,33
