C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,time
-6.722417107977727,-6.163700628090629,-5.677316079620242,-2.5797096503564827,-2.9986193752649055,-2.6781603515686867,-6.440603442716562,-5.331119632592963,-6.105327170541363,-5.541948266114658,-3.387447087007561,10
-6.711663736535864,-6.1241751884102165,-5.612063400158923,-2.602327415140774,-2.9819436375788486,-2.685426076430677,-6.221713347992001,-5.236939249079302,-5.84506610845596,-5.668543440404604,-3.3730665340148884,11
-6.701018193368388,-6.087797673622396,-5.550315459794749,-2.630821342732991,-2.971779777111016,-2.698183666260031,-6.01791059603201,-5.150318481458101,-5.60188724664705,-5.781690875075773,-3.3595757115237035,12
-6.6904804784753,-6.054568083727167,-5.492072258527721,-2.665191433133134,-2.9681277938614072,-2.716433121056747,-5.829195186836593,-5.07125732972936,-5.37579058511463,-5.881390570128162,-3.346974619534005,13
-6.680050591856601,-6.024486418724529,-5.437333796357838,-2.7054376863412015,-2.9709876878300228,-2.740174440820827,-5.655567120405751,-4.9997557938930814,-5.166776123858702,-5.967642525561774,-3.335263258045794,14
-6.669728533512292,-5.997552678614485,-5.386100073285099,-2.7515601023571956,-2.980359459016863,-2.7694076255522697,-5.497026396739479,-4.935813873949262,-4.974843862879267,-6.040446741376608,-3.32444162705907,15
-6.6595143034423705,-5.973766863397033,-5.338371089309505,-2.8035586811811153,-2.996243107421927,-2.8041326752510765,-5.353573015837781,-4.879431569897903,-4.799993802176323,-6.0998032175726635,-3.314509726573834,16
-6.649407901646839,-5.953128973072173,-5.294146844431055,-2.861433422812961,-3.018638633045216,-2.8443495899172464,-5.225206977700656,-4.830608881739005,-4.642225941749873,-6.145711954149942,-3.3054675565900853,17
-6.639409328125696,-5.935639007639904,-5.253427338649751,-2.9251843272527314,-3.0475460358867292,-2.8900583695507795,-5.111928282328103,-4.789345809472568,-4.501540281599915,-6.178172951108441,-3.2973151171078245,18
-6.629518582878942,-5.921296967100228,-5.216212571965589,-2.994811394500428,-3.0829653159464656,-2.941259014151675,-5.013736929720123,-4.755642353098591,-4.377936821726449,-6.197186208448162,-3.29005240812705,19
-6.6197356659065765,-5.910102851453145,-5.182502544378572,-3.070314624556051,-3.124896473224427,-2.9979515237199346,-4.930632919876717,-4.729498512617074,-4.271415562129475,-6.2027517261691045,-3.2836794296477634,20
-6.61045968055293,-5.905296478187084,-5.1560858871667525,-3.166036102218335,-3.1848812876255175,-3.072134823210751,-4.864975129290756,-4.715723492354278,-4.188225954185259,-6.185296661982722,-3.27839687724594,21
-6.60191235089818,-5.90867774590673,-5.139067395484603,-3.289943652375468,-3.269331859096906,-3.1704749820436753,-4.818074044902725,-4.716989072491457,-4.131839915325059,-6.139502770173152,-3.274316248463789,22
-6.593827608046115,-5.9180867762864615,-5.128921315146758,-3.432475885161624,-3.37055366770199,-3.284972716915246,-4.788357082384044,-4.730089116811107,-4.098091144631365,-6.071751945599428,-3.27130374625066,23
-6.5859393831005075,-5.931363691000659,-5.1231218919678465,-3.584071410710982,-3.4808521935041665,-3.4076287445220017,-4.774251657406129,-4.751817489095719,-4.082813341186665,-5.988426083120582,-3.269225573555901,24
-6.577981607165145,-5.9463486117237006,-5.1191433717625,-3.7351688391577142,-3.5925329165668307,-3.5304437815604777,-4.774185185640399,-4.778968053127787,-4.081840204073451,-5.895907077595647,-3.2679479333288626,25
-6.569688211343807,-5.960881660129968,-5.1144600003453515,-3.876206780636,-3.6979013169533808,-3.645418544727214,-4.786585082758272,-4.808334672689805,-4.091005432374213,-5.800576823883653,-3.2673370285188934,26
-6.560793126740274,-5.972802957893841,-5.106546023531029,-3.9976238452800157,-3.7892628747272137,-3.7445537507187474,-4.809878764431167,-4.836711211564265,-4.10614272517144,-5.7088172168436335,-3.2672590620753437,27
-6.551030284458325,-5.979952626689698,-5.092875687134167,-4.089858643223935,-3.858923069951725,-3.819850116231615,-4.842493646330501,-4.860891533533661,-4.123085781547622,-5.62701015133462,-3.2675802369475613,28
-6.5401336156017456,-5.980170788191922,-5.070923236969395,-4.143349784601936,-3.8991873826903136,-3.8633083579623566,-4.8828571441276925,-4.877669502380486,-4.137668300585249,-5.561537522215645,-3.2681667560848973,29
-6.5278370512743145,-5.971297564074889,-5.038162918851343,-4.148535879548195,-3.9023612930063747,-3.8669291926075084,-4.9293966734941606,-4.883838981887234,-4.14572398136681,-5.518781224345741,-3.2688848224367,30
-6.5190224437602,-5.959773539597377,-4.997355941275593,-4.094187659579364,-3.8608670359801738,-3.82140106144214,-5.001482489490274,-4.885133433621716,-4.156493526590824,-5.505476720247638,-3.2677460352691288,31
-6.516677856517053,-5.9514166915000875,-4.952655609598588,-3.983982157621105,-3.7784742443683346,-3.7298464293411757,-5.1115066731199565,-4.888062996013835,-4.179431268337589,-5.518747672209784,-3.2637844800047975,32
-6.517696537408888,-5.943133228680295,-4.903624314926258,-3.8307174359211076,-3.664509494748795,-3.602917048400938,-5.247429378969946,-4.890586548139221,-4.210691349762264,-5.5505582747397835,-3.2584000888277416,33
-6.518971734299711,-5.93182936003527,-4.849824448364534,-3.6471915567270607,-3.5282993636994906,-3.451264670717751,-5.39721076162699,-4.890662969073502,-4.246427914020013,-5.592872722345245,-3.252992793921992,34
-6.517396695053534,-5.914411294462285,-4.790818401019344,-3.446202582286653,-3.3791704277983574,-3.2855410483879326,-5.548810975677828,-4.886251137892307,-4.2827951042659915,-5.6376552095337695,-3.2489625274715834,35
-6.509864667534364,-5.8877852408586095,-4.726168563996619,-3.240548574847572,-3.226449263623331,-3.1163979335078067,-5.690190175709206,-4.875309933671265,-4.315947063655364,-5.676869930812969,-3.2477092216605485,36
-6.493268899606215,-5.84885740812152,-4.655437328402288,-3.043027596657508,-3.0794624477523476,-2.9544870781736945,-5.809308516307865,-4.855798235486006,-4.342037935343289,-5.702481080690444,-3.250632808672921,37
-6.464502639133094,-5.794534005148286,-4.5781870853422815,-2.8664377099641496,-2.9475365567633443,-2.810460234481918,-5.894126152060548,-4.825674922412158,-4.357221862484927,-5.706452853673805,-3.2591332206927333,38
