ID,rank,mean,variable,value,average,cluster
56407,370,2.87686598881546e-4,4,5.481077995739879e-5,2.4743582457517757e-4,8
55894,125,7.77600778429714e-5,1,4.335996357763059e-7,2.4743582457517757e-4,8
56432,386,3.1031332832218096e-4,12,2.0293799825724375e-4,2.4743582457517757e-4,8
56072,206,1.2731858960709545e-4,3,5.3770641493649455e-5,2.4743582457517757e-4,8
56184,258,1.5585791635840877e-4,14,1.274436270874117e-4,2.4743582457517757e-4,8
56459,401,3.497198686779499e-4,6,5.316112296021593e-4,2.4743582457517757e-4,8
56516,435,4.3862556796943846e-4,5,5.575339969854073e-4,2.4743582457517757e-4,8
56644,516,7.893781842215027e-4,4,2.1073799880172295e-4,2.4743582457517757e-4,8
56516,435,4.3862556796943846e-4,10,7.341869316565465e-4,2.4743582457517757e-4,8
56428,384,3.021963037241999e-4,5,3.378993921123681e-4,2.4743582457517757e-4,8
56195,263,1.511213272645105e-4,4,1.7955255503285813e-5,2.4743582457517757e-4,8
56644,516,7.893781842215027e-4,14,8.142812074970281e-4,2.4743582457517757e-4,8
56184,258,1.5585791635840877e-4,4,8.599622372626362e-5,2.4743582457517757e-4,8
56432,386,3.1031332832218096e-4,15,2.5548263457789605e-4,2.4743582457517757e-4,8
56644,516,7.893781842215027e-4,12,8.818388274786418e-4,2.4743582457517757e-4,8
56644,516,7.893781842215027e-4,11,9.895586695744683e-4,2.4743582457517757e-4,8
55894,125,7.77600778429714e-5,12,4.916539133036319e-5,2.4743582457517757e-4,8
56407,370,2.87686598881546e-4,17,2.018364944017585e-4,2.4743582457517757e-4,8
56432,386,3.1031332832218096e-4,17,1.3155136692133103e-4,2.4743582457517757e-4,8
56407,370,2.87686598881546e-4,7,5.642866820214064e-4,2.4743582457517757e-4,8
56195,263,1.511213272645105e-4,2,2.3148497935764848e-5,2.4743582457517757e-4,8
56644,516,7.893781842215027e-4,1,3.0351974504341417e-6,2.4743582457517757e-4,8
56407,370,2.87686598881546e-4,5,5.873486492306163e-4,2.4743582457517757e-4,8
56428,384,3.021963037241999e-4,2,9.484454015348096e-5,2.4743582457517757e-4,8
56432,386,3.1031332832218096e-4,13,9.67577620116232e-5,2.4743582457517757e-4,8
56407,370,2.87686598881546e-4,1,8.671992715526119e-7,2.4743582457517757e-4,8
56644,516,7.893781842215027e-4,5,8.543554237821542e-4,2.4743582457517757e-4,8
56432,386,3.1031332832218096e-4,6,4.81829765661751e-4,2.4743582457517757e-4,8
55894,125,7.77600778429714e-5,9,1.876662325267612e-4,2.4743582457517757e-4,8
55970,160,9.50624510413816e-5,4,9.166630441151176e-5,2.4743582457517757e-4,8
55973,161,9.519420047933564e-5,2,1.63968527045001e-5,2.4743582457517757e-4,8
56432,386,3.1031332832218096e-4,3,6.993482206536002e-5,2.4743582457517757e-4,8
56184,258,1.5585791635840877e-4,6,1.4158031028923488e-4,2.4743582457517757e-4,8
56516,435,4.3862556796943846e-4,18,3.291031483526109e-4,2.4743582457517757e-4,8
56432,386,3.1031332832218096e-4,11,5.117674664537488e-4,2.4743582457517757e-4,8
56644,516,7.893781842215027e-4,3,5.146147284054794e-4,2.4743582457517757e-4,8
56432,386,3.1031332832218096e-4,9,4.931258207051271e-4,2.4743582457517757e-4,8
55894,125,7.77600778429714e-5,10,9.717630786435291e-5,2.4743582457517757e-4,8
55970,160,9.50624510413816e-5,5,2.077087439749557e-4,2.4743582457517757e-4,8
55746,75,7.044751190474106e-5,14,4.178479576636449e-5,2.4743582457517757e-4,8
55894,125,7.77600778429714e-5,7,1.1177347242921012e-4,2.4743582457517757e-4,8
56195,263,1.511213272645105e-4,5,1.752439004190615e-4,2.4743582457517757e-4,8
55970,160,9.50624510413816e-5,9,9.87857914441867e-5,2.4743582457517757e-4,8
55894,125,7.77600778429714e-5,4,9.450134475413583e-6,2.4743582457517757e-4,8
56184,258,1.5585791635840877e-4,9,2.679798841074008e-4,2.4743582457517757e-4,8
56147,244,1.3779123890820765e-4,3,6.663600970378644e-5,2.4743582457517757e-4,8
56516,435,4.3862556796943846e-4,16,3.689090537692195e-4,2.4743582457517757e-4,8
55973,161,9.519420047933564e-5,1,4.335996357763059e-7,2.4743582457517757e-4,8
56076,209,1.2004569341175412e-4,1,1.3007989073289178e-6,2.4743582457517757e-4,8
55894,125,7.77600778429714e-5,8,1.3582285630095277e-4,2.4743582457517757e-4,8
55970,160,9.50624510413816e-5,3,9.467591477716192e-5,2.4743582457517757e-4,8
56184,258,1.5585791635840877e-4,15,1.3400035733428622e-4,2.4743582457517757e-4,8
55746,75,7.044751190474106e-5,5,6.526096102562404e-5,2.4743582457517757e-4,8
56407,370,2.87686598881546e-4,6,5.777390081157487e-4,2.4743582457517757e-4,8
56147,244,1.3779123890820765e-4,6,2.114570440771476e-4,2.4743582457517757e-4,8
56644,516,7.893781842215027e-4,7,0.0013094431648828,2.4743582457517757e-4,8
56644,516,7.893781842215027e-4,9,0.00134525366397571,2.4743582457517757e-4,8
56516,435,4.3862556796943846e-4,12,7.427112307352736e-4,2.4743582457517757e-4,8
56579,470,5.713388825891032e-4,5,9.875275371440877e-4,2.4743582457517757e-4,8
56432,386,3.1031332832218096e-4,5,6.406837493581568e-4,2.4743582457517757e-4,8
55970,160,9.50624510413816e-5,6,1.0184648127257863e-4,2.4743582457517757e-4,8
56184,258,1.5585791635840877e-4,1,4.335996357763059e-7,2.4743582457517757e-4,8
56432,386,3.1031332832218096e-4,16,3.5924331436915265e-4,2.4743582457517757e-4,8
56516,435,4.3862556796943846e-4,6,6.66797590394461e-4,2.4743582457517757e-4,8
56644,516,7.893781842215027e-4,10,0.0013028369350899,2.4743582457517757e-4,8
55894,125,7.77600778429714e-5,5,1.884948569724877e-4,2.4743582457517757e-4,8
55746,75,7.044751190474106e-5,9,1.1056512700934715e-4,2.4743582457517757e-4,8
55970,160,9.50624510413816e-5,12,1.297129473396816e-4,2.4743582457517757e-4,8
55970,160,9.50624510413816e-5,14,9.16653957124621e-5,2.4743582457517757e-4,8
56432,386,3.1031332832218096e-4,1,8.671992715526119e-7,2.4743582457517757e-4,8
56428,384,3.021963037241999e-4,3,9.533567724947664e-5,2.4743582457517757e-4,8
56516,435,4.3862556796943846e-4,7,8.948651944181005e-4,2.4743582457517757e-4,8
56147,244,1.3779123890820765e-4,14,1.8803158094864022e-5,2.4743582457517757e-4,8
56459,401,3.497198686779499e-4,2,1.449996190143048e-4,2.4743582457517757e-4,8
56195,263,1.511213272645105e-4,1,4.335996357763059e-7,2.4743582457517757e-4,8
55970,160,9.50624510413816e-5,1,4.335996357763059e-7,2.4743582457517757e-4,8
56147,244,1.3779123890820765e-4,9,2.647673380441752e-4,2.4743582457517757e-4,8
56147,244,1.3779123890820765e-4,2,8.552083959602013e-5,2.4743582457517757e-4,8
56579,470,5.713388825891032e-4,4,1.143466271525044e-4,2.4743582457517757e-4,8
