C1,C2,C3,C4,C5,C6,C7,time
-6.276445685062688,-5.6894944350048755,-2.7568905186594166,-6.1481897605636675,-5.971506268165094,-6.3919494487424355,-3.4700274190144977,10
-6.246488214617625,-5.604227090388565,-2.7855269494229393,-5.943515998060883,-5.91849459546681,-6.1860916847888285,-3.4468780150990463,11
-6.218687020665955,-5.524044829119523,-2.818087993725761,-5.751967049818697,-5.867170616937353,-5.994012878569256,-3.424982279520777,12
-6.193042103207677,-5.448947651197751,-2.854573651567882,-5.573542915837108,-5.817534332576724,-5.815713030083713,-3.40434021227969,13
-6.1695534622427886,-5.3789355566232535,-2.894983922949303,-5.40824359611612,-5.769585742384922,-5.651192139332203,-3.384951813375786,14
-6.148221097771293,-5.314008545396027,-2.939318807870023,-5.256069090655727,-5.7233248463619475,-5.500450206314723,-3.3668170828090633,15
-6.129045009793187,-5.254166617516077,-2.987578306330042,-5.117019399455932,-5.678751644507802,-5.363487231031275,-3.3499360205795234,16
-6.112025198308473,-5.199409772983402,-3.03976241832936,-4.991094522516737,-5.635866136822482,-5.240303213481859,-3.3343086266871658,17
-6.097161663317147,-5.1497380117980045,-3.095871143867978,-4.87829445983814,-5.594668323305992,-5.130898153666475,-3.3199349011319907,18
-6.084454404819211,-5.105151333959886,-3.1559044829458935,-4.778619211420141,-5.555158203958329,-5.035272051585123,-3.306814843913998,19
-6.073903422814665,-5.065649739469045,-3.2198624355631087,-4.69206877726274,-5.5173357787794925,-4.9534249072378005,-3.294948455033188,20
-6.067657441521028,-5.034959472615687,-3.2994148230060802,-4.618610875868488,-5.47987636785929,-4.892055349439674,-3.284212541029071,21
-6.066910196614703,-5.015150669116587,-3.40104487932284,-4.558227573072136,-5.442044037914282,-4.854884838643608,-3.274538661090265,22
-6.070229205284009,-5.003739166111613,-3.5169727236557495,-4.510940389871983,-5.404721908884595,-4.837447622306163,-3.2660089441904296,23
-6.076181984717265,-4.998240800740624,-3.6394184751471723,-4.4767708472663275,-5.368793100710359,-4.835277947883898,-3.2587055193032226,24
