C1,C2,C3,C4,C5,C6,C7,C8,time
-6.29654441603319,-5.711960247019253,-2.852498971342573,-6.148189760563671,-5.7974826165079305,-5.971506268165096,-3.527950315345829,-4.53922417688916,10
-6.258747525040746,-5.624702049127039,-2.881718357814332,-5.943515998060887,-5.639801479976077,-5.918494595466811,-3.5043383688816907,-4.491237133291133,11
-6.223663377986781,-5.542715850092869,-2.9142149265453363,-5.751967049818701,-5.492543783289886,-5.867170616937354,-3.4821017056110986,-4.4463861180445745,12
-6.191291974871293,-5.466001649916744,-2.9499886775355852,-5.573542915837112,-5.355709526449355,-5.817534332576725,-3.4612403255340527,-4.404671131149484,13
-6.161633315694284,-5.394559448598666,-2.989039610785079,-5.4082435961161215,-5.229298709454487,-5.7695857423849235,-3.441754228650553,-4.366092172605861,14
-6.134687400455754,-5.328389246138636,-3.0313677262938175,-5.256069090655729,-5.1133113323052815,-5.723324846361949,-3.4236434149606003,-4.330649242413705,15
-6.110454229155703,-5.267491042536656,-3.0769730240618007,-5.117019399455934,-5.007747395001738,-5.678751644507803,-3.4069078844641933,-4.298342340573019,16
-6.088933801794132,-5.211864837792725,-3.1258555040890292,-4.991094522516739,-4.912606897543856,-5.635866136822484,-3.391547637161333,-4.269171467083801,17
-6.070126118371038,-5.161510631906849,-3.178015166375502,-4.8782944598381395,-4.827889839931639,-5.594668323305993,-3.3775626730520196,-4.243136621946051,18
-6.054031178886422,-5.1164284248790235,-3.2334520109212193,-4.77861921142014,-4.753596222165083,-5.55515820395833,-3.364952992136252,-4.220237805159769,19
-6.0406489833402865,-5.076618216709255,-3.2921660377261817,-4.692068777262739,-4.689726044244189,-5.517335778779493,-3.3537185944140306,-4.2004750167249565,20
-6.032377242035338,-5.045948166318246,-3.364737092674471,-4.618610875868487,-4.640607422575267,-5.4798763678592906,-3.3438138677600824,-4.183558366074542,21
-6.030548016250857,-5.026567250884167,-3.45704286792391,-4.558227573072134,-4.608644866272932,-5.4420440379142825,-3.335213472104811,-4.1693268028934884,22
-6.033562832451709,-5.015896697793212,-3.5620301328851114,-4.5109403898719815,-4.590952964399645,-5.404721908884596,-3.3279478155317315,-4.157973587559842,23
-6.039823217102752,-5.011357734431574,-3.672645656968687,-4.476770847266326,-4.584646306017867,-5.36879310071036,-3.32204730612436,-4.149691980451648,24
-6.047730696668847,-5.010371588185449,-3.781836209585248,-4.455740466253468,-4.586839480190058,-5.335140733331705,-3.3175423519662117,-4.144675241946953,25
-6.055686797614856,-5.010359486441031,-3.8825485601454077,-4.447870767831709,-4.594647075978679,-5.304647926688759,-3.3144633611408025,-4.143116632423802,26
-6.062093046405641,-5.0087426565845155,-3.9677294780597783,-4.453183272999346,-4.605183682446191,-5.278197800721652,-3.3128407417316486,-4.145209412260243,27
-6.065350969506059,-5.0029423260020955,-4.030325732738969,-4.471699502754678,-4.615563888655055,-5.256673475370513,-3.312704901822264,-4.151146841834324,28
-6.063862093380977,-4.990379722079966,-4.063284093593595,-4.503440978096008,-4.622902283667732,-5.240958070575471,-3.314086249496167,-4.161122181524087,29
-6.056027944495252,-4.968476072204323,-4.059551330034267,-4.5484292200216325,-4.624313456546682,-5.231934706276656,-3.3170151928368705,-4.175328691707581,30
