C1,C2,C3,C4,C5,C6,C7,C8,C9,time
-5.769344482454542,-2.852498971342571,-5.0483973942361455,-5.369691423873159,-4.412913285945202,-5.957645385992518,-3.6586611459446376,-5.9532574447686315,-4.444841288692878,10
-5.684149708405436,-2.8817183578143304,-4.933028546321756,-5.370449593265801,-4.380311918711486,-5.7789887245313665,-3.6212230508499124,-5.836517357580426,-4.435097134939475,11
-5.604150082874943,-2.914214926545335,-4.825614444658474,-5.370122882148435,-4.349694681673537,-5.6122941496887755,-3.5861074439996057,-5.726782669216192,-4.425375878454527,12
-5.529345605863063,-2.949988677535584,-4.726155089246298,-5.368711290521059,-4.321061574831352,-5.457561661464743,-3.553314325393715,-5.624053379675927,-4.415677519238029,13
-5.459736277369801,-2.9890396107850785,-4.634650480085228,-5.366214818383677,-4.294412598184931,-5.31479125985927,-3.5228436950322433,-5.528329488959634,-4.406002057289985,14
-5.395322097395159,-3.0313677262938166,-4.5511006171752655,-5.362633465736287,-4.269747751734279,-5.183982944872356,-3.494695552915188,-5.4396109970673105,-4.396349492610393,15
-5.336103065939138,-3.0769730240618007,-4.475505500516409,-5.357967232578888,-4.247067035479391,-5.065136716504,-3.468869899042551,-5.357897903998959,-4.386719825199255,16
-5.282079183001743,-3.1258555040890292,-4.40786513010866,-5.352216118911482,-4.226370449420269,-4.958252574754205,-3.4453667334143314,-5.2831902097545775,-4.37711305505657,17
-5.233250448582976,-3.178015166375502,-4.348179505952016,-5.345380124734068,-4.207657993556914,-4.863330519622967,-3.424186056030529,-5.215487914334166,-4.367529182182338,18
-5.189616862682836,-3.2334520109212197,-4.29644862804648,-5.3374592500466465,-4.190929667889323,-4.7803705511102885,-3.405327866891144,-5.154791017737725,-4.357968206576558,19
-5.15117842530133,-3.292166037726182,-4.2526724963920515,-5.328453494849217,-4.176185472417499,-4.709372669216167,-3.3887921659961764,-5.101099519965256,-4.348430128239231,20
-5.121607722398018,-3.3647370926744715,-4.220416660404838,-5.317633392459173,-4.162149111709317,-4.655041225921369,-3.3750407859335034,-5.058509306978658,-4.337327575958936,21
-5.102945079505987,-3.4570428679239105,-4.201661980871564,-5.3045936836084,-4.148111532746932,-4.619989750104096,-3.364330300363056,-5.02929587097899,-4.323778676840438,22
-5.092742105985525,-3.562030132885112,-4.194031424848162,-5.289820679418635,-4.134923599151758,-4.601082007110505,-3.3563528208929174,-5.010728621324983,-4.308841678358017,23
-5.088550411196922,-3.672645656968687,-4.195147959390557,-5.2738006910116155,-4.123436174545211,-4.595181762286754,-3.350800459131168,-5.000076967375369,-4.293574827985956,24
-5.087921604500468,-3.7818362095852485,-4.2026345515546755,-5.25702002950908,-4.114500122548708,-4.599152780978999,-3.347365326685891,-4.9946103184888795,-4.279036373198535,25
