C1,C2,C3,time
-5.73640466947664,-2.9307537077323262,-4.224675526761069,10
-5.645870321515112,-2.9517418902199517,-4.166798214650301,11
-5.560917536381143,-2.9765183331792735,-4.11246209030834,12
-5.481546314074733,-3.005083036610292,-4.0616671537351845,13
-5.407756654595887,-3.0374360005130066,-4.014413404930833,14
-5.339548557944607,-3.0735772248874174,-3.970700843895288,15
-5.276922024120895,-3.1135067097335245,-3.930529470628549,16
-5.219877053124756,-3.157224455051327,-3.8938992851306153,17
-5.168413644956192,-3.2047304608408265,-3.860810287401487,18
-5.122531799615203,-3.256024727102021,-3.831262477441164,19
-5.082231517101795,-3.311107253834911,-3.805255855249647,20
-5.051054501061964,-3.3806600116345438,-3.783512488552772,21
-5.03096836463237,-3.4706174286092764,-3.766433526087115,22
-5.019611972049014,-3.573858191029079,-3.753537589368786,23
-5.014624187547894,-3.683260985163923,-3.7443432999138913,24
-5.013643875365008,-3.791704497283775,-3.7383692792385426,25
-5.014309899736358,-3.8920674136586055,-3.7351341488588474,26
-5.014261124897941,-3.9772284205583848,-3.7341565302909157,27
-5.011136415085759,-4.040066204253081,-3.734955045050855,28
-5.002574634535809,-4.073459451012664,-3.737048314654776,29
-4.986214647484091,-4.070286847107104,-3.739954960618787,30
-4.966659629224356,-4.021499821912311,-3.744901963578327,31
-4.948915484600988,-3.929456457838638,-3.7530701867586,32
-4.931225172175927,-3.804145420707717,-3.7639090755603646,33
-4.91183165051112,-3.655555376341181,-3.7768680753843795,34
-4.888977878168507,-3.49367499056066,-3.7913966316314016,35
-4.860906813710035,-3.328492929187786,-3.8069441897021896,36
-4.825861415697647,-3.1699978580441908,-3.822960194997502,37
-4.782084642693285,-3.028178442951506,-3.838894092918096,38
-4.727819453258891,-2.913023349731364,-3.854195328864729,39
-4.661308805956413,-2.834521244205396,-3.8683133482381606,40
-4.575789318836485,-2.7898337884901037,-3.8807452950301746,41
-4.469325674529665,-2.767025511798147,-3.891782750302087,42
-4.347402928467785,-2.7624393805953957,-3.9020668150589537,43
-4.215506136082675,-2.7724183613477216,-3.9122385903058325,44
-4.0791203528061635,-2.793305420520994,-3.9229391770477764,45
-3.9437306340700795,-2.8214435245810843,-3.9348096762898437,46
-3.8148220353062516,-2.8531756399938617,-3.9484911890370893,47
-3.6978796119465107,-2.884844733225197,-3.964624816294569,48
-3.598388419422687,-2.9127937707409606,-3.9838516590673407,49
-3.5218335131666088,-2.9333657190070226,-4.006812818360458,50
-3.4681161433363434,-2.9469188257650005,-4.036512571419155,51
-3.4314932432755882,-2.957444596758591,-4.073955115670725,52
-3.408983393194615,-2.9667358854567913,-4.116781432393316,53
-3.3976051733036945,-2.9765855453285943,-4.1626325028650735,54
-3.3943771638130995,-2.9887864298429947,-4.209149308364145,55
-3.396317944933102,-3.0051313924689875,-4.253972830168678,56
-3.4004460968739716,-3.0274132866755656,-4.294744049556818,57
-3.4037801998459827,-3.0574249659317254,-4.329103947806713,58
-3.4033388340594057,-3.096959283706461,-4.35469350619651,59
-3.3961405797245128,-3.1478090934687657,-4.3691537060043535,60
-3.3843508747168176,-3.215161984302901,-4.371079140614079,61
-3.3722645828231754,-3.3000406946952374,-4.362135418357888,62
-3.360094423120871,-3.39799080221794,-4.344570042936475,63
-3.348053114687189,-3.5045578844431704,-4.320630518050535,64
-3.3363533765994116,-3.615287518943092,-4.2925643474007655,65
