C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,time
-4.998045402656708,-5.371784495501306,-3.814897576661157,-5.15917249247432,-5.2052637324869595,-4.1310306266495624,-3.564754952206153,-5.029592082199275,-4.517473439677552,-4.310590905057965,-5.148423947853258,-3.0513607073698474,-4.236647138486619,-4.581096079006011,-5.24178100703922,-5.068754216485868,-4.345189571401986,-3.909106182900147,-4.803923803738286,-4.09008000579997,-5.056018194578588,-4.5867830513247485,-4.233747614485544,-4.6404055040924055,20
-5.144305289574912,-5.246426268501306,-3.6886625036997773,-5.31111050745087,-4.840720342080922,-4.073760572645091,-3.45783734055203,-4.962147564595009,-4.297017564532204,-4.208935058995421,-4.876181219639845,-3.110964263474184,-4.123960950694957,-4.426920023272372,-4.990242543581082,-5.217910509603304,-4.309398608130473,-3.8898262569591697,-4.683542369640858,-3.9581333896848236,-4.749464744611544,-4.484010546922557,-4.206515702787184,-4.503286448117179,21
-5.275252838020495,-5.135258701977289,-3.5739595802303272,-5.443474952600735,-4.514161010580761,-4.022022496895442,-3.360823004378371,-4.901457757557439,-4.1003214683743545,-4.118991520625562,-4.630672674465661,-3.1643929683294427,-4.023712117011804,-4.288955163819241,-4.764422800070239,-5.3564671396741215,-4.277912080127794,-3.8727818043624804,-4.576809139626208,-3.839483659223637,-4.476086795462801,-4.394682750330447,-4.182119069310853,-4.380724271809747,22
-5.390888047993459,-5.038281795929255,-3.470788806252808,-5.556265827923916,-4.22558573798648,-3.9758163994006117,-3.2737119436851767,-4.847522661086565,-3.9273851512040054,-4.040760289948388,-4.411898312330709,-3.2116468219356236,-3.9359006374371623,-4.1672015006466205,-4.564321776506695,-5.484424106698319,-4.250729987393951,-3.857972825110083,-4.483724113694341,-3.7341308144164103,-4.235884347132361,-4.318799661548422,-4.160557714056555,-4.272718975170112,23
-5.491210919493804,-4.955495550357203,-3.379150181767218,-5.649483133420412,-3.9749945242980753,-3.935142280160601,-3.196504158472444,-4.800342275182384,-3.778208613021155,-3.9742413669638985,-4.219858133234986,-3.252725824292727,-3.860526511971031,-4.061659033754505,-4.389939472890447,-5.601781410675897,-4.227852329928944,-3.8453993192019746,-4.40428729184525,-3.6420748552631426,-4.028857399620221,-4.2563612805764786,-4.14183163702429,-4.179270558198271,24
-5.576221452521531,-4.886899965261135,-3.299043706773558,-5.7231268690902235,-3.7623873695155488,-3.9000001391754107,-3.129199648740176,-4.7599165998449005,-3.6527918538258035,-3.9194347516720947,-4.054552137178493,-3.287629975400752,-3.7975897406134096,-3.9723277631428973,-4.2412758892214955,-5.708539051606855,-4.209279107732773,-3.835061286638157,-4.338498674078941,-3.5633157817638352,-3.8550059529263825,-4.207367607414619,-4.1259408382140546,-4.100379020894226,25
-5.645919647076637,-4.832495040641048,-3.2304693812718277,-5.77719703493335,-3.5877642736389004,-3.8703899764450402,-3.071798414488371,-4.726245635074112,-3.5511348736179515,-3.8763404440729765,-3.915980324161231,-3.3163592752596993,-3.7470903233642985,-3.8992076888117975,-4.118331025499842,-5.8046970294911935,-4.195010320805437,-3.8269587274186283,-4.286358260395411,-3.497853593918487,-3.7143300070508443,-4.171818642062842,-4.112885317625853,-4.036044363257975,26
-5.700305503159126,-4.792280776496946,-3.173427205262028,-5.811693630949794,-3.45112523666813,-3.846311791969489,-3.02430045571703,-4.69932938087002,-3.473237672397599,-3.844958444166543,-3.804142694183199,-3.3389137238695694,-3.709028260223698,-3.842298810761206,-4.021104881725486,-5.890255344328914,-4.185045969146936,-3.82109164154339,-4.247866050794662,-3.4456882917270995,-3.6068295619936075,-4.149714384521149,-4.102665075259681,-3.9862665852895205,27
-5.739379020768994,-4.766257172828825,-3.127917178744158,-5.826616657139552,-3.3524702586032378,-3.827765585748759,-2.986705772426152,-4.679167837232621,-3.4191002501647456,-3.825288751952795,-3.7190392472443974,-3.3552933212303615,-3.6834035511916077,-3.8016011289911233,-3.949597457898425,-5.965213996120012,-4.179386052757271,-3.817460029012442,-4.223022045276691,-3.4068198751896706,-3.5325046177546713,-4.141054834789539,-4.095280111115543,-3.9510456869888615,28
-5.7631401999062435,-4.754424229636689,-3.093939301718219,-5.821966113502627,-3.2917993394442235,-3.814751357782848,-2.9590143646157374,-4.665761004161919,-3.3887226069193925,-3.8173313674317324,-3.660669983344826,-3.3654980673420756,-3.6702161962680284,-3.7771146435015477,-3.9038087540186623,-6.029572984864492,-4.17803057163644,-3.8160638898257844,-4.211826243841502,-3.3812483443062025,-3.491355174334036,-4.145839992868013,-4.090730425193436,-3.930381668355997,29
