C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,time
-4.998045402656705,-5.3717844955012986,-5.159172492474323,-3.619664308793834,-5.205263732486999,-4.1310306266495616,-4.278157375541859,-5.029592082199281,-4.310590905057964,-5.027772406334093,-3.0513607073698514,-4.81994378147128,-4.236647138486618,-4.581096079006008,-5.241781007039221,-5.260711218539736,-5.068754216485869,-4.345189571401989,-3.909106182900144,-4.754424176655276,-4.262015675404695,-4.233747614485542,-4.640405504092403,20
-5.144305289574908,-5.246426268501299,-5.311110507450873,-3.508506278803972,-4.8407203420809575,-4.0737605726450905,-4.504897493742348,-4.962147564595015,-4.20893505899542,-4.785185104404254,-3.1109642634741874,-4.551131734165802,-4.123960950694956,-4.426920023272371,-4.990242543581083,-4.965822355973991,-5.217910509603306,-4.309398608130476,-3.889826256959166,-4.632930348939133,-4.1401677902671095,-4.206515702787181,-4.503286448117177,21
-5.275252838020492,-5.135258701977282,-5.443474952600736,-3.4076090820044076,-4.514161010580792,-4.02202249689544,-4.707875246530732,-4.901457757557445,-4.118991520625561,-4.567293240135302,-3.164392968329446,-4.311367747971972,-4.0237121170118035,-4.288955163819241,-4.764422800070241,-4.703202628961911,-5.356467139674123,-4.2779120801277974,-3.872781804362478,-4.525108638450358,-4.031667959991373,-4.182119069310851,-4.380724271809746,22
-5.3908880479934576,-5.03828179592925,-5.556265827923917,-3.3169727183951423,-4.225585737986506,-3.9758163994006113,-4.887090633907011,-4.847522661086569,-4.040760289948388,-4.374096813527238,-3.2116468219356262,-4.100651822889791,-3.935900637437163,-4.16720150064662,-4.564321776506696,-4.472852037503497,-5.48442410669832,-4.250729987393955,-3.857972825110081,-4.4309590451889544,-3.9365161845774863,-4.160557714056555,-4.272718975170111,23
-5.4912109194938035,-4.955495550357198,-5.649483133420412,-3.2365971879761735,-3.9749945242980966,-3.935142280160601,-5.042543655871185,-4.8003422751823885,-3.9742413669638985,-4.205595824580059,-3.252725824292729,-3.918983958919258,-3.86052651197103,-4.061659033754505,-4.389939472890449,-4.274770581598745,-5.601781410675898,-4.227852329928948,-3.8453993192019733,-4.350481569154919,-3.8547124640254475,-4.141831637024288,-4.1792705581982705,24
-5.576221452521531,-4.88689996526113,-5.723126869090222,-3.166482490747503,-3.762387369515566,-3.9000001391754098,-5.174234312423254,-4.759916599844904,-3.919434751672094,-4.061790273293768,-3.287629975400754,-3.766364156060373,-3.797589740613409,-3.9723277631428973,-4.241275889221497,-4.108958261247659,-5.708539051606856,-4.209279107732776,-3.8350612866381555,-4.283676210348253,-3.7862567983352573,-4.1259408382140546,-4.100379020894225,25
-5.645919647076639,-4.832495040641046,-5.77719703493335,-3.1066286267091288,-3.5877642736389133,-3.87038997644504,-5.282162603563218,-4.726245635074115,-3.876340444072976,-3.942680159668364,-3.316359275259701,-3.642792414313136,-3.7470903233642985,-3.899207688811798,-4.118331025499843,-3.9754150764502367,-5.804697029491194,-4.195010320805439,-3.8269587274186283,-4.230542968768958,-3.7311491875069156,-4.112885317625852,-4.036044363257975,26
-5.700305503159128,-4.792280776496944,-5.811693630949793,-3.0570355958610533,-3.45112523666814,-3.846311791969489,-5.366328529291077,-4.699329380870021,-3.8449584441665428,-3.848265483703847,-3.3389137238695707,-3.548268733677548,-3.7090282602236977,-3.842298810761207,-4.021104881725486,-3.8741410272064796,-5.890255344328914,-4.185045969146938,-3.821091641543391,-4.191081844417034,-3.6893896315404233,-4.102665075259682,-3.9862665852895205,27
-5.739379020768997,-4.7662571728288246,-5.8266166571395495,-3.0177033982032744,-3.3524702586032444,-3.8277655857487587,-5.426732089606831,-4.6791678372326215,-3.825288751952795,-3.7785462454002166,-3.3552933212303624,-3.4827931141536066,-3.6834035511916077,-3.8016011289911233,-3.949597457898425,-3.805136113516387,-5.965213996120012,-4.179386052757273,-3.8174600290124436,-4.165292837292478,-3.660978130435779,-4.095280111115543,-3.951045686988861,28
-5.763140199906247,-4.754424229636689,-5.821966113502626,-2.988632033735794,-3.291799339444229,-3.8147513577828476,-5.463373284510481,-4.6657610041619195,-3.8173313674317324,-3.733522444757473,-3.365498067342076,-3.446365555741315,-3.6702161962680284,-3.777114643501548,-3.9038087540186623,-3.7684003353799587,-6.029572984864492,-4.178030571636443,-3.816063889825786,-4.153175947395293,-3.6459146841929835,-4.090730425193437,-3.930381668355997,29
