C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,time
-5.244554166022291,-5.159172492474322,-3.6196643087938343,-4.278157375541858,-4.409611938564521,-5.044530267206142,-5.029592082199281,-5.027772406334098,-4.466768093409578,-3.0513607073698514,-4.402720734808451,-5.241781007039219,-5.260711218539736,-5.0687542164858685,-4.34518957140199,-3.9091061829001452,-4.754424176655274,-4.262015675404698,-4.233747614485542,-4.6404055040924055,20
-5.211661679930615,-5.311110507450871,-3.5085062788039725,-4.504897493742347,-4.345983331670981,-4.719920522779192,-4.962147564595015,-4.785185104404259,-4.332396537863163,-3.110964263474188,-4.270030503544764,-4.99024254358108,-4.965822355973991,-5.217910509603305,-4.309398608130477,-3.8898262569591675,-4.632930348939131,-4.140167790267113,-4.206515702787181,-4.503286448117179,21
-5.18291628020476,-5.443474952600735,-3.407609082004408,-4.707875246530731,-4.2879227003295135,-4.429567249606813,-4.901457757557445,-4.567293240135305,-4.213720461395199,-3.164392968329446,-4.151597157436802,-4.764422800070238,-4.703202628961911,-5.356467139674122,-4.277912080127798,-3.8727818043624795,-4.525108638450357,-4.031667959991377,-4.182119069310851,-4.380724271809747,22
-5.158317966844726,-5.556265827923916,-3.3169727183951423,-4.88709063390701,-4.235430044540124,-4.173470447689006,-4.84752266108657,-4.37409681352724,-4.110739864005686,-3.2116468219356262,-4.047420696484565,-4.564321776506695,-4.472852037503497,-5.484424106698319,-4.250729987393956,-3.8579728251100818,-4.430959045188954,-3.93651618457749,-4.160557714056554,-4.272718975170112,23
-5.137866739850512,-5.649483133420412,-3.236597187976173,-5.042543655871184,-4.188505364302808,-3.951630117025766,-4.800342275182389,-4.205595824580062,-4.023454745694623,-3.252725824292729,-3.9575011206880504,-4.389939472890448,-4.274770581598745,-5.601781410675897,-4.2278523299289485,-3.8453993192019733,-4.350481569154919,-3.85471246402545,-4.141831637024288,-4.179270558198271,24
-5.121562599222119,-5.723126869090224,-3.1664824907475015,-5.174234312423255,-4.1471486596175655,-3.7640462576170997,-4.759916599844905,-4.061790273293769,-3.9518651064620105,-3.2876299754007534,-3.8818384300472597,-4.241275889221496,-4.1089582612476585,-5.708539051606856,-4.209279107732777,-3.835061286638156,-4.283676210348254,-3.7862567983352604,-4.1259408382140546,-4.100379020894226,25
-5.109405544959546,-5.7771970349333515,-3.106628626709128,-5.2821626035632185,-4.111359930484399,-3.610718869463003,-4.726245635074116,-3.9426801596683636,-3.8959709463078482,-3.3163592752597006,-3.820432624562193,-4.118331025499842,-3.9754150764502367,-5.804697029491194,-4.195010320805441,-3.8269587274186283,-4.230542968768959,-3.7311491875069183,-4.112885317625852,-4.036044363257975,26
-5.101395577062792,-5.811693630949795,-3.0570355958610516,-5.366328529291078,-4.081139176903308,-3.4916479525634783,-4.699329380870022,-3.848265483703846,-3.8557722652321385,-3.3389137238695703,-3.773283704232849,-4.021104881725485,-3.874141027206479,-5.890255344328915,-4.185045969146939,-3.821091641543391,-4.1910818444170355,-3.6893896315404264,-4.102665075259682,-3.9862665852895205,27
-5.097532695531862,-5.826616657139553,-3.017703398203273,-5.4267320896068325,-4.0564863988742905,-3.4068335069185243,-4.679167837232623,-3.778546245400215,-3.8312690632348794,-3.3552933212303615,-3.7403916690592287,-3.9495974578984256,-3.805136113516386,-5.9652139961200135,-4.179386052757274,-3.817460029012443,-4.16529283729248,-3.660978130435782,-4.095280111115543,-3.9510456869888615,28
-5.097816900366751,-5.821966113502629,-2.9886320337357914,-5.4633732845104825,-4.037401596397349,-3.3562755325281413,-4.665761004161921,-3.733522444757471,-3.8224613403160714,-3.365498067342075,-3.7217565190413313,-3.903808754018662,-3.7684003353799578,-6.029572984864494,-4.178030571636444,-3.8160638898257857,-4.153175947395295,-3.645914684192986,-4.090730425193437,-3.930381668355997,29
