C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,time
-5.127684405359276,-5.195359026251153,-3.6196643087938303,-5.2026502890036275,-4.40961193856452,-5.0500477837523645,-4.455387238315491,-4.318222938530062,-4.6375859371230375,-3.479590644949244,-4.520484093211838,-5.06083585492461,-5.1518052201068585,-3.3587319582242836,-3.8086508279101086,-4.252013701790806,-4.218288023804698,-5.365286097622091,-4.331212425147431,-4.596870863272043,-3.634535395720491,-5.118873516459562,20
-5.106045047490244,-5.034974896908652,-3.508506278803968,-5.342051182566546,-4.34598333167098,-4.724471179969395,-4.676511325512285,-4.443995133539188,-4.74509979211295,-3.5706432152898597,-4.367088616750181,-5.270749448537423,-5.380496723029985,-3.374442106370955,-3.9262130426076487,-4.19405852302662,-4.121338474261671,-5.0646288593892885,-4.289810602959059,-4.48266334709334,-3.702402152243374,-4.8869555933520195,21
-5.087291281319082,-4.890329981601361,-3.407609082004404,-5.463885603932769,-4.287922700329513,-4.433265339176653,-4.874852725424929,-4.555630296144595,-4.839520145302264,-3.6525618448104606,-4.229916709249569,-5.4625397302998415,-5.585170122967693,-3.3884020531296577,-4.03123364174299,-4.142840868485827,-4.035195193119942,-4.79574630418221,-4.253440890657413,-4.380626891556291,-3.7632180702967277,-4.680497539317364,22
-5.071423106845788,-4.7614242803292814,-3.316972718395139,-5.568153553102297,-4.235430044540123,-4.176430261374141,-5.050411438053425,-4.653128426346284,-4.920846996690977,-3.7253465335110474,-4.10896837071,-5.636206700211867,-5.76582541991998,-3.400611798500393,-4.123712625316132,-4.098360738168427,-3.9598581803795114,-4.558638432000858,-4.222103288242494,-4.290761496660898,-3.8169831498805515,-4.4994993543556,23
-5.058440524070364,-4.648257793092411,-3.2365971879761712,-5.654855030075127,-4.188505364302806,-3.9539659465618557,-5.203187463397772,-4.736489524144256,-4.98908034627909,-3.7889972813916195,-4.004243601131476,-5.791750358273499,-5.922462613886848,-3.4110713424831602,-4.203649993327075,-4.060618132074421,-3.8953274360403767,-4.353305242845228,-4.195797795714301,-4.213067162407159,-3.8636973909948455,-4.343961038466723,24
-5.048343532992808,-4.55083051989075,-3.1664824907475007,-5.723990034851262,-4.147148659617565,-3.7658723947398,-5.333180801457971,-4.805713589538509,-5.044220194066604,-3.8435140884521775,-3.915742400513996,-5.929170704484737,-6.0550817048682974,-3.4197806850779595,-4.271045745775821,-4.029613050203807,-3.841602960102541,-4.179746736715323,-4.174524413072836,-4.147543888795073,-3.9033607936396097,-4.213882591650736,25
-5.0411321336131225,-4.469142460724299,-3.106628626709128,-5.775558567430703,-4.111359930484398,-3.6121496059079723,-5.44039145223402,-4.8608006225290445,-5.086266540053518,-3.8888969546927212,-3.84346476885756,-6.0484677388455825,-6.163682692864327,-3.4267398262847912,-4.325899882662367,-4.005345492556586,-3.798684752566002,-4.037962913611143,-4.158283140318098,-4.094191675824641,-3.9359733578148446,-4.109264013907637,26
-5.036806325931306,-4.403193615593058,-3.057035595861052,-5.809560627813447,-4.081139176903307,-3.4927975800663735,-5.524819415725921,-4.901750623115863,-5.115219384239831,-3.9251458801132504,-3.7874107061621682,-6.149641461356036,-6.248265577874938,-3.431948766103655,-4.368212403986715,-3.9878154591327584,-3.7665728134307614,-3.927953773532687,-4.147073977450088,-4.053010523495865,-3.9615350835205496,-4.030105305237428,27
-5.035366109947357,-4.352983984497028,-3.0177033982032744,-5.825996215999493,-4.05648639887429,-3.407816317215003,-5.5864646919336725,-4.9285635912989605,-5.131078726625545,-3.952260864713765,-3.7475802124278204,-6.232691872016093,-6.3088303599001305,-3.4354075045345502,-4.397983309748864,-3.9770229499323233,-3.7452671426968185,-3.849719316479956,-4.1408969244688025,-4.024000431808741,-3.9800459707567244,-3.976406465640108,28
-5.0368114856612785,-4.318513567436208,-2.988632033735794,-5.824865331988844,-4.0374015963973475,-3.3572058173538615,-5.6253272808572765,-4.941239527078344,-5.133844567210659,-3.9702419084942657,-3.723973287654517,-6.297618970825758,-6.345377038939903,-3.437116041577479,-4.4152125999488145,-3.9729679649552825,-3.7347677403641732,-3.8032595424529503,-4.139751981374245,-4.007161400763272,-3.9915060195233694,-3.948167495115677,29
-5.041142453073068,-4.299782364410597,-2.9698215024586103,-5.8061679757815,-4.023884769472481,-3.340966080482949,-5.641407182496732,-4.939778430454007,-5.123516905995173,-3.979089011454752,-3.716589931842257,-6.344422757785031,-6.357905614994257,-3.437074377232439,-4.419900274586567,-3.975650504201634,-3.735074606432826,-3.788574451451669,-4.143639148166416,-4.002493430359458,-3.995915229820485,-3.9453883936641354,30
-5.0563187291819265,-4.314025087495842,-2.968124496748612,-5.759858724808822,-4.022652100828894,-3.3924574932653737,-5.62116459696403,-4.913150950407573,-5.088715905220429,-3.9682465085034875,-3.7423469122406816,-6.3691086560447685,-6.332331647840706,-3.4336430130136875,-4.399059921249297,-3.9937567259118154,-3.758613309119681,-3.8360929271519177,-4.159522464841076,-4.022893325203487,-3.985469166866582,-3.9934119243632473,31
-5.086762378987411,-4.370816576733967,-2.9873480679262916,-5.680356788754903,-4.037434803093919,-3.530213603847307,-5.557077413210276,-4.855229669706604,-5.023119432798282,-3.9318501412561737,-3.8106424328773683,-6.369457456244337,-6.26083044846676,-3.425911116429144,-4.345476866374327,-4.032112273552734,-3.8122869418785736,-3.962719904929143,-4.191270842506982,-4.075525976743244,-3.955832033560833,-4.1063174000339915,32
-5.127166924490053,-4.458667024074541,-3.0229237544070586,-5.574359115998831,-4.063755421114757,-3.7319941544533424,-5.458172164494146,-4.7733674890300275,-4.934314047234507,-3.87693701977397,-3.9101986489192235,-6.348132209616499,-6.15279164368741,-3.414971686469305,-4.26780871823687,-4.0849263749641,-3.8878117925649,-4.148169462332809,-4.234241587833627,-4.151793515241269,-3.9122067864242314,-4.267209645291193,33
